# CellID	NodeIndex	X	Y	R	Theta
0	0	8.42468	3.64623	25.1704	1.22021
0	1	8.39407	3.85236	25.3536	1.22414
0	2	8.36346	4.0563	25.5352	1.22798
0	3	8.33248	4.25729	25.7143	1.23174
0	4	8.29632	4.46306	25.8965	1.2357
0	5	8.25444	4.67073	26.0791	1.23984
0	6	8.20756	4.87756	26.2597	1.24409
0	7	8.15717	5.08141	26.4368	1.24837
0	8	8.10458	5.281	26.6097	1.25262
0	9	8.0513	5.47589	26.7784	1.25678
0	10	7.99772	5.66568	26.9426	1.26085
0	11	7.94488	5.85011	27.1023	1.26478
0	12	7.89097	6.02793	27.2558	1.26864
0	13	7.83231	6.20563	27.4082	1.27261
0	14	7.76767	6.38033	27.5565	1.27671
0	15	7.70073	6.55139	27.701	1.28082
0	16	7.63083	6.71739	27.8403	1.28493
0	17	7.55764	6.87758	27.9736	1.28905
0	18	7.47241	7.02525	28.092	1.29343
0	19	7.4105	7.17851	28.2227	1.29702
0	20	7.30543	7.29307	28.3049	1.30169
0	21	7.12881	7.38199	28.3443	1.30853
0	22	6.95466	7.50014	28.4139	1.31553
0	23	6.74315	7.60329	28.4613	1.32364
0	24	6.47912	7.69891	28.4908	1.33344
0	25	6.13814	7.79091	28.5022	1.34583
0	26	5.68683	7.88009	28.4922	1.36197
0	27	5.22375	7.94093	28.4595	1.37833
0	28	4.7617	7.97142	28.4048	1.3945
0	29	4.30498	7.98308	28.3397	1.41044
0	30	3.84748	7.98567	28.2729	1.42643
0	31	3.38409	7.96743	28.1918	1.44261
0	32	2.92294	7.92176	28.0912	1.45868
0	33	2.47044	7.85643	27.9792	1.47449
0	34	2.02139	7.77783	27.8612	1.49026
0	35	1.5702	7.6819	27.7328	1.5062
0	36	1.12061	7.5601	27.5858	1.52218
0	37	0.682668	7.41555	27.4235	1.53788
0	38	0.255049	7.25645	27.2537	1.55337
0	39	-0.165467	7.08182	27.075	1.56878
0	40	-0.486147	6.91981	26.9142	1.58069
0	41	-0.731635	6.76115	26.7591	1.58992
0	42	-0.92251	6.59883	26.6012	1.59721
0	43	-1.10771	6.4653	26.4733	1.60434
0	44	-1.21651	6.314	26.326	1.60866
0	45	-1.26643	6.12972	26.1438	1.61084
0	46	-1.27523	5.92595	25.9405	1.61149
0	47	-1.29461	5.72539	25.7409	1.61256
0	48	-1.30618	5.52575	25.5419	1.61334
0	49	-1.31568	5.32678	25.3436	1.61405
0	50	-1.32431	5.1283	25.1457	1.61473
0	51	-1.33129	4.93002	24.9479	1.61536
0	52	-1.33583	4.73181	24.7501	1.6159
0	53	-1.33677	4.53402	24.5525	1.6163
0	54	-1.33386	4.33761	24.3562	1.61655
0	55	-1.32647	4.14389	24.1623	1.61661
0	56	-1.31563	3.95411	23.9722	1.61652
0	57	-1.30127	3.76914	23.7868	1.61627
0	58	-1.28547	3.58935	23.6065	1.61595
0	59	-1.26676	3.41535	23.4318	1.61549
0	60	-1.24459	3.23916	23.2548	1.61487
0	61	-1.21627	3.06158	23.0762	1.61399
0	62	-1.18472	2.88238	22.8958	1.61295
0	63	-1.14735	2.70194	22.714	1.61164
0	64	-1.10684	2.51953	22.5301	1.61017
0	65	-1.06027	2.3359	22.3448	1.60841
0	66	-1.01015	2.15096	22.1581	1.60647
0	67	-0.954423	1.96622	21.9716	1.60423
0	68	-0.896126	1.78197	21.7856	1.60184
0	69	-0.833801	1.59961	21.6014	1.59922
0	70	-0.770364	1.41869	21.4188	1.5965
0	71	-0.703236	1.2402	21.2388	1.59355
0	72	-0.634579	1.06286	21.06	1.59049
0	73	-0.560195	0.887323	20.8832	1.58709
0	74	-0.484604	0.714362	20.7091	1.58358
0	75	-0.402111	0.544674	20.5386	1.57967
0	76	-0.314226	0.375409	20.3687	1.57543
0	77	-0.219428	0.212882	20.206	1.57077
0	78	-0.117136	0.0551943	20.0485	1.56567
0	79	0.0032854	-0.0966409	19.8977	1.55958
0	80	0.147715	-0.245442	19.7511	1.55218
0	81	0.323327	-0.393622	19.607	1.54309
0	82	0.506048	-0.525348	19.4813	1.53352
0	83	0.697732	-0.644034	19.3708	1.52341
0	84	0.901065	-0.753395	19.2723	1.5126
0	85	1.11244	-0.857992	19.1814	1.50128
0	86	1.32573	-0.959272	19.0965	1.48977
0	87	1.5397	-1.05862	19.0161	1.47813
0	88	1.75315	-1.15552	18.9406	1.46644
0	89	1.96704	-1.2489	18.8713	1.45465
0	90	2.17917	-1.33766	18.8091	1.4429
0	91	2.38779	-1.42196	18.7533	1.43129
0	92	2.58944	-1.50208	18.7032	1.42002
0	93	2.78729	-1.57909	18.6579	1.40891
