# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsLP	ThetaLocal
0	1	1	0	67.9206	29.8182	3.52536	0.940462	63.2492	0	0	0	67.9206	0.959951	137	21	21.0559	1.39301	0	1.31012
1	1	1	0	86.2296	34.7266	-4.95085	0.889872	63.0901	0	0	0	86.2296	0.898551	154	29	21.2126	1.79675	0	1.39297
2	1	1	0	74.3805	32.1606	11.8701	1.51182	59.8746	0	0	0	74.3805	0.90369	130	23	24.4774	1.05521	0	1.44411
3	1	1	0	86.0319	34.6442	-13.5492	0.675951	59.892	0	0	0	86.0319	0.900757	151	27	24.4302	2.14896	0	1.52095
4	1	1	0	71.1855	30.9106	21.0923	0.922944	55.1096	0	0	0	71.1855	0.93624	131	22	29.6994	0.771488	0	1.52707
5	1	1	0	83.6968	33.6009	-22.4552	1.09321	54.6491	0	0	0	83.6968	0.931572	129	28	30.5156	2.38818	0	1.52215
6	1	1	0	83.8268	34.304	30.2535	-0.063996	49.5078	0	0	0	83.8268	0.895167	137	25	36.2792	0.57466	0	1.57291
7	1	1	0	71.4597	31.2943	-30.5078	-1.34279	50.3289	0	0	0	71.4597	0.916936	135	24	35.4785	2.59501	0	1.61479
8	1	1	0	57.3791	27.1989	38.5076	-2.39988	44.6914	0	0	0	57.3791	0.974678	134	20	42.4305	0.422123	0	1.63304
9	1	1	0	64.8644	28.9426	-38.8219	-3.69537	45.4161	0	0	0	64.8644	0.973066	139	23	41.8402	2.74691	0	1.6657
10	2	0	0	50.5069	25.4904	-0.871418	-7.34238	72.513	0	0	0	50.5069	0.976802	132	21	12.4594	1.62484	0	0
11	2	0	0	60.7899	28.3879	7.40235	-7.36297	69.3179	0	0	0	60.7899	0.947925	141	28	14.5617	1.02164	0	0
12	2	0	0	51.8812	26.196	-9.05096	-8.16634	69.6093	0	0	0	51.8812	0.950054	147	25	14.6057	2.22194	0	0
13	2	0	0	62.2062	28.5092	16.6163	-6.58803	62.4913	0	0	0	62.2062	0.961774	140	30	21.3742	0.66538	0	0
14	2	0	0	51.2758	25.792	-17.4746	-8.03796	62.7551	0	0	0	51.2758	0.968621	109	21	20.8908	2.5445	0	0
15	2	0	0	62.1278	28.8684	26.0434	-7.65712	54.9305	0	0	0	62.1278	0.936806	143	28	28.9082	0.432874	0	0
16	2	0	0	48.7348	25.1486	-25.4999	-8.60196	56.322	0	0	0	48.7348	0.968327	100	19	27.6621	2.72547	0	0
17	2	1	0	54.08	26.4847	34.9404	-9.12252	48.5237	0	0	0	54.08	0.968848	137	20	36.7205	0.294571	0	0
