# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsLP	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	81.5417	32.5639	3.33279	3.04716	60.3483	0	0	0	81.5417	0.966308	141	22	24.4923	1.33979	0	0.830155
1	1	1	0	100.904	36.9242	-7.91612	3.84365	59.3712	0	0	0	100.904	0.930027	123	30	25.2757	1.79588	0	1.11878
2	1	1	0	101.816	37.0453	14.9948	1.51594	56.4132	0	0	0	101.816	0.932307	137	30	28.2134	0.912071	0	1.47005
3	1	1	0	98.8603	36.178	-19.4554	2.48138	55.3687	0	0	0	98.8603	0.949169	124	30	28.9298	2.20665	0	1.44394
4	1	1	0	105.946	37.5182	26.7585	-1.40391	50.5087	0	0	0	105.946	0.945821	147	30	34.9132	0.588836	0	1.62322
5	1	1	0	73.3216	30.8991	-30.4366	-0.925712	49.8055	0	0	0	73.3216	0.965054	126	22	34.4652	2.52717	0	1.6012
6	1	1	0	99.1421	36.7279	37.2547	-4.96016	44.4414	0	0	0	99.1421	0.923584	137	30	42.583	0.380997	0	1.70316
7	1	1	0	96.3559	36.359	-39.4874	-4.42375	44.7916	0	0	0	96.3559	0.915936	149	30	40.6542	2.72715	0	1.68236
8	1	1	0	85.3113	33.2865	46.5409	-9.61457	39.3054	0	0	0	85.3113	0.967564	147	30	50.0796	0.22514	0	1.77451
9	1	1	0	59.4067	27.7977	-47.81	-8.68418	40.3516	0	0	0	59.4067	0.966109	129	22	47.118	2.88165	0	1.75048
10	2	0	0	67.9953	29.5423	-1.68664	-4.5179	68.4613	0	0	0	67.9953	0.979036	129	22	16.2872	1.53467	0	0
11	2	0	0	68.995	29.6989	7.88197	-5.55855	66.2144	0	0	0	68.995	0.982984	142	22	18.3111	0.982813	0	0
12	2	0	0	79.9408	32.9592	-12.8795	-4.58809	64.4635	0	0	0	79.9408	0.924753	143	30	19.3676	2.15022	0	0
13	2	0	0	73.9867	31.9223	18.7591	-7.21936	58.9058	0	0	0	73.9867	0.91238	139	30	25.0342	0.573128	0	0
