# CellID	NodeIndex	X	Y	R	Theta
0	0	10.3819	3.29532	22.1495	1.10675
0	1	10.416	3.51613	22.3623	1.10981
0	2	10.4482	3.73755	22.575	1.1129
0	3	10.4817	3.95741	22.7872	1.11584
0	4	10.5114	4.17587	22.9966	1.11885
0	5	10.5422	4.39317	23.2056	1.12175
0	6	10.5747	4.61092	23.416	1.12454
0	7	10.6049	4.83075	23.6274	1.1274
0	8	10.6351	5.05219	23.8405	1.13024
0	9	10.6618	5.2744	24.053	1.13318
0	10	10.6889	5.49555	24.2649	1.13603
0	11	10.7167	5.71544	24.4761	1.13878
0	12	10.7424	5.93555	24.6868	1.14157
0	13	10.7679	6.1572	24.8991	1.14434
0	14	10.7929	6.38139	25.1136	1.14713
0	15	10.8164	6.60796	25.3299	1.14996
0	16	10.8362	6.83598	25.5462	1.1529
0	17	10.8542	7.06008	25.7585	1.15579
0	18	10.872	7.28115	25.9681	1.15859
0	19	10.8864	7.49615	26.1709	1.16138
0	20	10.8988	7.70624	26.3687	1.16412
0	21	10.9094	7.91181	26.5618	1.16682
0	22	10.9177	8.11264	26.7498	1.16948
0	23	10.9224	8.30711	26.9308	1.17214
0	24	10.913	8.49384	27.0993	1.17514
0	25	10.9258	8.67226	27.2689	1.17723
0	26	10.879	8.82666	27.3938	1.18097
0	27	10.7543	8.98659	27.4949	1.18737
0	28	10.6387	9.1743	27.6263	1.19379
0	29	10.478	9.37345	27.7532	1.20182
0	30	10.2587	9.60109	27.8879	1.2121
0	31	9.95455	9.87387	28.0391	1.22567
0	32	9.61946	10.1245	28.1645	1.23988
0	33	9.26253	10.3387	28.254	1.25429
0	34	8.89849	10.5205	28.3163	1.26851
0	35	8.52692	10.6805	28.3613	1.28269
0	36	8.14065	10.8185	28.3868	1.29712
0	37	7.74093	10.925	28.3844	1.31169
0	38	7.3394	10.9987	28.3556	1.32605
0	39	6.93791	11.0468	28.3079	1.34022
0	40	6.52997	11.0696	28.2396	1.35447
0	41	6.11637	11.0579	28.1423	1.36873
0	42	5.71031	11.0101	28.0167	1.38259
0	43	5.31714	10.9338	27.8706	1.39594
0	44	5.01026	10.8421	27.7285	1.40626
0	45	4.76277	10.7313	27.5795	1.41446
0	46	4.55703	10.5963	27.4147	1.4211
0	47	4.35156	10.4869	27.2766	1.42795
0	48	4.22237	10.3255	27.0987	1.43182
0	49	4.14873	10.0803	26.8457	1.43328
0	50	4.05804	9.83386	26.5891	1.43538
0	51	3.98553	9.58381	26.3316	1.43683
0	52	3.92125	9.33748	26.0789	1.43801
0	53	3.8597	9.09569	25.8311	1.43913
0	54	3.80061	8.85569	25.5855	1.44019
0	55	3.74247	8.61516	25.3394	1.44123
0	56	3.68547	8.37342	25.0924	1.44224
0	57	3.62956	8.13201	24.8458	1.44322
0	58	3.57547	7.89225	24.6011	1.44416
0	59	3.52181	7.65371	24.3577	1.44511
0	60	3.47011	7.41301	24.1124	1.44599
0	61	3.4178	7.17149	23.8663	1.4469
0	62	3.36931	6.92505	23.6158	1.44765
0	63	3.31941	6.68118	23.3676	1.44849
0	64	3.26862	6.43972	23.1218	1.4494
0	65	3.22372	6.19737	22.8758	1.45006
0	66	3.17391	5.95659	22.6308	1.45096
0	67	3.12147	5.71146	22.3811	1.45198
0	68	3.07116	5.46507	22.1305	1.45292
0	69	3.02288	5.21758	21.8791	1.45378
0	70	2.97554	4.97449	21.6321	1.45464
0	71	2.92945	4.73352	21.3874	1.45548
0	72	2.88485	4.49719	21.1476	1.45629
0	73	2.84075	4.26566	20.9125	1.45712
0	74	2.79897	4.03457	20.6782	1.45785
0	75	2.7604	3.80695	20.4477	1.45847
0	76	2.72659	3.58307	20.2214	1.45889
0	77	2.69447	3.36689	20.003	1.45928
0	78	2.66427	3.15672	19.7908	1.45962
0	79	2.63708	2.94964	19.582	1.45983
0	80	2.61364	2.74595	19.3769	1.45986
0	81	2.59495	2.54462	19.1748	1.45967
0	82	2.588	2.34364	18.9743	1.45886
0	83	2.60567	2.14128	18.7752	1.45672
0	84	2.65861	1.93564	18.5771	1.45263
0	85	2.75351	1.72675	18.3812	1.44616
0	86	2.87648	1.54	18.2118	1.43819
0	87	3.02094	1.36824	18.0614	1.429
0	88	3.17683	1.2061	17.9238	1.41911
0	89	3.33753	1.04899	17.7937	1.40885
0	90	3.49971	0.892584	17.6664	1.39836
0	91	3.66549	0.736071	17.5417	1.38752
0	92	3.83538	0.577106	17.4175	1.37627
0	93	4.01094	0.41661	17.2952	1.36451
0	94	4.19235	0.256459	17.1768	1.35227
0	95	4.37814	0.0984581	17.0642	1.33963
0	96	4.56641	-0.0573545	16.9571	1.32672
0	97	4.75331	-0.210993	16.8546	1.31375
0	98	4.94089	-0.363723	16.756	1.30061
0	99	5.13288	-0.513459	16.6645	1.28711
0	100	5.33124	-0.65413	16.5866	1.27325
0	101	5.53838	-0.775386	16.533	1.25912
0	102	5.75778	-0.87282	16.5093	1.24466
0	103	5.99376	-0.945215	16.5181	1.22973
0	104	6.21355	-0.983519	16.557	1.21644
0	105	6.41877	-0.996294	16.6174	1.20459
0	106	6.61811	-0.990687	16.6951	1.19356
0	107	6.81806	-0.972593	16.7865	1.18289
0	108	7.02062	-0.946282	16.8884	1.17237
0	109	7.22845	-0.914634	16.9991	1.16183
0	110	7.44303	-0.87706	17.1199	1.1512
0	111	7.663	-0.831662	17.2519	1.14063
0	112	7.88469	-0.777997	17.3941	1.13033
0	113	8.1073	-0.719606	17.5427	1.12027
0	114	8.32978	-0.657026	17.6968	1.11049
0	115	8.55107	-0.58932	17.8565	1.10107
0	116	8.77148	-0.516474	18.022	1.092
0	117	8.9896	-0.434389	18.196	1.08344
0	118	9.19838	-0.335099	18.382	1.07593
0	119	9.38819	-0.20499	18.587	1.07027
0	120	9.55706	-0.0349792	18.8173	1.06673
0	121	9.6906	0.153848	19.0471	1.06538
0	122	9.79218	0.359875	19.2766	1.06594
0	123	9.86624	0.581655	19.5066	1.06812
0	124	9.92388	0.812029	19.7363	1.07118
0	125	9.97556	1.04297	19.9639	1.07445
0	126	10.0254	1.27453	20.1914	1.07774
0	127	10.0747	1.5065	20.4191	1.08099
0	128	10.1217	1.73925	20.6468	1.08429
0	129	10.1647	1.97121	20.872	1.08767
0	130	10.2039	2.19967	21.0926	1.09105
0	131	10.2415	2.42302	21.3083	1.09432
0	132	10.2764	2.64229	21.5192	1.09756
0	133	10.3115	2.85925	21.7285	1.10067
0	134	10.3478	3.07625	21.9384	1.10367
1	0	2.5504	5.77471	22.3836	1.47765
1	1	2.59543	5.96715	22.5794	1.47646
1	2	2.63573	6.16498	22.7802	1.47552
1	3	2.67605	6.36451	22.9826	1.4746
1	4	2.71478	6.56452	23.1855	1.47376
1	5	2.75675	6.76318	23.3873	1.4728
1	6	2.80324	6.9592	23.5869	1.47165
1	7	2.84608	7.16335	23.7943	1.47071
1	8	2.88825	7.37122	24.0054	1.46982
1	9	2.93007	7.57942	24.2167	1.46897
1	10	2.96935	7.78618	24.4264	1.46823
1	11	3.01249	7.98928	24.6329	1.46734
1	12	3.0606	8.18845	24.836	1.46624
1	13	3.10567	8.39658	25.0477	1.46531
1	14	3.15147	8.61078	25.2655	1.4644
1	15	3.19766	8.82847	25.4869	1.46351
1	16	3.24321	9.04697	25.709	1.46266
1	17	3.28787	9.26428	25.9299	1.46185
1	18	3.33195	9.47976	26.1489	1.46107
1	19	3.37562	9.69387	26.3665	1.46031
1	20	3.41791	9.90734	26.5833	1.45962
1	21	3.45582	10.1204	26.7993	1.45909
1	22	3.48216	10.3325	27.013	1.459
1	23	3.4811	10.5416	27.2207	1.4599
1	24	3.52869	10.7306	27.4138	1.45893
1	25	3.50839	10.8957	27.5757	1.46033
1	26	3.4037	11.0813	27.7489	1.46482
1	27	3.31108	11.294	27.9507	1.46892
1	28	3.17069	11.5202	28.1621	1.4747
1	29	2.97092	11.7775	28.3998	1.48257
1	30	2.69161	12.0871	28.6853	1.49322
1	31	2.38644	12.3842	28.9597	1.50452
1	32	2.06637	12.6657	29.2212	1.51609
1	33	1.73493	12.9226	29.4617	1.5278
1	34	1.39084	13.1613	29.6875	1.53972
1	35	1.0274	13.3805	29.8976	1.5521
1	36	0.648017	13.5712	30.0836	1.56483
1	37	0.263036	13.735	30.2475	1.57759
1	38	-0.128152	13.8795	30.3972	1.59043
1	39	-0.531942	14.0053	30.5335	1.60357
1	40	-0.942276	14.1127	30.6571	1.61683
1	41	-1.35226	14.1931	30.7589	1.63003
1	42	-1.76203	14.2519	30.8445	1.64318
1	43	-2.17609	14.2873	30.9125	1.65645
1	44	-2.51993	14.3213	30.9776	1.66742
1	45	-2.81515	14.362	31.048	1.67676
1	46	-3.07706	14.3874	31.102	1.68504
1	47	-3.32638	14.3985	31.1425	1.69296
1	48	-3.58119	14.3858	31.1619	1.70112
1	49	-3.86299	14.3273	31.1419	1.71034
1	50	-4.26121	14.1349	31.0096	1.72392
1	51	-4.54339	13.9651	30.8863	1.73379
1	52	-4.70135	13.7001	30.6511	1.74027
1	53	-4.81047	13.415	30.3889	1.7454
1	54	-4.9	13.1268	30.121	1.74999
1	55	-4.97485	12.8483	29.8605	1.75411
1	56	-5.0344	12.5846	29.6123	1.75771
1	57	-5.06616	12.3247	29.3629	1.76042
1	58	-5.05855	12.0564	29.098	1.7619
1	59	-4.99908	11.7678	28.8033	1.76178
1	60	-4.81076	11.3813	28.3883	1.75785
1	61	-4.77672	11.1026	28.1082	1.7585
1	62	-4.78963	10.8574	27.8698	1.7606
1	63	-4.82636	10.6179	27.6416	1.76354
1	64	-4.8737	10.379	27.4164	1.76691
1	65	-4.92317	10.1401	27.1919	1.7704
1	66	-4.96493	9.9004	26.9654	1.77368
1	67	-5.01359	9.66335	26.7431	1.77725
1	68	-5.0714	9.4278	26.5246	1.7812
1	69	-5.13279	9.19146	26.3066	1.78536
1	70	-5.19171	8.95384	26.0872	1.78951
1	71	-5.24864	8.71815	25.8697	1.79363
1	72	-5.30469	8.48799	25.6578	1.79775
1	73	-5.35652	8.26395	25.4514	1.80171
1	74	-5.40794	8.04608	25.2512	1.80567
1	75	-5.45905	7.83245	25.0556	1.80964
1	76	-5.50618	7.61889	24.8594	1.81351
1	77	-5.55048	7.40704	24.6646	1.81732
1	78	-5.58889	7.19737	24.4708	1.82093
1	79	-5.61965	6.99136	24.279	1.82426
1	80	-5.64613	6.79237	24.0931	1.8274
1	81	-5.66835	6.60034	23.9131	1.83033
1	82	-5.68447	6.41385	23.7371	1.833
1	83	-5.68912	6.23109	23.5618	1.83521
1	84	-5.67571	6.04817	23.3818	1.8367
1	85	-5.64649	5.86199	23.1945	1.83759
1	86	-5.59782	5.66354	22.9902	1.83782
1	87	-5.53296	5.48355	22.7995	1.83716
1	88	-5.45629	5.31384	22.6156	1.83587
1	89	-5.36409	5.15243	22.4357	1.83379
1	90	-5.26566	4.99256	22.2558	1.83138
1	91	-5.15744	4.83567	22.0764	1.82848
1	92	-5.04494	4.6776	21.895	1.82535
1	93	-4.92486	4.5244	21.7167	1.82177
1	94	-4.80064	4.37378	21.5401	1.81792
1	95	-4.67066	4.22769	21.3668	1.8137
1	96	-4.53746	4.08504	21.1965	1.80922
1	97	-4.40121	3.94764	21.0311	1.80447
1	98	-4.25843	3.80692	20.8614	1.79937
1	99	-4.10985	3.66529	20.6901	1.79393
1	100	-3.95706	3.52491	20.5197	1.78818
1	101	-3.8011	3.388	20.3527	1.78215
1	102	-3.64315	3.2554	20.1904	1.77588
1	103	-3.48404	3.12686	20.0325	1.76941
1	104	-3.32022	2.99571	19.8721	1.76263
1	105	-3.15107	2.86215	19.7092	1.75549
1	106	-2.97575	2.72801	19.5457	1.74794
1	107	-2.79439	2.59601	19.3845	1.73993
1	108	-2.60843	2.46865	19.2283	1.73151
1	109	-2.41983	2.34704	19.0788	1.72277
1	110	-2.23075	2.23054	18.9358	1.71383
1	111	-2.04042	2.12112	18.8011	1.70464
1	112	-1.84623	2.02247	18.6783	1.69504
1	113	-1.64401	1.93714	18.5696	1.68481
1	114	-1.42735	1.86731	18.4767	1.67359
1	115	-1.22337	1.82437	18.4141	1.66281
1	116	-1.02508	1.80447	18.3771	1.65216
1	117	-0.831112	1.80289	18.3608	1.64164
1	118	-0.637043	1.81295	18.3581	1.63105
1	119	-0.443789	1.83088	18.3654	1.62049
1	120	-0.250188	1.85216	18.3781	1.60991
1	121	-0.055763	1.87628	18.3956	1.5993
1	122	0.1397	1.9005	18.4153	1.58865
1	123	0.337848	1.92525	18.4376	1.57788
1	124	0.539186	1.95227	18.4643	1.56697
1	125	0.741271	1.98242	18.4963	1.55605
1	126	0.94203	2.02076	18.5387	1.54525
1	127	1.13489	2.07685	18.6007	1.53496
1	128	1.31149	2.16031	18.6912	1.52568
1	129	1.47122	2.27675	18.8154	1.51748
1	130	1.61486	2.42728	18.9738	1.51034
1	131	1.72403	2.59713	19.1502	1.50519
1	132	1.80625	2.7846	19.3428	1.50158
1	133	1.87199	2.98158	19.5439	1.49892
1	134	1.93016	3.18207	19.7481	1.49671
1	135	1.98354	3.38399	19.9535	1.4948
1	136	2.03521	3.58616	20.159	1.493
1	137	2.08646	3.78823	20.3645	1.49126
1	138	2.13751	3.98966	20.5694	1.48957
1	139	2.1882	4.19166	20.7748	1.48792
1	140	2.23645	4.3952	20.9817	1.48643
1	141	2.28318	4.59762	21.1873	1.48504
1	142	2.32644	4.79754	21.3903	1.48383
1	143	2.37152	4.99315	21.5891	1.48253
1	144	2.42034	5.18399	21.7835	1.48107
1	145	2.46524	5.37974	21.9825	1.47984
1	146	2.50732	5.57783	22.1836	1.47876
2	0	19.5177	1.094	25.9391	0.746042
2	1	19.5762	1.29076	26.1158	0.750057
2	2	19.6364	1.48893	26.2952	0.754008
2	3	19.695	1.69028	26.4759	0.758038
2	4	19.7537	1.89413	26.659	0.762076
2	5	19.812	2.09958	26.8432	0.766112
2	6	19.8701	2.3048	27.0276	0.770095
2	7	19.9247	2.50907	27.2092	0.774086
2	8	19.9792	2.71076	27.3893	0.777962
2	9	20.0368	2.9092	27.5699	0.781621
2	10	20.0961	3.10574	27.7505	0.785144
2	11	20.147	3.30386	27.9268	0.788872
2	12	20.2046	3.50638	28.1113	0.792496
2	13	20.2667	3.71327	28.3024	0.796065
2	14	20.3238	3.92572	28.4943	0.799849
2	15	20.3831	4.13996	28.6895	0.80357
2	16	20.4483	4.35424	28.8892	0.807093
2	17	20.5215	4.5688	29.095	0.810377
2	18	20.6031	4.7852	29.3082	0.813448
2	19	20.6899	5.00598	29.5283	0.81645
2	20	20.7708	5.23484	29.7506	0.819737
2	21	20.8363	5.47036	29.9677	0.823502
2	22	20.925	5.69261	30.1911	0.82635
2	23	20.9226	5.88137	30.3286	0.830625
2	24	20.8372	6.07233	30.4127	0.836932
2	25	20.7722	6.28515	30.5278	0.843183
2	26	20.6622	6.50285	30.618	0.850595
2	27	20.4992	6.73686	30.6877	0.859616
2	28	20.2697	7.00328	30.7416	0.87093
2	29	19.9874	7.29158	30.783	0.883976
2	30	19.6924	7.57206	30.8155	0.897152
2	31	19.3769	7.8336	30.8258	0.910443
2	32	19.0493	8.07002	30.8142	0.923547
2	33	18.7148	8.28692	30.7881	0.936464
2	34	18.3698	8.48884	30.7489	0.949391
2	35	18.0099	8.67201	30.6909	0.9624
2	36	17.6394	8.82963	30.611	0.975277
2	37	17.2665	8.96387	30.5153	0.987862
2	38	16.8916	9.0819	30.4099	1.00029
2	39	16.5096	9.18636	30.2939	1.01276
2	40	16.1213	9.27686	30.1673	1.02527
2	41	15.7288	9.34033	30.0202	1.03755
2	42	15.3394	9.37924	29.8579	1.04944
2	43	14.9518	9.39976	29.6847	1.06111
2	44	14.5612	9.40149	29.4976	1.07269
2	45	14.1685	9.37914	29.2922	1.08411
2	46	13.7808	9.33203	29.071	1.09514
2	47	13.4011	9.26595	28.84	1.10579
2	48	13.0264	9.18394	28.6003	1.11622
2	49	12.6562	9.08166	28.3473	1.12637
2	50	12.3698	8.97144	28.1254	1.13388
2	51	12.148	8.84816	27.9203	1.13921
2	52	11.9755	8.70915	27.722	1.14276
2	53	11.8438	8.55191	27.5243	1.14474
2	54	11.6986	8.42352	27.3476	1.14764
2	55	11.6172	8.25451	27.16	1.14781
2	56	11.5972	8.00915	26.9282	1.14475
2	57	11.5469	7.76748	26.6874	1.14272
2	58	11.5166	7.52547	26.4547	1.13997
2	59	11.4861	7.28744	26.2258	1.13724
2	60	11.4631	7.05201	26.0026	1.13424
2	61	11.4362	6.82027	25.7814	1.13138
2	62	11.4064	6.59302	25.5631	1.12865
2	63	11.3813	6.37134	25.3521	1.12581
2	64	11.3522	6.15775	25.1469	1.12319
2	65	11.322	5.94314	24.9404	1.12056
2	66	11.2961	5.72659	24.7343	1.1177
2	67	11.2671	5.50849	24.5256	1.11487
2	68	11.2353	5.28858	24.3143	1.11206
2	69	11.2083	5.06677	24.1035	1.10899
2	70	11.18	4.84534	23.8928	1.10592
2	71	11.1503	4.6255	23.6831	1.10288
2	72	11.1248	4.40688	23.4766	1.09965
2	73	11.0956	4.18965	23.2699	1.09653
2	74	11.0629	3.97234	23.0618	1.09349
2	75	11.0317	3.75354	22.8532	1.0903
2	76	11.0007	3.53378	22.6441	1.08703
2	77	10.9706	3.31439	22.436	1.08367
2	78	10.9409	3.09726	22.2304	1.08028
2	79	10.914	2.88318	22.029	1.07678
2	80	10.8864	2.67248	21.8305	1.07331
2	81	10.8579	2.46428	21.6341	1.06988
2	82	10.8314	2.25731	21.4399	1.06633
2	83	10.8051	2.05125	21.247	1.06272
2	84	10.7795	1.84627	21.0556	1.05905
2	85	10.7549	1.64342	20.8668	1.05532
2	86	10.7321	1.44409	20.6823	1.05152
2	87	10.711	1.24951	20.503	1.04771
2	88	10.6907	1.06031	20.3291	1.04392
2	89	10.6711	0.876283	20.1604	1.04017
2	90	10.6526	0.696729	19.9963	1.03642
