# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	100.127	36.5995	10.5052	6.69597	61.0744	0	0	0	100.127	0.939312	138	30	23.0789	1.16391	0	0.567463
1	1	1	0	110.043	38.7147	0.338511	11.2911	57.4415	0	0	0	110.043	0.922615	147	30	25.8105	1.61084	0	1.54083
2	1	1	0	104.244	37.1432	19.9246	1.92869	60.2838	0	0	0	104.244	0.949521	156	30	24.7804	0.72471	0	0.0964951
3	1	1	0	129.159	42.6206	-10.254	16.0098	50.8133	0	0	0	129.159	0.893498	160	30	32.6485	1.93488	0	2.14046
4	1	1	0	96.9858	35.8404	29.6148	-2.70538	55.2226	0	0	0	96.9858	0.948797	142	30	30.6064	0.395556	0	0.0911008
5	1	0	0	93.7353	36.1568	-21.1384	19.672	44.1092	0	0	0	93.7353	0.901018	151	30	40.9188	2.1533	1	2.39211
6	1	1	0	100.752	37.3033	39.2137	-6.54014	48.5661	0	0	0	100.752	0.909846	153	30	38.6698	0.207289	0	0.165262
7	1	0	0	74.4419	31.9313	-30.9565	20.7963	39.2594	0	0	0	74.4419	0.917474	127	22	47.8629	2.31235	1	2.55005
8	1	1	0	63.7481	28.7246	47.2625	-11.4642	43.2237	0	0	0	63.7481	0.970889	130	22	45.991	0.0660279	0	0.237969
9	1	0	0	70.7887	30.2672	-39.5948	21.6111	35.1472	0	0	0	70.7887	0.971023	138	30	54.6094	2.41912	1	2.64197
10	2	0	0	66.4734	29.3299	2.79387	0.712774	68.046	0	0	0	66.4734	0.971037	110	22	15.2778	1.47758	0	0
11	2	0	0	55.8457	27.0746	12.0868	-3.45582	69.7163	0	0	0	55.8457	0.957362	87	22	15.3869	0.800466	0	0
12	2	0	0	88.4666	34.4594	-7.57134	4.73843	60.5134	0	0	0	88.4666	0.936212	154	30	21.2143	2.00596	0	0
13	2	0	0	59.5024	27.8853	21.3015	-7.84552	64.2279	0	0	0	59.5024	0.961602	104	22	21.0109	0.322199	0	0
14	2	0	0	83.6582	33.3466	-17.9349	7.90616	52.337	0	0	0	83.6582	0.945399	141	22	29.5757	2.28205	0	0
15	2	0	0	76.3262	32.8645	31.7649	-12.5183	55.0136	0	0	0	76.3262	0.888032	149	30	30.4576	0.0650687	0	0
16	2	0	0	93.7409	35.3746	-26.8103	10.478	45.8076	0	0	0	93.7409	0.941362	133	22	37.6571	2.41642	0	0
