# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	87.4158	34.4069	7.51207	11.5177	61.0485	0	0	0	87.4158	0.927918	115	30	24.0652	1.2921	0	0.992866
1	1	1	0	105.078	37.9939	-1.81427	14.0359	58.5043	0	0	0	105.078	0.914727	149	30	25.7971	1.67588	0	1.69934
2	1	1	0	76.4937	31.4984	16.267	8.5256	60.1459	0	0	0	76.4937	0.968855	131	22	25.3417	0.918865	0	0.482744
3	1	1	0	79.5809	32.8196	-11.3461	16.7759	53.095	0	0	0	79.5809	0.928436	130	22	30.9196	1.97772	0	2.16546
4	1	1	0	101.594	36.8955	26.993	5.04548	54.8597	0	0	0	101.594	0.937849	134	30	30.9675	0.56821	0	0.184783
5	1	0	0	70.557	31.2798	-19.8405	20.3408	46.9944	0	0	0	70.557	0.906196	127	22	38.0952	2.14625	1	2.34374
6	1	1	0	108.095	38.6154	37.7171	-0.142051	48.3311	0	0	0	108.095	0.910948	147	30	38.5724	0.302115	0	0.00376837
7	1	0	0	72.6824	31.3453	-29.8543	22.1013	41.3618	0	0	0	72.6824	0.929594	126	22	45.6329	2.31009	1	2.50432
8	1	1	0	87.1605	33.598	46.895	-6.22261	42.4999	0	0	0	87.1605	0.970292	144	30	46.3188	0.116768	0	0.131922
9	1	0	0	74.6365	31.0409	-39.0446	22.0605	36.909	0	0	0	74.6365	0.973401	134	30	52.2418	2.44098	1	2.6273
10	2	0	0	61.6785	28.6964	0.717491	2.70241	70.2974	0	0	0	61.6785	0.941212	105	22	14.3223	1.58295	0	0
11	2	0	0	78.7503	32.0332	9.49292	1.10061	70.4173	0	0	0	78.7503	0.964409	148	30	15.3548	0.976201	0	0
12	2	0	0	81.1824	32.7479	-7.82834	5.58672	63.5108	0	0	0	81.1824	0.95127	136	30	19.2891	2.03988	0	0
13	2	0	0	74.8323	31.5022	19.7066	-0.842484	63.4118	0	0	0	74.8323	0.947583	151	30	21.6826	0.520145	0	0
14	2	0	0	75.93	31.7339	-17.0795	9.98866	54.6781	0	0	0	75.93	0.947494	156	30	28.1042	2.26457	0	0
15	2	0	0	76.3755	32.6575	30.413	-5.23684	54.9426	0	0	0	76.3755	0.899906	140	30	30.2033	0.212907	0	0
16	2	0	0	85.4182	33.74	-26.3147	12.8578	47.4895	0	0	0	85.4182	0.942912	150	30	36.5964	2.40896	0	0
17	2	1	0	62.3399	28.7227	40.1785	-10.9869	47.2402	0	0	0	62.3399	0.949566	141	22	39.292	0.0160861	0	0
18	2	1	0	95.3069	35.4262	-35.9424	12.8267	41.6523	0	0	0	95.3069	0.954302	146	30	44.2078	2.55567	0	0
19	3	0	0	64.132	28.7319	4.33354	-7.21828	82.1215	89.9093	0	0	64.132	0.976239	113	20	5.5868	0.907033	0	0
20	3	0	0	64.3661	28.9473	-4.54052	-4.93762	73.867	83.9457	0	0	64.3661	0.965276	99	22	8.61087	2.25344	0	0
21	3	0	0	76.6408	31.3779	13.5383	-8.3595	71.9199	85.7543	0	0	76.6408	0.978187	141	22	13.06	0.252236	0	0
22	3	0	0	74.541	32.0056	-13.4462	-1.67644	63.8186	73.8746	0	0	74.541	0.914435	112	22	17.4477	2.53528	0	0
23	3	0	0	71.6788	30.7856	22.8395	-10.7017	62.0681	77.3284	0	0	71.6788	0.950397	115	22	21.9671	0.0417668	0	0
24	3	0	0	95.8398	37.165	-22.2746	0.768126	55.2206	64.5976	0	0	95.8398	0.871942	153	30	26.27	2.65057	0	0
25	3	1	0	80.698	32.5821	32.0498	-14.4214	53.3006	68.0937	0	0	80.698	0.955246	155	30	31.284	-0.089704	0	0
26	3	1	0	94.7365	35.5345	-31.0717	2.2635	47.875	56.4437	0	0	94.7365	0.942815	148	30	34.8478	2.73185	0	0
27	4	0	0	74.6577	31.1374	-0.916772	-15.526	74.701	100.19	0	0	74.6577	0.967653	115	22	4.30531	-2.00428	0	0
