# CellID	NodeIndex	X	Y	R	Theta
0	0	17.1851	7.60579	26.3725	0.932443
0	1	17.2006	7.81519	26.5501	0.936672
0	2	17.2139	8.02423	26.7267	0.940906
0	3	17.2253	8.23191	26.9014	0.945112
0	4	17.2351	8.44273	27.0783	0.949378
0	5	17.2432	8.65567	27.2564	0.953685
0	6	17.2493	8.86923	27.4343	0.958009
0	7	17.2529	9.08127	27.6102	0.962317
0	8	17.2543	9.28942	27.782	0.96656
0	9	17.2539	9.49682	27.9527	0.970786
0	10	17.2524	9.70172	28.1212	0.974945
0	11	17.2496	9.90295	28.2864	0.97902
0	12	17.2431	10.0994	28.4461	0.983061
0	13	17.2266	10.2936	28.5988	0.987306
0	14	17.1872	10.4792	28.7323	0.992011
0	15	17.1776	10.6601	28.8786	0.995715
0	16	17.0985	10.7973	28.9511	1.00059
0	17	16.9094	10.9269	28.959	1.0085
0	18	16.69	11.1248	29.0109	1.01853
0	19	16.3222	11.4278	29.0798	1.03477
0	20	16.0385	11.6165	29.0991	1.04646
0	21	15.7667	11.77	29.0976	1.05719
0	22	15.4868	11.9115	29.085	1.06796
0	23	15.1763	12.0582	29.066	1.07976
0	24	14.8066	12.2244	29.0409	1.09368
0	25	14.3448	12.4192	29.0063	1.11091
0	26	13.8794	12.5957	28.9621	1.12801
0	27	13.4104	12.7579	28.9119	1.14508
0	28	12.9304	12.9035	28.8506	1.16231
0	29	12.4424	13.0228	28.7705	1.17953
0	30	11.9565	13.1198	28.6789	1.19648
0	31	11.4701	13.2028	28.5824	1.21338
0	32	10.9765	13.2693	28.4762	1.23044
0	33	10.4798	13.3117	28.3545	1.24745
0	34	9.98739	13.3346	28.2238	1.26425
0	35	9.4958	13.3436	28.0879	1.28103
0	36	9.09994	13.3366	27.9706	1.29453
0	37	8.76999	13.3051	27.852	1.30562
0	38	8.48953	13.2282	27.7054	1.31466
0	39	8.33497	13.1037	27.5462	1.31894
0	40	8.2466	12.9269	27.3529	1.32046
0	41	8.13392	12.7584	27.1618	1.32294
0	42	8.0388	12.5735	26.9593	1.32468
0	43	7.95138	12.3789	26.7493	1.32608
0	44	7.86905	12.1796	26.536	1.32727
0	45	7.78846	11.976	26.3189	1.32837
0	46	7.70744	11.767	26.0966	1.32946
0	47	7.62701	11.5562	25.8727	1.33053
0	48	7.54503	11.3415	25.6447	1.33165
0	49	7.46286	11.1262	25.4161	1.33278
0	50	7.38289	10.9097	25.1869	1.33384
0	51	7.30401	10.6931	24.9578	1.33488
0	52	7.23231	10.4751	24.7291	1.33563
0	53	7.15687	10.2589	24.5013	1.33657
0	54	7.07685	10.0424	24.2722	1.33771
0	55	7.00548	9.81875	24.0381	1.33845
0	56	6.93176	9.59621	23.8045	1.33931
0	57	6.85639	9.37198	23.569	1.34024
0	58	6.78512	9.14822	23.3349	1.34102
0	59	6.71521	8.92678	23.1033	1.34179
0	60	6.64897	8.70751	22.8748	1.34243
0	61	6.58573	8.49051	22.6491	1.34298
0	62	6.52373	8.27559	22.4257	1.34351
0	63	6.4619	8.05976	22.2015	1.34403
0	64	6.40201	7.84283	21.9767	1.34447
0	65	6.35035	7.62427	21.7521	1.34453
0	66	6.31788	7.40393	21.5301	1.3437
0	67	6.32035	7.18706	21.3194	1.3413
0	68	6.36305	6.96548	21.1136	1.33694
0	69	6.44422	6.73919	20.9126	1.33066
0	70	6.57097	6.50062	20.7119	1.32197
0	71	6.7253	6.28155	20.5385	1.31206
0	72	6.90594	6.07601	20.3873	1.30092
0	73	7.10424	5.87906	20.2518	1.28889
0	74	7.3083	5.68724	20.1259	1.2765
0	75	7.51552	5.49671	20.0053	1.26382
0	76	7.72501	5.30684	19.8893	1.2509
0	77	7.93741	5.11928	19.7797	1.23772
0	78	8.15201	4.93566	19.6781	1.22436
0	79	8.36868	4.76015	19.5884	1.21092
0	80	8.58999	4.59821	19.5165	1.19738
0	81	8.8222	4.45566	19.4704	1.18361
0	82	9.07372	4.33405	19.4547	1.16927
0	83	9.33476	4.24111	19.4732	1.15507
0	84	9.59618	4.17706	19.5219	1.14149
0	85	9.8606	4.13795	19.5981	1.12839
0	86	10.1306	4.11921	19.6984	1.1156
0	87	10.4034	4.11492	19.816	1.10314
0	88	10.6759	4.11907	19.944	1.09103
0	89	10.9464	4.12627	20.0766	1.07925
0	90	11.2146	4.1334	20.2109	1.06772
0	91	11.4823	4.14266	20.3494	1.05641
0	92	11.7502	4.15463	20.4928	1.04532
0	93	12.0177	4.16999	20.6415	1.03448
0	94	12.2828	4.18903	20.7945	1.02399
0	95	12.5427	4.21047	20.949	1.01392
0	96	12.796	4.23251	21.1026	1.00429
0	97	13.0426	4.25396	21.2539	0.995036
0	98	13.283	4.2752	21.4035	0.986157
0	99	13.5271	4.30063	21.5602	0.977365
0	100	13.7736	4.33044	21.7236	0.968726
0	101	14.0203	4.36452	21.8922	0.960319
0	102	14.2648	4.40316	22.0647	0.952244
0	103	14.5056	4.44597	22.2399	0.94454
0	104	14.7427	4.49233	22.417	0.937182
0	105	14.9765	4.54063	22.595	0.930107
0	106	15.2095	4.59471	22.7781	0.923327
0	107	15.443	4.66149	22.9727	0.916972
0	108	15.6781	4.7492	23.1856	0.911226
0	109	15.9211	4.86365	23.4253	0.906022
0	110	16.2004	5.01907	23.7203	0.900795
0	111	16.5498	5.24791	24.117	0.89533
0	112	16.7227	5.43499	24.3711	0.894595
0	113	16.8322	5.62277	24.5861	0.895902
0	114	16.9058	5.81097	24.7791	0.898328
0	115	16.9582	6.0015	24.9609	0.901442
0	116	16.998	6.19403	25.1367	0.904952
0	117	17.031	6.38808	25.3099	0.90866
0	118	17.062	6.58494	25.4844	0.912452
0	119	17.0924	6.78414	25.6607	0.916264
0	120	17.1204	6.98684	25.8388	0.920179
0	121	17.1453	7.19192	26.0173	0.924192
0	122	17.1667	7.39742	26.1944	0.928266
1	0	6.53544	10.1031	24.2122	1.36005
1	1	6.6048	10.3058	24.4249	1.35901
1	2	6.67622	10.5077	24.6373	1.35789
1	3	6.75107	10.7079	24.8488	1.35665
1	4	6.81828	10.9099	25.0605	1.35574
1	5	6.88494	11.11	25.2703	1.35486
1	6	6.9404	11.3098	25.4773	1.35441
1	7	7.00401	11.5124	25.6889	1.35369
1	8	7.07514	11.7171	25.904	1.35271
1	9	7.13592	11.9275	26.1226	1.35218
1	10	7.20043	12.1371	26.3413	1.35151
1	11	7.26842	12.3454	26.5594	1.35072
1	12	7.32335	12.5566	26.7775	1.35044
1	13	7.38271	12.7668	26.9955	1.35
1	14	7.41805	12.9796	27.2109	1.35044
1	15	7.47788	13.1782	27.4178	1.3499
1	16	7.45509	13.3551	27.5855	1.35211
1	17	7.33516	13.5497	27.7499	1.35785
1	18	7.22876	13.7766	27.9496	1.36328
1	19	7.06656	14.0118	28.1471	1.37065
1	20	6.8336	14.2664	28.3517	1.38048
1	21	6.51152	14.555	28.5766	1.39346
1	22	6.17847	14.8259	28.7869	1.40651
1	23	5.83853	15.0866	28.991	1.41955
1	24	5.49188	15.3411	29.1928	1.4326
1	25	5.13253	15.5814	29.3839	1.44584
1	26	4.76574	15.8036	29.5613	1.45909
1	27	4.39507	16.0121	29.7297	1.47226
1	28	4.01841	16.21	29.8922	1.48545
1	29	3.6344	16.3968	30.0482	1.49872
1	30	3.24504	16.5694	30.1949	1.51199
1	31	2.85287	16.7302	30.3351	1.52521
1	32	2.45584	16.8812	30.4705	1.53845
1	33	2.05138	17.0189	30.5978	1.55181
1	34	1.6423	17.1394	30.7132	1.5652
1	35	1.23236	17.2458	30.8201	1.57852
1	36	0.819842	17.3416	30.9218	1.59184
1	37	0.40116	17.4238	31.0156	1.60528
1	38	-0.0218996	17.4864	31.0956	1.61881
1	39	-0.443772	17.5312	31.1634	1.63226
1	40	-0.864321	17.566	31.2268	1.64563
1	41	-1.28611	17.5935	31.2885	1.65901
1	42	-1.70896	17.6122	31.3472	1.6724
1	43	-2.05005	17.6239	31.3953	1.68317
1	44	-2.33738	17.6302	31.4351	1.69223
1	45	-2.59622	17.6305	31.4677	1.70039
1	46	-2.84875	17.6205	31.4915	1.70838
1	47	-3.11595	17.5918	31.5009	1.71691
1	48	-3.43304	17.5207	31.4783	1.72721
1	49	-3.82798	17.4554	31.4779	1.73992
1	50	-4.0371	17.3267	31.387	1.74718
1	51	-4.19643	17.1355	31.2274	1.75328
1	52	-4.31729	16.9216	31.0393	1.75836
1	53	-4.41638	16.6968	30.8373	1.76287
1	54	-4.50338	16.4679	30.6295	1.76709
1	55	-4.58405	16.2383	30.4203	1.77116
1	56	-4.66167	16.0092	30.2114	1.77519
1	57	-4.7377	15.7807	30.0034	1.77922
1	58	-4.81322	15.5493	29.7929	1.7833
1	59	-4.88716	15.3154	29.5801	1.78741
1	60	-4.95817	15.08	29.3657	1.7915
1	61	-5.02533	14.8447	29.151	1.79551
1	62	-5.0884	14.6106	28.9371	1.79944
1	63	-5.14834	14.3754	28.7218	1.80333
1	64	-5.20313	14.1385	28.5041	1.80712
1	65	-5.24893	13.8989	28.282	1.81067
1	66	-5.28137	13.6535	28.0516	1.81388
1	67	-5.29307	13.3978	27.8063	1.8165
1	68	-5.26203	13.1202	27.5295	1.81786
1	69	-5.12398	12.7159	27.1037	1.81657
1	70	-5.11308	12.4526	26.8458	1.81856
1	71	-5.141	12.2298	26.6368	1.82162
1	72	-5.15151	12.0236	26.4397	1.82395
1	73	-5.16188	11.8271	26.2521	1.8262
1	74	-5.16728	11.6337	26.0663	1.82828
1	75	-5.1697	11.4399	25.8797	1.83028
1	76	-5.16851	11.2439	25.6899	1.83219
1	77	-5.16145	11.0442	25.4952	1.83394
1	78	-5.14995	10.8471	25.3019	1.83553
1	79	-5.13393	10.6544	25.1118	1.83692
1	80	-5.1148	10.4638	24.9229	1.8382
1	81	-5.09088	10.2746	24.7341	1.83928
1	82	-5.06409	10.0881	24.5472	1.84025
1	83	-5.02866	9.90297	24.3593	1.84087
1	84	-4.98165	9.71676	24.1673	1.84105
1	85	-4.91529	9.52743	23.9672	1.84049
1	86	-4.82781	9.33316	23.7566	1.83912
1	87	-4.7284	9.15933	23.5627	1.83701
1	88	-4.62144	9.00301	23.3838	1.83435
1	89	-4.50651	8.86004	23.216	1.83118
1	90	-4.38736	8.71942	23.0496	1.82775
1	91	-4.26093	8.58302	22.8857	1.82392
1	92	-4.13072	8.44655	22.7211	1.81988
1	93	-3.99377	8.31214	22.5573	1.81547
1	94	-3.85223	8.17772	22.3929	1.81079
1	95	-3.70484	8.04573	22.2299	1.80576
1	96	-3.55348	7.91648	22.0693	1.80045
1	97	-3.39935	7.79173	21.9131	1.7949
1	98	-3.23991	7.66485	21.7543	1.78905
1	99	-3.07657	7.5368	21.5943	1.78295
1	100	-2.91019	7.40848	21.4343	1.77662
1	101	-2.74088	7.28097	21.2753	1.77006
1	102	-2.56862	7.15522	21.1184	1.76324
1	103	-2.39365	7.03174	20.9643	1.75617
1	104	-2.21423	6.90681	20.809	1.7488
1	105	-2.0308	6.78193	20.6542	1.74114
1	106	-1.84383	6.65969	20.5027	1.73316
1	107	-1.65395	6.54264	20.3572	1.72488
1	108	-1.46155	6.43287	20.22	1.71631
1	109	-1.2667	6.33238	20.0931	1.70744
1	110	-1.06704	6.24521	19.9804	1.69814
1	111	-0.85861	6.17696	19.8872	1.68818
1	112	-0.632551	6.13013	19.8154	1.67712
1	113	-0.381842	6.10463	19.765	1.66465
1	114	-0.139938	6.09984	19.739	1.65247
1	115	0.101043	6.11747	19.7384	1.64023
1	116	0.343374	6.15025	19.7558	1.62788
1	117	0.586566	6.18896	19.7821	1.61549
1	118	0.830053	6.23004	19.8138	1.60312
1	119	1.07397	6.27159	19.8489	1.59077
1	120	1.31903	6.31521	19.8892	1.57841
1	121	1.5685	6.35683	19.9305	1.56588
1	122	1.82368	6.3965	19.973	1.55311
1	123	2.08355	6.44087	20.0236	1.54017
1	124	2.34718	6.48302	20.0756	1.52711
1	125	2.61496	6.52043	20.1264	1.5139
1	126	2.8847	6.56454	20.1875	1.50068
1	127	3.15938	6.60785	20.2518	1.4873
1	128	3.44048	6.65159	20.3207	1.4737
1	129	3.72684	6.70088	20.3994	1.45996
1	130	4.01062	6.75836	20.4898	1.4465
1	131	4.28729	6.82813	20.5951	1.43359
1	132	4.54025	6.92225	20.7243	1.42212
1	133	4.77957	7.03369	20.8711	1.41157
1	134	5.00979	7.16388	21.0371	1.40175
1	135	5.19503	7.30049	21.2036	1.39422
1	136	5.32972	7.44487	21.3696	1.3892
1	137	5.43038	7.60036	21.5409	1.38591
1	138	5.53042	7.7509	21.7073	1.38265
1	139	5.62165	7.90777	21.8786	1.3799
1	140	5.70845	8.07104	22.0554	1.37744
1	141	5.79334	8.24101	22.2386	1.37516
1	142	5.87703	8.41801	22.4285	1.37304
1	143	5.95711	8.59861	22.6214	1.37113
1	144	6.03371	8.78158	22.816	1.36943
1	145	6.10774	8.96509	23.0106	1.36788
1	146	6.17909	9.14762	23.2038	1.36645
1	147	6.24889	9.32704	23.3936	1.36509
1	148	6.32076	9.51303	23.5904	1.36371
1	149	6.39179	9.70563	23.7935	1.36246
1	150	6.46288	9.90305	24.0014	1.36126
2	0	25.8827	4.498	30.3732	0.637238
2	1	26.0006	4.73925	30.6118	0.64128
2	2	26.121	4.98584	30.8561	0.645349
2	3	26.2432	5.23935	31.1064	0.649498
2	4	26.3617	5.50044	31.359	0.653843
2	5	26.4631	5.7689	31.6031	0.658634
2	6	26.5143	6.03741	31.8085	0.664324
2	7	26.4763	6.31093	31.9481	0.671798
2	8	26.3372	6.61332	32.029	0.681891
2	9	26.1343	6.92745	32.0717	0.693482
2	10	25.8621	7.28112	32.0915	0.70738
2	11	25.5349	7.66661	32.0973	0.723134
2	12	25.1805	8.03824	32.0816	0.739129
2	13	24.8068	8.38259	32.0414	0.754931
2	14	24.4252	8.70709	31.9897	0.770493
2	15	24.0326	9.01983	31.9297	0.786085
2	16	23.626	9.3168	31.8564	0.801705
2	17	23.2111	9.59559	31.772	0.817191
2	18	22.7863	9.86068	31.6784	0.832695
2	19	22.3438	10.1075	31.5671	0.848327
2	20	21.8905	10.3262	31.4352	0.863746
2	21	21.4347	10.5242	31.2932	0.878931
2	22	20.9705	10.7071	31.1415	0.894158
2	23	20.4941	10.8677	30.972	0.909399
2	24	20.0152	11.0028	30.788	0.924368
2	25	19.5351	11.1195	30.5953	0.939191
2	26	19.0472	11.2116	30.3849	0.953943
2	27	18.6429	11.2968	30.2228	0.966484
2	28	18.2937	11.3737	30.0895	0.977486
2	29	17.972	11.4396	29.9659	0.987619
2	30	17.6581	11.4969	29.8422	0.997454
2	31	17.3414	11.5306	29.7001	1.00703
2	32	17.0143	11.5148	29.5132	1.01611
2	33	16.6811	11.4027	29.2433	1.02378
2	34	16.3775	11.0794	28.8094	1.02694
2	35	16.2665	10.7865	28.5014	1.02496
2	36	16.2156	10.5079	28.237	1.02138
2	37	16.1893	10.2337	27.9897	1.01706
2	38	16.1669	9.95529	27.7414	1.01247
2	39	16.1464	9.67896	27.4965	1.00778
2	40	16.1374	9.40306	27.2587	1.00266
2	41	16.1221	9.12793	27.0189	0.997654
2	42	16.1009	8.85058	26.7747	0.992702
2	43	16.0904	8.57279	26.5367	0.987313
2	44	16.0905	8.29697	26.307	0.981534
2	45	16.0843	8.02521	26.0781	0.975939
2	46	16.0706	7.75333	25.8456	0.970484
2	47	16.0674	7.48003	25.6187	0.964561
2	48	16.0653	7.20626	25.393	0.958486
2	49	16.065	6.93106	25.1681	0.952209
2	50	16.0651	6.65946	24.9474	0.945892
2	51	16.0675	6.39116	24.7317	0.93947
2	52	16.0748	6.12469	24.5215	0.932813
2	53	16.0955	5.85845	24.3206	0.92561
2	54	16.1471	5.58373	24.1329	0.917058
2	55	16.2606	5.26489	23.9506	0.905197
2	56	16.4522	4.85597	23.7507	0.88822
2	57	16.5563	4.58864	23.6102	0.877656
2	58	16.6709	4.36736	23.5143	0.867895
2	59	16.7997	4.16364	23.4433	0.858086
2	60	16.9463	3.97475	23.3974	0.848065
2	61	17.1125	3.79534	23.3741	0.837657
2	62	17.2921	3.62145	23.3664	0.826964
2	63	17.48	3.45014	23.369	0.816082
2	64	17.6753	3.28225	23.3818	0.80508
2	65	17.8745	3.11911	23.4037	0.794112
2	66	18.0736	2.96171	23.4323	0.783343
2	67	18.269	2.80984	23.4649	0.772881
2	68	18.4592	2.66274	23.4996	0.762749
2	69	18.6494	2.51793	23.5382	0.752719
2	70	18.8446	2.37561	23.5846	0.742656
