# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	79.6736	32.6106	11.0524	8.02564	61.2057	0	0	0	79.6736	0.94147	123	22	23.9467	1.14959	0	0.628041
1	1	1	0	108.486	38.1408	0.127995	10.7758	58.756	0	0	0	108.486	0.937138	151	30	24.63	1.61684	0	1.55893
2	1	1	0	75.0836	32.0276	19.5913	6.03593	58.9257	0	0	0	75.0836	0.919825	103	22	27.0288	0.825549	0	0.298863
3	1	0	0	93.0396	35.7415	-8.95172	14.3419	53.1478	0	0	0	93.0396	0.915235	134	30	29.9643	1.91862	1	2.1288
4	1	1	0	76.3014	31.9276	29.9572	0.847923	54.3879	0	0	0	76.3014	0.940608	113	22	32.2308	0.472756	0	0.0282949
5	1	0	0	70.7806	30.7587	-18.9813	17.3949	47.0686	0	0	0	70.7806	0.940133	119	22	37.2109	2.146	1	2.39978
6	1	1	0	71.534	30.9387	39.4649	-3.99627	48.4934	0	0	0	71.534	0.939112	104	22	39.4482	0.251889	0	0.100917
7	1	0	0	77.9991	32.3223	-29.1458	18.055	41.8703	0	0	0	77.9991	0.938197	126	22	44.0584	2.33251	1	2.58698
8	1	1	0	58.8923	27.7411	48.0651	-9.78145	42.7185	0	0	0	58.8923	0.961658	121	22	46.9781	0.0862462	0	0.200764
9	1	0	0	48.9206	25.1073	-38.3866	18.1472	37.244	0	0	0	48.9206	0.975217	115	22	50.9353	2.46291	1	2.69998
10	2	0	0	73.5365	31.1159	2.38117	0.775046	69.1306	0	0	0	73.5365	0.954438	134	28	14.646	1.49428	0	0
11	2	0	0	77.5745	32.0789	12.3353	-0.897918	68.7021	0	0	0	77.5745	0.947307	140	30	17.024	0.862585	0	0
12	2	0	0	77.2103	31.7569	-6.87774	3.44266	62.4463	0	0	0	77.2103	0.962073	138	30	19.0926	2.0112	0	0
13	2	0	0	67.3785	29.4204	21.7128	-3.64169	63.1097	0	0	0	67.3785	0.978211	134	22	22.8477	0.462114	0	0
14	2	0	0	84.612	33.3116	-16.1266	7.43643	54.56	0	0	0	84.612	0.958186	153	30	27.4687	2.25624	0	0
15	2	0	0	81.472	33.3305	31.5678	-8.18236	55.5154	0	0	0	81.472	0.921585	153	30	30.8276	0.184179	0	0
16	2	0	0	92.1419	35.2622	-25.8614	8.57461	47.7666	0	0	0	92.1419	0.931212	149	30	35.1787	2.45122	0	0
17	2	1	0	79.4657	32.2624	41.4312	-14.055	47.574	0	0	0	79.4657	0.959394	140	30	40.1702	-0.00564706	0	0
18	2	1	0	106.542	37.2563	-35.9135	8.80411	41.6733	0	0	0	106.542	0.964559	157	30	43.5225	2.59473	0	0
19	3	0	0	63.1916	28.696	4.78423	-8.13381	79.4836	86.6447	0	0	63.1916	0.964331	109	20	6.69582	1.0168	0	0
20	3	0	0	73.9286	30.9527	-4.00067	-6.85593	72.1567	81.9435	0	0	73.9286	0.969674	120	21	8.73515	2.21733	0	0
21	3	0	0	79.0898	32.0262	14.1828	-10.2662	73.4979	85.6286	0	0	79.0898	0.968991	112	29	13.4031	0.268983	0	0
22	3	0	0	80.0279	33.0939	-12.9986	-4.20259	62.7211	72.8508	0	0	80.0279	0.918238	119	22	17.2048	2.54785	0	0
23	3	0	0	79.0951	32.403	23.9263	-13.6916	63.3923	78.5514	0	0	79.0951	0.946648	144	30	22.6651	0.006021	0	0
24	3	0	0	87.8347	34.3045	-21.8904	-2.39201	54.7084	64.4374	0	0	87.8347	0.937935	139	22	25.8225	2.68279	0	0
25	3	1	0	80.223	32.3976	33.1504	-18.3437	54.0919	69.0409	0	0	80.223	0.960471	146	30	32.2069	-0.14067	0	0
26	3	1	0	91.0792	34.549	-30.9793	-1.69979	47.5552	56.5668	0	0	91.0792	0.958868	143	30	34.4467	2.78179	0	0
27	4	0	0	62.0307	28.5207	-0.342689	-16.9039	76.2958	97.1086	0	0	62.0307	0.958286	100	20	3.46908	-2.05156	0	0
28	4	0	0	83.3008	32.8968	7.56608	-17.9981	76.4557	100.587	0	0	83.3008	0.96728	121	30	7.55878	-0.584372	0	0
29	4	0	0	89.9495	34.7962	-9.11207	-15.8565	68.1253	85.6736	0	0	89.9495	0.933565	139	30	10.5701	-2.9485	0	0
30	4	0	0	82.907	33.183	17.2146	-20.8814	67.4533	90.6129	0	0	82.907	0.946169	127	30	17.4426	-0.416292	0	0
31	4	0	0	88.118	35.1422	-17.872	-14.2951	59.5739	74.6697	0	0	88.118	0.896638	141	30	19.1393	-3.11719	0	0
32	4	1	0	75.8169	31.3928	26.0849	-24.2561	58.5852	78.7733	0	0	75.8169	0.966756	148	30	26.9246	-0.397703	0	0
33	4	1	0	93.7889	35.1845	-26.4361	-12.7923	52.122	65.1352	0	0	93.7889	0.952048	150	30	27.717	3.10421	0	0
34	5	0	0	78.7261	32.4951	2.74115	-27.8196	65.7753	100.475	0	0	78.7261	0.936897	124	30	14.0695	-1.46544	0	0
35	5	0	0	67.2696	30.12	-4.95969	-26.4982	65.2803	94.0988	0	0	67.2696	0.93179	139	22	14.1151	-2.02724	0	0
36	5	0	0	75.9575	31.8935	11.9483	-29.1264	63.3624	94.1194	0	0	75.9575	0.938374	117	30	18.6612	-0.961041	0	0
37	5	0	0	82.7971	33.1286	-13.9847	-25.6061	59.7079	82.0775	0	0	82.7971	0.948025	156	30	19.2658	-2.48384	0	0
38	5	1	0	59.91	27.9265	20.6341	-30.9506	57.8153	82.5291	0	0	59.91	0.965331	143	22	25.8549	-0.723823	0	0
39	5	1	0	67.9342	29.9326	-22.9673	-23.8998	53.502	71.4183	0	0	67.9342	0.952819	143	22	26.2389	-2.74763	0	0
40	6	0	0	65.5896	29.4392	-2.1914	-37.2523	56.2448	84.8366	0	0	65.5896	0.951024	113	22	23.6773	-1.71715	0	0
41	6	0	0	78.2794	32.1455	6.98181	-37.9523	56.1157	85.2075	0	0	78.2794	0.951958	110	30	24.7931	-1.33798	0	0
42	6	0	0	61.911	28.6024	-10.0572	-35.2258	55.4206	81.1481	0	0	61.911	0.950981	118	22	24.207	-2.05735	0	0
43	6	1	0	80.8659	32.5228	16.3437	-38.8124	53.5685	79.3639	0	0	80.8659	0.960725	149	30	29.1836	-1.02769	0	0
44	6	1	0	97.5172	35.9917	-18.8187	-35.0881	50.8048	72.0461	0	0	97.5172	0.945987	157	30	29.2439	-2.32767	0	0
