# CellID	NodeIndex	X	Y	R	Theta
8	0	51.0088	-7.62465	50.9651	0.131685
8	1	51.1391	-7.41159	51.1227	0.135482
8	2	51.2583	-7.19366	51.2706	0.13938
8	3	51.3676	-6.97119	51.4102	0.14337
8	4	51.4676	-6.74357	51.5421	0.147464
8	5	51.5575	-6.51004	51.6658	0.151679
8	6	51.6357	-6.27055	51.7798	0.156023
8	7	51.7009	-6.02625	51.8826	0.160479
8	8	51.7529	-5.77896	51.974	0.165016
8	9	51.7929	-5.52994	52.055	0.169609
8	10	51.8223	-5.27932	52.1268	0.174252
8	11	51.8415	-5.02636	52.1901	0.178962
8	12	51.8494	-4.77031	52.2441	0.183758
8	13	51.8442	-4.5114	52.2869	0.188645
8	14	51.8243	-4.25129	52.3168	0.193599
8	15	51.7899	-3.99227	52.3335	0.198583
8	16	51.7426	-3.73568	52.3384	0.203567
8	17	51.6844	-3.48134	52.3335	0.208552
8	18	51.6158	-3.22829	52.3194	0.213555
8	19	51.5361	-2.97594	52.2956	0.218594
8	20	51.4438	-2.72491	52.2606	0.223666
8	21	51.3383	-2.47696	52.2134	0.228745
8	22	51.2205	-2.23372	52.1546	0.233799
8	23	51.0923	-1.99546	52.0857	0.238819
8	24	50.9547	-1.76129	52.0081	0.24382
8	25	50.8072	-1.53043	51.9213	0.248821
8	26	50.6484	-1.30331	51.824	0.253823
8	27	50.4776	-1.08168	51.715	0.2588
8	28	50.2959	-0.867256	51.5947	0.26372
8	29	50.1066	-0.661398	51.4662	0.26854
8	30	49.9108	-0.462917	51.3307	0.27328
8	31	49.7078	-0.27097	51.1876	0.277961
8	32	49.4961	-0.0862897	51.0353	0.282579
8	33	49.2752	0.088938	50.8725	0.287098
8	34	49.0466	0.252879	50.7002	0.291476
8	35	48.8127	0.405785	50.5206	0.295705
8	36	48.5748	0.549394	50.3352	0.299812
8	37	48.3322	0.684967	50.1439	0.303824
8	38	48.0836	0.812014	49.9451	0.30774
8	39	47.8284	0.928519	49.7375	0.311527
8	40	47.5681	1.03268	49.522	0.31514
8	41	47.3049	1.1247	49.3006	0.318569
8	42	47.04	1.2063	49.0748	0.321839
8	43	46.7726	1.27879	48.8443	0.324979
8	44	46.501	1.34147	48.6072	0.327985
8	45	46.2247	1.39169	48.3619	0.330808
8	46	45.9452	1.42674	48.1091	0.333384
8	47	45.6658	1.44653	47.8518	0.335685
8	48	45.3889	1.45363	47.5928	0.337743
8	49	45.1145	1.44984	47.3327	0.339588
8	50	44.881	1.43253	47.1068	0.340893
8	51	44.6783	1.40189	46.9055	0.341722
8	52	44.4986	1.358	46.7215	0.342126
8	53	44.3379	1.30005	46.5507	0.342112
8	54	44.1825	1.25416	46.3889	0.342303
8	55	44.0576	1.17832	46.2458	0.341665
