# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	95.9034	36.5597	5.2427	12.2824	59.6968	0	0	0	95.9034	0.901649	137	30	28.222	1.39151	0	1.16737
1	1	0	0	73.7884	31.2572	-5.6277	10.4236	60.9683	0	0	0	73.7884	0.949068	109	22	26.5602	1.79239	0	2.06585
2	1	0	0	71.5461	31.0535	16.2493	9.37522	57.519	0	0	0	71.5461	0.932338	114	20	29.5872	0.997854	0	0.523309
3	1	0	0	73.4857	30.9723	-15.1019	8.63884	58.0539	0	0	0	73.4857	0.962642	122	22	28.5747	2.13631	0	2.62199
4	1	0	0	72.0049	31.0352	26.7229	5.31732	52.8837	0	0	0	72.0049	0.939429	102	21	33.7011	0.665335	0	0.196412
5	1	0	0	92.9735	35.3625	-25.3921	7.87666	51.8973	0	0	0	92.9735	0.934292	130	30	34.6602	2.40187	0	2.8408
6	1	0	0	69.0219	30.2688	36.7969	0.562882	47.2105	0	0	0	69.0219	0.946688	103	22	39.9526	0.413401	0	0.0152962
7	1	0	0	75.8304	32.2282	-35.049	3.90855	46.7988	0	0	0	75.8304	0.917448	115	22	40.2415	2.63868	0	3.03054
8	1	1	0	85.162	33.2178	44.935	-4.02497	42.2314	0	0	0	85.162	0.969868	149	30	46.1706	0.250881	0	0.0893339
9	1	1	0	74.5647	31.2039	-43.5922	-1.44598	42.1814	0	0	0	74.5647	0.96233	126	29	45.9975	2.83138	0	3.10843
10	2	0	0	72.369	30.7895	0.85126	3.41945	69.2453	0	0	0	72.369	0.959306	147	27	18.9175	1.53688	0	0
11	2	0	0	79.8707	32.5272	10.4353	3.24749	65.5898	0	0	0	79.8707	0.948647	143	29	21.3436	1.07118	0	0
12	2	0	0	76.576	31.6565	-8.98093	0.85916	67.7003	0	0	0	76.576	0.960236	152	30	18.7529	2.083	0	0
13	2	0	0	61.312	28.1457	19.9518	-0.335308	60.3142	0	0	0	61.312	0.972595	99	22	24.8862	0.654604	0	0
14	2	0	0	75.9975	31.626	-18.7641	-0.202776	60.4825	0	0	0	75.9975	0.954819	126	28	24.3644	2.46348	0	0
15	2	0	0	85.8214	33.9982	28.9732	-4.28644	53.8381	0	0	0	85.8214	0.933024	156	30	30.8672	0.371343	0	0
16	2	0	0	80.8943	32.7184	-28.4668	-2.04985	53.0972	0	0	0	80.8943	0.94961	146	30	31.6688	2.7034	0	0
17	2	1	0	59.6766	28.0458	38.5379	-8.96576	46.721	0	0	0	59.6766	0.953408	137	22	38.8789	0.168533	0	0
18	2	1	0	58.5894	27.9366	-37.7048	-6.47442	46.6702	0	0	0	58.5894	0.94337	137	22	38.9711	2.90821	0	0
19	3	0	0	83.9554	34.926	4.76875	-6.99123	77.5681	86.8157	0	0	83.9554	0.864888	159	27	9.6418	1.0783	0	0
20	3	0	0	77.5462	32.4971	-3.38187	-7.12988	78.3082	87.6885	0	0	77.5462	0.922746	129	20	9.0964	1.9767	0	0
21	3	0	0	88.4368	34.2814	13.226	-7.80133	68.8981	81.7873	0	0	88.4368	0.945639	131	30	15.1159	0.533394	0	0
22	3	0	0	75.4219	31.5491	-12.6821	-9.18165	69.1062	83.1165	0	0	75.4219	0.952212	114	22	14.3513	2.6867	0	0
23	3	0	0	84.0268	33.7536	22.6841	-11.2324	59.7676	74.3082	0	0	84.0268	0.926802	147	30	22.8734	0.187102	0	0
24	3	0	0	86.9912	34.0683	-22.034	-10.5154	59.761	73.7397	0	0	86.9912	0.941856	132	30	22.7927	2.92169	0	0
25	3	1	0	80.0736	32.1845	31.7685	-14.8198	51.4471	65.2051	0	0	80.0736	0.971417	146	30	31.5657	0.0211446	0	0
26	3	1	0	83.3342	33.0502	-31.4846	-12.2921	51.4559	64.3775	0	0	83.3342	0.958702	155	30	31.8551	3.04113	0	0
27	4	0	0	62.8553	28.7062	0.131584	-17.0569	76.5765	102.807	0	0	62.8553	0.958518	116	20	1.57167	-1.62062	0	0
28	4	0	0	77.4354	31.8768	8.48097	-18.2919	71.5024	95.2562	0	0	77.4354	0.957632	118	28	8.73373	-0.326932	0	0
29	4	0	0	67.2962	30.545	-7.57151	-17.9205	71.1983	96.2415	0	0	67.2962	0.9064	122	25	8.15296	-2.83851	0	0
30	4	0	0	79.044	32.4569	16.507	-19.7771	63.2826	84.4137	0	0	79.044	0.942897	112	30	16.8523	-0.257396	0	0
31	4	0	0	82.3637	33.0171	-16.8614	-19.5758	62.4725	83.1209	0	0	82.3637	0.94944	155	30	17.5541	-2.90652	0	0
32	4	1	0	77.8221	31.6649	25.3179	-21.7205	55.0978	73.04	0	0	77.8221	0.975341	147	30	25.8702	-0.243342	0	0
33	4	1	0	80.9523	32.3342	-26.6075	-20.7066	54.0076	71.0554	0	0	80.9523	0.973007	153	30	27.3205	-2.94937	0	0
34	5	0	0	70.0208	31.2077	4.17673	-27.8914	64.3883	97.0431	0	0	70.0208	0.90347	110	28	13.0231	-1.26127	0	0
35	5	0	0	74.952	32.0758	-3.48234	-27.7097	64.5326	97.6659	0	0	74.952	0.915455	129	28	12.768	-1.86416	0	0
36	5	0	0	68.9815	30.1519	12.1662	-29.1725	60.2497	87.3348	0	0	68.9815	0.953481	96	30	18.1725	-0.852726	0	0
37	5	0	0	77.9758	32.1485	-12.4692	-28.6088	59.9234	86.5244	0	0	77.9758	0.948087	116	30	18.2465	-2.33904	0	0
38	5	1	0	56.1788	26.9355	20.5818	-29.2052	55.0956	77.1041	0	0	56.1788	0.973043	132	21	24.5601	-0.592635	0	0
39	5	1	0	83.1196	32.8659	-21.6564	-29.2786	53.8099	75.1183	0	0	83.1196	0.966989	152	30	25.8522	-2.57889	0	0
40	6	0	0	59.4915	28.0443	-0.438639	-37.2068	55.9625	84.9115	0	0	59.4915	0.950548	117	22	21.7293	-1.60064	0	0
41	6	0	0	71.5029	31.0158	8.05097	-38.7146	53.6907	80.5349	0	0	71.5029	0.934042	106	29	24.5152	-1.24523	0	0
42	6	0	0	57.3288	27.4618	-8.36501	-37.3955	54.5762	81.7079	0	0	57.3288	0.955269	113	22	23.5267	-1.94386	0	0
43	6	1	0	76.9545	31.5613	17.1098	-37.6746	51.4668	74.9952	0	0	76.9545	0.970807	145	30	27.8907	-0.919857	0	0
44	6	1	0	60.3516	28.059	-16.8561	-37.7267	51.1151	74.5239	0	0	60.3516	0.963281	131	22	28.0329	-2.22532	0	0
45	7	0	1	96.4243	37.7206	0.0956725	-47.7085	47.3616	71.3788	0	0	96.4243	0.851606	147	30	32.2216	-1.57434	0	0
46	7	0	1	68.0824	31.4373	8.33389	-48.1849	46.3671	69.455	0	0	68.0824	0.865672	137	22	33.6919	-1.32727	0	0
47	7	0	1	99.6727	39.1866	-8.52924	-47.3159	46.8368	70.1111	0	0	99.6727	0.815663	151	30	33.0067	-1.83876	0	0
48	7	1	1	87.1256	34.5118	16.3752	-47.0714	45.3216	66.866	0	0	87.1256	0.919222	158	30	35.4807	-1.09774	0	0
