# CellID	NodeIndex	X	Y	R	Theta
0	0	17.0384	3.78814	21.5874	0.812055
0	1	17.1588	3.94231	21.7822	0.812912
0	2	17.2758	4.0958	21.974	0.813848
0	3	17.3902	4.24915	22.1641	0.814847
0	4	17.5023	4.40365	22.3535	0.815937
0	5	17.6124	4.56061	22.5432	0.817153
0	6	17.7195	4.72183	22.7341	0.81857
0	7	17.8235	4.88837	22.9268	0.820221
0	8	17.9236	5.0613	23.1216	0.822156
0	9	18.0187	5.23444	23.3132	0.824223
0	10	18.1081	5.40742	23.501	0.826428
0	11	18.1942	5.57897	23.6855	0.828661
0	12	18.2757	5.75029	23.8669	0.830998
0	13	18.3557	5.92073	24.0468	0.833319
0	14	18.4311	6.09269	24.2248	0.835788
0	15	18.505	6.26521	24.4025	0.838282
0	16	18.5729	6.43994	24.5779	0.840983
0	17	18.6378	6.61472	24.7515	0.843735
0	18	18.6957	6.78994	24.921	0.846672
0	19	18.7512	6.9629	25.0874	0.849584
0	20	18.8009	7.1305	25.2462	0.852488
0	21	18.8451	7.29329	25.398	0.855396
0	22	18.8716	7.45365	25.5366	0.858731
0	23	18.9201	7.60521	25.683	0.861159
0	24	18.9132	7.75054	25.789	0.865034
0	25	18.84	7.91878	25.8701	0.871404
0	26	18.786	8.1128	25.9844	0.877801
0	27	18.6941	8.32268	26.0879	0.885652
0	28	18.5578	8.56356	26.1894	0.895502
0	29	18.3613	8.85465	26.296	0.908255
0	30	18.1513	9.13925	26.3934	0.921161
0	31	17.93	9.41464	26.481	0.934108
0	32	17.7007	9.67985	26.5601	0.946987
0	33	17.4636	9.93322	26.6295	0.959771
0	34	17.2168	10.1788	26.6913	0.972624
0	35	16.9611	10.4185	26.7475	0.98557
0	36	16.6951	10.6486	26.7947	0.998587
0	37	16.4183	10.8606	26.8253	1.01154
0	38	16.1344	11.0554	26.842	1.02436
0	39	15.8433	11.237	26.8481	1.03714
0	40	15.5413	11.4061	26.8423	1.05003
0	41	15.2253	11.5587	26.8197	1.06308
0	42	14.8988	11.6901	26.7781	1.07612
0	43	14.5691	11.8069	26.7266	1.08905
0	44	14.2395	11.9084	26.666	1.10177
