# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	73.9466	31.0586	11.6926	6.11237	62.6545	0	0	0	73.9466	0.963308	142	22	21.8416	1.07774	0	0.481675
1	1	1	0	115.705	39.734	3.01627	12.4168	57.5768	0	0	0	115.705	0.920952	153	30	25.5985	1.50584	0	1.3325
2	1	1	0	100.428	36.6588	20.8193	1.49593	61.5351	0	0	0	100.428	0.939093	155	30	24.346	0.644326	0	0.0717277
3	1	0	0	95.0479	35.9246	-6.93097	19.0731	49.9276	0	0	0	95.0479	0.92548	145	30	33.2497	1.82264	1	1.91935
4	1	1	0	78.2422	32.218	30.7034	-3.21556	56.1098	0	0	0	78.2422	0.947227	134	22	30.9775	0.325708	0	0.104353
5	1	0	0	74.9781	32.405	-16.699	22.6685	44.1443	0	0	0	74.9781	0.897263	132	22	40.0911	2.03791	1	2.20571
6	1	1	0	74.6931	31.5225	40.5625	-8.94666	49.3418	0	0	0	74.6931	0.944604	115	22	39.4302	0.106237	0	0.217091
7	1	0	0	73.2654	31.605	-26.3015	24.0579	39.3538	0	0	0	73.2654	0.921714	130	22	46.3425	2.21027	1	2.40071
8	1	1	0	84.264	33.5681	48.3854	-14.0885	43.7666	0	0	0	84.264	0.93972	139	30	47.0406	-0.0204251	0	0.283339
9	1	0	0	70.4918	30.2141	-35.3804	25.4347	34.9304	0	0	0	70.4918	0.970349	134	30	53.259	2.33193	1	2.5183
10	2	0	0	81.7421	33.7878	2.42533	1.57764	68.0155	0	0	0	81.7421	0.899781	160	30	14.7443	1.49811	0	0
11	2	0	0	78.2306	32.1674	12.0827	-3.6421	71.234	0	0	0	78.2306	0.950066	136	30	14.3202	0.724009	0	0
12	2	0	0	74.4127	31.4546	-5.82279	8.11357	58.6386	0	0	0	74.4127	0.945125	125	30	22.4211	1.89665	0	0
13	2	0	0	77.8968	32.4349	22.8019	-8.12011	64.4184	0	0	0	77.8968	0.930472	119	30	22.0242	0.229376	0	0
14	2	0	0	83.8032	33.4304	-14.0233	11.6292	51.8877	0	0	0	83.8032	0.942298	146	22	29.1442	2.12663	0	0
15	2	0	0	60.6011	27.9752	33.1255	-12.711	55.5291	0	0	0	60.6011	0.973067	99	22	31.7737	0.0131158	0	0
16	2	0	0	98.6515	36.4097	-23.4934	14.3821	45.2203	0	0	0	98.6515	0.935144	155	30	37.0704	2.3054	0	0
17	2	1	0	81.8074	32.649	40.8606	-18.8677	48.7648	0	0	0	81.8074	0.964412	141	30	39.9209	-0.144284	0	0
18	2	1	0	105.229	37.1348	-33.9107	15.5242	39.1622	0	0	0	105.229	0.958921	155	30	45.4375	2.45929	0	0
19	3	0	0	83.9368	34.0227	4.61703	-9.11912	79.7109	86.943	0	0	83.9368	0.911221	157	30	5.16844	0.887658	0	0
20	3	0	0	62.1761	28.63	-3.97681	-5.98331	69.9522	79.6796	0	0	62.1761	0.953217	113	22	8.91439	2.21188	0	0
21	3	0	0	60.6032	28.063	13.9168	-12.8967	74.3263	88.3953	0	0	60.6032	0.967023	106	22	12.5643	0.0183916	0	0
22	3	0	0	86.5306	33.7809	-11.327	-0.176638	60.4715	69.0215	0	0	86.5306	0.952881	156	30	18.1261	2.34568	0	0
23	3	0	0	74.0573	31.1946	24.1416	-16.7819	63.3492	80.7405	0	0	74.0573	0.956354	104	30	23.0782	-0.159008	0	0
24	3	0	0	90.8519	34.8235	-21.1921	2.98715	51.4838	59.4668	0	0	90.8519	0.941452	145	30	27.7135	2.52104	0	0
25	3	1	0	58.8444	27.6777	32.2855	-21.5631	54.9294	71.9395	0	0	58.8444	0.965281	135	22	32.0605	-0.266242	0	0
26	3	1	0	98.086	36.0111	-30.4746	4.36676	44.6558	52.0104	0	0	98.086	0.950485	158	30	36.3201	2.63903	0	0
27	4	0	0	73.4959	31.3304	-1.09367	-16.5486	73.9682	92.6189	0	0	73.4959	0.940893	125	27	4.20664	-2.19197	0	0
28	4	0	0	73.2032	31.5059	7.73592	-20.1453	75.4738	103.462	0	0	73.2032	0.926738	154	30	9.48512	-0.832842	0	0
29	4	0	0	69.5081	31.7447	-10.2398	-12.4983	64.881	79.3664	0	0	69.5081	0.86677	102	22	11.6115	3.08736	0	0
30	4	0	0	72.9971	30.9588	16.263	-22.4303	67.8426	94.0071	0	0	72.9971	0.957081	132	30	17.5727	-0.557865	0	0
31	4	0	0	104.612	38.9222	-18.1332	-9.66348	56.9786	69.251	0	0	104.612	0.867758	162	30	19.7933	2.96566	0	0
32	4	1	0	76.5989	31.5823	25.1899	-26.555	58.4694	80.6479	0	0	76.5989	0.965037	150	30	27.3572	-0.513024	0	0
33	4	1	0	95.9599	35.6715	-26.7871	-7.48736	49.4308	60.0895	0	0	95.9599	0.947669	145	30	28.7013	2.94379	0	0
34	5	0	0	78.822	33.5409	1.43696	-28.1202	65.2214	97.653	0	0	78.822	0.880455	147	30	14.9927	-1.5653	0	0
35	5	0	0	85.2501	34.2968	-6.67195	-24.7588	63.3442	87.8999	0	0	85.2501	0.910747	135	30	14.1317	-2.17484	0	0
36	5	0	0	78.1921	31.8492	10.8584	-30.7468	62.7663	95.2942	0	0	78.1921	0.968671	105	30	20.0189	-1.07612	0	0
37	5	0	0	91.7211	35.4605	-15.1814	-22.7608	57.7736	76.9398	0	0	91.7211	0.91662	150	30	19.1372	-2.6141	0	0
38	5	1	0	56.9216	27.2743	18.8174	-31.8698	58.7609	85.9423	0	0	56.9216	0.96157	139	22	25.6167	-0.820715	0	0
39	5	1	0	93.7287	35.5292	-24.1211	-20.2555	51.485	66.7285	0	0	93.7287	0.933063	147	30	26.454	-2.86878	0	0
40	6	0	0	69.2923	30.027	-4.0515	-36.6443	55.522	82.7477	0	0	69.2923	0.965764	108	22	24.1299	-1.79675	0	0
41	6	0	0	80.7893	32.9606	5.60388	-38.7521	55.6623	84.8421	0	0	80.7893	0.934486	118	30	25.9743	-1.40646	0	0
42	6	0	0	75.9985	32.0118	-11.716	-34.4897	53.4217	76.9773	0	0	75.9985	0.931953	115	22	25.0434	-2.11989	0	0
43	6	1	0	72.2533	30.7857	15.4414	-39.6484	53.6326	80.5473	0	0	72.2533	0.95801	142	30	30.0297	-1.08253	0	0
44	6	1	0	92.6047	35.1744	-20.2795	-32.9107	49.4321	68.8743	0	0	92.6047	0.940566	144	30	29.3155	-2.40086	0	0
45	7	0	1	96.4903	37.1351	-1.26116	-47.8004	47.5859	71.7155	0	0	96.4903	0.879276	139	30	34.7712	-1.64609	0	0
46	7	0	1	72.0069	32.1297	7.52231	-48.0833	47.957	72.6547	0	0	72.0069	0.876538	137	22	35.4956	-1.39615	0	0
47	7	0	1	108.269	41.2439	-10.3701	-46.266	46.3657	68.5574	0	0	108.269	0.799827	151	30	35.1513	-1.91086	0	0
48	7	1	1	59.4834	28.8378	15.4119	-47.503	47.6247	71.5855	0	0	59.4834	0.898837	143	22	37.1385	-1.18261	0	0
49	7	1	1	84.4783	34.3006	-18.5504	-44.176	44.4619	64.1512	0	0	84.4783	0.902303	139	30	36.881	-2.14089	0	0
