# CellID	NodeIndex	X	Y	R	Theta
0	0	8.80354	4.21098	21.6968	1.17159
0	1	8.79738	4.40598	21.8742	1.17532
0	2	8.78923	4.6006	22.0509	1.17906
0	3	8.78171	4.79537	22.2282	1.18272
0	4	8.77502	4.99072	22.4066	1.18629
0	5	8.76598	5.18647	22.5848	1.18991
0	6	8.75703	5.38167	22.7628	1.19347
0	7	8.74622	5.57428	22.9381	1.197
0	8	8.72887	5.76114	23.1058	1.20065
0	9	8.7175	5.95158	23.2794	1.20406
0	10	8.71526	6.14466	23.4589	1.2071
0	11	8.71767	6.34054	23.643	1.20996
0	12	8.71744	6.54021	23.8298	1.21292
0	13	8.71733	6.74434	24.0211	1.21591
0	14	8.71332	6.9531	24.2155	1.21906
0	15	8.71139	7.16646	24.4153	1.22214
0	16	8.72119	7.38553	24.6246	1.22481
0	17	8.76293	7.62044	24.8598	1.22643
0	18	8.87015	7.88234	25.1425	1.22593
0	19	9.05245	8.19062	25.4944	1.22329
0	20	9.14035	8.47878	25.7952	1.22389
0	21	9.1382	8.74523	26.0453	1.22745
0	22	9.16904	9.00324	26.2986	1.22965
0	23	9.09524	9.19428	26.4543	1.23469
0	24	8.87254	9.39183	26.5688	1.24506
0	25	8.58369	9.69562	26.7667	1.25891
0	26	8.44089	9.88045	26.8995	1.26607
0	27	8.32102	10.0099	26.9875	1.27175
0	28	8.21632	10.1229	27.065	1.27668
0	29	8.10478	10.2146	27.1207	1.28159
0	30	7.99147	10.3144	27.1844	1.28664
0	31	7.84986	10.4168	27.2435	1.29268
0	32	7.67206	10.5427	27.3165	1.3002
0	33	7.43436	10.6994	27.4053	1.31009
0	34	7.11212	10.9002	27.5187	1.32329
0	35	6.78094	11.083	27.6172	1.33653
0	36	6.44443	11.2484	27.7023	1.34974
0	37	6.10078	11.3994	27.7768	1.363
0	38	5.74453	11.5341	27.8376	1.37652
0	39	5.37473	11.6439	27.8766	1.3903
0	40	5.00046	11.7241	27.891	1.40401
0	41	4.62882	11.781	27.8879	1.41749
0	42	4.25807	11.8215	27.8738	1.43086
0	43	3.88367	11.846	27.8484	1.4443
0	44	3.50488	11.8496	27.8067	1.45783
0	45	3.12757	11.8294	27.7466	1.47126
0	46	2.75622	11.7892	27.6721	1.48447
0	47	2.38859	11.7324	27.5862	1.49757
