# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	108.24	38.6491	7.94238	9.04581	60.9962	0	0	0	108.24	0.910583	148	30	22.5485	1.26545	0	0.850259
1	1	0	0	63.7866	30.4219	-1.56001	13.5429	56.5373	0	0	0	63.7866	0.866095	118	22	26.1448	1.67516	1	1.68548
2	1	1	0	101.978	37.7352	18.6614	5.84319	59.5811	0	0	0	101.978	0.899961	135	30	25.3213	0.807883	0	0.303442
3	1	0	0	62.7205	29.8627	-8.91633	16.9406	51.7605	0	0	0	62.7205	0.883815	118	22	31.0803	1.90109	1	2.05528
4	1	1	0	78.2607	32.0755	29.706	2.04738	54.283	0	0	0	78.2607	0.955887	127	22	32.0175	0.470237	0	0.0688113
5	1	0	0	100.059	36.7986	-18.0819	20.0117	46.2432	0	0	0	100.059	0.928547	139	30	37.7463	2.10583	1	2.30558
6	1	1	0	92.8135	35.6555	39.682	-1.3085	48.0421	0	0	0	92.8135	0.917419	116	30	40.1	0.281799	0	0.0329628
7	1	0	0	99.3059	36.7147	-29.386	21.9623	40.3196	0	0	0	99.3059	0.925773	132	30	46.0235	2.29667	1	2.49977
8	1	1	0	80.815	32.4141	48.4921	-6.53087	42.7125	0	0	0	80.815	0.96657	137	30	47.6984	0.12462	0	0.133874
9	1	0	0	45.8846	24.4428	-38.0522	22.5932	36.2059	0	0	0	45.8846	0.965106	111	22	52.5983	2.41219	1	2.60579
10	2	0	0	71.9379	30.7813	1.33129	2.32774	67.8763	0	0	0	71.9379	0.954099	140	22	14.7884	1.55946	0	0
11	2	0	0	67.8985	29.5869	10.9556	-0.790567	69.7382	0	0	0	67.8985	0.974701	135	22	15.2332	0.872644	0	0
12	2	0	0	68.3951	30.2576	-6.92616	6.0314	61.0145	0	0	0	68.3951	0.938786	117	22	20.1833	1.98321	0	0
13	2	0	0	81.6583	33.5653	21.8834	-3.39711	63.0262	0	0	0	81.6583	0.910815	154	30	22.615	0.412316	0	0
14	2	0	0	86.9728	33.8267	-15.294	9.42193	53.9121	0	0	0	86.9728	0.955157	150	30	27.3799	2.21566	0	0
15	2	0	0	67.4983	29.7494	32.5731	-7.425	54.7043	0	0	0	67.4983	0.958397	116	22	31.8104	0.15894	0	0
16	2	0	0	93.4763	35.1093	-25.6085	11.6444	46.7737	0	0	0	93.4763	0.952942	148	30	36.0244	2.40859	0	0
17	2	1	0	84.0502	33.2296	41.804	-11.97	47.6008	0	0	0	84.0502	0.956528	145	30	40.6432	0.0120492	0	0
18	2	1	0	105.198	37.0779	-35.8392	13.1283	40.4805	0	0	0	105.198	0.961587	154	30	44.9884	2.53659	0	0
19	3	0	0	60.1889	27.9885	4.63096	-7.76286	80.1383	86.8135	0	0	60.1889	0.965532	120	20	5.83798	0.934876	0	0
20	3	0	0	83.0646	33.0428	-4.21444	-5.49021	71.6464	80.7834	0	0	83.0646	0.95603	133	30	8.80327	2.22802	0	0
21	3	0	0	77.5113	32.0525	14.15	-9.82226	72.983	85.1158	0	0	77.5113	0.948092	155	30	13.2515	0.200366	0	0
22	3	0	0	87.8054	34.0718	-13.5602	-1.96103	61.2641	70.3569	0	0	87.8054	0.950475	146	30	18.0835	2.52217	0	0
23	3	0	0	82.3228	33.1569	25.0449	-12.6538	61.6774	76.3331	0	0	82.3228	0.940985	151	30	23.882	-0.00812856	0	0
24	3	0	0	89.6564	35.3669	-22.3246	-0.00212642	53.5049	62.2638	0	0	89.6564	0.900738	122	30	26.5874	2.65394	0	0
25	3	1	0	58.0441	27.4068	34.4182	-17.0197	52.8404	67.4087	0	0	58.0441	0.97107	124	22	33.5657	-0.136275	0	0
26	3	1	0	96.0436	35.6024	-31.2403	1.81449	46.5952	54.5834	0	0	96.0436	0.95218	150	30	35.4086	2.72666	0	0
27	4	0	0	81.9851	33.006	-0.677697	-16.3905	74.8105	96.9545	0	0	81.9851	0.945711	114	30	4.34078	-2.00888	0	0
