# CellID	NodeIndex	X	Y	R	Theta
0	0	10.1796	2.64628	22.1941	1.08407
0	1	10.2495	2.87166	22.426	1.08602
0	2	10.3106	3.09454	22.6518	1.08822
0	3	10.38	3.32271	22.8861	1.09016
0	4	10.4583	3.55601	23.1293	1.09182
0	5	10.5273	3.79964	23.3773	1.094
0	6	10.5998	4.04776	23.6311	1.09609
0	7	10.675	4.29837	23.8884	1.09809
0	8	10.7338	4.5538	24.1427	1.10074
0	9	10.7994	4.80942	24.4004	1.10309
0	10	10.873	5.06691	24.6634	1.10513
0	11	10.9269	5.33074	24.9234	1.10795
0	12	10.9967	5.58798	25.1849	1.11003
0	13	10.9955	5.82667	25.3984	1.11425
0	14	10.9204	6.06857	25.583	1.12105
0	15	10.7912	6.31219	25.7472	1.12969
0	16	10.6003	6.57313	25.9031	1.14066
0	17	10.3289	6.8707	26.0631	1.15488
0	18	10.0424	7.14921	26.2048	1.16918
0	19	9.74536	7.41464	26.3357	1.1835
0	20	9.43356	7.6692	26.4564	1.19804
0	21	9.10239	7.90734	26.5605	1.21292
0	22	8.75711	8.1216	26.6433	1.22788
0	23	8.40581	8.31462	26.7098	1.2427
0	24	8.04885	8.49303	26.7666	1.25747
0	25	7.68279	8.65818	26.8139	1.27235
0	26	7.30828	8.80751	26.8495	1.28732
0	27	6.93087	8.94591	26.8798	1.30224
0	28	6.55019	9.07122	26.9026	1.31712
0	29	6.16116	9.18254	26.9158	1.33215
0	30	5.76146	9.27458	26.9138	1.34739
0	31	5.35913	9.35042	26.9018	1.3626
0	32	4.95931	9.40686	26.8774	1.37759
0	33	4.55964	9.44735	26.8433	1.39249
0	34	4.15734	9.46781	26.7951	1.4074
0	35	3.84066	9.45282	26.7306	1.419
0	36	3.58249	9.3988	26.6393	1.42828
0	37	3.35228	9.38285	26.5918	1.43676
0	38	3.22643	9.2952	26.4883	1.44103
0	39	3.14415	9.11124	26.2953	1.44322
0	40	3.02278	8.93713	26.1074	1.44699
0	41	2.92535	8.73971	25.8995	1.44978
0	42	2.82374	8.53789	25.6871	1.45276
0	43	2.73167	8.33028	25.4701	1.45539
0	44	2.64167	8.11833	25.2493	1.45796
0	45	2.55344	7.90426	25.0268	1.4605
0	46	2.46519	7.68611	24.8003	1.46307
0	47	2.37992	7.46867	24.575	1.46557
0	48	2.29683	7.24978	24.3487	1.46802
0	49	2.21901	7.0329	24.125	1.4703
0	50	2.14572	6.81814	23.9041	1.47245
0	51	2.07566	6.6055	23.6856	1.47451
0	52	2.00776	6.39414	23.4688	1.47653
0	53	1.94173	6.18266	23.252	1.4785
0	54	1.87839	5.96979	23.0343	1.48039
0	55	1.81965	5.7554	22.8155	1.4821
0	56	1.76778	5.54125	22.5976	1.48355
0	57	1.72345	5.33064	22.384	1.4847
0	58	1.68096	5.11713	22.1676	1.48578
0	59	1.64008	4.90305	21.9508	1.48681
0	60	1.60168	4.68897	21.7343	1.48774
0	61	1.56709	4.47459	21.5178	1.48852
0	62	1.53761	4.25967	21.3012	1.48907
0	63	1.51264	4.04179	21.082	1.48941
0	64	1.49728	3.82176	20.8614	1.48928
0	65	1.50069	3.60564	20.6463	1.48827
0	66	1.52817	3.39002	20.4338	1.48606
0	67	1.58179	3.17314	20.2223	1.48251
0	68	1.66857	2.946	20.004	1.47718
0	69	1.77611	2.73573	19.8051	1.47078
0	70	1.90104	2.53708	19.6205	1.46344
0	71	2.04125	2.34524	19.4454	1.45521
0	72	2.19001	2.15673	19.2761	1.44642
0	73	2.34276	1.96932	19.1098	1.43727
0	74	2.50042	1.7836	18.9476	1.42772
0	75	2.66135	1.60091	18.7907	1.41785
0	76	2.82205	1.42271	18.64	1.40788
0	77	2.97911	1.25048	18.4964	1.39799
0	78	3.13594	1.08049	18.3568	1.38798
0	79	3.29124	0.913146	18.2214	1.37793
0	80	3.44999	0.744865	18.0877	1.36753
0	81	3.6118	0.57567	17.9556	1.3568
0	82	3.77622	0.406435	17.8263	1.34577
0	83	3.94301	0.239422	17.7018	1.33448
0	84	4.11123	0.0770191	17.5845	1.32302
0	85	4.27995	-0.0790826	17.4757	1.31147
0	86	4.44837	-0.229101	17.375	1.29989
0	87	4.61092	-0.372561	17.2814	1.2886
0	88	4.76992	-0.51085	17.1939	1.27748
0	89	4.92924	-0.644033	17.1135	1.26632
0	90	5.09375	-0.770619	17.0432	1.25488
0	91	5.27268	-0.886384	16.99	1.24275
0	92	5.47207	-0.987034	16.9604	1.22971
0	93	5.68826	-1.06204	16.9636	1.21622
0	94	5.90916	-1.10397	17.0024	1.20318
0	95	6.13843	-1.11634	17.0747	1.19039
0	96	6.37328	-1.10661	17.1722	1.1779
0	97	6.60707	-1.085	17.283	1.16589
0	98	6.83781	-1.05785	17.4	1.15431
0	99	7.06634	-1.02765	17.5212	1.14308
0	100	7.2936	-0.996743	17.6446	1.13209
0	101	7.52051	-0.963982	17.7717	1.12131
0	102	7.74681	-0.928665	17.9028	1.11078
0	103	7.97013	-0.886646	18.0405	1.10072
0	104	8.18727	-0.830273	18.1899	1.09149
0	105	8.38638	-0.746991	18.3561	1.08395
0	106	8.57571	-0.628036	18.5502	1.07793
0	107	8.75852	-0.475973	18.7709	1.07319
0	108	8.9064	-0.318592	18.9798	1.0703
0	109	9.02287	-0.158837	19.1759	1.06897
0	110	9.12443	0.0103514	19.3731	1.06857
0	111	9.22135	0.18652	19.5741	1.06856
0	112	9.31908	0.370417	19.7824	1.06871
0	113	9.41553	0.561703	19.9965	1.06908
0	114	9.50945	0.760124	20.2156	1.06973
0	115	9.59917	0.963363	20.437	1.07066
0	116	9.68176	1.16757	20.6558	1.07189
0	117	9.75083	1.36855	20.8654	1.07359
0	118	9.82474	1.57455	21.0817	1.07517
0	119	9.90307	1.78281	21.3022	1.07659
0	120	9.96975	1.9955	21.5211	1.07855
0	121	10.0367	2.20366	21.7362	1.08036
0	122	10.1091	2.42143	21.9624	1.08212
2	0	17.6639	1.71248	25.8499	0.807766
2	1	17.6774	1.93627	26.0213	0.813337
2	2	17.686	2.15426	26.1861	0.818817
2	3	17.6911	2.36633	26.3448	0.824174
2	4	17.6922	2.58536	26.5067	0.829755
2	5	17.6895	2.81465	26.6745	0.835633
2	6	17.6842	3.04653	26.8434	0.841574
2	7	17.6751	3.28306	27.0143	0.847657
2	8	17.6632	3.51881	27.1836	0.853725
2	9	17.6474	3.75237	27.3498	0.859774
2	10	17.6276	3.98265	27.5119	0.86578
2	11	17.6042	4.20301	27.665	0.871588
2	12	17.5658	4.41113	27.8001	0.877461
2	13	17.5554	4.61141	27.9477	0.882329
2	14	17.4966	4.75374	28.0206	0.887176
2	15	17.3889	4.86568	28.0398	0.892676
2	16	17.3019	4.99077	28.083	0.897884
2	17	17.1879	5.10453	28.1014	0.903578
2	18	17.062	5.23567	28.1271	0.909981
2	19	16.8892	5.37515	28.132	0.917871
2	20	16.6464	5.52954	28.1086	0.92807
2	21	16.3048	5.70488	28.0468	0.941567
2	22	15.9521	5.85304	27.9615	0.954884
2	23	15.5943	5.97801	27.8592	0.967958
2	24	15.2285	6.08287	27.7404	0.980966
2	25	14.8479	6.16167	27.5966	0.994016
2	26	14.4561	6.20184	27.4189	1.00679
2	27	14.0691	6.20238	27.2144	1.01882
2	28	13.6921	6.17535	26.9955	1.03019
2	29	13.3196	6.12773	26.7645	1.04121
2	30	12.9469	6.05589	26.5158	1.05197
2	31	12.5795	5.94974	26.2428	1.06212
2	32	12.302	5.82489	25.9992	1.0691
2	33	12.088	5.6823	25.7715	1.07372
2	34	11.8897	5.5626	25.5721	1.0783
2	35	11.7613	5.41038	25.3772	1.07993
2	36	11.6784	5.206	25.1579	1.079
2	37	11.5803	5.00133	24.9312	1.0786
2	38	11.4897	4.78602	24.6986	1.07771
2	39	11.3979	4.56058	24.4566	1.07665
2	40	11.3025	4.32333	24.2025	1.07547
2	41	11.2098	4.07775	23.9424	1.07401
2	42	11.1197	3.82591	23.6781	1.07228
2	43	11.0299	3.56868	23.4093	1.0704
2	44	10.9405	3.30916	23.1388	1.0684
2	45	10.8472	3.04062	22.8585	1.06633
2	46	10.7527	2.76386	22.5706	1.06407
2	47	10.6606	2.48607	22.2831	1.06163
2	48	10.5685	2.20643	21.9941	1.05909
2	49	10.4829	1.92793	21.7094	1.05624
2	50	10.3984	1.65582	21.4311	1.05343
2	51	10.311	1.38201	21.15	1.05061
2	52	10.231	1.10584	20.8707	1.04736
2	53	10.1533	0.830187	20.5932	1.04394
2	54	10.0781	0.557812	20.3201	1.0404
2	55	10.0065	0.288037	20.0513	1.03667
2	56	9.9423	0.0176236	19.786	1.03251
2	57	9.89579	-0.251037	19.5318	1.0275
2	58	9.88221	-0.517838	19.2968	1.02096
2	59	9.91158	-0.786775	19.0835	1.01228
2	60	9.99062	-1.05959	18.8952	1.00108
2	61	10.1108	-1.29252	18.7653	0.988991
2	62	10.267	-1.49603	18.6827	0.976022
2	63	10.4461	-1.68374	18.6293	0.962411
2	64	10.6344	-1.8659	18.5892	0.948499
2	65	10.8297	-2.04984	18.5555	0.93417
2	66	11.0327	-2.23847	18.5266	0.919304
2	67	11.2495	-2.42998	18.508	0.903713
2	68	11.4785	-2.6134	18.5079	0.887859
2	69	11.7141	-2.78801	18.5234	0.872047
2	70	11.9483	-2.95266	18.5502	0.856668
2	71	12.1814	-3.1085	18.5872	0.8417
2	72	12.4195	-3.25118	18.6414	0.827075
2	73	12.6437	-3.34898	18.7226	0.814726
2	74	12.8604	-3.40568	18.8311	0.804288
2	75	13.0773	-3.43084	18.9642	0.795129
2	76	13.2954	-3.43437	19.1151	0.786854
2	77	13.5172	-3.42321	19.2802	0.779113
2	78	13.7419	-3.40087	19.4563	0.771817
2	79	13.967	-3.37115	19.6388	0.764908
2	80	14.1965	-3.33706	19.8284	0.758131
2	81	14.4299	-3.29777	20.0253	0.751543
2	82	14.6645	-3.25191	20.2284	0.745282
2	83	14.9026	-3.19753	20.4407	0.739337
2	84	15.1391	-3.13257	20.6595	0.733947
2	85	15.3749	-3.05989	20.8835	0.728968
2	86	15.6073	-2.98194	21.109	0.724389
2	87	15.8347	-2.89859	21.3348	0.72025
2	88	16.0557	-2.80522	21.5625	0.716747
2	89	16.263	-2.69278	21.7928	0.714387
2	90	16.4589	-2.5533	22.0322	0.713345
2	91	16.6452	-2.37986	22.2865	0.713761
2	92	16.7981	-2.19012	22.5264	0.715682
2	93	16.9202	-1.98056	22.7562	0.71911
2	94	17.017	-1.75098	22.9804	0.723855
2	95	17.0957	-1.5106	23.199	0.729371
2	96	17.1613	-1.2703	23.4084	0.735158
2	97	17.219	-1.03307	23.6107	0.740971
2	98	17.2725	-0.798501	23.809	0.746722
2	99	17.3234	-0.564498	24.0056	0.752438
2	100	17.3709	-0.329222	24.2015	0.758192
2	101	17.4144	-0.0923555	24.3963	0.764017
2	102	17.4555	0.139055	24.5865	0.769656
2	103	17.4944	0.363356	24.7709	0.775066
2	104	17.5296	0.58632	24.9524	0.780463
2	105	17.5619	0.808771	25.1323	0.785847
2	106	17.5923	1.0321	25.3121	0.791235
2	107	17.6203	1.25764	25.4926	0.796671
2	108	17.6448	1.48519	25.6728	0.802187
4	0	27.29	0.43754	32.5393	0.564486
4	1	27.346	0.655879	32.7039	0.56921
4	2	27.4103	0.871749	32.8747	0.573688
4	3	27.4825	1.08619	33.052	0.577951
4	4	27.5628	1.30008	33.2364	0.582021
4	5	27.6526	1.50945	33.4267	0.585777
4	6	27.7466	1.71864	33.621	0.589415
4	7	27.8394	1.9258	33.8135	0.592982
4	8	27.9318	2.13146	34.0052	0.596481
4	9	28.0206	2.33626	34.194	0.599976
4	10	28.1007	2.54038	34.3755	0.603562
4	11	28.1805	2.73403	34.5513	0.606865
4	12	28.264	2.91513	34.7233	0.609779
4	13	28.3521	3.08369	34.8922	0.612292
4	14	28.4183	3.25114	35.0428	0.615117
4	15	28.5183	3.38538	35.202	0.616591
4	16	28.5118	3.51485	35.2717	0.619693
4	17	28.3764	3.66502	35.2492	0.625392
4	18	28.2374	3.83807	35.2385	0.631683
4	19	28.0543	4.03091	35.2056	0.639174
4	20	27.8086	4.2661	35.1504	0.648714
4	21	27.4685	4.56815	35.0647	0.661438
4	22	27.1115	4.85656	34.9629	0.674221
4	23	26.74	5.11275	34.8354	0.686624
4	24	26.3619	5.34509	34.6927	0.698713
4	25	25.9708	5.56042	34.5343	0.710772
4	26	25.5609	5.75153	34.3508	0.722773
4	27	25.1423	5.91072	34.1445	0.73438
4	28	24.7217	6.04559	33.9248	0.745638
4	29	24.293	6.16082	33.6902	0.756784
4	30	23.8517	6.24853	33.4316	0.767755
4	31	23.409	6.30275	33.1525	0.778207
4	32	22.9715	6.33278	32.8637	0.788203
4	33	22.5334	6.34449	32.5646	0.797997
4	34	22.0899	6.33227	32.2477	0.807578
4	35	21.6487	6.29014	31.9136	0.816656
4	36	21.2164	6.22417	31.5707	0.825206
4	37	20.7876	6.13809	31.2176	0.833428
4	38	20.3577	6.02365	30.8448	0.841249
4	39	19.9376	5.87342	30.4535	0.848246
4	40	19.5375	5.69833	30.0581	0.854379
4	41	19.1523	5.50844	29.6625	0.859967
4	42	18.8671	5.34942	29.3561	0.863796
4	43	18.6522	5.20573	29.1073	0.866204
4	44	18.4858	5.06599	28.8931	0.867458
4	45	18.3513	4.92074	28.6953	0.867758
4	46	18.2131	4.78387	28.5016	0.868353
4	47	18.1642	4.59574	28.3265	0.86538
4	48	18.2087	4.34358	28.1641	0.858371
4	49	18.222	4.0925	27.9833	0.852148
4	50	18.2468	3.84776	27.816	0.845682
4	51	18.2663	3.60948	27.6512	0.839439
4	52	18.2761	3.37742	27.4854	0.833536
4	53	18.2793	3.15066	27.3201	0.827871
4	54	18.2841	2.92909	27.1607	0.82222
4	55	18.2862	2.70703	26.9998	0.816565
4	56	18.2866	2.48126	26.836	0.810795
4	57	18.2838	2.25462	26.6702	0.805017
4	58	18.2747	2.0294	26.502	0.799374
4	59	18.2563	1.80645	26.3297	0.793971
4	60	18.2278	1.58528	26.1524	0.78882
4	61	18.1954	1.35411	25.9659	0.783432
4	62	18.1693	1.11154	25.7767	0.777478
4	63	18.1399	0.870084	25.5868	0.771559
4	64	18.1086	0.631747	25.3986	0.765693
4	65	18.0821	0.397309	25.2175	0.759718
4	66	18.0518	0.167322	25.0376	0.753892
4	67	18.0172	-0.0600892	24.8571	0.748176
4	68	17.9897	-0.288053	24.6823	0.742163
4	69	17.9556	-0.509811	24.5077	0.736436
4	70	17.9167	-0.725113	24.3346	0.730954
4	71	17.8858	-0.939202	24.1691	0.725212
4	72	17.8581	-1.14921	24.0095	0.719431
4	73	17.8319	-1.35405	23.8551	0.713698
4	74	17.8064	-1.55393	23.7054	0.708026
4	75	17.7821	-1.74967	23.56	0.702387
4	76	17.7594	-1.94201	23.4188	0.696744
4	77	17.7378	-2.13033	23.2818	0.691136
4	78	17.726	-2.31621	23.1546	0.685275
4	79	17.742	-2.5	23.0512	0.678661
4	80	17.8002	-2.69091	22.9774	0.670605
4	81	17.9035	-2.88611	22.938	0.661137
4	82	18.0432	-3.05237	22.9472	0.651683
4	83	18.2215	-3.19277	23.0049	0.642129
4	84	18.4275	-3.31571	23.0973	0.632524
4	85	18.6436	-3.43049	23.2048	0.623029
4	86	18.8625	-3.53872	23.3204	0.613782
4	87	19.0808	-3.6426	23.4399	0.604796
4	88	19.296	-3.74479	23.5598	0.596034
4	89	19.512	-3.84627	23.6824	0.587368
4	90	19.7277	-3.94578	23.8077	0.578867
4	91	19.9438	-4.04183	23.9369	0.570569
4	92	20.1595	-4.13279	24.0701	0.562549
4	93	20.3743	-4.21856	24.2067	0.55482
4	94	20.5834	-4.30011	24.3421	0.547447
4	95	20.7901	-4.37904	24.4782	0.540297
4	96	20.9911	-4.45474	24.6122	0.533459
4	97	21.1891	-4.52734	24.7463	0.526865
4	98	21.3861	-4.59706	24.8821	0.520461
4	99	21.5797	-4.6646	25.0169	0.51427
4	100	21.7723	-4.72907	25.1533	0.508273
4	101	21.9659	-4.78833	25.294	0.502501
4	102	22.1616	-4.84022	25.441	0.497008
4	103	22.3617	-4.87939	25.5985	0.491935
4	104	22.5701	-4.90029	25.7726	0.487402
4	105	22.7901	-4.89886	25.9678	0.483484
4	106	22.9933	-4.8759	26.1585	0.48065
4	107	23.1892	-4.83695	26.3503	0.478523
4	108	23.3811	-4.78678	26.5437	0.476871
4	109	23.5732	-4.7293	26.7408	0.475484
4	110	23.7689	-4.66706	26.9433	0.474213
4	111	23.9706	-4.60062	27.1532	0.472997
4	112	24.1791	-4.52932	27.3713	0.471845
