# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	75.7938	31.6078	8.93797	6.99312	62.7825	0	0	0	75.7938	0.953356	123	22	23.6477	1.21937	0	0.663925
1	1	0	0	81.7357	32.9938	0.715489	11.7879	58.8234	0	0	0	81.7357	0.943535	124	30	26.9973	1.57383	1	1.51017
2	1	1	0	67.7167	29.8854	17.7782	2.85914	61.8714	0	0	0	67.7167	0.95277	109	22	24.7955	0.81642	0	0.159458
3	1	0	0	100.453	37.334	-9.59494	13.4756	54.6846	0	0	0	100.453	0.905653	136	30	30.5094	1.91838	1	2.18954
4	1	1	0	99.5495	37.1877	26.7096	-0.0954434	56.6313	0	0	0	99.5495	0.904585	140	30	29.9978	0.52803	0	0.00357431
5	1	0	0	90.9313	35.2891	-19.3341	14.2139	49.6627	0	0	0	90.9313	0.917578	131	30	35.6511	2.17084	1	2.50765
6	1	1	0	72.0026	31.093	35.8955	-4.04485	50.4337	0	0	0	72.0026	0.935908	103	22	36.8309	0.307973	0	0.112212
7	1	0	0	94.2195	35.3635	-30.4601	14.635	43.6018	0	0	0	94.2195	0.94676	124	30	43.2171	2.37932	1	2.69369
8	1	1	0	71.444	30.626	44.2511	-8.68677	44.7928	0	0	0	71.444	0.957182	121	30	43.9405	0.148991	0	0.193842
9	1	0	0	46.244	24.4851	-39.2276	14.6608	38.9815	0	0	0	46.244	0.969305	110	22	49.9423	2.50047	1	2.78393
10	2	0	0	67.9197	29.8663	1.66188	0.992636	69.5381	0	0	0	67.9197	0.956847	124	28	16.225	1.51749	0	0
11	2	0	0	68.1175	29.7669	10.1734	-2.76912	71.5256	0	0	0	68.1175	0.966054	124	28	15.5778	0.924941	0	0
12	2	0	0	80.0216	32.7807	-6.65061	3.69359	63.8627	0	0	0	80.0216	0.935797	141	30	20.3173	1.94613	0	0
