# CellID	NodeIndex	X	Y	R	Theta
0	0	13.1948	9.55566	25.141	1.04826
0	1	13.2745	9.75113	25.3502	1.04939
0	2	13.3514	9.94613	25.5576	1.05058
0	3	13.426	10.1409	25.7637	1.05182
0	4	13.4981	10.3363	25.9691	1.05315
0	5	13.5671	10.5331	26.1744	1.05457
0	6	13.632	10.7315	26.3789	1.05615
0	7	13.6913	10.9302	26.5811	1.05789
0	8	13.7444	11.1268	26.7786	1.05976
0	9	13.7975	11.3288	26.9808	1.0617
0	10	13.8503	11.5336	27.1854	1.06368
0	11	13.9005	11.7403	27.3905	1.06574
0	12	13.9425	11.9495	27.594	1.06808
0	13	13.962	12.1606	27.7885	1.07112
0	14	14.0133	12.3634	27.9911	1.07299
0	15	13.9798	12.5307	28.1223	1.07687
0	16	13.8539	12.6962	28.209	1.08359
0	17	13.7511	12.8876	28.3306	1.08995
0	18	13.6013	13.073	28.4265	1.09764
0	19	13.3912	13.2649	28.5029	1.10727
0	20	13.0944	13.4778	28.5629	1.1199
0	21	12.673	13.7287	28.6093	1.13698
0	22	12.2432	13.9642	28.6465	1.15405
0	23	11.8107	14.1815	28.6742	1.17091
0	24	11.3729	14.387	28.6971	1.18775
0	25	10.926	14.579	28.7123	1.20469
0	26	10.4736	14.7538	28.7176	1.22158
0	27	10.0192	14.9152	28.7178	1.23837
0	28	9.55787	15.0654	28.7134	1.25527
0	29	9.08521	15.1985	28.6975	1.27236
0	30	8.61013	15.3172	28.6753	1.28942
0	31	8.1372	15.42	28.6469	1.30627
0	32	7.66229	15.5095	28.6132	1.32311
0	33	7.29624	15.5563	28.5711	1.33593
0	34	7.00073	15.5642	28.5115	1.34608
0	35	6.74785	15.5336	28.4264	1.35451
0	36	6.51233	15.5342	28.3773	1.36262
0	37	6.35418	15.4547	28.2672	1.36752
0	38	6.23289	15.2844	28.076	1.37052
0	39	6.05108	15.1447	27.9033	1.37591
0	40	5.78325	15.0339	27.7438	1.38461
0	41	5.3228	14.9614	27.5909	1.40052
0	42	5.03836	14.8408	27.4251	1.41
0	43	4.8185	14.6934	27.2451	1.4171
0	44	4.6308	14.5249	27.0502	1.423
0	45	4.45997	14.3417	26.8443	1.42829
0	46	4.29965	14.1522	26.6343	1.43324
0	47	4.14549	13.9611	26.4241	1.43803
0	48	3.99441	13.7701	26.2151	1.44278
0	49	3.84468	13.5795	26.0072	1.44755
0	50	3.69589	13.3885	25.7997	1.45236
0	51	3.54861	13.1966	25.5921	1.45719
0	52	3.40383	13.0042	25.3847	1.462
0	53	3.26243	12.8122	25.1788	1.46675
0	54	3.12476	12.6219	24.9755	1.47145
0	55	2.98924	12.4349	24.7763	1.47614
0	56	2.85725	12.2499	24.5799	1.48077
0	57	2.72779	12.0653	24.3847	1.48538
0	58	2.60125	11.8774	24.1869	1.48993
0	59	2.47874	11.6856	23.986	1.49438
0	60	2.36703	11.4865	23.7792	1.49842
0	61	2.27467	11.2769	23.5636	1.50169
