# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	81.9444	32.7242	7.84668	9.45614	61.2723	0	0	0	81.9444	0.961592	126	22	23.9024	1.26363	0	0.878139
1	1	1	0	96.9047	36.0579	-0.245294	13.2325	57.9379	0	0	0	96.9047	0.936599	133	30	26.574	1.60335	0	1.58934
2	1	1	0	105.988	39.0596	17.9068	6.36568	59.7985	0	0	0	105.988	0.872993	140	30	26.2044	0.850365	0	0.341553
3	1	0	0	91.7546	35.9782	-8.92285	16.2106	53.2692	0	0	0	91.7546	0.890757	144	30	31.0412	1.88327	1	2.07397
4	1	1	0	83.6649	33.3524	27.0905	3.63881	55.0965	0	0	0	83.6649	0.945145	121	22	31.4415	0.569979	0	0.133521
5	1	0	0	94.603	35.4104	-19.1473	17.8459	47.9187	0	0	0	94.603	0.948099	121	30	36.9122	2.13591	1	2.39136
6	1	1	0	81.1127	33.289	35.9987	0.100801	49.5848	0	0	0	81.1127	0.919809	109	22	37.8419	0.362757	0	0.00280028
7	1	0	0	74.9663	32.1552	-29.4617	17.9515	42.7924	0	0	0	74.9663	0.911115	127	22	43.3965	2.33668	1	2.59435
8	1	1	0	70.5055	30.52	44.762	-3.68889	43.968	0	0	0	70.5055	0.951184	119	30	45.1826	0.214978	0	0.082229
9	1	0	0	67.8805	29.6958	-38.6245	18.2146	38.0867	0	0	0	67.8805	0.96731	130	30	50.3487	2.46457	1	2.70094
10	2	0	0	67.7621	29.8683	1.14757	1.52148	69.6844	0	0	0	67.7621	0.954498	125	22	14.8584	1.53525	0	0
11	2	0	0	74.6037	31.1724	10.1952	-0.494931	69.9416	0	0	0	74.6037	0.964781	140	29	16.0115	0.929734	0	0
12	2	0	0	79.4107	32.3518	-7.20085	5.16314	62.8157	0	0	0	79.4107	0.953435	148	30	20.0764	1.97092	0	0
13	2	0	0	74.3318	31.1895	20.1235	-3.49563	63.8513	0	0	0	74.3318	0.960211	133	30	21.842	0.466918	0	0
14	2	0	0	73.8404	31.5738	-15.722	7.91631	55.7202	0	0	0	73.8404	0.930789	111	22	26.802	2.2265	0	0
15	2	0	0	81.3802	32.6805	30.1622	-6.71067	55.3372	0	0	0	81.3802	0.957527	130	30	30.2746	0.220339	0	0
16	2	0	0	96.346	35.9272	-25.5868	8.85222	48.9637	0	0	0	96.346	0.937987	157	30	34.3324	2.43922	0	0
17	2	1	0	84.2632	33.3568	40.006	-10.4848	47.6752	0	0	0	84.2632	0.951655	147	30	39.4889	0.072049	0	0
18	2	1	0	102.815	36.6858	-36.2061	8.99986	42.3496	0	0	0	102.815	0.96	154	30	43.0655	2.59655	0	0
19	3	0	0	70.8997	30.3044	4.67439	-8.56285	81.2429	88.3914	0	0	70.8997	0.970161	141	21	6.25649	0.865705	0	0
20	3	0	0	82.2721	33.1541	-4.69418	-5.77551	72.8469	82.2031	0	0	82.2721	0.940561	142	30	9.23407	2.18395	0	0
21	3	0	0	71.8079	30.5495	13.6125	-10.5456	72.2173	85.7699	0	0	71.8079	0.966881	120	22	13.2875	0.21092	0	0
22	3	0	0	89.4701	34.3849	-13.6193	-3.80807	63.4431	73.5773	0	0	89.4701	0.95094	135	30	17.1279	2.55229	0	0
23	3	0	0	76.5981	31.6107	22.943	-13.4723	61.865	77.1994	0	0	76.5981	0.963298	141	30	22.324	-0.00648812	0	0
24	3	0	0	90.3344	34.8725	-22.054	-2.1932	55.583	65.2783	0	0	90.3344	0.933462	111	30	25.2599	2.68511	0	0
25	3	1	0	80.9195	32.4749	32.516	-16.6598	52.8958	67.276	0	0	80.9195	0.9642	144	30	32.07	-0.104095	0	0
26	3	1	0	90.6098	34.4667	-31.0471	-1.10793	48.3341	57.2651	0	0	90.6098	0.958486	144	30	33.9425	2.77332	0	0
27	4	0	0	77.4959	32.9661	-1.24539	-17.5169	74.4904	99.2843	0	0	77.4959	0.896095	145	27	4.58572	-1.98961	0	0
28	4	0	0	85.1964	33.6743	7.26787	-19.6414	73.0864	101.642	0	0	85.1964	0.944132	131	30	9.16876	-0.759606	0	0
29	4	0	0	81.1663	33.3749	-9.37623	-15.6494	68.1508	87.2993	0	0	81.1663	0.915685	126	28	10.2619	-2.91335	0	0
30	4	0	0	83.2935	33.505	16.539	-21.2279	65.317	88.4285	0	0	83.2935	0.932397	123	30	17.772	-0.460662	0	0
31	4	0	0	89.9328	34.7799	-18.3465	-14.2173	59.9487	75.8019	0	0	89.9328	0.934269	123	30	18.9869	-3.09471	0	0
32	4	1	0	78.1059	31.9199	25.9744	-23.277	56.339	75.533	0	0	78.1059	0.963318	149	30	27.2372	-0.373947	0	0
33	4	1	0	91.3746	34.8002	-27.2752	-12.4357	52.3349	65.4114	0	0	91.3746	0.94814	143	30	27.909	3.10963	0	0
34	5	0	0	66.3449	29.429	2.36318	-28.517	64.3223	99.0229	0	0	66.3449	0.962646	139	21	15.2893	-1.4565	0	0
35	5	0	0	72.7449	30.7806	-6.08579	-26.9559	63.2829	92.7772	0	0	72.7449	0.964847	145	22	15.1886	-2.02803	0	0
36	5	0	0	82.389	32.9594	11.7928	-30.2071	61.1195	90.7891	0	0	82.389	0.953059	149	30	20.2426	-0.986072	0	0
37	5	0	0	82.2352	34.0509	-14.7765	-26.0293	58.3506	81.3655	0	0	82.2352	0.891272	151	30	19.9593	-2.45179	0	0
38	5	1	0	80.3335	32.2318	21.5767	-31.4441	55.3949	79.0883	0	0	80.3335	0.971712	156	30	27.7022	-0.712828	0	0
39	5	1	0	93.3292	35.3325	-23.2421	-24.5788	52.8121	71.1472	0	0	93.3292	0.939462	147	30	26.3812	-2.70098	0	0
40	6	0	0	72.3187	30.6129	-2.20124	-36.9207	55.9722	85.1705	0	0	72.3187	0.969732	120	22	23.7612	-1.68979	0	0
41	6	0	0	67.0805	29.6862	6.6773	-38.0858	55.1994	84.2169	0	0	67.0805	0.956528	113	22	25.4887	-1.33084	0	0
42	6	0	0	79.7576	32.5831	-10.7429	-36.5892	53.5116	79.118	0	0	79.7576	0.944053	112	30	25.8885	-2.02517	0	0
43	6	1	0	60.1329	27.9514	16.4848	-38.9425	52.2471	77.7429	0	0	60.1329	0.967197	139	22	30.1303	-1.01625	0	0
44	6	1	0	67.3738	29.6882	-19.2302	-35.9346	49.8107	71.2685	0	0	67.3738	0.960581	134	22	30.0848	-2.29134	0	0
45	7	0	1	96.1162	37.53	-0.24522	-47.7646	47.5034	72.1474	0	0	96.1162	0.85753	148	30	34.4479	-1.5959	0	0
46	7	0	1	97.8402	37.5601	8.66463	-47.9788	47.1878	71.5517	0	0	97.8402	0.871512	148	30	35.5729	-1.34267	0	0
47	7	0	1	105.947	39.6292	-9.11507	-47.8342	46.0327	69.0035	0	0	105.947	0.847749	159	30	35.8535	-1.84576	0	0
48	7	1	1	60.1356	28.6223	16.7469	-47.0786	46.3408	69.3117	0	0	60.1356	0.922426	143	22	37.4063	-1.12504	0	0
49	7	1	1	86.1695	34.1357	-17.6815	-46.0173	44.553	65.323	0	0	86.1695	0.929281	148	30	37.464	-2.08116	0	0
