# CellID	NodeIndex	X	Y	R	Theta
0	0	9.70553	4.92803	22.6107	1.17258
0	1	9.72317	5.14852	22.8208	1.17561
0	2	9.74698	5.37267	23.037	1.1784
0	3	9.76561	5.60094	23.2551	1.18142
0	4	9.78554	5.83089	23.4755	1.18435
0	5	9.80643	6.06083	23.6965	1.18719
0	6	9.82164	6.29138	23.9161	1.19021
0	7	9.83789	6.51804	24.1327	1.19307
0	8	9.85218	6.74519	24.3492	1.19597
0	9	9.86606	6.96709	24.5608	1.19875
0	10	9.87827	7.18397	24.7674	1.20147
0	11	9.88936	7.39458	24.9679	1.2041
0	12	9.89909	7.59811	25.1615	1.20664
0	13	9.90613	7.79535	25.3484	1.20915
0	14	9.89987	7.98492	25.5236	1.21201
0	15	9.94657	8.155	25.6992	1.21263
0	16	9.93024	8.29807	25.8276	1.21517
0	17	9.84278	8.45035	25.9402	1.22037
0	18	9.77188	8.6309	26.0858	1.2253
0	19	9.64997	8.82615	26.2288	1.2322
0	20	9.45947	9.05246	26.3802	1.24186
0	21	9.1721	9.32803	26.5507	1.25545
0	22	8.86378	9.57942	26.6966	1.26935
0	23	8.54752	9.81704	26.8322	1.28324
0	24	8.22289	10.0442	26.9606	1.29718
0	25	7.87898	10.2524	27.0709	1.31149
0	26	7.51928	10.432	27.1551	1.32599
0	27	7.15291	10.5845	27.2171	1.3404
0	28	6.7786	10.7162	27.2627	1.35487
0	29	6.38884	10.8243	27.2877	1.36967
0	30	5.98524	10.8969	27.2813	1.3847
0	31	5.58258	10.9327	27.245	1.39947
0	32	5.18438	10.9435	27.1906	1.41397
0	33	4.78524	10.9395	27.1271	1.42848
0	34	4.38421	10.9057	27.0396	1.44298
0	35	4.0813	10.8453	26.9427	1.45385
0	36	3.84767	10.7569	26.8287	1.46211
0	37	3.6384	10.7072	26.7572	1.46969
0	38	3.51703	10.6011	26.6396	1.47382
0	39	3.43977	10.4084	26.4405	1.47602
0	40	3.32834	10.2214	26.244	1.47957
0	41	3.24006	10.0117	26.0272	1.48222
0	42	3.1487	9.79595	25.8043	1.485
0	43	3.0596	9.57402	25.5756	1.48773
0	44	2.96781	9.34497	25.3398	1.49059
0	45	2.88032	9.11087	25.0996	1.49332
0	46	2.79555	8.873	24.856	1.49598
0	47	2.71693	8.63778	24.6156	1.49845
0	48	2.63731	8.40273	24.3755	1.50101
0	49	2.56081	8.16719	24.1353	1.50349
0	50	2.48356	7.92838	23.8919	1.50604
0	51	2.40539	7.68495	23.644	1.50868
0	52	2.33329	7.44459	23.3997	1.51112
0	53	2.26183	7.20732	23.1586	1.51359
0	54	2.19699	6.97449	22.9225	1.51583
0	55	2.13272	6.7441	22.689	1.5181
0	56	2.06761	6.51338	22.4552	1.52045
0	57	2.00516	6.28016	22.2192	1.52273
0	58	1.94425	6.04603	21.9825	1.52499
0	59	1.88506	5.8128	21.7469	1.52722
0	60	1.82684	5.5808	21.5126	1.52945
0	61	1.76843	5.34829	21.2779	1.53174
0	62	1.70947	5.11247	21.0401	1.5341
0	63	1.65154	4.87128	20.797	1.53646
0	64	1.59764	4.62512	20.5491	1.53867
0	65	1.54957	4.37669	20.2993	1.54065
0	66	1.50682	4.12859	20.0501	1.5424
0	67	1.46807	3.88136	19.8019	1.54401
0	68	1.43093	3.63504	19.5547	1.54557
0	69	1.407	3.38929	19.3084	1.54648
0	70	1.41069	3.14313	19.0624	1.54598
0	71	1.45404	2.89495	18.8155	1.54335
0	72	1.54745	2.64505	18.5685	1.53795
0	73	1.67894	2.4298	18.3582	1.5304
0	74	1.83854	2.23526	18.171	1.5212
0	75	2.0086	2.04973	17.995	1.51125
0	76	2.18167	1.87096	17.8278	1.50096
0	77	2.35413	1.6949	17.6652	1.49052
0	78	2.52758	1.52187	17.5076	1.47986
0	79	2.70101	1.35221	17.3554	1.46902
0	80	2.87271	1.18862	17.2112	1.45813
0	81	3.04929	1.03245	17.0769	1.44682
0	82	3.22718	0.885611	16.9543	1.43534
0	83	3.40313	0.747266	16.8421	1.42388
0	84	3.57568	0.61584	16.7384	1.41253
0	85	3.74495	0.490401	16.6423	1.4013
0	86	3.91254	0.371542	16.5545	1.39011
0	87	4.08546	0.259854	16.4768	1.37857
0	88	4.26654	0.161116	16.4156	1.36659
0	89	4.46185	0.0838115	16.3808	1.35396
0	90	4.67968	0.0324994	16.3791	1.34029
0	91	4.93106	0.00760308	16.4142	1.32504
0	92	5.17683	0.00893683	16.477	1.31059
0	93	5.42166	0.0333112	16.5652	1.29669
0	94	5.67272	0.0779789	16.6777	1.28292
0	95	5.92575	0.131891	16.8028	1.26939
0	96	6.18094	0.191104	16.9366	1.25604
0	97	6.43538	0.253886	17.0765	1.24301
0	98	6.68432	0.318642	17.2193	1.23053
0	99	6.92675	0.388038	17.3668	1.21871
0	100	7.16326	0.460393	17.5174	1.20746
0	101	7.39559	0.534968	17.6707	1.19667
0	102	7.62448	0.612803	17.8278	1.18631
0	103	7.84823	0.695227	17.989	1.1765
0	104	8.06357	0.7821	18.1527	1.16739
0	105	8.26791	0.871574	18.3158	1.15904
0	106	8.46065	0.961401	18.4758	1.15143
0	107	8.64289	1.05049	18.6318	1.14444
0	108	8.81627	1.13978	18.7852	1.138
0	109	8.98501	1.23438	18.9422	1.13201
0	110	9.1476	1.33903	19.1063	1.12664
0	111	9.29854	1.46487	19.285	1.12237
0	112	9.43825	1.63189	19.4961	1.11963
0	113	9.54013	1.81434	19.7047	1.11901
0	114	9.60653	2.01471	19.914	1.12041
0	115	9.6396	2.23428	20.1262	1.12368
0	116	9.65351	2.46493	20.3404	1.12796
0	117	9.66376	2.69387	20.5518	1.13228
0	118	9.6706	2.92059	20.7602	1.13662
0	119	9.67377	3.14468	20.965	1.14098
0	120	9.67842	3.36752	21.1697	1.14517
0	121	9.68508	3.59118	21.3763	1.14921
0	122	9.6892	3.81659	21.5839	1.1533
0	123	9.69302	4.04282	21.7924	1.15735
0	124	9.69558	4.26776	21.9996	1.16136
0	125	9.69817	4.48986	22.2045	1.16523
0	126	9.6988	4.70932	22.4066	1.16907
2	0	18.7138	3.08932	26.0211	0.818737
2	1	18.7281	3.29567	26.1819	0.82372
2	2	18.7379	3.49953	26.3384	0.828706
2	3	18.7436	3.70026	26.4906	0.833669
2	4	18.7469	3.89762	26.6392	0.838559
2	5	18.7476	4.09158	26.7843	0.843378
2	6	18.7444	4.28517	26.927	0.84825
2	7	18.7363	4.47768	27.0664	0.853177
2	8	18.7259	4.66784	27.2031	0.858063
2	9	18.7119	4.85367	27.3349	0.862894
2	10	18.6929	5.04187	27.4659	0.867875
2	11	18.6682	5.22944	27.5934	0.872952
2	12	18.6419	5.41387	27.7181	0.877956
2	13	18.6144	5.59255	27.8383	0.882816
2	14	18.5824	5.77619	27.9603	0.887871
2	15	18.5469	5.96212	28.0825	0.893028
2	16	18.5087	6.14778	28.2035	0.898213
2	17	18.4709	6.331	28.3237	0.903286
2	18	18.4314	6.50815	28.4387	0.908233
2	19	18.3872	6.69064	28.5558	0.913383
2	20	18.3362	6.87374	28.6699	0.918695
2	21	18.2817	7.05527	28.7815	0.924028
2	22	18.2195	7.23216	28.8857	0.929435
2	23	18.1425	7.39855	28.9733	0.935002
2	24	18.0914	7.56641	29.0784	0.939844
2	25	17.9947	7.69473	29.1254	0.945123
2	26	17.824	7.80201	29.1131	0.952034
2	27	17.6599	7.93521	29.1272	0.959276
2	28	17.4531	8.06061	29.1121	0.967566
2	29	17.1835	8.18699	29.0647	0.977671
2	30	16.8615	8.31241	28.9907	0.989299
2	31	16.4667	8.43982	28.8831	1.00315
2	32	16.0651	8.54084	28.755	1.01681
2	33	15.6644	8.62016	28.6142	1.03018
2	34	15.2628	8.68448	28.4652	1.04344
2	35	14.8554	8.73331	28.3049	1.05675
2	36	14.4426	8.76102	28.1285	1.07001
2	37	14.0313	8.76705	27.9387	1.08302
2	38	13.6229	8.7577	27.7413	1.09587
2	39	13.2136	8.73879	27.5396	1.10878
2	40	12.7997	8.69884	27.3216	1.12169
2	41	12.389	8.6318	27.0851	1.13427
2	42	11.9893	8.54319	26.8378	1.14637
2	43	11.6002	8.43699	26.5826	1.15807
2	44	11.3127	8.32877	26.369	1.16641
2	45	11.0941	8.20941	26.1737	1.17229
2	46	10.9234	8.07103	25.9802	1.17628
2	47	10.7503	7.9656	25.8166	1.1809
2	48	10.6508	7.81442	25.639	1.18225
2	49	10.6126	7.58144	25.4089	1.18017
2	50	10.5457	7.35062	25.17	1.17913
2	51	10.5012	7.11409	24.9345	1.17716
2	52	10.4677	6.87947	24.705	1.17477
2	53	10.4397	6.6497	24.4823	1.17221
2	54	10.4145	6.42553	24.266	1.16958
2	55	10.3892	6.20688	24.0549	1.167
2	56	10.3648	5.99324	23.849	1.16442
2	57	10.3441	5.78463	23.6493	1.16173
2	58	10.3245	5.58269	23.4563	1.15908
2	59	10.3065	5.37483	23.2587	1.15621
2	60	10.2927	5.16376	23.06	1.15307
2	61	10.2824	4.95194	22.8624	1.14972
2	62	10.2748	4.74056	22.6665	1.14622
2	63	10.2689	4.52977	22.4721	1.14259
2	64	10.2643	4.31898	22.2786	1.13885
2	65	10.261	4.10742	22.0853	1.13497
2	66	10.2597	3.8949	21.8923	1.13093
2	67	10.2611	3.68216	21.7005	1.1267
2	68	10.2655	3.47066	21.5117	1.12229
2	69	10.273	3.26198	21.3271	1.11773
2	70	10.2835	3.05733	21.1479	1.11305
2	71	10.2968	2.85725	20.9746	1.10826
2	72	10.3137	2.66178	20.8074	1.10334
2	73	10.334	2.47033	20.6459	1.09829
2	74	10.3599	2.28257	20.4908	1.09299
2	75	10.3853	2.10089	20.3414	1.08778
2	76	10.4169	1.92443	20.2001	1.08234
2	77	10.4527	1.75091	20.064	1.0767
2	78	10.508	1.57939	19.9397	1.07018
2	79	10.5883	1.39799	19.8197	1.06223
2	80	10.7029	1.20785	19.7104	1.05245
2	81	10.8346	1.03724	19.6284	1.04232
2	82	10.9905	0.885461	19.5771	1.03153
2	83	11.1774	0.744477	19.5535	1.01963
2	84	11.3766	0.612067	19.5465	1.0074
2	85	11.5781	0.483161	19.5465	0.995163
2	86	11.7809	0.355413	19.5513	0.982902
2	87	11.9844	0.229664	19.5609	0.970682
2	88	12.1886	0.108228	19.5775	0.95857
2	89	12.3924	-0.00703401	19.6017	0.946683
2	90	12.5925	-0.117843	19.63	0.935111
2	91	12.7879	-0.224612	19.6613	0.923892
2	92	12.9789	-0.327842	19.6952	0.912993
2	93	13.1671	-0.427693	19.7324	0.902351
2	94	13.3549	-0.523305	19.7749	0.8919
2	95	13.5453	-0.612164	19.8263	0.881615
2	96	13.7411	-0.689136	19.8924	0.871555
2	97	13.9466	-0.749895	19.9791	0.861727
2	98	14.1707	-0.790378	20.0953	0.851951
2	99	14.3805	-0.801591	20.2257	0.84378
2	100	14.5795	-0.788345	20.3683	0.836912
2	101	14.7733	-0.757159	20.5217	0.830917
2	102	14.9624	-0.715592	20.6801	0.825519
2	103	15.1505	-0.667554	20.8433	0.82045
2	104	15.3414	-0.615361	21.0119	0.815499
2	105	15.5381	-0.559445	21.1877	0.810547
2	106	15.7369	-0.498048	21.3694	0.805784
2	107	15.9385	-0.430296	21.5582	0.801215
2	108	16.1428	-0.356292	21.7537	0.796837
2	109	16.349	-0.276807	21.9548	0.792653
2	110	16.5556	-0.193109	22.1596	0.788664
2	111	16.7617	-0.106639	22.3664	0.784852
2	112	16.9669	-0.0183867	22.5741	0.781192
2	113	17.1714	0.0716913	22.7829	0.77768
2	114	17.375	0.165162	22.9936	0.774365
2	115	17.5758	0.265668	23.2076	0.771409
2	116	17.7644	0.377561	23.4209	0.769219
2	117	17.9363	0.504098	23.6324	0.768009
2	118	18.0934	0.650336	23.847	0.767842
