# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	77.5572	32.3922	5.83374	5.59095	62.0774	0	0	0	77.5572	0.92886	127	28	21.5943	1.344	0	0.764155
1	1	0	0	84.697	35.2151	-1.93761	9.05735	58.9692	0	0	0	84.697	0.858264	143	30	24.6805	1.68921	1	1.78155
2	1	1	0	71.3805	30.5828	14.7718	4.12096	59.8385	0	0	0	71.3805	0.959038	131	20	23.9437	0.956859	0	0.272056
3	1	0	0	75.897	32.847	-10.1514	11.0793	54.992	0	0	0	75.897	0.88398	137	27	28.7695	1.96801	1	2.31252
4	1	1	0	92.3613	35.6251	24.384	3.41137	54.2219	0	0	0	92.3613	0.914509	136	30	30.06	0.678296	0	0.138996
5	1	0	0	97.9184	36.3846	-20.6651	12.6499	49.1635	0	0	0	97.9184	0.929476	142	30	35.4689	2.22711	1	2.5923
6	1	1	0	91.2723	35.523	34.4146	1.42731	48.1368	0	0	0	91.2723	0.908927	134	30	37.4547	0.467453	0	0.0414496
7	1	0	0	85.6369	33.9757	-31.377	11.5159	44.0439	0	0	0	85.6369	0.932253	125	29	42.1192	2.44679	1	2.78984
8	1	1	0	78.204	31.9568	43.798	-1.1818	42.565	0	0	0	78.204	0.962302	135	30	45.1347	0.321649	0	0.0269775
9	1	0	0	43.3189	23.7953	-40.5257	10.5915	39.4073	0	0	0	43.3189	0.961403	107	21	48.9973	2.58123	1	2.88596
10	2	0	0	54.5544	26.9269	0.0512285	-2.04165	70.2601	0	0	0	54.5544	0.945514	102	21	13.4407	1.63981	0	0
11	2	0	0	72.8997	30.9707	9.24565	-4.01506	69.6573	0	0	0	72.8997	0.955067	141	30	14.1109	0.944804	0	0
12	2	0	0	65.6147	29.7732	-6.94277	0.361355	65.4244	0	0	0	65.6147	0.930165	140	21	17.6847	2.0352	0	0
13	2	0	0	69.391	30.1072	18.7958	-4.66808	62.4965	0	0	0	69.391	0.961995	137	29	20.8262	0.544189	0	0
14	2	0	0	82.6597	33.0257	-15.6483	3.03301	57.9829	0	0	0	82.6597	0.95236	152	30	24.861	2.30335	0	0
15	2	0	0	73.6401	31.7233	29.4604	-5.83709	53.9358	0	0	0	73.6401	0.919535	146	30	30.0609	0.325509	0	0
16	2	0	0	87.4278	34.1863	-26.2928	3.29129	50.5451	0	0	0	87.4278	0.940057	156	30	33.09	2.53948	0	0
17	2	1	0	61.26	28.3627	39.4535	-8.1654	46.6312	0	0	0	61.26	0.956956	141	22	39.1591	0.187124	0	0
18	2	1	0	94.5891	34.9769	-36.5867	2.65688	43.9806	0	0	0	94.5891	0.971599	149	30	41.7011	2.69243	0	0
19	3	0	0	70.8694	30.7579	4.14181	-12.2294	80.9528	90.0642	0	0	70.8694	0.941358	135	27	4.51484	0.794345	0	0
20	3	0	0	71.5224	30.8194	-4.27004	-10.5373	76.3041	86.2569	0	0	71.5224	0.946244	132	27	7.1889	2.38915	0	0
21	3	0	0	76.4494	31.9087	13.6632	-12.8354	70.3005	84.1449	0	0	76.4494	0.943551	155	29	12.9519	0.203293	0	0
22	3	0	0	78.7811	32.7202	-12.9676	-7.64229	65.8124	76.3291	0	0	78.7811	0.924696	161	29	15.9827	2.63119	0	0
23	3	0	0	68.4165	29.9774	23.584	-13.1367	60.1548	73.8071	0	0	68.4165	0.956713	125	27	22.7241	0.101992	0	0
24	3	0	0	78.196	32.1529	-21.9978	-6.22672	57.093	67.5375	0	0	78.196	0.950504	127	28	24.7581	2.75984	0	0
25	3	1	0	75.9665	31.4419	33.4852	-14.3692	51.5415	64.0598	0	0	75.9665	0.96564	149	30	32.5252	0.0332465	0	0
26	3	1	0	68.3577	29.8663	-30.5619	-6.2678	50.2577	60.1912	0	0	68.3577	0.96302	136	22	32.8495	2.85829	0	0
27	4	0	0	57.3445	27.4491	-0.190077	-20.7405	75.2022	103.033	0	0	57.3445	0.956414	117	19	5.41763	-1.78811	0	0
28	4	0	0	61.3812	28.4461	8.8472	-20.9808	72.082	97.235	0	0	61.3812	0.953234	142	25	9.61822	-0.612605	0	0
29	4	0	0	80.7103	32.7602	-8.95615	-19.1501	70.1527	90.3916	0	0	80.7103	0.945033	124	30	10.6008	-2.78507	0	0
30	4	0	0	67.7796	29.9492	18.5	-21.1556	63.5622	83.4529	0	0	67.7796	0.949595	145	27	18.4274	-0.31478	0	0
31	4	0	0	80.1758	33.6921	-17.4798	-17.1174	62.4785	78.8537	0	0	80.1758	0.887561	118	30	18.5329	-3.05152	0	0
32	4	1	0	79.1531	32.0374	28.2863	-22.1142	54.7864	71.3632	0	0	79.1531	0.969086	157	30	28.1096	-0.239346	0	0
33	4	1	0	83.082	33.0745	-26.0597	-16.2591	54.5549	68.6297	0	0	83.082	0.954399	145	28	27.0498	-3.11169	0	0
34	5	0	0	65.9914	29.5682	4.95631	-29.3833	65.8701	99.7826	0	0	65.9914	0.948523	131	25	14.4898	-1.29267	0	0
35	5	0	0	68.4342	29.8007	-3.78089	-29.5119	65.0333	97.0304	0	0	68.4342	0.968342	121	22	14.8451	-1.89713	0	0
36	5	0	0	68.2443	29.667	13.7664	-29.4543	61.9733	88.8852	0	0	68.2443	0.974382	138	20	18.9646	-0.830738	0	0
37	5	0	0	70.7614	30.6179	-12.7773	-28.5063	61.0349	85.8736	0	0	70.7614	0.948542	104	27	18.9649	-2.38227	0	0
38	5	1	0	78.4582	31.9641	23.1034	-30.0064	55.5806	76.7791	0	0	78.4582	0.96499	151	30	26.4842	-0.581902	0	0
39	5	1	0	76.7068	31.6235	-21.5576	-26.7234	55.6397	75.033	0	0	76.7068	0.963884	138	27	25.198	-2.67776	0	0
40	6	0	0	73.1016	31.1205	1.86075	-38.8893	57.0362	86.6758	0	0	73.1016	0.948512	137	28	23.4556	-1.53315	0	0
41	6	0	0	59.7732	28.2477	10.4591	-38.0014	56.447	84.3922	0	0	59.7732	0.941345	113	22	24.4631	-1.17281	0	0
42	6	0	0	79.5627	32.8515	-7.35907	-38.509	55.9175	83.5181	0	0	79.5627	0.926424	142	29	24.5196	-1.91773	0	0
43	6	1	0	74.3395	31.1097	19.0266	-38.4338	52.7396	76.4303	0	0	74.3395	0.965247	143	30	29.2231	-0.905092	0	0
44	6	1	0	90.4755	34.487	-17.3597	-37.282	52.4844	75.3027	0	0	90.4755	0.95594	154	30	28.5114	-2.26943	0	0
45	7	0	1	86.9218	35.5292	0.0130281	-48.5647	48.9203	73.8562	0	0	86.9218	0.865301	146	30	33.1285	-1.59993	0	0
46	7	0	1	82.4199	34.1915	8.48295	-48.188	48.7933	73.3539	0	0	82.4199	0.885944	139	29	33.5869	-1.34545	0	0
47	7	0	1	86.226	35.4362	-8.38075	-48.4853	47.9424	71.6483	0	0	86.226	0.862887	147	30	34.3351	-1.84686	0	0
48	7	1	1	83.9154	33.694	17.0001	-47.5759	47.2724	69.8414	0	0	83.9154	0.928849	158	30	35.8993	-1.10816	0	0
49	7	1	1	85.5548	34.6037	-16.6579	-47.116	46.4483	68.0168	0	0	85.5548	0.897861	158	30	36.2456	-2.07895	0	0
