# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	81.6682	33.147	4.28632	13.7081	59.0654	0	0	0	81.6682	0.934061	114	22	26.1091	1.46356	0	1.26773
1	1	0	0	72.3359	30.9323	-3.60024	12.5242	59.6648	0	0	0	72.3359	0.950035	112	22	25.2931	1.7735	0	1.85071
2	1	0	0	99.8946	36.769	14.9572	16.3418	53.9738	0	0	0	99.8946	0.928515	158	30	31.6049	1.13067	0	0.82961
3	1	0	0	77.9613	32.4581	-11.5579	13.3976	55.8741	0	0	0	77.9613	0.929915	114	29	28.7775	2.04145	0	2.28261
4	1	0	0	100.664	37.3065	26.8235	13.6136	49.9055	0	0	0	100.664	0.908901	135	30	36.2032	0.795807	0	0.469652
5	1	0	0	86.2125	34.258	-21.5364	12.4406	51.3622	0	0	0	86.2125	0.923118	128	30	33.7635	2.32135	0	2.61776
6	1	0	0	68.7105	30.5577	36.6654	8.06114	46.2523	0	0	0	68.7105	0.924678	114	22	40.6173	0.523699	0	0.216417
7	1	0	0	79.4137	33.5569	-31.3786	8.89716	47.0511	0	0	0	79.4137	0.886221	111	22	39.0859	2.56988	0	2.8653
8	1	1	0	71.2979	30.5881	44.4632	3.05915	42.61	0	0	0	71.2979	0.957594	124	30	45.6174	0.342265	0	0.0686931
9	1	1	0	53.9476	26.7637	-39.8755	5.3617	42.695	0	0	0	53.9476	0.94643	121	22	44.9606	2.73907	0	3.00794
10	2	0	0	82.5211	32.9843	1.79675	3.69538	69.2145	0	0	0	82.5211	0.953148	153	30	15.9493	1.55167	0	0
11	2	0	0	71.2546	31.3463	10.9729	6.35031	63.9349	0	0	0	71.2546	0.911275	107	22	20.8783	1.09942	0	0
12	2	0	0	70.1512	30.7493	-7.37371	3.11045	66.4055	0	0	0	70.1512	0.93234	122	22	17.7362	2.09422	0	0
13	2	0	0	91.6215	34.8108	19.9583	6.20397	58.5732	0	0	0	91.6215	0.95012	153	30	26.1075	0.785086	0	0
14	2	0	0	82.2111	33.1251	-16.0688	4.01523	59.5552	0	0	0	82.2111	0.941514	128	30	23.9367	2.39444	0	0
15	2	0	0	82.1682	32.9788	30.0946	2.6733	52.8116	0	0	0	82.1682	0.949387	145	30	32.2623	0.480919	0	0
16	2	0	0	89.859	34.8744	-25.6882	2.23027	53.2322	0	0	0	89.859	0.928451	159	30	30.797	2.65206	0	0
17	2	1	0	58.0063	27.799	38.8312	-2.03012	47.6066	0	0	0	58.0063	0.943252	134	22	38.7131	0.267185	0	0
18	2	1	0	77.7489	32.1213	-36.1286	-1.26721	46.2123	0	0	0	77.7489	0.94693	140	30	39.191	2.85752	0	0
19	3	0	0	72.2922	30.8654	6.9356	-4.77578	76.1298	83.7517	0	0	72.2922	0.95358	133	27	9.24743	0.941364	0	0
20	3	0	0	62.8161	28.5856	-2.64913	-5.48716	77.0756	85.4446	0	0	62.8161	0.966023	133	25	7.93077	2.12014	0	0
21	3	0	0	75.7161	32.6748	15.2701	-4.2053	67.7946	77.8796	0	0	75.7161	0.891193	124	27	15.9554	0.52853	0	0
22	3	0	0	73.1368	30.9757	-11.7635	-6.335	67.8921	79.6207	0	0	73.1368	0.957862	130	29	14.5156	2.72181	0	0
23	3	0	0	87.2678	34.2981	23.681	-5.10256	60.232	71.4638	0	0	87.2678	0.932234	156	30	23.3123	0.311661	0	0
24	3	0	0	81.9063	33.0809	-20.7443	-6.82391	59.5442	71.654	0	0	81.9063	0.940528	151	30	22.8888	2.9022	0	0
25	3	1	0	61.6411	28.3886	32.7841	-7.15518	52.7189	64.313	0	0	61.6411	0.961152	139	22	31.7046	0.16143	0	0
26	3	1	0	78.9256	32.1143	-30.1248	-8.07369	51.4624	63.2278	0	0	78.9256	0.961682	142	30	31.8913	3.01023	0	0
27	4	0	0	79.1515	34.372	1.43041	-15.338	77.1613	100.723	0	0	79.1515	0.841896	156	27	3.08759	-1.59067	0	0
28	4	0	0	92.7936	35.2972	10.0275	-15.3813	72.2759	94.0967	0	0	92.7936	0.935936	157	30	9.09158	-0.351499	0	0
29	4	0	0	95.0661	36.3594	-6.86212	-16.4292	70.7003	93.119	0	0	95.0661	0.903651	150	30	9.3405	-2.67783	0	0
30	4	0	0	81.1103	33.1918	19.087	-15.5205	64.1108	82.7132	0	0	81.1103	0.925177	147	22	17.8964	-0.183718	0	0
31	4	0	0	90.9119	35.307	-16.2612	-17.0826	61.8995	80.9193	0	0	90.9119	0.916452	155	30	18.3987	-2.87587	0	0
32	4	1	0	88.9785	34.134	27.8286	-15.9081	56.1702	72.1197	0	0	88.9785	0.959667	154	30	26.5895	-0.137974	0	0
33	4	1	0	83.0023	32.7507	-25.2146	-17.1505	54.4479	70.6496	0	0	83.0023	0.97243	144	30	27.152	-2.96015	0	0
34	5	0	0	84.2141	34.3045	5.78016	-26.3397	64.416	98.6715	0	0	84.2141	0.899276	153	30	14.7268	-1.27532	0	0
35	5	0	0	68.5953	30.0229	-2.50121	-27.0626	64.2381	97.1913	0	0	68.5953	0.956313	141	21	15.3404	-1.83412	0	0
36	5	0	0	80.3241	32.9796	14.3392	-26.9569	60.6974	88.4406	0	0	80.3241	0.928036	125	22	19.5274	-0.852747	0	0
37	5	0	0	80.2839	32.4316	-11.4561	-27.4461	59.6974	85.9008	0	0	80.2839	0.959184	144	29	19.9634	-2.27651	0	0
38	5	1	0	89.9774	34.2582	23.3165	-26.1491	55.7703	77.4427	0	0	89.9774	0.963419	155	30	25.8742	-0.567042	0	0
39	5	1	0	84.3241	33.1116	-20.8502	-27.5072	53.6797	74.7824	0	0	84.3241	0.966501	145	30	27.054	-2.54247	0	0
40	6	0	0	68.2568	29.9863	0.705104	-36.689	55.6032	85.3221	0	0	68.2568	0.953916	120	22	24.4506	-1.60298	0	0
41	6	0	0	90.5785	35.6186	9.94539	-37.3413	54.2513	82.4129	0	0	90.5785	0.897184	120	30	26.4761	-1.24581	0	0
42	6	0	0	84.7748	33.5933	-7.58304	-37.081	53.8209	81.0207	0	0	84.7748	0.944	120	30	26.4363	-1.92119	0	0
43	6	1	0	82.211	32.6036	18.9726	-36.391	51.9067	76.3611	0	0	82.211	0.971868	145	30	29.8047	-0.944048	0	0
44	6	1	0	88.4231	33.7518	-15.6804	-37.5071	50.3339	73.8288	0	0	88.4231	0.975399	144	30	30.541	-2.16792	0	0
