# CellID	NodeIndex	X	Y	R	Theta
0	0	9.22715	2.8518	21.6334	1.16433
0	1	9.21339	3.07364	21.832	1.16892
0	2	9.21162	3.30126	22.0409	1.17304
0	3	9.2216	3.53414	22.2596	1.17667
0	4	9.24309	3.77011	22.4859	1.17982
0	5	9.27779	4.00338	22.7149	1.18232
0	6	9.32693	4.23235	22.9454	1.18412
0	7	9.39046	4.45699	23.1774	1.18524
0	8	9.46288	4.67687	23.4084	1.1859
0	9	9.5386	4.89243	23.6366	1.18636
0	10	9.6083	5.1046	23.8595	1.18699
0	11	9.68142	5.30881	24.0762	1.18735
0	12	9.75886	5.50681	24.2888	1.18744
0	13	9.83263	5.7057	24.5008	1.18768
0	14	9.90632	5.90448	24.7128	1.18792
0	15	9.97947	6.10285	24.9241	1.18817
0	16	10.0524	6.29936	25.1336	1.1884
0	17	10.1222	6.49322	25.3395	1.1887
0	18	10.1919	6.68199	25.5407	1.18893
0	19	10.2608	6.86543	25.7366	1.1891
0	20	10.3254	7.04521	25.9275	1.18937
0	21	10.3808	7.22333	26.1134	1.18994
0	22	10.4508	7.39383	26.2977	1.18988
0	23	10.4788	7.55653	26.4592	1.19118
0	24	10.4574	7.71887	26.6022	1.19419
0	25	10.3913	7.89139	26.7386	1.19886
0	26	10.3349	8.08369	26.8975	1.20341
0	27	10.2421	8.29502	27.0619	1.20942
0	28	10.1011	8.53762	27.2399	1.21741
0	29	9.89585	8.82569	27.4406	1.22806
0	30	9.67462	9.09954	27.6259	1.23893
0	31	9.44404	9.36536	27.8037	1.24989
0	32	9.19663	9.62117	27.9702	1.26117
0	33	8.92677	9.86167	28.119	1.27291
0	34	8.637	10.0785	28.2433	1.28498
0	35	8.33601	10.2699	28.3441	1.29707
0	36	8.02776	10.4413	28.4279	1.30914
0	37	7.70987	10.5962	28.4974	1.32132
0	38	7.37934	10.7322	28.5497	1.33372
0	39	7.03889	10.8438	28.5805	1.34621
0	40	6.69512	10.9309	28.591	1.35861
0	41	6.34992	10.9975	28.5856	1.37091
0	42	5.99993	11.0449	28.5647	1.38325
0	43	5.64255	11.0682	28.5232	1.39571
0	44	5.2826	11.0611	28.4558	1.40812
0	45	4.92906	11.0249	28.3649	1.42021
0	46	4.58436	10.9661	28.2569	1.43196
0	47	4.24518	10.8876	28.1341	1.44352
0	48	3.90919	10.7874	27.9939	1.45497
0	49	3.5794	10.6624	27.8334	1.46622
0	50	3.32319	10.5382	27.6842	1.47496
0	51	3.11816	10.4141	27.5417	1.48193
0	52	2.94927	10.284	27.3976	1.48765
0	53	2.82157	10.139	27.2428	1.49188
0	54	2.73404	9.96614	27.0636	1.4946
0	55	2.67595	9.76412	26.8578	1.49619
0	56	2.60922	9.56541	26.6547	1.49813
0	57	2.5482	9.36113	26.4466	1.49987
0	58	2.48732	9.15073	26.2324	1.50161
0	59	2.42993	8.93458	26.0129	1.50324
0	60	2.37631	8.71344	25.7886	1.50474
0	61	2.32764	8.4887	25.5612	1.50606
0	62	2.28175	8.26215	25.3322	1.50729
0	63	2.23642	8.03413	25.1018	1.50851
0	64	2.1908	7.80338	24.8686	1.50976
0	65	2.14445	7.56826	24.6312	1.51106
0	66	2.10002	7.33224	24.3929	1.5123
0	67	2.05606	7.09478	24.1533	1.51354
0	68	2.01552	6.85935	23.916	1.51467
0	69	1.97559	6.62571	23.6805	1.5158
0	70	1.93604	6.39214	23.4451	1.51694
0	71	1.8968	6.15641	23.2076	1.51808
0	72	1.8577	5.91696	22.9665	1.51923
0	73	1.8205	5.67892	22.7268	1.52033
0	74	1.78407	5.44184	22.4882	1.52141
0	75	1.75043	5.20873	22.2537	1.5224
0	76	1.71798	4.97803	22.0218	1.52337
0	77	1.68558	4.7476	21.7901	1.52435
0	78	1.65343	4.5154	21.5566	1.52534
0	79	1.62521	4.28616	21.3263	1.52618
0	80	1.60012	4.05957	21.0989	1.52689
0	81	1.57651	3.83596	20.8744	1.52755
0	82	1.55335	3.61498	20.6527	1.5282
0	83	1.53042	3.39535	20.4323	1.52887
0	84	1.50794	3.17555	20.2117	1.52952
0	85	1.48703	2.95474	19.9902	1.53011
0	86	1.46801	2.73084	19.7658	1.53061
0	87	1.4532	2.50592	19.5404	1.53091
0	88	1.44431	2.28221	19.3165	1.53091
0	89	1.4427	2.06108	19.0955	1.53053
0	90	1.45048	1.84292	18.8779	1.52965
0	91	1.47088	1.62818	18.6642	1.52809
0	92	1.51186	1.41676	18.4548	1.52538
0	93	1.57986	1.20821	18.2497	1.52114
0	94	1.68384	0.999471	18.0467	1.51481
0	95	1.81217	0.810669	17.8659	1.50704
0	96	1.96672	0.639584	17.7058	1.49772
0	97	2.14407	0.480368	17.561	1.48698
0	98	2.32816	0.329057	17.4267	1.47573
0	99	2.51207	0.184247	17.3011	1.46435
0	100	2.69151	0.0442009	17.182	1.4531
0	101	2.86853	-0.0923026	17.0683	1.44186
0	102	3.04395	-0.226385	16.959	1.43059
0	103	3.21868	-0.358316	16.8539	1.41923
0	104	3.39314	-0.486969	16.7541	1.40778
0	105	3.56646	-0.610667	16.6613	1.39631
0	106	3.73719	-0.72756	16.5769	1.38494
0	107	3.90337	-0.83736	16.5007	1.37381
0	108	4.0644	-0.9394	16.4331	1.36299
0	109	4.21987	-1.03433	16.3732	1.3525
0	110	4.37495	-1.12282	16.3213	1.34205
0	111	4.52855	-1.2075	16.2745	1.33168
0	112	4.68212	-1.2851	16.2364	1.32135
0	113	4.83409	-1.36317	16.1991	1.31107
0	114	4.99386	-1.42518	16.1811	1.30055
0	115	5.16009	-1.48203	16.1716	1.2897
0	116	5.34244	-1.51458	16.192	1.27832
0	117	5.5426	-1.5386	16.2279	1.26609
0	118	5.73397	-1.53598	16.2888	1.25493
0	119	5.91931	-1.51959	16.3629	1.24447
0	120	6.10223	-1.4797	16.4601	1.23472
0	121	6.28641	-1.43181	16.5668	1.22518
0	122	6.47076	-1.37432	16.6841	1.21595
0	123	6.65705	-1.315	16.8051	1.20678
0	124	6.84435	-1.25167	16.9317	1.19778
0	125	7.03307	-1.1879	17.0605	1.18884
0	126	7.22081	-1.12209	17.1922	1.18013
0	127	7.40844	-1.05308	17.3281	1.17163
0	128	7.59314	-0.980451	17.4674	1.16351
0	129	7.77397	-0.907216	17.6068	1.15573
0	130	7.95012	-0.833738	17.7455	1.14831
0	131	8.12129	-0.759615	17.8838	1.14128
0	132	8.28755	-0.684144	18.022	1.13464
0	133	8.44837	-0.605524	18.1616	1.12844
0	134	8.60449	-0.525293	18.3012	1.12261
0	135	8.7525	-0.444188	18.4387	1.11728
0	136	8.89303	-0.362228	18.5742	1.11241
0	137	9.02469	-0.275603	18.7103	1.10815
0	138	9.14388	-0.178784	18.8502	1.10478
0	139	9.24462	-0.0608243	19.0009	1.10284
0	140	9.32462	0.0845686	19.1668	1.10253
0	141	9.37451	0.235392	19.3239	1.10375
0	142	9.39753	0.390354	19.4727	1.10628
0	143	9.39978	0.550248	19.6168	1.10983
0	144	9.39223	0.715071	19.7612	1.11388
0	145	9.38221	0.884433	19.9089	1.11809
0	146	9.3705	1.05812	20.0602	1.1224
0	147	9.3579	1.23619	20.2154	1.12678
0	148	9.34451	1.41904	20.3749	1.13123
0	149	9.3308	1.60741	20.5398	1.13573
0	150	9.31622	1.80195	20.7103	1.14033
0	151	9.30021	2.00284	20.8864	1.14504
0	152	9.28334	2.20954	21.0679	1.14982
0	153	9.26615	2.42077	21.2539	1.15462
0	154	9.24862	2.63518	21.4432	1.15941
2	0	18.6997	1.98168	26.1907	0.811722
2	1	18.7626	2.25475	26.4324	0.817106
2	2	18.823	2.53152	26.676	0.822556
2	3	18.884	2.81273	26.924	0.828002
2	4	18.9443	3.09801	27.1753	0.833465
2	5	19.0058	3.39182	27.4346	0.839006
2	6	19.0678	3.69679	27.7034	0.844696
2	7	19.1266	4.00992	27.977	0.850558
2	8	19.1729	4.32343	28.2437	0.856648
2	9	19.1777	4.61755	28.4697	0.863287
2	10	19.1091	4.87551	28.6221	0.870965
2	11	18.9641	5.12305	28.7193	0.880378
2	12	18.7709	5.36555	28.7848	0.890919
2	13	18.5189	5.62312	28.8289	0.903335
2	14	18.1809	5.91287	28.8507	0.918754
2	15	17.8177	6.17692	28.8437	0.934316
2	16	17.4433	6.41237	28.8138	0.949625
2	17	17.0612	6.6283	28.7704	0.964792
2	18	16.6647	6.8273	28.7115	0.980092
2	19	16.2529	7.00207	28.6306	0.995439
2	20	15.8377	7.15996	28.5405	1.01065
2	21	15.421	7.30047	28.4413	1.02569
2	22	14.9947	7.42414	28.3293	1.04082
2	23	14.556	7.52163	28.1949	1.056
2	24	14.116	7.58867	28.0397	1.07083
2	25	13.6788	7.63386	27.8727	1.08538
2	26	13.2372	7.65968	27.6924	1.09992
2	27	12.7875	7.65551	27.4876	1.11443
2	28	12.344	7.61166	27.2554	1.12833
2	29	12.0015	7.54062	27.046	1.13864
2	30	11.7307	7.45167	26.8526	1.14642
2	31	11.5085	7.34281	26.6624	1.15233
2	32	11.2969	7.25757	26.499	1.15832
2	33	11.1506	7.12251	26.3167	1.16135
2	34	11.0457	6.91683	26.0863	1.1619
2	35	10.9212	6.71376	25.8505	1.1632
2	36	10.813	6.49836	25.6099	1.16374
2	37	10.7147	6.27892	25.3694	1.16388
2	38	10.6243	6.06044	25.133	1.16374
2	39	10.541	5.84598	24.9031	1.1634
2	40	10.4632	5.63661	24.68	1.16294
2	41	10.3895	5.43169	24.4627	1.16238
2	42	10.3192	5.22964	24.2493	1.16173
2	43	10.2529	5.02876	24.0387	1.16094
2	44	10.1914	4.82799	23.8301	1.15995
2	45	10.1361	4.63114	23.6275	1.15876
2	46	10.0877	4.43886	23.432	1.15737
2	47	10.0481	4.2516	23.2446	1.1557
2	48	10.015	4.07224	23.0671	1.15387
2	49	9.98831	3.90075	22.8996	1.15191
2	50	9.96395	3.73612	22.7393	1.14994
2	51	9.94586	3.57124	22.5815	1.14769
2	52	9.92682	3.40423	22.4215	1.1454
2	53	9.9156	3.23082	22.259	1.14265
2	54	9.9041	3.04994	22.0897	1.13972
2	55	9.8999	2.85997	21.9155	1.13627
2	56	9.90054	2.66375	21.738	1.13245
2	57	9.91055	2.4623	21.56	1.12806
2	58	9.92713	2.25731	21.3821	1.12325
2	59	9.95048	2.05052	21.2061	1.11804
2	60	9.9784	1.84275	21.0318	1.11252
2	61	10.0101	1.63397	20.8589	1.10673
2	62	10.0449	1.42343	20.6866	1.10067
2	63	10.0835	1.21044	20.5146	1.09429
2	64	10.1277	0.994922	20.3439	1.0875
2	65	10.1805	0.779152	20.1779	1.08022
