# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	95.4203	36.1576	17.2563	6.4667	61.3566	0	0	0	95.4203	0.917172	158	30	22.3246	1.03283	0	0.358547
1	1	1	0	99.1396	36.3401	8.96786	11.4202	56.7654	0	0	0	99.1396	0.943377	146	30	24.3297	1.44094	0	0.905102
2	1	1	0	70.2368	30.3018	25.2278	2.29813	61.9033	0	0	0	70.2368	0.961254	112	22	24.5326	0.658009	0	0.0908454
3	1	1	0	100.934	37.0027	0.547001	16.4604	50.5701	0	0	0	100.934	0.926358	145	30	29.6374	1.74957	0	1.53758
4	1	1	0	71.3501	30.4037	34.805	-1.74441	57.6645	0	0	0	71.3501	0.969958	112	22	30.9905	0.361485	0	0.0500782
5	1	0	0	91.5835	35.4665	-7.51355	21.7726	44.0927	0	0	0	91.5835	0.914933	144	30	36.9647	1.93975	1	1.90309
6	1	1	0	106.686	38.2378	44.2322	-5.96314	51.5199	0	0	0	106.686	0.916923	147	30	39.0019	0.173722	0	0.134009
7	1	0	0	67.9501	30.3953	-15.5573	25.7721	38.8613	0	0	0	67.9501	0.924244	131	22	44.0151	2.07787	1	2.11389
8	1	1	0	59.65	27.8554	52.871	-11.217	45.6486	0	0	0	59.65	0.966053	125	22	47.0772	0.0316055	0	0.20906
9	1	0	0	47.6235	24.8318	-23.0323	29.0085	34.8236	0	0	0	47.6235	0.970544	117	22	50.7177	2.17588	1	2.24186
10	2	0	0	67.5363	29.5249	8.66836	0.275658	67.4869	0	0	0	67.5363	0.97358	128	22	13.2897	1.35459	0	0
11	2	0	0	72.1248	30.4737	17.3744	-3.60542	71.1111	0	0	0	72.1248	0.975987	141	22	14.7093	0.666964	0	0
12	2	0	0	76.7562	31.9824	0.0454304	5.29217	59.0799	0	0	0	76.7562	0.942981	153	30	18.8997	1.88115	0	0
13	2	0	0	71.399	30.2639	26.5969	-7.01824	67.1625	0	0	0	71.399	0.979608	135	22	21.5436	0.267113	0	0
14	2	0	0	78.9067	32.6144	-8.49028	10.6803	50.2826	0	0	0	78.9067	0.93219	152	30	27.4146	2.11987	0	0
15	2	0	0	81.1128	33.4761	36.4141	-11.4368	59.0497	0	0	0	81.1128	0.909554	141	30	30.6231	0.0414119	0	0
16	2	0	0	87.7405	34.4259	-16.5916	15.0814	43.7368	0	0	0	87.7405	0.930335	145	22	35.6963	2.24948	0	0
17	2	1	0	87.6617	33.8772	46.7598	-16.9259	50.1479	0	0	0	87.6617	0.959856	156	30	41.1596	-0.10274	0	0
18	2	1	0	108.138	37.8072	-24.7338	19.2476	38.2648	0	0	0	108.138	0.950696	156	30	44.2076	2.33378	0	0
19	3	0	0	71.0857	30.2095	9.06907	-9.88739	77.7493	85.9426	0	0	71.0857	0.978824	146	22	4.30241	0.713923	0	0
20	3	0	0	80.2757	32.8387	0.717176	-5.40213	66.7191	75.8374	0	0	80.2757	0.935454	140	30	8.90718	2.18045	0	0
21	3	0	0	80.1709	32.4357	18.3755	-13.2313	78.3279	89.7764	0	0	80.1709	0.95759	141	30	12.5693	-0.0419144	0	0
22	3	0	0	82.8262	33.0446	-8.21921	-0.100803	56.1294	63.9893	0	0	82.8262	0.953185	156	30	18.8648	2.40992	0	0
23	3	0	0	78.0166	32.3281	28.5932	-16.9462	66.6188	83.7238	0	0	78.0166	0.938073	155	30	23.1675	-0.184122	0	0
24	3	0	0	86.6496	34.6709	-17.0578	3.00441	48.905	56.022	0	0	86.6496	0.90583	146	30	27.7497	2.53983	0	0
25	3	1	0	81.0024	32.4923	38.1919	-21.1977	56.4405	73.4154	0	0	81.0024	0.964154	156	30	33.4701	-0.256556	0	0
26	3	1	0	93.8859	35.3872	-24.6389	7.01591	43.1239	49.3445	0	0	93.8859	0.942146	153	30	36.2833	2.56697	0	0
27	4	0	0	64.6355	28.9457	2.1475	-16.4932	70.0262	87.627	0	0	64.6355	0.969424	123	22	5.27455	-2.34027	0	0
28	4	0	0	76.5433	31.5092	11.0271	-20.0387	75.4528	101.571	0	0	76.5433	0.968819	119	30	8.99614	-0.953154	0	0
29	4	0	0	88.7665	34.7544	-6.44086	-11.8896	61.3752	74.8999	0	0	88.7665	0.923504	160	30	12.2852	3.0752	0	0
30	4	0	0	80.2502	32.5808	20.7903	-23.0783	69.8439	97.7276	0	0	80.2502	0.950018	150	30	18.2155	-0.605896	0	0
31	4	0	0	88.1969	34.5836	-15.2955	-9.13105	53.8595	65.2946	0	0	88.1969	0.926665	149	30	21.4131	2.97392	0	0
32	4	1	0	80.2335	32.2451	30.65	-26.8576	60.0814	82.928	0	0	80.2335	0.969701	155	30	28.5827	-0.518018	0	0
33	4	1	0	85.688	33.8302	-23.8744	-5.82937	47.0535	56.4809	0	0	85.688	0.94085	131	30	30.4773	2.91405	0	0
34	5	0	0	85.649	33.8321	4.53073	-27.7836	64.5745	93.9479	0	0	85.649	0.940317	137	30	15.1338	-1.65591	0	0
35	5	0	0	91.8086	36.5763	-4.15244	-25.0828	60.1321	82.5268	0	0	91.8086	0.862371	149	30	15.8939	-2.24884	0	0
36	5	0	0	82.4231	32.7237	14.2053	-30.297	64.5942	99.3793	0	0	82.4231	0.96724	111	30	19.4898	-1.12588	0	0
37	5	0	0	93.5155	35.9544	-12.353	-21.8935	54.7486	72.2318	0	0	93.5155	0.909052	141	22	20.3616	-2.67339	0	0
38	5	1	0	58.8378	27.708	23.8616	-32.6018	59.9017	88.3646	0	0	58.8378	0.963064	135	22	26.8606	-0.834194	0	0
39	5	1	0	98.8244	36.5163	-20.7968	-18.4281	49.1381	62.7547	0	0	98.8244	0.931321	154	30	27.2226	-2.92976	0	0
40	6	0	0	72.0256	30.9064	0.505957	-36.6774	55.4894	82.1279	0	0	72.0256	0.947543	111	22	24.5541	-1.78883	0	0
41	6	0	0	66.9912	30.0553	9.2245	-38.2336	56.7579	86.5727	0	0	66.9912	0.931936	104	22	25.7554	-1.43812	0	0
42	6	0	0	104.656	37.8949	-9.37038	-35.5735	51.0364	72.4898	0	0	104.656	0.915821	131	30	27.4527	-2.15703	0	0
43	6	1	0	72.585	30.7468	19.0256	-39.5662	55.4022	84.1418	0	0	72.585	0.964843	138	30	29.9333	-1.1138	0	0
44	6	1	0	72.6697	30.9759	-18.0855	-31.1042	47.6403	64.8043	0	0	72.6697	0.951732	134	22	30.1643	-2.48556	0	0
45	7	0	1	100.822	38.6617	-0.96273	-47.7614	47.0796	70.246	0	0	100.822	0.847625	147	30	35.7064	-1.76184	0	0
46	7	0	1	104.787	39.2623	8.07725	-48.1617	48.4858	73.5738	0	0	104.787	0.854215	159	30	35.529	-1.50715	0	0
47	7	0	1	95.554	36.6561	-9.87522	-47.3224	44.2435	64.446	0	0	95.554	0.893646	145	30	38.0085	-1.9964	0	0
48	7	1	1	82.8462	34.0067	17.0518	-47.8245	48.8695	74.2447	0	0	82.8462	0.900229	156	30	36.873	-1.26119	0	0
49	7	1	1	93.9103	36.2684	-17.9036	-42.7213	42.9491	60.6641	0	0	93.9103	0.897152	153	30	38.2581	-2.23957	0	0
