# CellID	NodeIndex	X	Y	R	Theta
0	0	8.01415	1.81804	23.1038	1.18161
0	1	8.02855	2.02438	23.3003	1.1844
0	2	8.04255	2.23102	23.4971	1.18716
0	3	8.05579	2.43654	23.6927	1.18989
0	4	8.06833	2.63893	23.8853	1.19256
0	5	8.07972	2.83639	24.0731	1.19514
0	6	8.08588	3.02784	24.2536	1.1978
0	7	8.09655	3.22174	24.4381	1.20029
0	8	8.11039	3.41889	24.627	1.20266
0	9	8.1223	3.62023	24.8192	1.20514
0	10	8.13451	3.82547	25.0153	1.20761
0	11	8.14653	4.03361	25.2142	1.2101
0	12	8.15829	4.24303	25.4144	1.21258
0	13	8.16748	4.45251	25.6138	1.21511
0	14	8.17741	4.66166	25.8134	1.21757
0	15	8.18853	4.87151	26.0143	1.21996
0	16	8.19796	5.08382	26.217	1.2224
0	17	8.20751	5.29972	26.4232	1.22485
0	18	8.21604	5.51957	26.633	1.22735
0	19	8.22467	5.74227	26.8457	1.22984
0	20	8.23033	5.9662	27.0587	1.23241
0	21	8.23489	6.18969	27.2711	1.23497
0	22	8.23805	6.41228	27.4824	1.23753
0	23	8.23479	6.63561	27.6925	1.24028
0	24	8.24277	6.86002	27.9075	1.24262
0	25	8.20676	7.05833	28.0837	1.24611
0	26	8.11974	7.2316	28.2205	1.25099
0	27	7.98467	7.39431	28.3331	1.25733
0	28	7.84673	7.57804	28.466	1.26393
0	29	7.66015	7.76397	28.5878	1.27211
0	30	7.40437	7.95643	28.698	1.2826
0	31	7.05888	8.16163	28.7992	1.29613
0	32	6.7042	8.34401	28.8812	1.30966
0	33	6.34468	8.51587	28.9571	1.32319
0	34	5.97194	8.6716	29.0195	1.33696
0	35	5.58273	8.80034	29.0574	1.35102
0	36	5.18779	8.89529	29.0668	1.36499
0	37	4.79524	8.9641	29.0567	1.3787
0	38	4.40222	9.01555	29.0348	1.39233
0	39	4.00652	9.05475	29.0059	1.40599
0	40	3.60912	9.0722	28.9606	1.41963
0	41	3.21506	9.06866	28.9003	1.43309
0	42	2.82256	9.04759	28.8282	1.44647
0	43	2.42604	9.00701	28.7414	1.45999
0	44	2.02883	8.94673	28.6402	1.47354
0	45	1.64155	8.85566	28.5144	1.48675
0	46	1.26893	8.74198	28.3721	1.4995
0	47	0.905815	8.61106	28.2179	1.51201
0	48	0.549925	8.45878	28.0471	1.52435
0	49	0.275826	8.30582	27.8829	1.53392
0	50	0.0649557	8.1438	27.7139	1.54131
0	51	-0.0969012	7.96765	27.5335	1.54699
0	52	-0.264923	7.8216	27.384	1.553
0	53	-0.348161	7.64992	27.211	1.55595
0	54	-0.364457	7.41879	26.9797	1.55642
0	55	-0.403046	7.18697	26.7473	1.55774
0	56	-0.429236	6.95579	26.5158	1.55862
0	57	-0.453015	6.72699	26.2868	1.55941
0	58	-0.476235	6.50095	26.0605	1.56021
0	59	-0.495839	6.27385	25.8332	1.56087
0	60	-0.51457	6.04675	25.6059	1.56152
0	61	-0.53183	5.82138	25.3804	1.56211
0	62	-0.548912	5.59942	25.1583	1.56272
0	63	-0.566051	5.38143	24.9402	1.56333
0	64	-0.581711	5.16683	24.7255	1.5639
0	65	-0.599767	4.95487	24.5134	1.56458
0	66	-0.621127	4.74488	24.3033	1.5654
0	67	-0.639168	4.53703	24.0954	1.56611
0	68	-0.656882	4.3337	23.892	1.56681
0	69	-0.670281	4.12754	23.6858	1.56734
0	70	-0.680068	3.92179	23.48	1.56772
0	71	-0.691128	3.71856	23.2767	1.56817
0	72	-0.70484	3.51862	23.0768	1.56874
0	73	-0.714773	3.32213	22.8802	1.56916
0	74	-0.729571	3.13011	22.6882	1.5698
0	75	-0.745753	2.93372	22.4918	1.57051
0	76	-0.755254	2.73583	22.2939	1.57093
0	77	-0.767256	2.54052	22.0986	1.57148
0	78	-0.782468	2.35082	21.9089	1.57218
0	79	-0.793775	2.15757	21.7157	1.57271
