# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	100.768	36.6569	5.59036	1.97951	60.64	0	0	0	100.768	0.94237	148	30	23.6942	1.35903	0	1.48967
1	1	1	0	97.0274	36.2622	-4.81704	1.13335	61.192	0	0	0	97.0274	0.927247	138	30	22.9691	1.80933	0	1.65192
2	1	1	0	94.8052	35.5854	16.4449	1.51747	56.8617	0	0	0	94.8052	0.940802	128	30	27.6795	0.961765	0	1.57705
3	1	1	0	80.4912	32.3524	-14.8241	0.38101	57.4445	0	0	0	80.4912	0.966372	143	22	26.5203	2.19196	0	1.64809
4	1	1	0	112.74	38.8462	27.3964	-0.0421387	51.1597	0	0	0	112.74	0.938842	159	30	34.1253	0.668202	0	1.63365
5	1	1	0	97.7811	36.2097	-24.7815	-1.17455	51.9674	0	0	0	97.7811	0.93716	149	30	32.3291	2.47416	0	1.67815
6	1	1	0	91.0272	34.9632	37.583	-3.83604	45.7566	0	0	0	91.0272	0.935745	129	30	40.8411	0.438742	0	1.71903
7	1	1	0	89.5808	35.1866	-34.2832	-2.96991	46.1957	0	0	0	89.5808	0.909223	130	30	39.3617	2.66047	0	1.69965
8	1	1	0	63.4156	28.6522	46.0406	-7.99345	41.1217	0	0	0	63.4156	0.970711	136	22	47.307	0.282604	0	1.78135
9	1	1	0	85.9582	33.3819	-43.4594	-6.06813	40.9797	0	0	0	85.9582	0.969337	148	30	46.5903	2.81114	0	1.74155
10	2	0	0	64.7156	29.0252	0.466324	-7.03191	70.34	0	0	0	64.7156	0.96531	126	27	14.1542	1.58096	0	0
11	2	0	0	68.8384	30.0172	10.7159	-6.65651	66.3164	0	0	0	68.8384	0.960063	127	29	17.6979	0.963052	0	0
12	2	0	0	73.4878	31.0258	-9.36164	-8.0858	67.2798	0	0	0	73.4878	0.959358	136	30	16.4631	2.22145	0	0
13	2	0	0	75.7773	32.1167	21.3306	-7.65162	59.1193	0	0	0	75.7773	0.923182	154	30	24.7488	0.578591	0	0
14	2	0	0	63.1406	28.4388	-18.6523	-8.96105	60.1945	0	0	0	63.1406	0.981063	143	22	22.8139	2.57611	0	0
15	2	0	0	58.5638	27.533	31.2281	-10.2831	52.0255	0	0	0	58.5638	0.970809	96	22	32.5011	0.342076	0	0
16	2	0	0	71.748	31.0182	-28.5159	-10.5998	52.3502	0	0	0	71.748	0.937103	137	30	30.99	2.79299	0	0
17	2	1	0	76.0247	31.5152	40.183	-14.0524	45.8222	0	0	0	76.0247	0.961887	138	30	40.2106	0.178334	0	0
18	2	1	0	63.0142	28.5709	-38.3735	-12.9669	45.2467	0	0	0	63.0142	0.970062	142	22	39.8405	2.93382	0	0
19	3	0	0	58.3522	27.6366	5.41265	-14.3914	76.9795	85.9813	0	0	58.3522	0.960058	119	24	8.31999	0.955469	0	0
20	3	0	0	55.7264	27.4815	-3.91976	-15.1728	77.4937	87.3573	0	0	55.7264	0.927233	130	24	7.52799	2.21647	0	0
21	3	0	0	71.6704	30.7873	15.158	-14.4551	67.6267	79.4477	0	0	71.6704	0.950184	137	30	16.0292	0.433304	0	0
22	3	0	0	59.8242	27.6568	-13.7142	-16.781	67.262	80.9021	0	0	59.8242	0.982843	129	21	14.9862	2.84329	0	0
23	3	0	0	59.5538	27.6607	24.6274	-16.7019	58.9496	71.9815	0	0	59.5538	0.978125	106	22	24.4322	0.184552	0	0
24	3	0	0	72.4533	30.755	-23.055	-17.9772	57.8911	71.234	0	0	72.4533	0.962579	140	30	23.8816	3.00685	0	0
25	3	1	0	75.207	31.3874	33.5018	-19.8914	51.2209	63.9196	0	0	75.207	0.959305	145	30	32.9171	0.0393184	0	0
26	3	1	0	58.4724	27.4458	-32.1427	-19.0918	50.025	62.0967	0	0	58.4724	0.975461	133	22	32.8197	3.07776	0	0
27	4	0	0	64.7078	29.0436	1.03102	-22.8942	79.0006	100.019	0	0	64.7078	0.963971	118	25	1.75989	-1.3293	0	0
28	4	0	0	82.7806	33.0923	9.52925	-22.8954	72.5998	92.7823	0	0	82.7806	0.949913	150	30	9.08158	-0.189434	0	0
29	4	0	0	79.7262	32.5739	-7.99245	-23.8144	71.8147	92.6857	0	0	79.7262	0.944218	156	30	8.99536	-2.84499	0	0
30	4	0	0	81.0554	33.0217	17.8955	-23.8046	64.4536	83.1478	0	0	81.0554	0.934101	142	30	17.4827	-0.150386	0	0
31	4	0	0	63.4462	28.6552	-17.919	-25.5101	61.4816	79.7455	0	0	63.4462	0.970976	134	22	19.0271	-2.91229	0	0
32	4	1	0	74.7635	31.3358	27.2628	-26.1068	55.6857	72.2495	0	0	74.7635	0.956794	148	30	27.1032	-0.182594	0	0
33	4	1	0	58.1056	27.4658	-27.4378	-26.1793	53.2148	68.6307	0	0	58.1056	0.967928	144	22	28.489	-2.96539	0	0
34	5	0	0	75.1192	31.2983	5.78271	-32.419	67.2888	99.6796	0	0	75.1192	0.963651	121	30	12.3673	-1.13928	0	0
35	5	0	0	72.8471	30.8686	-3.3459	-32.3765	68.1318	100.821	0	0	72.8471	0.9607	119	30	11.8698	-1.91058	0	0
36	5	0	0	65.9148	29.1324	13.7891	-32.7617	62.2976	88.2295	0	0	65.9148	0.975977	117	22	17.5413	-0.72075	0	0
37	5	0	0	64.4895	28.9864	-13.1304	-32.7844	61.715	85.9982	0	0	64.4895	0.964519	139	22	17.9816	-2.44051	0	0
38	5	1	0	56.3342	27.1903	22.4224	-32.7023	56.611	77.3242	0	0	56.3342	0.957536	137	22	24.666	-0.4858	0	0
39	5	1	0	76.2591	31.4935	-22.9089	-33.4298	54.4024	73.6974	0	0	76.2591	0.96618	151	30	26.5155	-2.66159	0	0
40	6	0	0	76.988	32.0704	-0.0934567	-41.0742	59.873	90.5571	0	0	76.988	0.940639	141	30	19.9013	-1.60616	0	0
41	6	0	0	79.4423	32.5491	9.49573	-41.8014	57.4325	85.4993	0	0	79.4423	0.942289	136	30	22.4494	-1.16385	0	0
42	6	0	0	69.3941	30.6657	-10.1712	-40.8913	57.3531	84.186	0	0	69.3941	0.927315	122	30	22.4625	-2.07142	0	0
43	6	1	0	76.7777	31.4821	18.8765	-40.8685	53.9992	77.3012	0	0	76.7777	0.973458	148	30	26.853	-0.822712	0	0
44	6	1	0	54.3238	26.6436	-18.8498	-40.6582	53.1081	75.2748	0	0	54.3238	0.961646	140	22	27.5297	-2.35586	0	0
45	7	0	1	71.4865	31.836	0.427711	-50.0529	51.7858	77.9165	0	0	71.4865	0.886332	141	22	28.8681	-1.57712	0	0
