# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	71.7669	30.7399	7.58279	4.14743	60.181	0	0	0	71.7669	0.954396	113	22	24.3503	1.39131	0	1.6199
1	1	1	0	79.7533	32.5968	-3.79922	4.70684	59.451	0	0	0	79.7533	0.943211	126	22	25.5078	1.85021	0	1.52169
2	1	1	0	105.892	37.7002	17.9198	2.80665	57.0745	0	0	0	105.892	0.936232	156	30	26.9669	0.994974	0	1.6727
3	1	1	0	97.2329	36.1904	-15.0971	4.01299	55.3277	0	0	0	97.2329	0.932904	126	30	30.0617	2.22665	0	1.59369
4	1	1	0	109.808	38.291	28.9725	0.0816661	51.6139	0	0	0	109.808	0.941132	159	30	32.529	0.65803	0	1.73132
5	1	1	0	76.2756	31.6008	-25.4177	0.869656	50.6856	0	0	0	76.2756	0.959843	124	22	35.3374	2.5164	0	1.6981
6	1	1	0	100.219	36.9353	39.9165	-2.41463	45.0513	0	0	0	100.219	0.923159	140	30	40.5973	0.442863	0	1.74999
7	1	1	0	67.8443	30.2281	-34.7071	-3.56764	45.7762	0	0	0	67.8443	0.933045	103	22	41.2738	2.73708	0	1.78345
8	1	1	0	82.6724	32.8617	49.7575	-5.33286	39.4038	0	0	0	82.6724	0.962035	144	30	48.7229	0.301725	0	1.77303
9	1	1	0	85.2073	33.2356	-42.7194	-9.01438	41.2838	0	0	0	85.2073	0.969349	151	30	47.2064	2.91082	0	1.86095
10	2	0	0	76.7108	31.927	3.22372	-3.11554	68.0907	0	0	0	76.7108	0.945696	135	30	16.6962	1.57151	0	0
11	2	0	0	61.2958	28.3609	12.8485	-4.64794	65.5694	0	0	0	61.2958	0.957636	107	22	17.954	1.0058	0	0
12	2	0	0	74.9641	31.7502	-7.84614	-3.06079	64.6525	0	0	0	74.9641	0.93448	145	30	20.0848	2.15526	0	0
13	2	0	0	59.0698	28.0125	23.0462	-6.94816	59.1208	0	0	0	59.0698	0.945957	102	22	23.6205	0.575903	0	0
14	2	0	0	75.4662	31.3254	-18.3763	-5.25592	58.4601	0	0	0	75.4662	0.966425	118	30	26.0566	2.54887	0	0
15	2	0	0	78.7776	32.9669	33.9178	-9.64549	50.9723	0	0	0	78.7776	0.910872	138	30	32.3225	0.319956	0	0
16	2	0	0	73.007	31.0591	-27.878	-8.7817	51.9187	0	0	0	73.007	0.951036	141	30	33.0109	2.80091	0	0
17	2	1	0	84.7721	33.3882	45.1112	-12.7095	43.1343	0	0	0	84.7721	0.955602	155	30	42.4735	0.168005	0	0
18	2	1	0	60.6971	28.3143	-36.2276	-13.5884	46.0522	0	0	0	60.6971	0.951406	140	22	39.951	2.98518	0	0
19	3	0	0	62.2261	28.3272	8.29117	-12.3319	74.68	83.8486	0	0	62.2261	0.974482	107	22	9.02807	0.976439	0	0
20	3	0	0	78.5782	32.1089	-1.47068	-11.2314	76.0886	83.6802	0	0	78.5782	0.957771	127	30	9.78627	2.07249	0	0
