# CellID	NodeIndex	X	Y	R	Theta
0	0	9.13258	8.20022	27.5735	1.21111
0	1	9.17443	8.44851	27.8207	1.21284
0	2	9.21267	8.70163	28.0712	1.21472
0	3	9.24905	8.95988	28.326	1.2167
0	4	9.28171	9.21822	28.5797	1.21876
0	5	9.31135	9.47738	28.8333	1.22089
0	6	9.34002	9.7396	29.0895	1.22306
0	7	9.36894	10.0083	29.352	1.22525
0	8	9.39648	10.2828	29.6197	1.22752
0	9	9.42009	10.5642	29.8927	1.22994
0	10	9.42907	10.8488	30.1641	1.23281
0	11	9.39201	11.1119	30.4003	1.23683
0	12	9.27722	11.3355	30.5744	1.24278
0	13	9.07216	11.5394	30.7025	1.25124
0	14	8.81398	11.7235	30.7977	1.26108
0	15	8.49335	11.9076	30.8774	1.27278
0	16	8.08482	12.1098	30.954	1.28732
0	17	7.6595	12.2938	31.0151	1.30215
0	18	7.21582	12.4485	31.05	1.31724
0	19	6.76862	12.5697	31.0586	1.33216
0	20	6.32168	12.6694	31.0532	1.34691
0	21	5.86868	12.7527	31.0372	1.36173
0	22	5.41194	12.822	31.0137	1.3766
0	23	4.95622	12.8702	30.9764	1.39134
0	24	4.49994	12.9025	30.9301	1.40604
0	25	4.0406	12.9225	30.8779	1.42082
0	26	3.58019	12.918	30.8079	1.43558
0	27	3.12495	12.8921	30.7242	1.45015
0	28	2.67049	12.8489	30.6299	1.46471
0	29	2.21308	12.7826	30.5188	1.47938
0	30	1.76058	12.6885	30.387	1.49393
0	31	1.31781	12.5737	30.2417	1.50824
0	32	0.878574	12.4404	30.0842	1.52253
0	33	0.441183	12.2803	29.9063	1.53688
0	34	0.0168686	12.0916	29.7062	1.55094
0	35	-0.391654	11.8845	29.4939	1.56465
0	36	-0.790561	11.661	29.2705	1.57823
0	37	-1.10589	11.4539	29.0675	1.58913
0	38	-1.35556	11.2436	28.863	1.59792
0	39	-1.53975	11.0099	28.635	1.60457
0	40	-1.5993	10.7662	28.3936	1.60695
0	41	-1.55106	10.4769	28.1027	1.60561
0	42	-1.51733	10.1849	27.8097	1.60476
0	43	-1.46745	9.89953	27.5228	1.6033
0	44	-1.41501	9.62078	27.2426	1.60171
0	45	-1.36338	9.34622	26.9666	1.60011
0	46	-1.31133	9.0736	26.6926	1.59846
0	47	-1.25586	8.80282	26.4204	1.59665
0	48	-1.19455	8.53625	26.1524	1.59457
0	49	-1.12749	8.27615	25.8909	1.59222
0	50	-1.0589	8.02415	25.6375	1.58976
0	51	-0.987392	7.77793	25.3901	1.58712
0	52	-0.908165	7.53502	25.146	1.58413
0	53	-0.815116	7.29795	24.9079	1.58052
0	54	-0.693531	7.07117	24.6802	1.57569
0	55	-0.525235	6.848	24.4568	1.56885
0	56	-0.308423	6.6308	24.241	1.55989
0	57	-0.0718351	6.44193	24.0559	1.54997
0	58	0.17683	6.26969	23.8902	1.53941
0	59	0.441746	6.11074	23.7412	1.52805
0	60	0.712814	5.96071	23.6045	1.5163
0	61	0.989392	5.81639	23.4772	1.5042
0	62	1.27113	5.67841	23.3601	1.49178
0	63	1.55268	5.54587	23.252	1.47925
0	64	1.83083	5.41846	23.1523	1.46679
0	65	2.10272	5.29453	23.059	1.4545
0	66	2.37106	5.17322	22.9714	1.44229
0	67	2.63904	5.05642	22.8916	1.43002
0	68	2.90804	4.94797	22.8237	1.41769
0	69	3.17738	4.85098	22.7707	1.40535
0	70	3.44881	4.77319	22.7404	1.39301
