# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	71.3496	31.0235	4.16322	8.61696	59.0968	0	0	0	71.3496	0.931578	97	22	26.6499	1.39213	0	1.4342
1	1	1	0	74.1233	31.3484	-7.33911	7.03595	60.3693	0	0	0	74.1233	0.947836	113	22	25.5567	1.83874	0	1.70739
2	1	1	0	78.4287	32.1372	15.2076	7.6237	55.516	0	0	0	78.4287	0.954262	128	22	29.7607	1.01191	0	1.58421
3	1	1	0	103.339	37.0487	-17.562	4.45581	57.8166	0	0	0	103.339	0.946075	160	30	27.8474	2.22696	0	1.7781
4	1	1	0	100.886	36.7614	25.8092	5.00089	50.5672	0	0	0	100.886	0.938122	149	30	34.7449	0.708549	0	1.67487
5	1	1	0	103.684	37.1557	-28.2045	1.86222	52.1079	0	0	0	103.684	0.943778	137	30	33.8028	2.52774	0	1.79077
6	1	1	0	97.7146	36.7667	36.0692	1.81268	44.9635	0	0	0	97.7146	0.908364	147	30	41.4709	0.487383	0	1.73031
7	1	1	0	96.0917	36.2425	-39.0591	-1.55446	45.5233	0	0	0	96.0917	0.919302	125	30	41.7005	2.7464	0	1.81568
8	1	1	0	59.769	27.8566	44.589	-1.72738	40.3056	0	0	0	59.769	0.967902	129	22	47.8729	0.338148	0	1.77589
9	1	1	0	88.2155	33.9165	-48.0562	-6.15923	40.2777	0	0	0	88.2155	0.963681	151	30	48.8442	2.90498	0	1.86266
10	2	0	0	81.8023	32.7293	-1.24948	0.0453209	68.4389	0	0	0	81.8023	0.959624	134	30	17.667	1.6091	0	0
11	2	0	0	78.3861	32.0026	8.96085	0.538665	64.4339	0	0	0	78.3861	0.961786	138	30	20.4993	1.08708	0	0
12	2	0	0	64.0479	28.8257	-10.6969	-2.36789	67.4454	0	0	0	64.0479	0.968621	131	22	18.297	2.15714	0	0
13	2	0	0	73.2559	31.4156	19.5827	-1.5757	58.105	0	0	0	73.2559	0.932741	140	30	25.7547	0.67197	0	0
14	2	0	0	75.9735	31.9953	-20.757	-5.26231	60.7625	0	0	0	75.9735	0.932608	153	30	23.6608	2.59262	0	0
15	2	0	0	78.2671	32.5756	30.3653	-5.47043	50.6821	0	0	0	78.2671	0.926836	140	30	33.2342	0.373887	0	0
16	2	0	0	78.1661	32.4247	-31.8068	-8.09234	52.0518	0	0	0	78.1661	0.934279	148	30	32.6515	2.84585	0	0
17	2	1	0	80.943	32.5639	40.7202	-9.02337	43.6384	0	0	0	80.943	0.959215	151	30	42.1761	0.204993	0	0
18	2	1	0	82.9074	33.0089	-41.914	-12.4196	44.6948	0	0	0	82.9074	0.956184	149	30	41.6655	3.01672	0	0
19	3	0	0	82.8146	33.2803	5.05634	-8.60861	74.7823	83.6378	0	0	82.8146	0.939601	164	30	10.6156	1.01187	0	0
20	3	0	0	79.2813	32.2861	-5.1826	-9.75233	78.0232	86.6114	0	0	79.2813	0.955764	157	30	9.10896	2.10141	0	0
