# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	94.4188	35.9495	5.32704	2.76642	62.584	0	0	0	94.4188	0.918086	154	30	22.4351	1.33739	0	1.62569
1	1	1	0	74.3296	31.2226	-3.96732	3.27712	61.9657	0	0	0	74.3296	0.958149	141	22	22.7116	1.75255	0	1.51591
2	1	1	0	87.3651	34.2518	14.7548	1.87343	59.6219	0	0	0	87.3651	0.935796	147	28	25.5319	0.96125	0	1.65323
3	1	1	0	81.1814	33.4487	-12.6864	3.90604	58.1265	0	0	0	81.1814	0.911817	117	30	26.3043	2.08006	0	1.50515
4	1	1	0	80.4015	32.9364	23.8094	0.295999	54.789	0	0	0	80.4015	0.931369	143	26	30.5779	0.685446	0	1.68955
5	1	1	0	66.5012	29.8581	-20.8295	2.84625	53.6685	0	0	0	66.5012	0.937379	111	22	30.3237	2.33429	0	1.57744
6	1	1	0	95.2438	36.0843	33.0699	-1.41445	49.1012	0	0	0	95.2438	0.919201	148	30	37.3617	0.491898	0	1.70824
7	1	1	0	99.6029	37.3216	-30.4179	0.87776	48.4589	0	0	0	99.6029	0.898589	138	30	36.4854	2.56345	0	1.63757
8	1	1	0	86.2179	33.3878	42.6391	-3.26003	43.3275	0	0	0	86.2179	0.971922	152	30	45.3432	0.355929	0	1.72058
9	1	1	0	86.0328	33.3637	-39.6253	-2.36133	43.3427	0	0	0	86.0328	0.971237	149	30	43.1274	2.744	0	1.70117
10	2	0	0	63.2161	28.9393	-0.184171	-5.03499	71.1688	0	0	0	63.2161	0.948555	147	29	14.0291	1.59376	0	0
11	2	0	0	53.1106	26.5156	9.5033	-6.20697	69.1878	0	0	0	53.1106	0.949268	138	24	15.9035	0.941111	0	0
12	2	0	0	52.3687	26.011	-9.07454	-5.28615	67.0063	0	0	0	52.3687	0.972674	122	19	16.571	2.16029	0	0
13	2	0	0	53.3608	26.1411	17.8586	-7.22949	63.2143	0	0	0	53.3608	0.981263	126	21	21.3071	0.588669	0	0
14	2	0	0	58.5953	27.6134	-17.0743	-5.85574	61.0529	0	0	0	58.5953	0.965681	117	21	21.6938	2.48719	0	0
15	2	0	0	69.9338	31.237	27.776	-8.91907	55.3288	0	0	0	69.9338	0.900653	154	30	29.44	0.351678	0	0
16	2	0	0	66.8267	29.4923	-25.3971	-6.94959	54.5509	0	0	0	66.8267	0.965477	142	22	28.2614	2.69873	0	0
17	2	1	0	76.4302	31.4781	38.1191	-11.2979	47.5088	0	0	0	76.4302	0.969299	145	29	38.7663	0.2016	0	0
18	2	1	0	56.5201	27.2839	-34.7844	-8.98198	47.9158	0	0	0	56.5201	0.954112	135	21	36.3475	2.86063	0	0
19	3	0	0	50.5961	25.507	4.29842	-13.0616	78.9434	88.9238	0	0	50.5961	0.977254	119	19	7.30032	0.964401	0	0
20	3	0	0	54.342	26.4682	-3.87873	-12.6257	77.1347	88.1034	0	0	54.342	0.974756	117	21	7.58543	2.12883	0	0
