# CellID	NodeIndex	X	Y	R	Theta
0	0	8.72883	3.98734	25.4934	1.19717
0	1	8.7555	4.19534	25.6968	1.19916
0	2	8.77827	4.40299	25.8986	1.20125
0	3	8.79577	4.61167	26.0996	1.20351
0	4	8.80859	4.81978	26.2985	1.2059
0	5	8.81804	5.0264	26.495	1.20835
0	6	8.82539	5.23136	26.6893	1.21081
0	7	8.83111	5.43508	26.8821	1.21328
0	8	8.83525	5.63819	27.0739	1.21577
0	9	8.83692	5.84098	27.2647	1.21829
0	10	8.83529	6.04306	27.4538	1.22089
0	11	8.82895	6.2433	27.6399	1.22359
0	12	8.81754	6.43996	27.821	1.22638
0	13	8.80076	6.6313	27.9956	1.22925
0	14	8.77929	6.81613	28.1627	1.23217
0	15	8.75356	6.99369	28.3217	1.23511
0	16	8.72329	7.16358	28.4723	1.23808
0	17	8.68622	7.3255	28.6134	1.24115
0	18	8.63593	7.47737	28.7409	1.24452
0	19	8.60031	7.63089	28.8751	1.24739
0	20	8.59296	7.78992	29.0236	1.24937
0	21	8.5293	7.93027	29.1368	1.25297
0	22	8.38771	8.07527	29.2308	1.25912
0	23	8.21023	8.20794	29.3034	1.26627
0	24	7.9943	8.34195	29.3676	1.27465
0	25	7.72015	8.48544	29.4264	1.28499
0	26	7.36001	8.64155	29.4772	1.2982
0	27	6.9923	8.77741	29.5116	1.31144
0	28	6.62259	8.90165	29.5395	1.32462
0	29	6.25048	9.013	29.5593	1.33775
0	30	5.87152	9.11051	29.5693	1.35098
0	31	5.48413	9.18878	29.5638	1.36434
0	32	5.09391	9.24415	29.5406	1.37766
0	33	4.70626	9.28067	29.5046	1.39079
0	34	4.31998	9.30392	29.4608	1.40383
0	35	3.93074	9.31419	29.4088	1.41694
0	36	3.53623	9.30582	29.3427	1.43018
0	37	3.14129	9.27327	29.2576	1.44339
0	38	2.75304	9.21939	29.1573	1.45637
0	39	2.37126	9.15088	29.048	1.46916
0	40	1.99144	9.06957	28.931	1.48193
0	41	1.61078	8.97073	28.8011	1.49479
0	42	1.23289	8.84851	28.6529	1.50762
0	43	0.864272	8.70804	28.4917	1.52022
0	44	0.567079	8.5929	28.3632	1.53048
0	45	0.31465	8.49385	28.2551	1.53927
0	46	0.0866447	8.39863	28.1537	1.54725
0	47	-0.131537	8.29631	28.0471	1.55494
0	48	-0.355359	8.17205	27.9202	1.56289
0	49	-0.591433	8.01705	27.7643	1.57135
0	50	-0.891316	7.77305	27.5221	1.58225
0	51	-1.12278	7.62963	27.3823	1.59076
0	52	-1.21364	7.48773	27.2424	1.5942
0	53	-1.23368	7.29978	27.055	1.5951
0	54	-1.27871	7.11856	26.875	1.59694
0	55	-1.30125	6.93037	26.6875	1.59797
0	56	-1.31335	6.7393	26.4968	1.59862
0	57	-1.32137	6.5459	26.3037	1.59913
0	58	-1.32782	6.34941	26.1075	1.59959
0	59	-1.33372	6.14885	25.9072	1.60004
0	60	-1.33844	5.94345	25.702	1.60046
0	61	-1.34056	5.73569	25.4944	1.60079
0	62	-1.33962	5.52676	25.2855	1.601
0	63	-1.33643	5.31826	25.077	1.60112
0	64	-1.33085	5.11152	24.8702	1.60115
0	65	-1.32349	4.90716	24.6657	1.6011
0	66	-1.31484	4.705	24.4634	1.601
0	67	-1.30522	4.50439	24.2626	1.60085
0	68	-1.2946	4.3046	24.0626	1.60066
0	69	-1.28212	4.1053	23.863	1.60039
0	70	-1.26689	3.90673	23.664	1.59999
0	71	-1.24873	3.70977	23.4666	1.59946
0	72	-1.22779	3.51568	23.272	1.5988
0	73	-1.20502	3.32469	23.0805	1.59805
0	74	-1.181	3.13774	22.893	1.59722
0	75	-1.154	2.95518	22.7098	1.59625
0	76	-1.12616	2.77593	22.5299	1.59521
0	77	-1.09064	2.59952	22.3527	1.59382
0	78	-1.04531	2.42405	22.1762	1.59196
0	79	-0.977193	2.2479	21.9988	1.58903
0	80	-0.87333	2.06188	21.8111	1.58442
0	81	-0.686215	1.83154	21.579	1.5759
0	82	-0.391262	1.54213	21.2902	1.56211
0	83	-0.196886	1.36422	21.1149	1.55284
0	84	-0.00849501	1.20874	20.9637	1.54372
0	85	0.183474	1.07677	20.8378	1.53434
0	86	0.385361	0.963819	20.7334	1.52441
0	87	0.593719	0.861891	20.6423	1.51409
0	88	0.804171	0.762891	20.5565	1.5036
0	89	1.0188	0.665399	20.4748	1.49282
0	90	1.23798	0.564747	20.3928	1.48172
0	91	1.46492	0.466044	20.3161	1.47016
0	92	1.69822	0.367649	20.2431	1.45821
0	93	1.93544	0.271836	20.176	1.44599
0	94	2.17445	0.178983	20.1152	1.43363
0	95	2.41392	0.090788	20.0621	1.4212
0	96	2.65413	0.00727809	20.0169	1.40871
0	97	2.89649	-0.0693699	19.9819	1.39612
0	98	3.14121	-0.131502	19.9649	1.38351
0	99	3.38984	-0.169887	19.975	1.37092
0	100	3.64568	-0.17473	20.0226	1.35835
0	101	3.91188	-0.146076	20.1084	1.34571
0	102	4.16283	-0.0896468	20.2207	1.33424
0	103	4.40494	-0.0115989	20.3545	1.32357
0	104	4.64028	0.0817932	20.5037	1.31356
0	105	4.87072	0.185381	20.6634	1.30405
0	106	5.09793	0.292933	20.8279	1.29488
0	107	5.32259	0.402873	20.9957	1.28602
0	108	5.54581	0.513584	21.1655	1.27736
0	109	5.76774	0.623799	21.336	1.2689
0	110	5.98679	0.733169	21.5062	1.26069
0	111	6.20365	0.847273	21.6818	1.25277
0	112	6.41482	0.964542	21.8598	1.24527
0	113	6.61871	1.08256	22.0374	1.23822
0	114	6.81532	1.19952	22.2126	1.23157
0	115	7.00534	1.31457	22.3848	1.22527
0	116	7.1897	1.42774	22.5541	1.21928
0	117	7.36918	1.54014	22.7218	1.21357
0	118	7.54403	1.65396	22.8899	1.20815
0	119	7.71457	1.77347	23.0624	1.20308
0	120	7.87777	1.90246	23.2417	1.19852
0	121	8.02912	2.04565	23.4303	1.19472
0	122	8.16843	2.20728	23.6319	1.19175
0	123	8.29799	2.39262	23.8521	1.18958
0	124	8.4001	2.57959	24.0637	1.18854
0	125	8.47868	2.76982	24.2695	1.18845
0	126	8.53942	2.96613	24.4743	1.18914
0	127	8.58849	3.16681	24.6788	1.19033
0	128	8.62971	3.37008	24.8829	1.19182
0	129	8.66593	3.57504	25.0867	1.19351
0	130	8.6988	3.78108	25.2904	1.1953
1	0	-0.158922	4.39662	24.1475	1.55352
1	1	-0.16263	4.60336	24.3541	1.55382
1	2	-0.167432	4.80858	24.5592	1.55415
1	3	-0.173051	5.01305	24.7636	1.55452
1	4	-0.179732	5.21736	24.9677	1.55492
1	5	-0.188111	5.42159	25.1718	1.55538
1	6	-0.198997	5.6251	25.3751	1.55593
1	7	-0.212388	5.82671	25.5765	1.55657
1	8	-0.228302	6.02515	25.7747	1.5573
1	9	-0.24654	6.2195	25.9688	1.5581
1	10	-0.267368	6.40941	26.1585	1.55899
1	11	-0.288528	6.59657	26.3454	1.55988
1	12	-0.310469	6.7814	26.53	1.56078
1	13	-0.334705	6.96424	26.7126	1.56176
1	14	-0.366724	7.14457	26.8926	1.56301
1	15	-0.414406	7.32135	27.0691	1.56482
1	16	-0.45716	7.5202	27.2677	1.56643
1	17	-0.569409	7.71549	27.4627	1.57055
1	18	-0.86991	8.0225	27.7713	1.58138
1	19	-1.12097	8.19855	27.9511	1.59029
1	20	-1.34084	8.29944	28.0571	1.59806
1	21	-1.55635	8.36718	28.1315	1.60565
1	22	-1.7736	8.41771	28.1904	1.61329
1	23	-2.00222	8.46064	28.2439	1.62131
1	24	-2.25708	8.4974	28.2946	1.63024
1	25	-2.54845	8.54943	28.3653	1.64039
1	26	-2.8998	8.63293	28.4751	1.65249
1	27	-3.34314	8.75529	28.6365	1.66757
1	28	-3.79526	8.84844	28.7763	1.6829
1	29	-4.24608	8.92035	28.9015	1.69812
1	30	-4.69562	8.97954	29.0206	1.71323
1	31	-5.14968	9.02688	29.1353	1.72842
1	32	-5.61216	9.05394	29.2381	1.7439
1	33	-6.07493	9.05337	29.3208	1.75945
1	34	-6.53033	9.03242	29.3891	1.77481
1	35	-6.98276	8.99842	29.4509	1.79009
1	36	-7.43842	8.9483	29.5047	1.80553
1	37	-7.89543	8.8726	29.5409	1.82117
1	38	-8.34286	8.77229	29.5582	1.83668
1	39	-8.78051	8.65716	29.5656	1.85199
1	40	-9.21439	8.52972	29.567	1.86728
1	41	-9.64529	8.38374	29.5568	1.88267
1	42	-9.97855	8.24159	29.5259	1.89489
1	43	-10.2381	8.09191	29.4681	1.90485
1	44	-10.4742	7.98305	29.4439	1.91364
1	45	-10.5722	7.86198	29.3631	1.91817
1	46	-10.6001	7.71274	29.2323	1.92081
1	47	-10.6579	7.56765	29.1161	1.92438
1	48	-10.6891	7.40832	28.9775	1.9273
1	49	-10.7253	7.24665	28.8388	1.93043
1	50	-10.7536	7.07792	28.6909	1.93342
1	51	-10.7725	6.90468	28.5358	1.93619
1	52	-10.7902	6.7279	28.3771	1.939
1	53	-10.8006	6.547	28.2122	1.94165
1	54	-10.8105	6.3624	28.0438	1.94437
1	55	-10.8145	6.1739	27.8699	1.94697
1	56	-10.8167	5.98203	27.6923	1.94959
