# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	70.9958	30.5081	3.72796	3.43476	62.0679	0	0	0	70.9958	0.958546	112	22	23.2229	1.40796	0	1.33019
1	1	1	0	59.7282	28.3703	-5.44106	1.18499	63.3972	0	0	0	59.7282	0.93253	118	20	21.3609	1.82657	0	1.8114
2	1	1	0	90.4338	34.9382	13.5544	2.61387	58.8905	0	0	0	90.4338	0.930976	148	28	25.9403	1.01933	0	1.56733
3	1	1	0	75.4554	32.6035	-13.0575	1.31884	59.914	0	0	0	75.4554	0.892014	137	26	24.5392	2.13012	0	1.66475
4	1	1	0	90.2303	34.8468	23.2331	0.990625	53.9463	0	0	0	90.2303	0.933764	151	29	30.9931	0.721512	0	1.63914
5	1	1	0	99.3084	36.5028	-22.1179	1.33883	54.1844	0	0	0	99.3084	0.936576	156	30	30.3486	2.38559	0	1.62581
6	1	1	0	72.3545	31.052	32.3445	-0.821238	48.6426	0	0	0	72.3545	0.942968	121	22	37.3729	0.522773	0	1.67581
7	1	1	0	82.4169	33.385	-31.8371	-0.967969	48.5949	0	0	0	82.4169	0.929233	143	27	36.7966	2.61439	0	1.68073
8	1	1	0	83.1472	32.8544	41.5401	-3.63119	43.3189	0	0	0	83.1472	0.967989	143	30	44.4955	0.364209	0	1.71961
9	1	1	0	54.2686	26.4716	-40.0075	-3.9312	43.9337	0	0	0	54.2686	0.973189	123	20	42.8888	2.77058	0	1.73106
10	2	0	0	54.7006	26.774	-0.229877	-5.25727	71.3575	0	0	0	54.7006	0.958904	124	24	14.225	1.58437	0	0
11	2	0	0	64.144	29.1224	8.1022	-5.0032	68.4152	0	0	0	64.144	0.95041	139	28	16.6087	1.05866	0	0
12	2	0	0	48.8435	25.3183	-8.34281	-7.38046	69.6322	0	0	0	48.8435	0.957519	127	24	14.6769	2.17235	0	0
13	2	0	0	65.2125	29.4637	17.6128	-6.81016	61.8899	0	0	0	65.2125	0.943988	146	29	21.7268	0.622645	0	0
14	2	0	0	62.6496	28.7947	-17.3232	-7.0802	61.9337	0	0	0	62.6496	0.94952	139	30	21.2744	2.51931	0	0
15	2	0	0	63.1919	28.9837	27.668	-8.26284	54.5377	0	0	0	63.1919	0.945287	139	28	29.8898	0.384737	0	0
16	2	0	0	64.5374	29.2079	-26.6926	-8.14183	54.3981	0	0	0	64.5374	0.95065	128	29	28.9673	2.73939	0	0
17	2	1	0	77.9993	31.9131	36.4284	-10.8568	48.3228	0	0	0	77.9993	0.962413	151	29	37.4711	0.232236	0	0
18	2	1	0	57.3775	27.199	-35.6427	-10.5434	47.976	0	0	0	57.3775	0.974645	136	21	36.7105	2.89566	0	0
19	3	0	0	53.1995	26.4378	3.84045	-12.7405	78.1322	88.6074	0	0	53.1995	0.956463	118	24	7.77599	1.04879	0	0
20	3	0	0	45.8008	24.3332	-3.57237	-13.9928	78.7554	89.6554	0	0	45.8008	0.972039	123	18	6.52845	2.1431	0	0
21	3	0	0	67.8527	30.3652	12.3559	-13.8701	69.541	83.1406	0	0	67.8527	0.924753	158	28	13.6037	0.425146	0	0
22	3	0	0	55.264	27.074	-12.3507	-14.8204	68.9661	83.1274	0	0	55.264	0.947434	120	25	13.1663	2.77977	0	0
23	3	0	0	73.4492	31.3286	21.9647	-15.5837	60.9811	74.7038	0	0	73.4492	0.940406	153	30	22.344	0.175318	0	0
24	3	0	0	59.5577	27.6368	-21.4645	-15.1696	59.9825	73.4915	0	0	59.5577	0.979876	137	20	21.8571	2.94304	0	0
25	3	1	0	54.6113	26.5744	30.5352	-17.3292	53.8468	66.9579	0	0	54.6113	0.971774	138	21	30.6476	0.0702677	0	0
26	3	1	0	55.4623	26.7756	-30.0489	-16.4257	52.6716	65.1848	0	0	55.4623	0.972144	139	21	30.1672	3.04014	0	0
27	4	0	0	62.5769	28.7617	0.0677991	-21.8903	77.8137	103.02	0	0	62.5769	0.950595	104	28	2.41163	-1.52742	0	0
28	4	0	0	57.1175	27.9153	7.95704	-22.0095	72.2143	95.0669	0	0	57.1175	0.921074	117	24	8.3842	-0.306355	0	0
29	4	0	0	57.9224	27.7961	-8.07153	-22.2032	72.2591	93.8078	0	0	57.9224	0.942083	123	24	8.4834	-2.81492	0	0
30	4	0	0	72.5176	31.1451	16.1636	-23.196	64.4944	84.5363	0	0	72.5176	0.93945	144	28	16.6209	-0.225424	0	0
31	4	0	0	62.044	28.2379	-16.0627	-22.7175	64.072	82.8589	0	0	62.044	0.977785	136	19	16.3495	-2.94231	0	0
32	4	1	0	79.6848	31.9928	25.4444	-24.8608	56.821	73.9503	0	0	79.6848	0.978323	156	30	26.0429	-0.208073	0	0
33	4	1	0	74.9695	31.1453	-25.3327	-23.6943	55.8221	71.953	0	0	74.9695	0.971199	153	29	25.6444	-2.97655	0	0
34	5	0	0	62.9172	29.0887	3.17094	-30.7972	67.7715	100.707	0	0	62.9172	0.934397	128	29	11.7621	-1.29458	0	0
35	5	0	0	49.1782	25.8701	-4.74704	-30.881	66.8088	97.8106	0	0	49.1782	0.923391	110	23	12.3348	-1.96261	0	0
36	5	0	0	59.2189	27.5972	11.1948	-31.1761	63.5734	89.9753	0	0	59.2189	0.977103	129	20	16.215	-0.805613	0	0
37	5	0	0	59.9039	28.5238	-11.8875	-31.2007	62.9583	88.3324	0	0	59.9039	0.92523	146	26	16.6671	-2.36175	0	0
38	5	1	0	56.3227	26.9582	20.0469	-32.1533	57.2628	78.6339	0	0	56.3227	0.973892	142	21	23.7475	-0.562888	0	0
39	5	1	0	77.626	31.8214	-20.734	-31.5216	56.607	76.979	0	0	77.626	0.96334	154	29	23.9448	-2.6147	0	0
40	6	0	0	56.4203	27.6963	-1.17114	-39.3579	59.7316	89.1248	0	0	56.4203	0.924274	129	26	19.9093	-1.6278	0	0
41	6	0	0	62.1806	28.8563	7.38313	-39.4868	58.6254	86.391	0	0	62.1806	0.93839	133	26	21.3375	-1.21564	0	0
42	6	0	0	55.6158	27.8989	-8.91394	-39.703	57.4157	84.004	0	0	55.6158	0.89791	121	24	22.0848	-1.98445	0	0
43	6	1	0	58.2036	27.5248	16.0668	-39.2063	55.0817	78.6842	0	0	58.2036	0.965408	139	22	25.464	-0.886139	0	0
44	6	1	0	62.2171	28.4378	-17.3004	-39.5241	54.0652	76.7291	0	0	62.2171	0.96678	135	26	26.453	-2.28183	0	0
45	7	0	1	87.5403	35.6305	0.0606399	-48.6848	51.9563	77.1304	0	0	87.5403	0.866509	158	30	29.204	-1.56746	0	0
46	7	0	1	79.877	33.8763	8.54572	-48.3398	51.3398	75.6532	0	0	79.877	0.874663	150	29	30.108	-1.28173	0	0
47	7	0	1	81.9183	34.1189	-8.37029	-48.5362	51.0257	75.0929	0	0	81.9183	0.884303	153	29	30.2268	-1.85011	0	0
48	7	1	1	67.2273	30.1783	16.4659	-47.4335	49.4401	71.5389	0	0	67.2273	0.927611	141	26	32.4605	-1.03748	0	0
