# CellID	NodeIndex	X	Y	R	Theta
0	0	8.9675	3.34109	24.6451	1.15756
0	1	9.03741	3.58808	24.8994	1.15897
0	2	9.09937	3.83444	25.15	1.16064
0	3	9.15778	4.07797	25.3966	1.16235
0	4	9.20971	4.31816	25.6377	1.16421
0	5	9.25887	4.55351	25.8734	1.16607
0	6	9.30502	4.78438	26.1038	1.16792
0	7	9.34498	5.01211	26.3291	1.16992
0	8	9.38319	5.23663	26.5507	1.17189
0	9	9.41576	5.45921	26.7685	1.174
0	10	9.44822	5.67625	26.9813	1.176
0	11	9.47585	5.88891	27.1883	1.17807
0	12	9.49613	6.09423	27.3858	1.18026
0	13	9.50662	6.29298	27.5737	1.18265
0	14	9.5172	6.48583	27.7563	1.18493
0	15	9.52218	6.67188	27.9306	1.18727
0	16	9.51161	6.85221	28.094	1.19002
0	17	9.48903	7.02359	28.2448	1.19301
0	18	9.47149	7.18279	28.3864	1.19566
0	19	9.42861	7.35292	28.5292	1.19924
0	20	9.31163	7.5519	28.6727	1.20556
0	21	9.16204	7.74611	28.8014	1.21282
0	22	8.97537	7.95676	28.9344	1.22142
0	23	8.71195	8.17312	29.0493	1.23249
0	24	8.36422	8.42633	29.1756	1.24661
0	25	8.00339	8.65572	29.2811	1.26079
0	26	7.62952	8.86679	29.371	1.2751
0	27	7.23896	9.05221	29.4377	1.28963
0	28	6.83895	9.20635	29.4779	1.30412
0	29	6.43456	9.33394	29.4974	1.31848
0	30	6.02158	9.43934	29.4995	1.33293
0	31	5.60199	9.5256	29.4876	1.34745
0	32	5.18105	9.57918	29.4496	1.36179
0	33	4.76321	9.60547	29.3915	1.37589
0	34	4.34322	9.60775	29.3153	1.38996
0	35	3.91731	9.57914	29.2135	1.40412
0	36	3.49409	9.51287	29.0808	1.4181
0	37	3.08262	9.41572	28.9248	1.43165
0	38	2.67902	9.29476	28.7516	1.44496
0	39	2.27885	9.14745	28.5578	1.45822
0	40	1.88713	8.96981	28.3396	1.47125
0	41	1.51052	8.76772	28.1034	1.48387
0	42	1.14558	8.54749	27.8544	1.49624
0	43	0.787612	8.30745	27.5905	1.50853
0	44	0.438641	8.04476	27.3086	1.52068
0	45	0.0991198	7.76982	27.0189	1.53272
0	46	-0.228515	7.48025	26.719	1.54456
