# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	74.1923	31.1947	4.69436	4.99144	59.6862	0	0	0	74.1923	0.958093	107	1392	24.8334	1.34266	0	1.41046
1	1	1	0	36.3769	22.2917	-5.76006	3.30064	59.9811	0	0	0	36.3769	0.919922	101	0	23.0135	1.78261	0	1.73113
2	1	1	0	80.8221	35.0373	15.3842	1.82393	57.1424	0	0	0	80.8221	0.827332	146	0	26.6052	0.911076	0	1.72258
3	1	1	0	69.3505	31.7856	-16.1793	1.54607	56.7987	0	0	0	69.3505	0.862578	132	0	25.7512	2.20494	0	1.73533
4	1	1	0	56.8111	29.2384	26.3794	-3.10498	51.7741	0	0	0	56.8111	0.835094	136	0	31.6917	0.532647	0	1.83939
5	1	1	0	62.4733	31.8668	-26.691	-2.74901	51.5894	0	0	0	62.4733	0.773087	134	0	30.5717	2.57345	0	1.82723
6	1	1	0	25.4318	20.2864	35.8006	-7.14709	45.7899	0	0	0	25.4318	0.776567	92	0	38.6495	0.317101	0	1.87646
7	1	1	0	39.6897	24.2969	-36.2008	-7.04008	45.6616	0	0	0	39.6897	0.844864	118	0	37.3152	2.8097	0	1.87332
8	1	1	0	20.6887	16.5665	44.2905	-10.1888	40.371	0	0	0	20.6887	0.947284	100	0	46.1014	0.196699	0	1.88387
9	1	1	0	19.6754	16.0428	-43.4617	-9.7207	40.8784	0	0	0	19.6754	0.960667	98	0	43.5828	2.92237	0	1.88203
10	2	0	0	35.7884	23.2919	-0.756948	-0.906752	68.1961	0	0	0	35.7884	0.828981	125	0	18.2925	1.56178	0	0
11	2	0	0	28.9717	22.6476	8.66227	-1.66699	66.112	0	0	0	28.9717	0.709805	129	0	19.9803	1.0705	0	0
12	2	0	0	31.9908	22.7095	-10.4738	-2.55878	66.1664	0	0	0	31.9908	0.77951	128	0	19.1864	2.09191	0	0
13	2	0	0	45.9299	26.9531	19.7214	-6.35603	59.9332	0	0	0	45.9299	0.794491	140	0	24.3121	0.556519	0	0
14	2	0	0	28.2606	22.4482	-19.8876	-5.62719	59.518	0	0	0	28.2606	0.704741	128	0	23.3211	2.52049	0	0
15	2	0	0	33.5591	23.6129	29.9812	-9.76992	51.4095	0	0	0	33.5591	0.756349	134	0	32.3095	0.29613	0	0
16	2	0	0	24.6679	24.8368	-30.1093	-9.21036	51.7685	0	0	0	24.6679	0.502518	124	0	30.849	2.81188	0	0
17	2	1	0	27.8992	19.1613	38.1013	-12.276	44.9054	0	0	0	27.8992	0.954881	116	0	39.6325	0.175568	0	0
18	2	1	0	14.5099	13.8477	-37.4737	-11.8801	45.0893	0	0	0	14.5099	0.950865	80	0	37.2772	2.94398	0	0
19	3	0	0	109.256	37.9711	3.95324	-9.26466	77.0289	84.9075	0	0	109.256	0.952243	128	27	11.0657	1.11456	0	0
20	3	0	0	87.938	34.0611	-5.79989	-9.66017	76.6018	85.4659	0	0	87.938	0.952507	130	18	10.7133	2.04352	0	0
21	3	0	0	84.9776	35.8914	12.957	-11.402	68.5323	80.8346	0	0	84.9776	0.828959	160	0	15.9189	0.51182	0	0
22	3	0	0	76.174	32.6835	-14.7499	-11.5075	67.2718	80.3557	0	0	76.174	0.896106	124	0	15.8229	2.63401	0	0
23	3	0	0	62.2558	29.4755	22.881	-14.254	58.4292	72.3126	0	0	62.2558	0.900467	155	0	24.3111	0.204816	0	0
24	3	0	0	81.3365	32.4799	-24.4651	-13.8256	57.6865	71.5954	0	0	81.3365	0.968871	140	0	24.1484	2.91722	0	0
25	3	1	0	26.8737	19.6079	30.7014	-15.5036	50.3427	63.7979	0	0	26.8737	0.878364	107	0	31.8385	0.116315	0	0
26	3	1	0	29.6278	21.3859	-31.8945	-15.0956	49.8977	63.007	0	0	29.6278	0.814054	101	0	31.2431	3.00989	0	0
27	4	0	0	62.5032	28.7785	-1.5473	-19.7878	78.0003	100.309	0	0	62.5032	0.948366	107	0	0.859249	-2.38586	0	0
28	4	0	0	58.7289	27.7264	7.21785	-20.4471	72.524	94.5318	0	0	58.7289	0.960012	120	0	8.23503	-0.152209	0	0
29	4	0	0	68.7822	30.9229	-10.0353	-20.772	70.3245	91.8704	0	0	68.7822	0.903912	124	0	9.24821	-2.97062	0	0
30	4	0	0	59.5034	28.6173	16.2694	-21.5403	63.3749	83.2924	0	0	59.5034	0.913052	148	0	17.3501	-0.135384	0	0
31	4	0	0	79.9146	32.0802	-18.9896	-22.4533	60.8379	80.0874	0	0	79.9146	0.975802	143	0	18.3584	-2.96336	0	0
32	4	1	0	53.628	28.3404	24.332	-22.0539	54.5494	71.9874	0	0	53.628	0.839052	139	0	25.4148	-0.112587	0	0
33	4	1	0	29.7837	20.4425	-26.9026	-22.305	52.3004	68.6045	0	0	29.7837	0.895609	111	0	26.1657	-3.02259	0	0
34	5	0	0	75.6184	32.3891	1.86461	-29.7923	66.0545	100.523	0	0	75.6184	0.905816	130	0	10.9542	-1.31358	0	0
35	5	0	0	54.6937	27.7925	-5.97967	-29.8308	65.0169	96.8831	0	0	54.6937	0.889799	112	0	11.7739	-2.01481	0	0
36	5	0	0	85.1874	33.289	10.8659	-30.266	61.7664	89.2941	0	0	85.1874	0.966014	134	0	16.1692	-0.753887	0	0
37	5	0	0	63.0074	29.465	-14.6666	-30.7277	59.3501	84.2853	0	0	63.0074	0.911985	152	0	17.9398	-2.44363	0	0
38	5	1	0	33.0871	21.6573	18.5664	-29.3971	55.5924	77.6641	0	0	33.0871	0.886461	114	0	21.9956	-0.482125	0	0
39	5	1	0	32.0901	21.142	-22.721	-30.2629	52.1946	71.9017	0	0	32.0901	0.902172	122	0	24.4463	-2.67191	0	0
40	6	0	0	58.8162	28.7456	-3.32409	-39.5609	56.2829	85.5365	0	0	58.8162	0.894466	131	0	20.5036	-1.68822	0	0
41	6	0	0	70.2739	30.9164	6.04205	-39.6025	55.8356	84.2246	0	0	70.2739	0.9239	135	0	21.5596	-1.24189	0	0
42	6	0	0	74.7696	31.91	-11.4782	-39.6292	54.1584	80.4901	0	0	74.7696	0.922746	122	0	22.9967	-2.0477	0	0
43	6	1	0	45.4022	24.4225	15.2351	-39.0067	53.0532	77.2985	0	0	45.4022	0.956551	129	0	25.562	-0.886568	0	0
44	6	1	0	47.7914	25.8817	-19.3907	-39.0783	50.0516	71.9753	0	0	47.7914	0.896547	129	0	27.1348	-2.31941	0	0
45	7	0	0	97.5396	37.6599	-0.0752399	-50.1144	47.6608	72.0746	0	0	97.5396	0.864235	159	0	30.9275	-1.54342	0	0
46	7	0	0	91.7749	36.9788	9.14923	-48.8531	47.7126	71.5754	0	0	91.7749	0.84339	151	0	31.3181	-1.2434	0	0
47	7	0	0	89.5676	35.8857	-9.30889	-50.1196	46.8547	70.3016	0	0	89.5676	0.874012	154	0	32.0383	-1.83566	0	0
48	7	1	0	53.143	27.2428	17.0349	-46.8601	46.8529	68.8997	0	0	53.143	0.899812	142	0	32.9789	-0.99501	0	0
49	7	1	0	62.2689	29.0214	-17.861	-48.4114	45.5652	67.0302	0	0	62.2689	0.929064	142	0	33.7687	-2.09627	0	0
