# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	100.781	36.4978	5.20169	2.83012	59.447	0	0	0	100.781	0.950723	152	30	23.9154	1.35916	0	1.57633
1	1	1	0	102.797	36.7242	-5.76786	2.89088	59.5382	0	0	0	102.797	0.957826	155	30	24.1849	1.8192	0	1.56526
2	1	1	0	101.831	36.6639	16.1873	1.89076	55.5415	0	0	0	101.831	0.951951	154	30	27.5674	0.951171	0	1.62887
3	1	1	0	104.721	37.2772	-17.2578	1.32668	56.2546	0	0	0	104.721	0.947017	152	30	27.9763	2.24367	0	1.66222
4	1	1	0	104.744	37.1137	27.3968	0.764696	49.56	0	0	0	104.744	0.95559	157	30	34.5724	0.664383	0	1.64579
5	1	1	0	83.9949	33.4366	-29.0466	-1.57894	50.339	0	0	0	83.9949	0.944098	144	22	34.8432	2.56578	0	1.7252
6	1	1	0	92.7372	35.4883	38.2549	-1.84513	43.7128	0	0	0	92.7372	0.925325	131	30	42.4238	0.456652	0	1.69162
7	1	1	0	96.0706	35.9038	-39.6013	-5.53101	44.2911	0	0	0	96.0706	0.936527	144	30	42.5208	2.78054	0	1.7823
8	1	1	0	61.302	28.262	46.9625	-6.07358	39.2808	0	0	0	61.302	0.96445	132	22	48.9735	0.300118	0	1.75682
9	1	1	0	58.4599	27.4724	-47.4669	-10.1249	39.9437	0	0	0	58.4599	0.973366	125	22	48.7725	2.92615	0	1.84064
10	2	0	0	73.6722	31.4905	0.548391	-5.60774	68.7643	0	0	0	73.6722	0.933586	148	30	14.9486	1.54602	0	0
11	2	0	0	55.8553	26.7567	10.5054	-6.01587	64.6969	0	0	0	55.8553	0.980415	98	22	17.831	0.953078	0	0
12	2	0	0	73.2275	31.2486	-10.7275	-5.85492	65.4289	0	0	0	73.2275	0.942371	144	30	18.301	2.20918	0	0
13	2	0	0	71.6092	31.0023	20.4222	-6.85619	57.8832	0	0	0	71.6092	0.936248	133	30	24.4416	0.594792	0	0
14	2	0	0	72.8553	31.8104	-22.205	-7.42001	57.8642	0	0	0	72.8553	0.904759	157	30	25.9508	2.61102	0	0
15	2	0	0	72.9488	31.8611	32.2154	-8.2982	49.7028	0	0	0	72.9488	0.903038	155	30	34.3007	0.36531	0	0
16	2	0	0	66.6201	29.5474	-32.5418	-10.9692	50.4854	0	0	0	66.6201	0.958908	139	22	34.0942	2.85669	0	0
17	2	1	0	58.7679	27.9176	42.28	-11.7599	43.1522	0	0	0	58.7679	0.947533	137	22	43.0101	0.205863	0	0
18	2	1	0	59.4725	27.9596	-41.7257	-15.3281	44.1396	0	0	0	59.4725	0.956015	136	22	42.2281	3.01757	0	0
19	3	0	0	73.4645	30.9976	4.6043	-13.7468	75.5309	83.8022	0	0	73.4645	0.960794	129	30	8.11775	0.994107	0	0
20	3	0	0	64.2479	28.6414	-4.89275	-13.5095	76.0232	83.7385	0	0	64.2479	0.984194	134	22	8.67795	2.19486	0	0
21	3	0	0	78.6197	32.4474	15.1792	-14.4109	65.5472	77.106	0	0	78.6197	0.938384	164	30	16.2093	0.388549	0	0
22	3	0	0	80.0801	33.0086	-15.3413	-14.0611	66.6064	77.8076	0	0	80.0801	0.923595	152	30	16.822	2.74547	0	0
23	3	0	0	77.5136	32.1149	25.7772	-15.1057	56.4511	68.34	0	0	77.5136	0.94444	149	30	26.172	0.209617	0	0
24	3	0	0	74.6482	31.6222	-25.9412	-16.8728	56.8303	69.3988	0	0	74.6482	0.938088	141	30	26.3771	3.00166	0	0
25	3	1	0	81.0163	32.5321	35.8164	-17.4193	48.4129	59.7684	0	0	81.0163	0.961964	157	30	35.7757	0.0876698	0	0
26	3	1	0	77.2135	31.7133	-35.2786	-20.8906	48.8773	61.1264	0	0	77.2135	0.964761	144	30	35.4583	-3.13203	0	0
27	4	0	0	75.3098	31.229	0.111811	-22.3123	79.7378	97.9093	0	0	75.3098	0.970388	113	30	1.76178	-1.60842	0	0
28	4	0	0	81.464	32.8295	10.4963	-22.5976	70.4572	89.5982	0	0	81.464	0.94983	132	30	10.5191	-0.195735	0	0
29	4	0	0	82.8288	32.8645	-9.7601	-22.7443	72.1295	91.4345	0	0	82.8288	0.963693	124	30	10.1772	-2.92445	0	0
30	4	0	0	71.7578	30.4238	20.6821	-23.4277	60.4378	77.7426	0	0	71.7578	0.974209	118	22	20.7047	-0.139355	0	0
31	4	0	0	77.9607	32.4143	-18.9209	-23.9699	62.753	80.7535	0	0	77.9607	0.932424	132	30	19.4025	-2.9645	0	0
32	4	1	0	78.2118	31.9681	29.589	-24.397	52.5526	67.509	0	0	78.2118	0.961722	149	30	29.6612	-0.130005	0	0
33	4	1	0	75.6936	31.5003	-28.1241	-26.645	53.7561	69.7905	0	0	75.6936	0.958607	148	30	28.9507	-2.92954	0	0
34	5	0	0	76.5101	31.3542	5.75378	-30.9149	67.9632	99.5001	0	0	76.5101	0.977998	117	30	11.7679	-1.07719	0	0
35	5	0	0	79.8652	32.0672	-4.57623	-31.5695	67.7963	101.343	0	0	79.8652	0.97599	111	30	11.9998	-1.97817	0	0
36	5	0	0	60.6699	27.914	15.7208	-31.4593	61.0594	84.6368	0	0	60.6699	0.978451	98	22	18.9882	-0.611918	0	0
37	5	0	0	57.0992	26.9783	-13.3434	-32.2164	62.595	88.4794	0	0	57.0992	0.985846	84	22	17.8576	-2.42979	0	0
38	5	1	0	79.4113	32.1613	24.9891	-32.3714	53.6399	72.6342	0	0	79.4113	0.964775	154	30	27.4826	-0.444579	0	0
39	5	1	0	76.6475	31.7102	-22.6377	-33.5819	55.3642	75.9027	0	0	76.6475	0.957878	150	30	26.2744	-2.62269	0	0
40	6	0	0	79.5057	32.0723	1.75151	-39.9126	59.9713	91.6934	0	0	79.5057	0.971285	114	30	19.4247	-1.48971	0	0
41	6	0	0	75.5935	31.3604	10.762	-39.9498	57.6082	85.2984	0	0	75.5935	0.965896	104	30	22.0976	-1.07133	0	0
