# CellID	NodeIndex	X	Y	R	Theta
0	0	9.94063	-3.81481	23.8904	1.14569
0	1	9.92804	-3.60093	24.0803	1.14982
0	2	9.91575	-3.3899	24.2681	1.15384
0	3	9.90501	-3.18072	24.4552	1.15771
0	4	9.88987	-2.97278	24.6397	1.16166
0	5	9.87686	-2.76485	24.8255	1.16547
0	6	9.86572	-2.55677	25.0125	1.16916
0	7	9.84903	-2.34991	25.1966	1.17298
0	8	9.83385	-2.14466	25.3801	1.17666
0	9	9.82035	-1.94136	25.5628	1.1802
0	10	9.80214	-1.7405	25.7417	1.18383
0	11	9.78573	-1.5408	25.9206	1.18732
0	12	9.76979	-1.34138	26.0998	1.19075
0	13	9.75177	-1.14197	26.2784	1.1942
0	14	9.73369	-0.942562	26.4573	1.19761
0	15	9.71433	-0.7441	26.6352	1.201
0	16	9.69227	-0.547762	26.8105	1.20441
0	17	9.66629	-0.354269	26.982	1.20788
0	18	9.64067	-0.166017	27.149	1.21123
0	19	9.61312	0.018165	27.3119	1.21454
0	20	9.58464	0.200479	27.473	1.21783
0	21	9.55403	0.378643	27.6297	1.2211
0	22	9.50892	0.550209	27.7756	1.22474
0	23	9.49309	0.724564	27.9344	1.22739
0	24	9.41637	0.861946	28.0382	1.23162
0	25	9.24721	0.988043	28.1015	1.23879
0	26	9.08511	1.15235	28.2048	1.24612
0	27	8.87169	1.30849	28.2858	1.25503
0	28	8.59043	1.46454	28.3486	1.26617
0	29	8.21897	1.62751	28.3955	1.28037
0	30	7.84144	1.76862	28.4254	1.29452
0	31	7.45787	1.89297	28.4433	1.30869
0	32	7.06458	1.99887	28.4466	1.323
0	33	6.66352	2.0804	28.4302	1.33738
0	34	6.26191	2.13766	28.3959	1.35161
0	35	5.86036	2.176	28.3488	1.36573
0	36	5.45396	2.19683	28.2893	1.37995
0	37	5.04475	2.2015	28.2191	1.39422
0	38	4.63884	2.18015	28.1296	1.40829
0	39	4.23984	2.13815	28.0263	1.4221
0	40	3.84327	2.07944	27.9121	1.43584
0	41	3.44539	2.00182	27.7843	1.44965
0	42	3.04995	1.90861	27.6466	1.46344
0	43	2.66393	1.79556	27.4954	1.47696
0	44	2.28558	1.66605	27.3334	1.4903
0	45	1.91073	1.51815	27.1582	1.50362
0	46	1.54093	1.34809	26.9661	1.51688
0	47	1.17903	1.16418	26.7653	1.53001
0	48	0.82956	0.966191	26.5554	1.54286
0	49	0.488538	0.754594	26.3365	1.55558
0	50	0.154779	0.53069	26.1096	1.56823
0	51	-0.0921188	0.329886	25.9093	1.57774
0	52	-0.272945	0.142004	25.7234	1.58482
0	53	-0.404576	-0.0416918	25.5419	1.59007
0	54	-0.540922	-0.194416	25.3922	1.59555
0	55	-0.607128	-0.345343	25.2431	1.59832
0	56	-0.629942	-0.521492	25.0676	1.59943
0	57	-0.630002	-0.701038	24.8881	1.59964
0	58	-0.637831	-0.881637	24.7078	1.60016
0	59	-0.636507	-1.06672	24.5228	1.60033
0	60	-0.643058	-1.258	24.3318	1.60083
0	61	-0.644683	-1.45129	24.1386	1.60114
0	62	-0.646319	-1.64758	23.9425	1.60146
0	63	-0.644839	-1.84382	23.7463	1.60165
0	64	-0.642386	-2.03937	23.5508	1.6018
0	65	-0.639081	-2.23368	23.3565	1.60192
0	66	-0.635239	-2.42671	23.1634	1.60201
0	67	-0.631259	-2.61908	22.971	1.6021
0	68	-0.627244	-2.81174	22.7783	1.60219
0	69	-0.622968	-3.00562	22.5844	1.60227
0	70	-0.618068	-3.20136	22.3886	1.60232
0	71	-0.612104	-3.39884	22.191	1.60234
0	72	-0.604768	-3.59729	21.9924	1.60229
0	73	-0.596812	-3.79579	21.7938	1.60221
0	74	-0.588214	-3.9936	21.5958	1.6021
0	75	-0.579292	-4.19055	21.3987	1.60197
0	76	-0.569762	-4.38717	21.2019	1.60181
0	77	-0.559904	-4.58418	21.0046	1.60163
0	78	-0.548864	-4.78204	20.8065	1.60139
0	79	-0.53637	-4.98045	20.6078	1.60108
0	80	-0.520351	-5.17814	20.4098	1.60059
0	81	-0.50271	-5.3759	20.2116	1.60001
0	82	-0.484818	-5.57468	20.0123	1.59941
0	83	-0.466535	-5.77293	19.8137	1.59877
0	84	-0.447227	-5.96994	19.6162	1.59807
0	85	-0.425564	-6.1655	19.4201	1.59723
0	86	-0.399216	-6.35936	19.2256	1.59612
0	87	-0.365217	-6.5507	19.0335	1.59459
0	88	-0.314598	-6.73623	18.8469	1.59214
0	89	-0.235573	-6.91134	18.6703	1.58811
0	90	-0.120718	-7.07677	18.5032	1.58206
0	91	0.0308761	-7.23467	18.3443	1.57389
0	92	0.201217	-7.37072	18.2085	1.56456
0	93	0.388715	-7.48774	18.0936	1.55416
0	94	0.592909	-7.587	17.9989	1.54272
0	95	0.806574	-7.67394	17.9193	1.53067
0	96	1.0228	-7.7557	17.8476	1.51838
0	97	1.23861	-7.83356	17.7826	1.50603
0	98	1.45222	-7.91002	17.7214	1.49372
0	99	1.66737	-7.98537	17.6642	1.48125
0	100	1.88453	-8.05966	17.6111	1.46859
0	101	2.10372	-8.13256	17.5624	1.45575
0	102	2.32424	-8.2034	17.5188	1.44278
0	103	2.54484	-8.27177	17.4806	1.42976
0	104	2.76441	-8.33793	17.4474	1.41677
0	105	2.98278	-8.40263	17.4185	1.40381
0	106	3.20073	-8.46657	17.3931	1.39084
0	107	3.41965	-8.52984	17.3715	1.37779
0	108	3.64089	-8.59163	17.3548	1.3646
0	109	3.86536	-8.65068	17.3445	1.35123
0	110	4.08864	-8.70614	17.3406	1.33797
0	111	4.311	-8.7571	17.3438	1.32482
0	112	4.52743	-8.80304	17.3533	1.31208
0	113	4.7385	-8.84502	17.3681	1.29971
0	114	4.94338	-8.88518	17.3855	1.28774
0	115	5.14528	-8.92293	17.4068	1.27599
0	116	5.34777	-8.9554	17.4358	1.26434
0	117	5.55418	-8.97756	17.4781	1.2527
0	118	5.76773	-8.98075	17.5431	1.24108
0	119	5.99374	-8.95482	17.642	1.22943
0	120	6.23182	-8.89695	17.7774	1.2179
0	121	6.4555	-8.81483	17.9327	1.20778
0	122	6.66742	-8.71275	18.1041	1.19884
0	123	6.87169	-8.59576	18.2879	1.19076
0	124	7.07121	-8.47222	18.4772	1.18321
0	125	7.26682	-8.34704	18.6675	1.17604
0	126	7.46006	-8.22233	18.8574	1.16913
0	127	7.65268	-8.09718	19.0483	1.16239
0	128	7.8437	-7.96991	19.2414	1.1559
0	129	8.03197	-7.84249	19.4342	1.14968
0	130	8.21522	-7.7169	19.6241	1.14378
0	131	8.39511	-7.58885	19.8155	1.13819
0	132	8.56953	-7.46102	20.0049	1.13295
0	133	8.73674	-7.33448	20.1907	1.12811
0	134	8.89804	-7.21191	20.3707	1.12353
0	135	9.05701	-7.08491	20.5542	1.11923
0	136	9.21365	-6.95623	20.7385	1.11514
0	137	9.36661	-6.82614	20.9228	1.11131
0	138	9.51397	-6.69409	21.1066	1.10783
0	139	9.65157	-6.5478	21.299	1.10512
0	140	9.77088	-6.37696	21.5053	1.10373
0	141	9.8702	-6.181	21.725	1.10371
0	142	9.9389	-5.98048	21.9349	1.10503
0	143	9.97856	-5.77414	22.1372	1.10761
0	144	9.99183	-5.5599	22.3349	1.11137
0	145	9.99032	-5.34124	22.5305	1.11573
0	146	9.98607	-5.12362	22.7243	1.12011
0	147	9.98021	-4.90636	22.9175	1.12447
0	148	9.97381	-4.68869	23.1113	1.12878
0	149	9.96698	-4.47008	23.3062	1.13306
0	150	9.95924	-4.25073	23.5018	1.13731
0	151	9.95036	-4.0318	23.697	1.14153
1	0	-1.18063	-4.94775	20.67	1.63219
1	1	-1.18456	-4.75337	20.8643	1.63181
1	2	-1.1884	-4.55964	21.0579	1.63143
1	3	-1.19099	-4.36577	21.2516	1.631
1	4	-1.19854	-4.17124	21.4462	1.63081
1	5	-1.20408	-3.97571	21.6417	1.63052
1	6	-1.20766	-3.77932	21.838	1.63015
1	7	-1.2168	-3.58295	22.0345	1.63003
1	8	-1.22387	-3.38731	22.2302	1.62983
1	9	-1.22868	-3.19284	22.4247	1.62953
1	10	-1.23827	-2.99982	22.6179	1.62945
1	11	-1.24553	-2.80783	22.81	1.62928
1	12	-1.25146	-2.61643	23.0014	1.62905
1	13	-1.25957	-2.42565	23.1923	1.62892
1	14	-1.26764	-2.23599	23.3822	1.62879
1	15	-1.27747	-2.04877	23.5696	1.62875
1	16	-1.29007	-1.86574	23.7531	1.62883
1	17	-1.30331	-1.68174	23.9375	1.62894
