# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	100.001	36.26	4.6813	-3.71599	59.1199	0	0	0	100.001	0.955785	152	30	22.255	1.36284	0	1.49917
1	1	1	0	106.398	37.4091	-6.65033	-4.529	59.7467	0	0	0	106.398	0.955408	158	30	22.0185	1.88175	0	1.64242
2	1	1	0	100.92	36.5415	15.821	-3.3407	54.422	0	0	0	100.92	0.949757	154	30	27.1704	0.953171	0	1.52359
3	1	1	0	109.414	38.5347	-19.03	-6.179	55.8126	0	0	0	109.414	0.925933	151	30	27.1738	2.3511	0	1.68544
4	1	1	0	105.087	37.0162	27.3235	-3.70884	47.7817	0	0	0	105.087	0.963778	162	30	34.876	0.674587	0	1.55521
5	1	1	0	82.9085	32.981	-31.6178	-8.19188	48.99	0	0	0	82.9085	0.957814	144	22	36.1171	2.64209	0	1.70384
6	1	1	0	101.598	37.6385	38.904	-5.73728	41.5329	0	0	0	101.598	0.901217	134	30	43.5548	0.470744	0	1.60989
7	1	1	0	101.057	37.1919	-42.3022	-12.6405	43.2002	0	0	0	101.057	0.918081	146	30	44.294	2.84723	0	1.77566
8	1	1	0	60.0325	27.8757	47.6226	-9.77433	37.5411	0	0	0	60.0325	0.970832	131	22	50.067	0.319322	0	1.68469
9	1	1	0	58.0318	27.3206	-49.5183	-18.3973	39.4493	0	0	0	58.0318	0.977005	126	22	50.1097	2.99954	0	1.85894
10	2	0	0	72.2639	31.7522	0.339051	-12.1117	68.1194	0	0	0	72.2639	0.900709	149	30	13.3822	1.55193	0	0
11	2	0	0	54.8739	26.5099	10.8574	-11.4275	63.3781	0	0	0	54.8739	0.981206	100	22	17.7146	0.917232	0	0
12	2	0	0	71.871	31.4261	-11.6088	-12.849	65.1357	0	0	0	71.871	0.914496	146	30	17.2225	2.3173	0	0
13	2	0	0	70.2441	31.0352	20.9147	-11.2562	55.6262	0	0	0	70.2441	0.916452	134	30	25.228	0.599544	0	0
14	2	0	0	72.2278	32.0514	-23.8586	-14.0417	57.1054	0	0	0	72.2278	0.883529	159	30	26.5419	2.69556	0	0
15	2	0	0	70.2252	31.4162	32.9194	-12.5016	47.3841	0	0	0	70.2252	0.894122	156	30	35.3091	0.376741	0	0
16	2	0	0	66.8562	29.5278	-34.5003	-17.3567	49.5434	0	0	0	66.8562	0.963581	140	22	35.5307	2.91059	0	0
