# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	98.8867	36.1072	5.63455	3.06793	59.7899	0	0	0	98.8867	0.953145	152	30	24.0966	1.34199	0	1.57733
1	1	1	0	105.388	37.2321	-5.33806	3.13962	59.8339	0	0	0	105.388	0.955357	158	30	24.1759	1.80061	0	1.56426
2	1	1	0	99.7729	36.2878	16.2979	2.22342	55.972	0	0	0	99.7729	0.952142	154	30	27.7847	0.951461	0	1.62408
3	1	1	0	101.122	36.6105	-16.9229	0.980371	56.6257	0	0	0	101.122	0.948071	152	30	27.3731	2.24517	0	1.6977
4	1	1	0	105.754	37.3478	27.4791	0.99771	49.7725	0	0	0	105.754	0.952744	161	30	34.6948	0.664621	0	1.64668
5	1	1	0	87.7237	34.2646	-28.4662	-1.3888	50.4452	0	0	0	87.7237	0.938935	142	22	34.3719	2.55549	0	1.72883
6	1	1	0	95.2066	36.1929	38.7265	-2.12928	43.5812	0	0	0	95.2066	0.913335	132	30	42.6676	0.44253	0	1.7043
7	1	1	0	100.924	37.163	-39.676	-4.90127	43.9716	0	0	0	100.924	0.918302	145	30	42.7534	2.77061	0	1.77122
8	1	1	0	61.6772	28.2125	47.2589	-6.80942	39.2069	0	0	0	61.6772	0.97376	133	22	49.012	0.280988	0	1.77652
9	1	1	0	58.1674	27.3173	-47.5829	-9.91825	39.7292	0	0	0	58.1674	0.979524	126	22	48.8889	2.9255	0	1.83937
10	2	0	0	73.0802	31.2972	0.653385	-5.32668	68.9717	0	0	0	73.0802	0.937562	149	30	15.0818	1.53868	0	0
11	2	0	0	56.8967	27.0397	10.6207	-5.87714	65.3601	0	0	0	56.8967	0.977895	98	22	17.8933	0.947015	0	0
12	2	0	0	73.1846	31.4382	-10.4335	-5.83898	65.6118	0	0	0	73.1846	0.930493	146	30	18.0127	2.20014	0	0
13	2	0	0	71.2805	31.0171	20.4579	-6.40136	58.2249	0	0	0	71.2805	0.93106	134	30	24.6499	0.603983	0	0
14	2	0	0	75.217	32.3172	-21.9526	-7.97143	58.0205	0	0	0	75.217	0.905023	158	30	25.3743	2.62969	0	0
15	2	0	0	69.825	31.2914	32.1729	-7.99268	49.5714	0	0	0	69.825	0.896128	156	30	34.325	0.369861	0	0
16	2	0	0	65.7513	29.2381	-32.6018	-10.5209	50.1801	0	0	0	65.7513	0.966532	140	22	34.2277	2.84878	0	0
17	2	1	0	57.8596	27.53	41.7702	-11.9096	43.3384	0	0	0	57.8596	0.959344	138	22	42.4588	0.201341	0	0
18	2	1	0	57.0731	27.4342	-41.6514	-14.6106	44.0129	0	0	0	57.0731	0.95292	137	22	42.2193	3.00402	0	0
19	3	0	0	72.3102	30.6955	4.73698	-13.5142	76.172	84.6637	0	0	72.3102	0.964404	129	28	8.26373	0.985112	0	0
20	3	0	0	62.2308	28.2308	-4.57027	-13.4418	76.4964	84.6197	0	0	62.2308	0.981223	134	21	8.41947	2.16868	0	0
21	3	0	0	76.7285	32.4258	15.5994	-14.0725	65.8209	77.5933	0	0	76.7285	0.917037	163	30	16.6776	0.389196	0	0
22	3	0	0	76.8612	32.212	-14.6185	-14.1766	66.9397	78.6473	0	0	76.8612	0.930856	154	30	16.044	2.7432	0	0
23	3	0	0	71.9777	30.8575	25.7332	-14.81	56.2916	68.1618	0	0	71.9777	0.949921	150	30	26.1683	0.215304	0	0
24	3	0	0	75.74	31.6658	-25.7442	-16.6379	56.6008	69.2746	0	0	75.74	0.949195	143	30	26.185	2.9974	0	0
25	3	1	0	81.2401	32.5387	34.9907	-17.3659	48.6076	60.0188	0	0	81.2401	0.964227	157	30	34.9536	0.086932	0	0
26	3	1	0	74.0276	31.09	-35.6703	-20.1222	48.4117	60.5406	0	0	74.0276	0.962411	145	30	35.8405	3.13382	0	0
27	4	0	0	79.0924	32.0145	0.264103	-22.2687	79.1805	98.8807	0	0	79.0924	0.969729	114	30	1.87039	-1.51995	0	0
28	4	0	0	81.3863	32.574	10.6219	-22.2082	70.5488	89.5541	0	0	81.3863	0.963871	133	30	10.608	-0.17123	0	0
29	4	0	0	79.1541	32.1671	-9.51306	-22.8166	72.0333	91.9513	0	0	79.1541	0.961298	124	30	9.97897	-2.89706	0	0
30	4	0	0	70.212	30.0392	20.3143	-23.2241	60.7724	77.825	0	0	70.212	0.977786	118	22	20.3421	-0.139244	0	0
31	4	0	0	80.9841	32.6756	-18.8068	-23.8735	62.3113	80.3315	0	0	80.9841	0.953152	133	30	19.291	-2.96058	0	0
32	4	1	0	75.8452	31.5263	29.0534	-24.4241	52.8851	67.8595	0	0	75.8452	0.958943	150	30	29.1632	-0.138403	0	0
33	4	1	0	78.5751	32.028	-28.626	-25.9616	53.1365	68.8388	0	0	78.5751	0.962578	150	30	29.3271	-2.95082	0	0
34	5	0	0	77.1606	31.5089	5.65769	-30.8611	67.8464	99.1977	0	0	77.1606	0.976653	118	30	11.8129	-1.08758	0	0
35	5	0	0	76.3493	31.3857	-4.8327	-31.5256	67.7738	100.918	0	0	76.3493	0.973984	112	27	12.1976	-1.99332	0	0
36	5	0	0	60.6865	27.9112	15.4174	-31.3483	61.2497	84.7903	0	0	60.6865	0.978912	99	22	18.7714	-0.622673	0	0
37	5	0	0	59.2347	27.5029	-13.565	-32.1763	62.4972	87.894	0	0	59.2347	0.984077	85	25	18.0911	-2.43282	0	0
38	5	1	0	78.2683	32.0339	24.7075	-32.1962	53.9299	72.8884	0	0	78.2683	0.958464	155	30	27.2263	-0.448086	0	0
39	5	1	0	77.6807	31.8285	-23.0885	-33.2682	54.966	75.1241	0	0	77.6807	0.963585	151	30	26.5798	-2.63625	0	0
40	6	0	0	79.2646	32.0925	1.44719	-39.7748	60.1338	91.7377	0	0	79.2646	0.967126	115	30	19.4162	-1.50492	0	0
41	6	0	0	76.5587	31.5761	10.5561	-39.8303	57.7565	85.4366	0	0	76.5587	0.96491	105	30	22.0318	-1.07986	0	0
42	6	0	0	83.9229	33.5388	-8.37931	-41.1506	57.6025	86.3053	0	0	83.9229	0.937552	116	30	22.4418	-1.96158	0	0
43	6	1	0	71.9311	30.6386	19.8698	-39.7617	53.1293	75.5833	0	0	71.9311	0.962918	137	30	27.6219	-0.776701	0	0
44	6	1	0	73.3808	31.0871	-18.2691	-40.6971	53.6411	77.14	0	0	73.3808	0.95418	143	30	27.421	-2.30826	0	0
45	7	0	0	96.4948	37.2013	-0.399963	-50.2814	50.9429	77.2717	0	0	96.4948	0.87619	153	30	29.8862	-1.58984	0	0
46	7	0	0	94.2408	36.5876	8.47122	-49.8202	50.3982	75.7214	0	0	94.2408	0.884671	142	30	30.5685	-1.29575	0	0
47	7	0	0	73.9735	31.9135	-9.3719	-50.3598	49.8812	74.8834	0	0	73.9735	0.912722	140	22	31.4416	-1.87911	0	0
48	7	1	0	79.7846	32.6245	17.3653	-48.3829	48.7364	71.4309	0	0	79.7846	0.941977	146	30	32.8438	-1.01975	0	0
49	7	1	0	59.0446	28.702	-17.3451	-48.4944	48.8165	71.6628	0	0	59.0446	0.900671	142	22	33.1059	-2.12826	0	0
