# CellID	NodeIndex	X	Y	R	Theta
0	0	10.6651	0.972949	24.275	1.12593
0	1	10.6847	1.17349	24.4646	1.12873
0	2	10.7015	1.37357	24.6527	1.13159
0	3	10.7194	1.5732	24.8411	1.13435
0	4	10.7396	1.77327	25.0311	1.137
0	5	10.7551	1.97527	25.221	1.13981
0	6	10.7728	2.17902	25.4136	1.14252
0	7	10.7926	2.38439	25.6087	1.14515
0	8	10.8066	2.59115	25.8029	1.14797
0	9	10.8223	2.79744	25.9976	1.15067
0	10	10.8401	3.00268	26.1923	1.15325
0	11	10.8531	3.20761	26.385	1.15595
0	12	10.8692	3.41248	26.5791	1.1585
0	13	10.8879	3.61886	26.7757	1.16095
0	14	10.9042	3.82845	26.9745	1.16349
0	15	10.9204	4.04153	27.1767	1.16605
0	16	10.9349	4.25761	27.3811	1.16867
0	17	10.9478	4.47515	27.5864	1.17133
0	18	10.9605	4.69253	27.7917	1.17395
0	19	10.9693	4.90936	27.9952	1.17665
0	20	10.9744	5.12564	28.197	1.17943
0	21	10.9725	5.34156	28.396	1.18239
0	22	10.9555	5.55541	28.5876	1.18577
0	23	10.9594	5.75896	28.7778	1.1883
0	24	10.8937	5.91786	28.901	1.19247
0	25	10.7384	6.06771	28.9836	1.19935
0	26	10.5847	6.25414	29.1023	1.2066
0	27	10.3713	6.43747	29.1987	1.21567
0	28	10.0794	6.62358	29.2737	1.22723
0	29	9.68833	6.81937	29.3295	1.24203
0	30	9.28805	6.99053	29.3655	1.25681
0	31	8.8813	7.14435	29.3894	1.27159
0	32	8.46348	7.28001	29.3991	1.28654
0	33	8.03658	7.39039	29.3887	1.30153
0	34	7.60944	7.47647	29.3612	1.31634
0	35	7.18194	7.54554	29.3236	1.33104
0	36	6.74752	7.59872	29.2754	1.34589
0	37	6.30855	7.63541	29.2165	1.36081
0	38	5.87227	7.64411	29.1372	1.37552
0	39	5.44169	7.63184	29.0447	1.38998
0	40	5.0105	7.60161	28.9404	1.40445
0	41	4.57595	7.54863	28.8193	1.41902
0	42	4.14455	7.47874	28.688	1.43351
0	43	3.72236	7.39044	28.5456	1.44774
0	44	3.3041	7.28573	28.3932	1.46191
0	45	2.8872	7.15989	28.2256	1.47611
0	46	2.47765	7.0115	28.042	1.49015
0	47	2.07479	6.85199	27.8532	1.5041
0	48	1.67899	6.67804	27.6559	1.51796
0	49	1.29149	6.48175	27.442	1.53169
0	50	1.00063	6.29401	27.2445	1.54209
0	51	0.786655	6.10696	27.0522	1.54979
0	52	0.631369	5.91544	26.8579	1.55542
0	53	0.47417	5.75837	26.6989	1.56122
0	54	0.405325	5.58924	26.5292	1.56376
0	55	0.406269	5.37396	26.3139	1.56366
0	56	0.384735	5.15376	26.0936	1.56443
0	57	0.380026	4.93147	25.8713	1.56455
0	58	0.382591	4.7097	25.6495	1.5644
0	59	0.38531	4.48836	25.4282	1.56424
0	60	0.388181	4.26727	25.2072	1.56407
0	61	0.39161	4.04704	24.987	1.56387
0	62	0.395852	3.82911	24.7691	1.56364
0	63	0.399968	3.61478	24.5548	1.56341
0	64	0.404961	3.40451	24.3445	1.56314
0	65	0.409972	3.19755	24.1376	1.56287
0	66	0.417943	2.99275	23.9329	1.56246
0	67	0.423849	2.78859	23.7288	1.56214
0	68	0.427864	2.58426	23.5245	1.5619
0	69	0.437596	2.3803	23.3206	1.5614
0	70	0.446847	2.17721	23.1176	1.56092
0	71	0.455508	1.97595	22.9165	1.56046
0	72	0.469648	1.77755	22.7183	1.55974
0	73	0.482423	1.58139	22.5222	1.55908
0	74	0.494076	1.38678	22.3278	1.55846
0	75	0.508854	1.19324	22.1345	1.55768
0	76	0.522865	0.99978	21.9412	1.55693
0	77	0.537849	0.806387	21.748	1.55611
0	78	0.552831	0.613496	21.5554	1.55529
0	79	0.568765	0.422157	21.3643	1.5544
0	80	0.58576	0.233399	21.1759	1.55345
0	81	0.603346	0.0478186	20.9907	1.55246
0	82	0.620983	-0.134554	20.8087	1.55146
0	83	0.638417	-0.314125	20.6295	1.55044
0	84	0.655796	-0.491485	20.4525	1.54942
0	85	0.673666	-0.667095	20.2773	1.54835
0	86	0.69303	-0.841056	20.1039	1.54719
0	87	0.715565	-1.01309	19.9324	1.54586
0	88	0.744455	-1.18249	19.7638	1.54418
0	89	0.786401	-1.34967	19.5979	1.54182
0	90	0.851213	-1.51277	19.4368	1.53824
0	91	0.946305	-1.67159	19.2815	1.53304
0	92	1.07725	-1.82784	19.1308	1.52589
0	93	1.22473	-1.95328	19.0127	1.51785
0	94	1.38755	-2.05385	18.9216	1.50898
0	95	1.55915	-2.14288	18.8442	1.49959
0	96	1.7352	-2.229	18.7717	1.48991
0	97	1.91631	-2.31502	18.7015	1.47989
0	98	2.10275	-2.40049	18.6343	1.46951
0	99	2.29224	-2.48386	18.5716	1.4589
0	100	2.48636	-2.56641	18.5123	1.44798
0	101	2.68638	-2.64879	18.4563	1.43668
0	102	2.88938	-2.72786	18.4063	1.42518
0	103	3.09455	-2.80341	18.3625	1.41352
0	104	3.3005	-2.87597	18.3244	1.4018
0	105	3.50629	-2.94654	18.2907	1.39006
0	106	3.71198	-3.0161	18.2605	1.3783
0	107	3.91836	-3.08503	18.2336	1.36647
0	108	4.12635	-3.15268	18.2109	1.35453
0	109	4.33602	-3.21737	18.194	1.34251
0	110	4.54605	-3.27759	18.1842	1.33051
0	111	4.75974	-3.33638	18.1793	1.31832
0	112	4.97442	-3.39238	18.18	1.30612
0	113	5.18862	-3.44449	18.1871	1.294
0	114	5.4018	-3.49339	18.1996	1.282
0	115	5.61458	-3.53658	18.2201	1.27013
0	116	5.82816	-3.56964	18.253	1.25842
0	117	6.04385	-3.58714	18.3039	1.24691
0	118	6.26588	-3.58544	18.3774	1.23548
0	119	6.49875	-3.56159	18.4777	1.22401
0	120	6.70979	-3.51813	18.5912	1.21413
0	121	6.90642	-3.45589	18.7189	1.20544
0	122	7.09346	-3.37874	18.8584	1.19764
0	123	7.27835	-3.29219	19.0069	1.19024
0	124	7.46384	-3.19949	19.1624	1.18305
0	125	7.6517	-3.10212	19.324	1.17596
0	126	7.8426	-3.00035	19.4919	1.16893
0	127	8.03584	-2.89385	19.6659	1.162
0	128	8.22934	-2.78249	19.8455	1.15528
0	129	8.42024	-2.66783	20.0279	1.14887
0	130	8.61612	-2.5497	20.2163	1.14243
0	131	8.81382	-2.42996	20.4077	1.13605
0	132	9.00944	-2.30853	20.6006	1.12992
0	133	9.20064	-2.18694	20.7925	1.1241
0	134	9.39465	-2.06564	20.9861	1.11826
0	135	9.58662	-1.93996	21.1834	1.11271
0	136	9.77379	-1.81008	21.3829	1.10754
0	137	9.94602	-1.66816	21.5871	1.10334
0	138	10.1009	-1.51009	21.7981	1.10027
0	139	10.235	-1.33094	22.0186	1.09853
0	140	10.333	-1.14952	22.2247	1.09831
0	141	10.3966	-0.967518	22.4157	1.09948
0	142	10.4395	-0.780644	22.6018	1.10154
0	143	10.4737	-0.590777	22.7866	1.10397
0	144	10.5018	-0.401107	22.9687	1.1066
0	145	10.5279	-0.211064	23.1504	1.10927
0	146	10.5534	-0.0193169	23.3336	1.11194
0	147	10.5789	0.175788	23.5199	1.11465
0	148	10.6018	0.372757	23.7069	1.11744
0	149	10.6238	0.571673	23.8954	1.12026
0	150	10.6448	0.772052	24.0851	1.1231
1	0	-0.125582	1.26758	22.2096	1.58629
1	1	-0.13291	1.47316	22.4152	1.58648
1	2	-0.142266	1.67667	22.6189	1.58675
1	3	-0.149393	1.87936	22.8216	1.58692
1	4	-0.153855	2.08226	23.0246	1.58697
1	5	-0.16324	2.28529	23.2277	1.58723
1	6	-0.171255	2.48838	23.4309	1.58743
1	7	-0.178002	2.69064	23.6333	1.58758
1	8	-0.190176	2.89063	23.8335	1.58795
1	9	-0.200782	3.0883	24.0313	1.58825
1	10	-0.210632	3.28377	24.2269	1.58851
1	11	-0.222265	3.47745	24.4207	1.58885
1	12	-0.233714	3.67015	24.6136	1.58917
1	13	-0.245363	3.86224	24.8059	1.5895
1	14	-0.257784	4.05338	24.9972	1.58985
1	15	-0.27122	4.24249	25.1866	1.59024
1	16	-0.285937	4.42796	25.3723	1.59068
1	17	-0.301066	4.60828	25.5529	1.59113
1	18	-0.31674	4.7822	25.7271	1.5916
1	19	-0.33167	4.94938	25.8945	1.59205
1	20	-0.349484	5.10952	26.055	1.5926
1	21	-0.367297	5.26413	26.21	1.59315
1	22	-0.390015	5.41499	26.3613	1.59388
1	23	-0.426034	5.56003	26.5072	1.59512
1	24	-0.435398	5.70756	26.6549	1.59533
1	25	-0.4962	5.82782	26.7767	1.59749
1	26	-0.637628	5.94648	26.8994	1.60263
1	27	-0.769525	6.10131	27.0587	1.60732
1	28	-0.948322	6.256	27.2203	1.61368
1	29	-1.18678	6.42084	27.3962	1.62212
1	30	-1.50634	6.60514	27.5984	1.63334
1	31	-1.83236	6.77701	27.7921	1.64466
1	32	-2.16146	6.93848	27.9792	1.65596
1	33	-2.49445	7.08729	28.1576	1.6673
1	34	-2.8352	7.22304	28.3274	1.67881
1	35	-3.1856	7.34178	28.4852	1.69059
1	36	-3.54194	7.43981	28.6272	1.70254
1	37	-3.89922	7.51903	28.7547	1.71449
1	38	-4.25722	7.58405	28.8724	1.72644
1	39	-4.61932	7.63695	28.9829	1.7385
1	40	-4.98527	7.67834	29.0869	1.75067
1	41	-5.35465	7.69803	29.1746	1.76301
1	42	-5.72108	7.69565	29.2445	1.77532
1	43	-6.08317	7.67628	29.3013	1.78756
1	44	-6.44421	7.64234	29.348	1.79982
1	45	-6.80694	7.59093	29.3825	1.81224
1	46	-7.16905	7.5175	29.4001	1.8248
1	47	-7.52449	7.42367	29.4009	1.8373
1	48	-7.87467	7.31935	29.3948	1.84973
1	49	-8.2194	7.20382	29.3809	1.86209
1	50	-8.56152	7.07486	29.3579	1.87451
1	51	-8.90041	6.93003	29.3233	1.88702
1	52	-9.23416	6.77432	29.2814	1.89951
1	53	-9.5594	6.60748	29.2307	1.91188
1	54	-9.88075	6.43359	29.1766	1.92425
1	55	-10.199	6.25036	29.1171	1.93669
1	56	-10.5102	6.0484	29.0421	1.94918
1	57	-10.8095	5.83144	28.9533	1.96156
1	58	-11.0262	5.63341	28.854	1.97112
1	59	-11.1792	5.44356	28.7396	1.97859
1	60	-11.2807	5.25466	28.6069	1.98447
1	61	-11.3994	5.09956	28.5131	1.99047
1	62	-11.433	4.9395	28.3808	1.99385
1	63	-11.3861	4.73443	28.1746	1.99531
1	64	-11.3688	4.51905	27.9713	1.99792
1	65	-11.3285	4.30538	27.7602	1.99979
1	66	-11.2893	4.09186	27.5498	2.00172
1	67	-11.2464	3.87941	27.3389	2.00354
1	68	-11.2019	3.66555	27.1261	2.00536
1	69	-11.1563	3.45142	26.9127	2.00717
1	70	-11.1106	3.23839	26.7004	2.00899
1	71	-11.0652	3.02701	26.4898	2.01083
1	72	-11.017	2.81715	26.2794	2.01257
