# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	99.2069	36.2277	5.77305	0.278945	59.6992	0	0	0	99.2069	0.949884	151	30	22.9144	1.33487	0	1.56058
1	1	1	0	103.898	37.0333	-4.87675	0.170146	59.8973	0	0	0	103.898	0.95199	156	30	22.7941	1.80518	0	1.58102
2	1	1	0	101.816	36.7537	16.283	-0.118112	55.7997	0	0	0	101.816	0.947167	155	30	27.0292	0.943453	0	1.59183
3	1	1	0	102.129	36.8203	-16.0982	-1.3117	56.4095	0	0	0	102.129	0.946634	153	30	26.4724	2.24448	0	1.66492
4	1	1	0	98.4949	36.0077	26.817	-0.80149	49.952	0	0	0	98.4949	0.954627	159	30	33.8581	0.676566	0	1.60913
5	1	1	0	78.4226	31.7893	-26.5105	-2.23313	50.4519	0	0	0	78.4226	0.975193	148	22	33.4043	2.50834	0	1.66263
6	1	1	0	91.0051	35.3202	36.8041	-2.36048	44.251	0	0	0	91.0051	0.916706	132	30	41.3493	0.494945	0	1.64111
7	1	1	0	96.2503	36.2074	-36.907	-4.39997	44.5363	0	0	0	96.2503	0.922609	143	30	41.2657	2.70095	0	1.69489
8	1	1	0	58.1458	27.3922	45.1308	-4.98905	39.8201	0	0	0	58.1458	0.973807	128	22	47.8406	0.363545	0	1.6861
9	1	1	0	55.7462	26.7724	-44.9903	-7.53232	40.2445	0	0	0	55.7462	0.977353	123	22	47.6566	2.83313	0	1.74093
10	2	0	0	71.2463	30.9688	1.46471	-8.27752	68.8627	0	0	0	71.2463	0.933522	149	30	13.7631	1.49459	0	0
11	2	0	0	54.815	26.6729	11.2689	-8.35427	64.8422	0	0	0	54.815	0.968211	99	22	17.4353	0.898973	0	0
