# CellID	NodeIndex	X	Y	R	Theta
0	0	8.75808	3.06367	24.0309	1.20731
0	1	8.76742	3.28367	24.24	1.21018
0	2	8.77741	3.5	24.446	1.21292
0	3	8.78909	3.71459	24.6512	1.21552
0	4	8.79885	3.92963	24.8563	1.21816
0	5	8.80814	4.14649	25.0631	1.22081
0	6	8.81711	4.36523	25.2717	1.22344
0	7	8.82654	4.58445	25.4812	1.22602
0	8	8.83427	4.80233	25.6889	1.2286
0	9	8.84245	5.01768	25.8946	1.2311
0	10	8.84744	5.23098	26.0975	1.23364
0	11	8.85353	5.44371	26.3003	1.2361
0	12	8.86006	5.65772	26.5047	1.23852
0	13	8.86472	5.87423	26.7109	1.241
0	14	8.86964	6.0933	26.9199	1.24346
0	15	8.87135	6.31404	27.1295	1.24601
0	16	8.87279	6.5312	27.3359	1.2485
0	17	8.87191	6.7448	27.5383	1.25099
0	18	8.87227	6.95111	27.7343	1.25331
0	19	8.87303	7.15106	27.9246	1.25552
0	20	8.8704	7.34545	28.1086	1.25776
0	21	8.86175	7.53429	28.2857	1.2601
0	22	8.85698	7.71875	28.46	1.26224
0	23	8.83103	7.89605	28.6211	1.26499
0	24	8.83363	8.06935	28.7872	1.26672
0	25	8.77319	8.21852	28.9116	1.27025
0	26	8.62447	8.36991	29.0128	1.2767
0	27	8.48275	8.55188	29.1465	1.28316
0	28	8.2938	8.73857	29.2728	1.29116
0	29	8.0449	8.94553	29.4045	1.30124
0	30	7.71386	9.19022	29.5547	1.31424
0	31	7.36532	9.42066	29.6918	1.32756
0	32	6.99223	9.62837	29.8064	1.34139
0	33	6.6027	9.80085	29.8887	1.35539
0	34	6.20937	9.94255	29.946	1.36924
0	35	5.80978	10.0625	29.9864	1.38309
0	36	5.39583	10.1577	30.0057	1.39724
0	37	4.9715	10.2167	29.9935	1.41152
0	38	4.55181	10.2417	29.9546	1.42548
0	39	4.13765	10.245	29.9006	1.4392
0	40	3.72114	10.2294	29.8334	1.45298
0	41	3.29776	10.1856	29.7431	1.46694
0	42	2.87784	10.1046	29.6217	1.48076
0	43	2.47274	9.99439	29.4782	1.49411
0	44	2.07708	9.86374	29.3201	1.50722
0	45	1.68309	9.70969	29.1439	1.52038
0	46	1.29509	9.53421	28.9516	1.53346
0	47	0.929088	9.33223	28.7383	1.54592
0	48	0.585425	9.1123	28.5119	1.55778
0	49	0.330429	8.91662	28.314	1.56669
0	50	0.141108	8.73115	28.1284	1.5734
0	51	0.00173572	8.54513	27.9431	1.5784
0	52	-0.0969725	8.35072	27.7496	1.58201
0	53	-0.209906	8.17365	27.5741	1.58618
0	54	-0.250929	7.97345	27.3746	1.58779
0	55	-0.214067	7.71985	27.1204	1.58659
0	56	-0.19597	7.46268	26.863	1.58607
0	57	-0.159916	7.21216	26.612	1.58486
0	58	-0.131837	6.96665	26.3661	1.58392
0	59	-0.107561	6.72454	26.1237	1.58312
0	60	-0.0820483	6.48359	25.8825	1.58225
0	61	-0.0566365	6.24179	25.6404	1.58136
0	62	-0.029981	5.99925	25.3976	1.58041
0	63	0.00155777	5.75731	25.1554	1.57925
0	64	0.0307641	5.51861	24.9165	1.57816
0	65	0.053782	5.27906	24.6767	1.5773
0	66	0.0676454	5.04081	24.4384	1.5768
