# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	67.165	30.1661	3.84672	0.103884	66.2845	0	0	0	67.165	0.927504	150	25	20.2318	1.37957	0	1.56328
1	1	1	0	58.6924	28.2366	-3.95567	0.0450103	66.2845	0	0	0	58.6924	0.925053	142	21	20.1957	1.76801	0	1.57831
2	1	1	0	64.4988	29.444	11.8275	0.0863836	62.6305	0	0	0	64.4988	0.934905	148	24	23.102	1.03339	0	1.56982
3	1	1	0	67.996	30.1357	-11.8201	0.209826	62.6305	0	0	0	67.996	0.940872	150	25	23.2058	2.10531	0	1.55941
4	1	1	0	64.8149	29.6448	19.7492	0.167646	57.2732	0	0	0	64.8149	0.926804	148	24	28.0544	0.789913	0	1.56611
5	1	1	0	59.8149	28.7723	-19.8054	-0.004556	57.2732	0	0	0	59.8149	0.907967	142	21	27.9743	2.35752	0	1.5748
6	1	1	0	70.5529	30.9069	27.7587	0.0739747	51.5797	0	0	0	70.5529	0.928141	152	26	34.1147	0.620407	0	1.57083
7	1	1	0	63.3849	30.552	-27.6521	0.165674	51.5797	0	0	0	63.3849	0.853328	142	21	34.084	2.51723	0	1.56748
8	1	1	0	53.9739	26.175	35.8805	-0.000401951	46.1085	0	0	0	53.9739	0.989965	138	19	40.9599	0.503385	0	1.57289
9	1	1	0	65.652	28.9729	-35.7093	-0.0431398	46.1085	0	0	0	65.652	0.98282	146	23	40.7919	2.63714	0	1.5741
10	2	0	0	46.3546	24.8843	-0.208039	-8.1129	75.6613	0	0	0	46.3546	0.940703	146	23	11.6482	1.58879	0	0
11	2	0	0	48.1704	25.407	7.81706	-8.05246	71.5836	0	0	0	48.1704	0.937739	152	26	14.0759	0.982138	0	0
12	2	0	0	49.4161	25.2928	-7.86314	-8.10162	71.5836	0	0	0	49.4161	0.970695	142	21	14.0624	2.1643	0	0
13	2	0	0	50.7231	25.9463	15.9791	-7.95181	64.4227	0	0	0	50.7231	0.946816	156	28	19.867	0.636421	0	0
14	2	0	0	56.9527	27.8798	-15.8531	-8.152	64.4227	0	0	0	56.9527	0.920753	156	28	19.6493	2.50964	0	0
15	2	0	0	41.7031	23.6514	23.8833	-7.93969	57.3268	0	0	0	41.7031	0.936835	140	20	26.6466	0.459573	0	0
16	2	0	0	42.7608	23.9668	-23.9676	-8.01298	57.3268	0	0	0	42.7608	0.935486	138	19	26.6925	2.68593	0	0
17	2	1	0	60.1517	27.6462	32.0771	-8.00639	50.8295	0	0	0	60.1517	0.988982	148	24	34.161	0.351218	0	0
18	2	1	0	49.7367	25.165	-31.8681	-7.86836	50.8295	0	0	0	49.7367	0.986947	136	18	34.0156	2.78448	0	0
19	3	0	0	57.6071	27.9415	4.151	-15.6602	79.403	96.8517	0	0	57.6071	0.927226	156	28	5.83265	0.77927	0	0
20	3	0	0	46.9401	27.4211	-4.0814	-15.7727	79.403	96.8517	0	0	46.9401	0.784486	142	21	5.70632	2.36814	0	0
21	3	0	0	50.0462	26.4759	12.0044	-15.7637	70.1832	88.0274	0	0	50.0462	0.897178	148	24	12.6504	0.321339	0	0
22	3	0	0	42.0578	23.6165	-11.8579	-15.7352	70.1832	88.0274	0	0	42.0578	0.947597	140	20	12.5235	2.81447	0	0
23	3	0	0	57.9098	30.2041	19.6706	-15.8352	61.9924	78.1854	0	0	57.9098	0.797682	138	19	20.0567	0.196913	0	0
24	3	0	0	48.5916	25.5565	-19.7877	-15.6273	61.9924	78.1854	0	0	48.5916	0.934911	144	22	20.216	2.93575	0	0
25	3	1	0	64.6115	28.7478	27.9067	-15.7516	54.7522	69.0449	0	0	64.6115	0.982451	152	26	28.1915	0.142638	0	0
26	3	1	0	65.1311	28.8245	-28.0119	-15.6789	54.7522	69.0449	0	0	65.1311	0.985087	152	26	28.309	2.99695	0	0
27	4	0	0	74.8172	37.1772	-0.219676	-23.6982	73.7785	107.858	0	0	74.8172	0.680233	156	28	3.94523	-1.62689	0	0
28	4	0	0	53.3494	27.6564	7.80796	-23.9208	70.321	96.5123	0	0	53.3494	0.876492	138	19	8.84648	-0.489778	0	0
