# CellID	NodeIndex	X	Y	R	Theta
0	0	8.63122	3.02016	24.0734	1.18521
0	1	8.65041	3.22647	24.2718	1.18768
0	2	8.66768	3.43636	24.4731	1.19023
0	3	8.68089	3.64719	24.6738	1.1929
0	4	8.69053	3.85891	24.8742	1.19568
0	5	8.69812	4.07126	25.0747	1.1985
0	6	8.70504	4.28474	25.2762	1.20132
0	7	8.71093	4.4955	25.4749	1.20409
0	8	8.71618	4.70652	25.6739	1.20685
0	9	8.71909	4.91644	25.8712	1.20963
0	10	8.71923	5.12641	26.0678	1.21247
0	11	8.71666	5.33653	26.2638	1.21537
0	12	8.7117	5.54625	26.4588	1.21831
0	13	8.70501	5.75526	26.6527	1.22125
0	14	8.69736	5.96394	26.8463	1.22418
0	15	8.68925	6.17333	27.0406	1.22709
0	16	8.68063	6.38485	27.2369	1.23001
0	17	8.67089	6.59961	27.4362	1.23296
0	18	8.65928	6.81784	27.6384	1.23597
0	19	8.64542	7.03857	27.8424	1.23905
0	20	8.62901	7.25997	28.0466	1.24217
0	21	8.60755	7.47967	28.2477	1.2454
0	22	8.57161	7.69424	28.4397	1.24901
0	23	8.55886	7.90788	28.6385	1.25179
0	24	8.48335	8.07554	28.7743	1.25611
0	25	8.33657	8.21847	28.8653	1.26248
0	26	8.20085	8.38172	28.9803	1.26865
0	27	8.02925	8.53546	29.0767	1.27586
0	28	7.80842	8.68725	29.1589	1.28462
0	29	7.51609	8.84271	29.2273	1.29571
0	30	7.12424	9.00436	29.2795	1.31009
0	31	6.72129	9.1336	29.3035	1.32452
0	32	6.31837	9.23833	29.3098	1.33872
0	33	5.91415	9.33329	29.3122	1.35289
0	34	5.50152	9.41162	29.3025	1.36721
0	35	5.08024	9.46316	29.2708	1.38167
0	36	4.6604	9.48587	29.2172	1.39593
0	37	4.2448	9.48798	29.1498	1.40998
0	38	3.82788	9.47207	29.0702	1.42405
0	39	3.40768	9.43155	28.9716	1.43819
0	40	2.99244	9.36289	28.8515	1.45214
0	41	2.58741	9.27352	28.7175	1.46578
0	42	2.18945	9.16812	28.5735	1.47925
0	43	1.88128	9.06384	28.443	1.4897
0	44	1.63861	8.9519	28.3128	1.49792
0	45	1.44384	8.82639	28.174	1.50449
0	46	1.28537	8.68223	28.0201	1.5098
0	47	1.11921	8.56214	27.8905	1.51548
0	48	1.02976	8.40848	27.7323	1.51839
0	49	1.00094	8.19688	27.5195	1.51904
0	50	0.951755	7.98723	27.3076	1.52044
0	51	0.915277	7.77841	27.0972	1.52139
0	52	0.882113	7.57313	26.8905	1.52225
0	53	0.850847	7.36879	26.6849	1.52305
0	54	0.820759	7.16472	26.4797	1.52382
0	55	0.791639	6.95997	26.2738	1.52456
0	56	0.763825	6.75385	26.0666	1.52526
0	57	0.737917	6.54654	25.8583	1.52589
0	58	0.714341	6.33904	25.65	1.52645
0	59	0.693021	6.13251	25.4427	1.52693
0	60	0.673407	5.92762	25.2372	1.52735
0	61	0.654835	5.72419	25.0331	1.52773
0	62	0.636875	5.52121	24.8296	1.5281
0	63	0.619571	5.31752	24.6253	1.52845
0	64	0.603565	5.11213	24.4194	1.52875
0	65	0.589917	4.90453	24.2114	1.52896
0	66	0.579439	4.69476	24.0014	1.52903
0	67	0.571542	4.48649	23.793	1.52899
0	68	0.566931	4.27834	23.5848	1.52882
0	69	0.565794	4.06767	23.3743	1.52849
0	70	0.56529	3.86143	23.1682	1.52813
0	71	0.566228	3.65651	22.9635	1.52771
0	72	0.569505	3.45451	22.7619	1.52719
0	73	0.576286	3.25497	22.5628	1.5265
0	74	0.585157	3.0608	22.3692	1.52572
0	75	0.596899	2.87223	22.1814	1.52481
0	76	0.610962	2.69056	22.0006	1.52379
0	77	0.628297	2.51603	21.8271	1.52262
0	78	0.646611	2.34795	21.6601	1.5214
0	79	0.668906	2.18574	21.4992	1.51999
0	80	0.690662	2.02755	21.3423	1.5186
0	81	0.719152	1.87249	21.189	1.51688
0	82	0.750098	1.71839	21.0368	1.51501
0	83	0.794581	1.56605	20.8873	1.51248
0	84	0.853676	1.41338	20.7384	1.50921
0	85	0.940056	1.25699	20.5879	1.50455
0	86	1.05594	1.0964	20.4357	1.49837
0	87	1.18763	0.949374	20.2991	1.49138
0	88	1.33627	0.813718	20.1763	1.4835
0	89	1.50495	0.688266	20.0668	1.47458
0	90	1.68668	0.57058	19.968	1.46496
0	91	1.87178	0.459923	19.8785	1.45511
0	92	2.05597	0.353373	19.7949	1.44524
0	93	2.23675	0.249224	19.7152	1.43548
0	94	2.41797	0.145641	19.6379	1.42563
0	95	2.59928	0.0425795	19.5631	1.4157
0	96	2.78022	-0.0598014	19.4909	1.40571
0	97	2.96457	-0.160407	19.423	1.3955
0	98	3.15123	-0.257203	19.3613	1.38513
0	99	3.33867	-0.348893	19.3068	1.37472
0	100	3.52546	-0.435832	19.259	1.36432
0	101	3.70668	-0.519355	19.2153	1.3542
0	102	3.88309	-0.600372	19.1751	1.34431
0	103	4.0562	-0.678798	19.1384	1.33457
0	104	4.22786	-0.753858	19.1065	1.32492
0	105	4.40023	-0.824115	19.0812	1.31526
0	106	4.57546	-0.88748	19.0651	1.30553
0	107	4.75651	-0.939037	19.0637	1.29565
0	108	4.94655	-0.973955	19.0827	1.28557
0	109	5.14766	-0.988336	19.1265	1.27527
0	110	5.33948	-0.980306	19.191	1.26583
0	111	5.52325	-0.953525	19.2724	1.25715
0	112	5.70147	-0.912925	19.3666	1.24904
0	113	5.87765	-0.863649	19.4697	1.24126
0	114	6.05332	-0.809123	19.5787	1.23367
0	115	6.22973	-0.750082	19.6933	1.22621
0	116	6.40839	-0.687164	19.8134	1.2188
0	117	6.59066	-0.620716	19.9392	1.21136
0	118	6.77731	-0.550587	20.0711	1.20389
0	119	6.9679	-0.476004	20.2096	1.19641
0	120	7.16042	-0.395428	20.3556	1.18905
0	121	7.34987	-0.306487	20.5092	1.1821
0	122	7.53122	-0.205692	20.6716	1.17583
0	123	7.69321	-0.0909391	20.8401	1.17077
0	124	7.83829	0.0413558	21.0186	1.16686
0	125	7.96905	0.191226	21.2079	1.16397
0	126	8.07013	0.340259	21.3848	1.16239
0	127	8.14646	0.490235	21.5528	1.1619
0	128	8.20505	0.643083	21.7163	1.16222
0	129	8.25425	0.799253	21.8792	1.163
0	130	8.29911	0.959016	22.0436	1.164
0	131	8.34255	1.12335	22.2118	1.16513
0	132	8.38512	1.29379	22.3852	1.16639
0	133	8.42448	1.46936	22.5621	1.16785
0	134	8.45994	1.65047	22.7426	1.16954
0	135	8.49153	1.83673	22.9265	1.17144
0	136	8.51958	2.02721	23.1129	1.17353
0	137	8.54469	2.22079	23.3012	1.17575
0	138	8.5676	2.4166	23.4908	1.17806
0	139	8.58923	2.61456	23.6821	1.18041
0	140	8.61036	2.81534	23.8758	1.18279
1	0	-0.0852614	4.26799	23.5561	1.55647
1	1	-0.0737812	4.45261	23.7409	1.55609
1	2	-0.0537401	4.63427	23.9229	1.55537
1	3	-0.0322611	4.81899	24.1079	1.5546
1	4	-0.0164245	5.00546	24.2946	1.55407
1	5	0.00151845	5.19057	24.48	1.55346
1	6	0.0202344	5.37807	24.6678	1.55283
1	7	0.0370504	5.56942	24.8594	1.5523
1	8	0.0530797	5.76316	25.0534	1.5518
1	9	0.0718639	5.95864	25.2492	1.5512
1	10	0.0944062	6.15607	25.4471	1.55047
1	11	0.114036	6.35622	25.6476	1.54986
1	12	0.135921	6.55828	25.8501	1.54918
1	13	0.159244	6.76144	26.0537	1.54845
1	14	0.180002	6.96466	26.2573	1.54784
1	15	0.20056	7.16653	26.4596	1.54723
1	16	0.218623	7.36681	26.6603	1.54673
1	17	0.238137	7.56556	26.8594	1.54619
1	18	0.261796	7.76332	27.0577	1.54549
1	19	0.289168	7.96056	27.2556	1.54467
1	20	0.304293	8.15849	27.4538	1.54431
1	21	0.324469	8.35166	27.6475	1.54376
1	22	0.315486	8.53804	27.8336	1.54427
1	23	0.345287	8.70889	28.0052	1.54337
1	24	0.295778	8.83954	28.1345	1.54525
1	25	0.133268	8.97137	28.2626	1.55112
1	26	-0.0222231	9.14139	28.4299	1.55671
1	27	-0.227647	9.3089	28.5953	1.56397
1	28	-0.494391	9.48794	28.7738	1.57328
1	29	-0.841182	9.6945	28.9833	1.58523
1	30	-1.19782	9.88755	29.1836	1.59736
1	31	-1.57031	10.0643	29.3725	1.60987
1	32	-1.96028	10.2138	29.5396	1.62287
1	33	-2.35628	10.3312	29.6799	1.63599
1	34	-2.75188	10.4254	29.8022	1.64903
1	35	-3.15129	10.5027	29.9131	1.66214
1	36	-3.55927	10.5591	30.0092	1.6755
1	37	-3.97141	10.588	30.0837	1.68903
1	38	-4.37972	10.5922	30.1388	1.70247
1	39	-4.78542	10.5786	30.1813	1.71585
1	40	-5.19357	10.5459	30.2107	1.72938
1	41	-5.60285	10.4873	30.2203	1.74306
1	42	-6.00487	10.4028	30.2087	1.75665
1	43	-6.39854	10.3004	30.1836	1.77009
1	44	-6.79002	10.1875	30.1531	1.78356
1	45	-7.17874	10.0522	30.1058	1.79713
1	46	-7.5569	9.89249	30.0377	1.81059
1	47	-7.92147	9.71544	29.9549	1.82382
1	48	-8.27622	9.5248	29.8617	1.83692
1	49	-8.55048	9.35715	29.7737	1.84729
1	50	-8.76493	9.19749	29.6797	1.85571
1	51	-8.93291	9.03316	29.5699	1.86272
1	52	-9.10442	8.90019	29.4926	1.86959
1	53	-9.17588	8.75277	29.373	1.87339
1	54	-9.1762	8.55634	29.1857	1.87541
1	55	-9.20794	8.35048	28.9989	1.87858
1	56	-9.21974	8.13637	28.7986	1.88122
1	57	-9.2205	7.91757	28.5905	1.88358
1	58	-9.22282	7.69906	28.3834	1.88603
1	59	-9.22725	7.479	28.1757	1.8886
1	60	-9.22527	7.25983	27.9669	1.89098
1	61	-9.22386	7.04062	27.7585	1.89342
1	62	-9.22126	6.82124	27.5497	1.89586
1	63	-9.21847	6.60254	27.3417	1.89831
1	64	-9.21299	6.38582	27.1348	1.90069
1	65	-9.20928	6.17189	26.9312	1.90314
1	66	-9.2076	5.96047	26.7309	1.90566
1	67	-9.20482	5.75077	26.5321	1.90816
1	68	-9.20217	5.54204	26.3343	1.91068
1	69	-9.19938	5.33411	26.1374	1.91324
1	70	-9.19644	5.12786	25.9422	1.9158
1	71	-9.19238	4.92504	25.7501	1.91831
1	72	-9.18356	4.72797	25.5619	1.92061
1	73	-9.18048	4.52866	25.3736	1.92319
1	74	-9.18247	4.32729	25.1854	1.92603
1	75	-9.18334	4.12352	24.9948	1.92889
1	76	-9.18427	3.91696	24.8018	1.93185
1	77	-9.18509	3.70766	24.6064	1.93488
1	78	-9.18609	3.49641	24.4094	1.938
1	79	-9.18444	3.28453	24.2112	1.94108
1	80	-9.18319	3.07314	24.0138	1.94422
1	81	-9.18331	2.86239	23.8178	1.94745
1	82	-9.18019	2.65152	23.6206	1.95061
1	83	-9.17874	2.43931	23.4231	1.95392
1	84	-9.17783	2.22464	23.2238	1.95733
1	85	-9.17411	2.00732	23.0213	1.96074
1	86	-9.16879	1.78841	22.8169	1.96417
1	87	-9.16109	1.56976	22.6121	1.96757
1	88	-9.15087	1.35303	22.4084	1.97088
1	89	-9.1383	1.13901	22.2065	1.97412
1	90	-9.1234	0.92765	22.0064	1.97726
1	91	-9.10754	0.718137	21.8078	1.98039
1	92	-9.08524	0.511208	21.6092	1.98326
1	93	-9.04675	0.309003	21.4085	1.9854
1	94	-8.98021	0.114197	21.2034	1.98623
1	95	-8.88525	-0.0748567	20.9922	1.98572
1	96	-8.77039	-0.234281	20.8	1.98376
1	97	-8.63062	-0.355563	20.633	1.97991
1	98	-8.47637	-0.4603	20.4758	1.97504
1	99	-8.31226	-0.555548	20.3239	1.96946
1	100	-8.14142	-0.646137	20.1745	1.9634
1	101	-7.9656	-0.733431	20.027	1.95695
1	102	-7.78616	-0.818782	19.8808	1.95021
1	103	-7.60523	-0.900621	19.7383	1.94323
1	104	-7.42297	-0.980231	19.5983	1.93604
1	105	-7.23897	-1.05913	19.4594	1.92866
1	106	-7.05232	-1.13814	19.3206	1.92105
1	107	-6.86172	-1.21701	19.1817	1.91312
1	108	-6.66606	-1.29415	19.044	1.9048
1	109	-6.4651	-1.36663	18.9104	1.89602
1	110	-6.2598	-1.43103	18.7846	1.88676
1	111	-6.05236	-1.48488	18.6698	1.8771
1	112	-5.84452	-1.52309	18.5716	1.86704
1	113	-5.63666	-1.54013	18.4957	1.85657
1	114	-5.42565	-1.53287	18.4443	1.84548
1	115	-5.20858	-1.4998	18.4185	1.83365
1	116	-4.98899	-1.44296	18.4178	1.82133
1	117	-4.7758	-1.37161	18.4354	1.80917
1	118	-4.56502	-1.28729	18.4689	1.797
1	119	-4.35233	-1.19051	18.517	1.78463
1	120	-4.13893	-1.08392	18.5773	1.77219
1	121	-3.92558	-0.970841	18.6468	1.75977
1	122	-3.71399	-0.855113	18.7222	1.7475
1	123	-3.50591	-0.740297	18.8	1.73553
1	124	-3.30047	-0.624665	18.8816	1.7238
1	125	-3.0969	-0.509144	18.966	1.71226
1	126	-2.89391	-0.393958	19.0527	1.70086
1	127	-2.69064	-0.278507	19.142	1.68955
1	128	-2.48753	-0.161862	19.235	1.67835
1	129	-2.28639	-0.0435269	19.3322	1.66734
1	130	-2.08929	0.075928	19.4332	1.65666
1	131	-1.89729	0.195119	19.5366	1.64634
1	132	-1.71019	0.31287	19.6408	1.63639
1	133	-1.52719	0.428899	19.7455	1.62676
1	134	-1.3475	0.543919	19.8512	1.61739
1	135	-1.17036	0.659213	19.9589	1.60826
1	136	-0.996234	0.774155	20.0681	1.59937
1	137	-0.823598	0.888499	20.1782	1.59066
1	138	-0.655868	1.00776	20.2948	1.58228
1	139	-0.499883	1.13939	20.4253	1.57457
1	140	-0.360433	1.28977	20.5756	1.56776
1	141	-0.240006	1.46796	20.7545	1.56199
1	142	-0.165162	1.65645	20.9438	1.55849
1	143	-0.129469	1.85607	21.1438	1.55692
1	144	-0.117427	2.06251	21.3504	1.55649
1	145	-0.113717	2.26985	21.5578	1.55646
1	146	-0.114433	2.47677	21.7647	1.55663
1	147	-0.11399	2.68307	21.971	1.55674
1	148	-0.111231	2.88855	22.1765	1.55675
1	149	-0.112281	3.09326	22.3811	1.55692
1	150	-0.110805	3.29677	22.5847	1.55698
1	151	-0.104113	3.49782	22.7858	1.55681
1	152	-0.0941115	3.69458	22.9827	1.55649
1	153	-0.0895552	3.88912	23.1772	1.55642
1	154	-0.0888131	4.08027	23.3684	1.5565
