# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	86.468	34.1099	5.16949	5.68375	58.3757	0	0	0	86.468	0.933906	142	22	26.3479	1.3346	0	1.59782
1	1	1	0	110.409	38.5614	-6.3244	5.99441	58.1921	0	0	0	110.409	0.933058	156	30	26.4689	1.77348	0	1.54378
2	1	1	0	109.959	38.4657	16.7922	3.99275	54.9986	0	0	0	109.959	0.933887	157	30	29.8136	0.931474	0	1.67648
3	1	1	0	111.195	38.5463	-18.2124	4.66766	54.5138	0	0	0	111.195	0.940439	155	30	30.0262	2.18142	0	1.63738
4	1	1	0	85.5457	33.9151	27.7383	1.13521	49.8361	0	0	0	85.5457	0.934595	137	22	35.6303	0.632658	0	1.73518
5	1	1	0	82.5448	33.13	-29.2961	1.96386	49.262	0	0	0	82.5448	0.945053	142	22	35.7819	2.48308	0	1.70519
6	1	1	0	105.749	38.4781	38.3025	-2.4494	44.0578	0	0	0	105.749	0.897548	153	30	43.0121	0.41859	0	1.78061
7	1	1	0	97.4844	36.6993	-39.574	-1.06557	43.6583	0	0	0	97.4844	0.909557	151	30	42.9444	2.68673	0	1.74629
8	1	1	0	83.3705	32.9833	47.3191	-6.90972	39.2146	0	0	0	83.3705	0.963017	147	30	50.0395	0.263284	0	1.83071
9	1	1	0	62.0208	28.4508	-48.1755	-5.01836	39.1488	0	0	0	62.0208	0.962848	139	22	49.4806	2.83541	0	1.79531
10	2	0	0	90.2914	34.4085	-0.154909	-2.83252	67.4903	0	0	0	90.2914	0.958354	155	30	17.1208	1.52164	0	0
11	2	0	0	86.8585	33.7633	10.7226	-4.09242	64.4008	0	0	0	86.8585	0.957488	145	30	19.7038	0.933851	0	0
12	2	0	0	88.693	34.1171	-11.6116	-3.5951	64.4786	0	0	0	88.693	0.957534	153	30	19.4834	2.147	0	0
13	2	0	0	91.4313	34.6036	21.6205	-6.3327	57.4325	0	0	0	91.4313	0.959536	153	30	26.3907	0.541394	0	0
14	2	0	0	87.5057	33.9201	-23.0133	-5.35653	56.9415	0	0	0	87.5057	0.955725	147	30	26.4049	2.5568	0	0
15	2	0	0	88.9678	34.8202	32.3334	-9.59281	49.8006	0	0	0	88.9678	0.922103	148	30	34.8965	0.300816	0	0
16	2	0	0	88.3107	34.5967	-33.8796	-8.43187	49.3164	0	0	0	88.3107	0.927159	150	30	34.8366	2.80515	0	0
17	2	1	0	61.4562	28.6034	42.5592	-13.5248	42.8735	0	0	0	61.4562	0.943929	141	22	44.0241	0.146071	0	0
18	2	1	0	60.4887	28.2264	-44.0373	-11.5369	42.5369	0	0	0	60.4887	0.954053	137	22	43.8524	2.94895	0	0
19	3	0	0	90.8445	34.4737	4.80516	-12.6211	75.7415	83.4621	0	0	90.8445	0.960579	151	30	9.33349	0.90007	0	0
20	3	0	0	84.9679	33.3327	-5.74579	-12.2216	75.9553	83.2323	0	0	84.9679	0.961	142	28	9.0565	2.12287	0	0
21	3	0	0	75.6674	31.358	14.9795	-14.2778	66.0775	77.8941	0	0	75.6674	0.96699	144	22	16.9469	0.340202	0	0
22	3	0	0	92.0042	34.7049	-16.7877	-13.3081	65.3222	76.612	0	0	92.0042	0.959924	154	30	17.1248	2.74439	0	0
23	3	0	0	91.8452	35.0841	25.642	-16.8865	56.1063	68.8421	0	0	91.8452	0.937658	152	30	26.8117	0.113856	0	0
24	3	0	0	78.9161	32.2596	-27.8719	-15.6967	55.0175	67.0595	0	0	78.9161	0.95292	140	22	27.2076	2.98527	0	0
25	3	1	0	82.887	32.8541	36.3659	-19.8726	47.3087	59.1597	0	0	82.887	0.964979	154	30	37.3621	0.00160762	0	0
26	3	1	0	82.0011	32.6479	-38.1031	-18.2016	46.8939	58.1416	0	0	82.0011	0.966761	151	30	37.1474	3.09498	0	0
27	4	0	0	69.1242	29.8162	-0.60305	-21.2842	79.1568	97.6653	0	0	69.1242	0.977088	138	21	1.40758	-1.28779	0	0
28	4	0	0	74.1274	30.9924	9.34541	-22.555	70.7317	90.8968	0	0	74.1274	0.969793	139	22	10.6688	-0.248345	0	0
29	4	0	0	87.0986	33.8568	-11.2257	-21.6341	70.6959	89.6321	0	0	87.0986	0.954839	147	30	10.3701	-2.97678	0	0
30	4	0	0	90.7758	34.6291	19.7064	-24.5968	60.2298	78.5227	0	0	90.7758	0.951256	145	30	21.2214	-0.221596	0	0
31	4	0	0	87.4129	33.9981	-22.2164	-23.5677	59.3958	76.4649	0	0	87.4129	0.950337	141	30	21.5293	-2.97194	0	0
32	4	1	0	80.3469	32.3703	30.0613	-27.0613	51.0929	66.7399	0	0	80.3469	0.963575	149	30	31.865	-0.225622	0	0
33	4	1	0	84.3545	33.1035	-32.0822	-25.8295	50.5457	65.4376	0	0	84.3545	0.967318	157	30	31.6405	-2.95412	0	0
34	5	0	0	88.5662	33.9875	3.63409	-30.8159	67.4214	101.562	0	0	88.5662	0.963471	150	30	11.8273	-1.16855	0	0
35	5	0	0	90.9586	34.8815	-6.89568	-30.628	66.8826	98.8988	0	0	90.9586	0.939428	154	30	12.2146	-2.07487	0	0
36	5	0	0	78.019	31.9228	13.8803	-32.6401	60.5623	86.0746	0	0	78.019	0.962072	141	22	19.5649	-0.706929	0	0
37	5	0	0	87.7607	34.1758	-16.8911	-31.9232	59.8329	83.7657	0	0	87.7607	0.944219	151	30	19.9104	-2.4953	0	0
38	5	1	0	81.2204	32.52	24.0533	-34.5172	52.6131	72.6705	0	0	81.2204	0.965106	151	30	28.9859	-0.527253	0	0
39	5	1	0	61.603	28.269	-26.4505	-33.3193	52.4141	71.5392	0	0	61.603	0.968703	139	22	28.7599	-2.65744	0	0
40	6	0	0	87.1155	34.0319	-2.57672	-40.2358	58.687	90.6199	0	0	87.1155	0.945221	146	30	20.3646	-1.64849	0	0
41	6	0	0	93.9641	35.7101	7.32411	-41.2677	56.6507	86.0658	0	0	93.9641	0.925956	158	30	22.9	-1.19896	0	0
42	6	0	0	71.577	30.4392	-12.3573	-40.7241	55.8924	83.4514	0	0	71.577	0.970769	140	22	23.6931	-2.0709	0	0
43	6	1	0	81.2645	32.8651	18.0863	-42.0827	51.8006	75.4568	0	0	81.2645	0.945454	153	30	29.2363	-0.85966	0	0
44	6	1	0	57.7151	27.293	-21.9776	-40.9461	51.1744	73.4699	0	0	57.7151	0.973636	139	22	29.6949	-2.35543	0	0
