# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	89.2268	34.678	5.96061	1.68785	58.1978	0	0	0	89.2268	0.93239	146	22	25.6198	1.30691	0	1.5885
1	1	1	0	109.946	38.2086	-5.91549	1.89813	58.001	0	0	0	109.946	0.946381	158	30	25.4781	1.77608	0	1.55309
2	1	1	0	108.607	38.0023	18.0236	-0.101567	54.405	0	0	0	108.607	0.94504	158	30	29.6277	0.885755	0	1.67529
3	1	1	0	109.27	38.0771	-18.226	0.803294	53.9415	0	0	0	109.27	0.947072	155	30	29.5826	2.20396	0	1.62528
4	1	1	0	86.2953	34.1438	29.7056	-2.75792	48.8233	0	0	0	86.2953	0.930196	140	22	36.5705	0.588049	0	1.72258
5	1	1	0	84.7763	33.9127	-29.9285	-1.84949	48.2881	0	0	0	84.7763	0.926314	143	22	36.0869	2.51382	0	1.69217
6	1	1	0	106.043	38.2947	40.8136	-7.13728	42.9291	0	0	0	106.043	0.908689	153	30	44.4777	0.365757	0	1.78596
7	1	1	0	102.361	37.75	-41.267	-5.14453	42.3284	0	0	0	102.361	0.902633	158	30	44.3207	2.72583	0	1.7376
8	1	1	0	83.0382	32.8553	49.7127	-12.4567	38.3455	0	0	0	83.0382	0.96667	148	30	51.5342	0.206936	0	1.84968
9	1	1	0	61.2632	28.1375	-49.4292	-9.84676	38.1229	0	0	0	61.2632	0.972386	140	22	50.4637	2.87698	0	1.80234
10	2	0	0	87.7352	34.0228	0.115293	-6.44755	67.078	0	0	0	87.7352	0.952453	156	30	16.6186	1.52039	0	0
11	2	0	0	87.1063	33.7816	11.4266	-7.59255	63.7191	0	0	0	87.1063	0.959175	146	30	19.6562	0.904532	0	0
12	2	0	0	85.1237	33.802	-12.0035	-6.87266	63.3097	0	0	0	85.1237	0.936214	154	30	19.7184	2.17989	0	0
13	2	0	0	89.2964	34.267	22.9027	-9.56675	56.5751	0	0	0	89.2964	0.955631	154	30	27.1991	0.518458	0	0
14	2	0	0	85.6536	33.6854	-23.86	-8.66334	55.4947	0	0	0	85.6536	0.948579	148	30	27.2434	2.58547	0	0
15	2	0	0	87.3772	34.6116	33.9377	-13.1774	48.9152	0	0	0	87.3772	0.916566	149	30	36.037	0.277363	0	0
16	2	0	0	85.7986	34.2375	-34.7941	-11.8849	48.04	0	0	0	85.7986	0.919783	151	30	35.8533	2.82506	0	0
17	2	1	0	59.3415	28.1153	43.9609	-17.9109	42.2924	0	0	0	59.3415	0.943374	142	22	44.9768	0.114399	0	0
18	2	1	0	57.4724	27.7025	-45.0165	-15.7018	41.6307	0	0	0	57.4724	0.941088	138	22	44.8991	2.9773	0	0
19	3	0	0	91.6401	34.7482	5.20388	-15.7851	74.919	82.1879	0	0	91.6401	0.95374	152	30	9.37139	0.88623	0	0
20	3	0	0	89.1523	34.0743	-6.10555	-15.0819	74.2985	81.3455	0	0	89.1523	0.964912	143	30	9.61217	2.16527	0	0
21	3	0	0	76.9528	31.5397	16.1819	-17.321	65.1968	76.2159	0	0	76.9528	0.97212	145	22	17.8467	0.326502	0	0
22	3	0	0	91.3553	34.688	-17.6085	-16.1011	63.5253	74.1037	0	0	91.3553	0.954083	155	30	18.2585	2.75146	0	0
23	3	0	0	90.6827	34.6145	26.8836	-19.8193	55.3754	67.4791	0	0	90.6827	0.951085	153	30	27.7934	0.116323	0	0
24	3	0	0	74.5375	31.2761	-28.8423	-18.8784	53.7017	65.1172	0	0	74.5375	0.957545	141	22	28.4273	2.99449	0	0
25	3	1	0	81.7085	32.7163	37.4357	-23.4623	46.8412	58.4341	0	0	81.7085	0.959288	155	30	38.16	-0.0109358	0	0
26	3	1	0	79.3967	32.2619	-39.052	-21.6362	45.9379	56.7799	0	0	79.3967	0.958586	152	30	38.3559	3.10485	0	0
27	4	0	0	73.3453	30.8238	-0.539876	-23.9921	80.8984	95.3415	0	0	73.3453	0.970085	139	22	0.964456	-1.38081	0	0
28	4	0	0	74.6506	31.1306	10.0848	-25.1812	71.2619	89.4207	0	0	74.6506	0.967985	140	22	11.0159	-0.19515	0	0
29	4	0	0	86.8501	33.6346	-11.585	-24.2852	70.505	87.2324	0	0	86.8501	0.964733	148	30	10.9335	-3.02791	0	0
