# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	88.5175	34.5895	6.52265	-2.57644	58.1154	0	0	0	88.5175	0.929717	147	22	25.205	1.29757	0	1.57375
1	1	1	0	110.113	38.2543	-5.67484	-2.54041	57.903	0	0	0	110.113	0.94556	159	30	24.8979	1.78926	0	1.56784
2	1	1	0	110.249	38.4252	18.8958	-4.50992	54.3974	0	0	0	110.249	0.938328	160	30	29.4378	0.861427	0	1.67627
3	1	1	0	109.441	38.121	-18.0999	-3.65323	53.6224	0	0	0	109.441	0.946374	156	30	29.2493	2.22596	0	1.6297
4	1	1	0	87.2058	34.5693	30.9897	-7.64725	48.6034	0	0	0	87.2058	0.91701	141	22	36.6923	0.550661	0	1.73598
5	1	1	0	86.3113	34.367	-29.9903	-6.48603	47.8763	0	0	0	86.3113	0.918319	144	22	36.0184	2.54082	0	1.69905
6	1	1	0	106.349	38.2517	42.4161	-12.1301	42.3534	0	0	0	106.349	0.913362	153	30	45.1599	0.331934	0	1.79511
7	1	1	0	101.295	37.2382	-41.5941	-10.1311	41.9063	0	0	0	101.295	0.917953	158	30	44.5687	2.75714	0	1.74894
8	1	1	0	83.7437	32.9637	51.2046	-17.9337	37.8012	0	0	0	83.7437	0.968479	149	30	52.2491	0.171421	0	1.86501
9	1	1	0	61.5894	28.2622	-50.035	-14.7756	37.6576	0	0	0	61.5894	0.968959	141	22	51.1996	2.90359	0	1.80816
10	2	0	0	85.7833	33.8062	0.753235	-10.3904	66.6458	0	0	0	85.7833	0.943237	157	30	16.4884	1.50817	0	0
11	2	0	0	85.6847	33.6077	12.1423	-11.5248	63.4329	0	0	0	85.6847	0.953314	147	30	19.724	0.889578	0	0
12	2	0	0	86.1853	33.9592	-11.8084	-11.1904	62.736	0	0	0	86.1853	0.939132	155	30	19.4435	2.20556	0	0
13	2	0	0	86.0172	33.7668	23.8558	-13.8103	56.154	0	0	0	86.0172	0.948015	155	30	27.4301	0.495248	0	0
14	2	0	0	85.1463	33.6825	-23.8231	-13.0305	54.8605	0	0	0	85.1463	0.943123	149	30	27.2987	2.61093	0	0
15	2	0	0	91.2111	34.9985	34.9783	-17.8337	48.3529	0	0	0	91.2111	0.935747	150	30	36.3907	0.250271	0	0
16	2	0	0	84.425	34.0569	-35.0396	-16.2971	47.3813	0	0	0	84.425	0.914683	152	30	36.3264	2.84694	0	0
17	2	1	0	59.4758	28.1278	44.8645	-22.7785	41.9011	0	0	0	59.4758	0.944665	143	22	45.3261	0.0898704	0	0
18	2	1	0	56.8927	27.6132	-45.3298	-20.3505	41.0844	0	0	0	56.8927	0.937634	139	22	45.517	2.99839	0	0
19	3	0	0	86.8924	33.8661	6.14406	-19.3795	74.2296	81.096	0	0	86.8924	0.952053	153	30	9.84923	0.860437	0	0
20	3	0	0	84.6041	33.3974	-5.30899	-18.7893	73.493	80.3357	0	0	84.6041	0.953179	146	30	9.49857	2.12891	0	0
21	3	0	0	73.3547	30.7424	17.0082	-21.1048	64.7521	75.3646	0	0	73.3547	0.975355	146	22	18.2154	0.320676	0	0
22	3	0	0	87.1163	34.3452	-17.4172	-20.0702	62.6827	72.9038	0	0	87.1163	0.928061	156	30	18.4295	2.76507	0	0
23	3	0	0	87.621	34.2558	27.373	-24.0341	54.9671	66.8211	0	0	87.621	0.938317	154	30	27.7943	0.101359	0	0
24	3	0	0	73.4779	31.1509	-29.0468	-22.9809	53.1225	64.2611	0	0	73.4779	0.951539	142	22	29.0267	3.00802	0	0
25	3	1	0	82.4646	32.9701	37.9442	-28.033	46.497	57.9195	0	0	82.4646	0.953314	156	30	38.2413	-0.0310324	0	0
26	3	1	0	79.0507	32.2948	-39.3503	-25.985	45.2914	55.938	0	0	79.0507	0.952471	153	30	39.0811	3.11955	0	0
27	4	0	0	72.2832	30.5756	0.286528	-27.2873	82.2975	93.6094	0	0	72.2832	0.971625	140	22	0.716755	-0.66232	0	0
28	4	0	0	74.0707	31.0094	10.8289	-28.6277	71.5573	88.2333	0	0	74.0707	0.967989	141	22	11.2495	-0.159004	0	0
29	4	0	0	88.0996	33.9343	-10.976	-27.4873	70.0523	85.5398	0	0	88.0996	0.961402	149	30	10.7165	-3.08176	0	0
30	4	0	0	86.5687	33.9337	21.2257	-31.2724	60.2574	76.934	0	0	86.5687	0.94473	147	30	21.9551	-0.202979	0	0
31	4	0	0	87.9094	34.3986	-22.6719	-29.5695	58.2946	73.5668	0	0	87.9094	0.933607	145	30	22.5582	-3.02059	0	0
32	4	1	0	77.9699	32.1267	31.514	-34.4927	50.5717	65.3917	0	0	77.9699	0.949304	151	30	32.6992	-0.236021	0	0
33	4	1	0	80.5597	32.4878	-33.2212	-32.6819	49.473	63.3133	0	0	80.5597	0.95915	159	30	33.4554	-2.96627	0	0
34	5	0	0	89.7999	34.1969	4.89546	-36.5057	70.3327	102.202	0	0	89.7999	0.964965	153	30	10.9578	-1.07902	0	0
35	5	0	0	88.2865	34.0174	-5.89647	-36.1908	69.7055	98.7073	0	0	88.2865	0.958739	156	30	10.903	-2.1121	0	0
36	5	0	0	74.6677	31.3709	15.4606	-38.5166	61.9211	85.6918	0	0	74.6677	0.95343	143	22	19.5938	-0.638015	0	0
37	5	0	0	88.0715	34.0735	-16.724	-37.086	60.9447	82.5512	0	0	88.0715	0.953261	153	30	19.3726	-2.58469	0	0
38	5	1	0	76.8331	31.9142	25.9078	-41.179	52.9694	72.0481	0	0	76.8331	0.94796	153	30	29.8522	-0.500788	0	0
39	5	1	0	59.5572	27.9957	-27.0622	-38.849	52.1461	69.8434	0	0	59.5572	0.954907	142	22	29.3499	-2.72029	0	0
40	6	0	0	86.5292	33.6526	-1.49228	-45.3738	61.7645	95.5807	0	0	86.5292	0.960142	148	30	18.567	-1.63621	0	0
41	6	0	0	94.829	35.4599	9.23563	-46.8151	59.0318	88.9682	0	0	94.829	0.947709	165	30	22.1194	-1.12615	0	0
