# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	102.498	36.9776	6.51025	3.81585	59.5677	0	0	0	102.498	0.941992	147	30	24.8516	1.27005	0	1.6181
1	1	1	0	80.2418	32.658	-4.42334	4.33342	59.0828	0	0	0	80.2418	0.945434	134	22	24.5154	1.71701	0	1.5235
2	1	1	0	102.814	37.0403	17.6547	2.61235	55.7631	0	0	0	102.814	0.941699	142	30	29.1582	0.8832	0	1.65718
3	1	1	0	86.1349	34.0438	-16.2431	3.83817	55.1338	0	0	0	86.1349	0.933927	136	22	28.3085	2.14565	0	1.58668
4	1	1	0	105.399	37.5578	28.4514	-0.0120458	50.2024	0	0	0	105.399	0.93896	151	30	35.426	0.596765	0	1.71667
5	1	1	0	100.33	36.4391	-27.3392	2.39363	49.4244	0	0	0	100.33	0.94952	144	30	34.634	2.44151	0	1.63226
6	1	1	0	83.871	33.5471	38.82	-3.9179	44.4674	0	0	0	83.871	0.936506	143	22	42.7774	0.383412	0	1.77682
7	1	1	0	100.154	37.0354	-38.2429	0.413339	43.3085	0	0	0	100.154	0.917586	139	30	42.5626	2.64352	0	1.66589
8	1	1	0	58.5439	27.6755	47.3388	-8.18712	39.7105	0	0	0	58.5439	0.960505	131	22	49.5982	0.23883	0	1.8271
9	1	1	0	87.5307	33.8359	-48.1216	-2.45571	38.0924	0	0	0	87.5307	0.960761	152	30	50.3932	2.78768	0	1.70504
10	2	0	0	81.6584	32.5786	0.383667	-4.67673	68.6055	0	0	0	81.6584	0.966821	141	30	15.2936	1.48994	0	0
11	2	0	0	83.2226	32.9012	10.9672	-5.8654	65.9682	0	0	0	83.2226	0.966115	147	30	18.3637	0.871611	0	0
12	2	0	0	83.6392	33.0546	-10.0862	-3.85378	64.2989	0	0	0	83.6392	0.961955	153	30	18.5314	2.09246	0	0
13	2	0	0	85.1006	33.2933	21.4943	-7.67796	58.5242	0	0	0	85.1006	0.964783	142	30	25.4797	0.501199	0	0
14	2	0	0	82.0103	33.0112	-21.1884	-5.18778	57.1908	0	0	0	82.0103	0.945703	156	30	25.1125	2.51466	0	0
15	2	0	0	86.4701	33.9559	32.4242	-10.6133	50.5983	0	0	0	86.4701	0.942423	149	30	34.5528	0.272727	0	0
16	2	0	0	82.7891	33.4979	-32.6879	-7.03881	49.1084	0	0	0	82.7891	0.927148	156	30	34.3437	2.75711	0	0
17	2	1	0	77.0617	31.8798	42.6583	-14.3774	43.6569	0	0	0	77.0617	0.952832	139	30	43.8615	0.126714	0	0
18	2	1	0	83.5731	33.115	-43.4081	-10.0964	42.1971	0	0	0	83.5731	0.957693	153	30	43.6757	2.91472	0	0
19	3	0	0	69.1414	29.8422	4.62073	-13.8504	76.9321	84.9182	0	0	69.1414	0.975634	138	20	8.17251	0.837135	0	0
20	3	0	0	73.0113	30.7266	-5.53843	-13.0366	75.0481	83.3049	0	0	73.0113	0.971786	141	22	8.32786	2.16856	0	0
21	3	0	0	74.9879	31.2098	15.1995	-15.3193	66.8052	78.9911	0	0	74.9879	0.967429	141	22	16.6974	0.279168	0	0
22	3	0	0	86.0662	33.7959	-15.6837	-13.1941	65.1042	76.1033	0	0	86.0662	0.946925	150	30	16.286	2.71584	0	0
23	3	0	0	76.0523	31.5609	25.6215	-17.5254	57.0732	70.0521	0	0	76.0523	0.95945	143	22	26.5811	0.090221	0	0
24	3	0	0	85.4237	33.7897	-27.0798	-14.4597	55.1328	66.591	0	0	85.4237	0.9402	148	30	26.7907	2.93633	0	0
25	3	1	0	78.2048	31.9832	35.6344	-20.4354	48.8104	61.0412	0	0	78.2048	0.960727	145	30	36.4896	-0.0141152	0	0
26	3	1	0	59.1681	27.8442	-37.1239	-16.2667	47.0894	57.6901	0	0	59.1681	0.95902	141	22	36.4559	3.0412	0	0
27	4	0	0	81.9723	32.8021	-1.49881	-22.0155	79.0551	97.8091	0	0	81.9723	0.957358	149	29	2.19282	-1.87044	0	0
28	4	0	0	83.1618	33.0566	8.67885	-23.0146	72.4588	93.1221	0	0	83.1618	0.956352	152	30	10.0201	-0.313933	0	0
29	4	0	0	70.7462	30.3079	-11.7984	-21.4706	69.8614	87.6179	0	0	70.7462	0.967837	137	22	11.0561	-3.00092	0	0
30	4	0	0	85.3773	33.5836	19.3616	-24.6885	61.8524	80.3283	0	0	85.3773	0.951254	146	30	20.7679	-0.231657	0	0
31	4	0	0	72.3621	30.9352	-22.3009	-22.4398	59.0635	75.0984	0	0	72.3621	0.950202	140	22	21.5968	-3.02467	0	0
32	4	1	0	81.5603	32.5868	29.6463	-27.476	52.3474	68.2977	0	0	81.5603	0.965172	154	30	31.4199	-0.242854	0	0
33	4	1	0	77.9553	31.8467	-32.1837	-23.5493	50.5471	64.334	0	0	77.9553	0.965889	145	30	31.5417	-3.02629	0	0
34	5	0	0	65.1141	28.9617	2.45996	-31.363	68.2165	104.573	0	0	65.1141	0.975524	115	22	11.9122	-1.28909	0	0
35	5	0	0	87.8901	34.1997	-8.02452	-30.4538	66.8041	95.9972	0	0	87.8901	0.944287	158	30	12.7438	-2.16864	0	0
36	5	0	0	84.9838	33.2953	12.6852	-32.5187	62.4193	88.8266	0	0	84.9838	0.963342	129	30	18.4922	-0.749509	0	0
37	5	0	0	80.8729	32.9295	-18.0495	-30.8116	59.9031	82.1326	0	0	80.8729	0.93722	141	30	20.3565	-2.57706	0	0
38	5	1	0	80.9971	32.5293	22.9013	-34.316	54.3619	74.9439	0	0	80.9971	0.9619	151	30	27.7746	-0.544862	0	0
39	5	1	0	84.0235	33.1135	-27.574	-31.8651	51.9	69.5892	0	0	84.0235	0.962945	155	30	29.2706	-2.72124	0	0
40	6	0	0	84.985	33.2595	-3.18897	-39.6033	59.879	91.4378	0	0	84.985	0.96543	134	30	19.8212	-1.689	0	0
41	6	0	0	70.2612	30.2718	6.82501	-40.2979	58.7663	88.9946	0	0	70.2612	0.963497	143	22	21.7755	-1.21052	0	0
42	6	0	0	70.6215	30.3618	-13.2567	-39.6428	56.5613	83.0248	0	0	70.6215	0.962705	129	22	23.2994	-2.13226	0	0
43	6	1	0	79.0729	32.4278	17.4435	-41.7279	53.437	77.5534	0	0	79.0729	0.944935	157	30	28.4654	-0.872765	0	0
44	6	1	0	72.6238	30.6846	-22.7341	-40.3068	51.3767	72.6849	0	0	72.6238	0.969277	136	30	29.9074	-2.39158	0	0
45	7	0	1	96.3838	37.0816	-0.174939	-49.7206	51.4478	78.4569	0	0	96.3838	0.88084	155	30	29.8079	-1.5481	0	0
46	7	0	1	96.1206	37.4663	8.74989	-49.8464	50.4562	76.2161	0	0	96.1206	0.860486	154	30	31.4285	-1.26033	0	0
47	7	0	1	97.7854	36.9489	-9.67942	-49.3674	50.374	75.8119	0	0	97.7854	0.900078	148	30	30.7418	-1.86206	0	0
48	7	1	1	74.2733	31.6068	17.6116	-49.9943	47.8357	70.6111	0	0	74.2733	0.934291	143	30	35.2892	-1.0202	0	0
49	7	1	1	85.4356	34.0025	-19.0879	-48.8873	47.6891	69.8393	0	0	85.4356	0.928599	155	30	34.2294	-2.13267	0	0
