# CellID	NodeIndex	X	Y	R	Theta
0	0	9.99744	4.52224	26.2048	1.1494
0	1	10.027	4.72484	26.4019	1.15152
0	2	10.0543	4.92839	26.599	1.1537
0	3	10.0823	5.13288	26.7973	1.15583
0	4	10.1098	5.33812	26.9963	1.15797
0	5	10.1373	5.54299	27.195	1.16006
0	6	10.1643	5.74637	27.3924	1.16212
0	7	10.1892	5.94774	27.5871	1.1642
0	8	10.2153	6.14674	27.7802	1.16617
0	9	10.2436	6.34404	27.9728	1.16801
0	10	10.2682	6.54117	28.1639	1.16995
0	11	10.2951	6.73823	28.3559	1.17179
0	12	10.3231	6.93595	28.549	1.17358
0	13	10.3489	7.13447	28.742	1.17542
0	14	10.3743	7.33265	28.9348	1.17725
0	15	10.3987	7.52928	29.1258	1.17906
0	16	10.4221	7.72309	29.3139	1.18085
0	17	10.4445	7.91325	29.4983	1.1826
0	18	10.4656	8.09947	29.6787	1.18432
0	19	10.4864	8.28155	29.8552	1.18597
0	20	10.5038	8.45981	30.027	1.18766
0	21	10.5179	8.63402	30.1939	1.18939
0	22	10.5263	8.80395	30.3548	1.19121
0	23	10.5238	8.96876	30.507	1.19329
0	24	10.5284	9.12834	30.6571	1.19507
0	25	10.5016	9.2776	30.7862	1.19766
0	26	10.5117	9.413	30.9161	1.19895
0	27	10.4477	9.52512	30.9974	1.20219
0	28	10.2439	9.64032	31.0323	1.20965
0	29	10.0278	9.80612	31.1121	1.21803
0	30	9.74393	9.97009	31.1696	1.2284
0	31	9.37368	10.1472	31.2149	1.24148
0	32	8.94576	10.3311	31.2539	1.25634
0	33	8.5124	10.5013	31.2852	1.27119
0	34	8.0677	10.6557	31.305	1.28622
0	35	7.61293	10.7851	31.3051	1.30132
0	36	7.15814	10.8909	31.2895	1.31624
0	37	6.70299	10.982	31.2664	1.33106
0	38	6.24082	11.058	31.234	1.34601
0	39	5.77121	11.1099	31.1834	1.36106
0	40	5.304	11.1369	31.116	1.37593
0	41	4.83979	11.1476	31.04	1.39067
0	42	4.37231	11.1423	30.9544	1.4055
0	43	3.90163	11.1131	30.8516	1.42039
0	44	3.43677	11.0604	30.7331	1.43509
0	45	2.97729	10.9926	30.6071	1.44966
0	46	2.51776	10.9152	30.478	1.46432
0	47	2.05933	10.8152	30.3331	1.479
0	48	1.61013	10.6943	30.1747	1.49346
0	49	1.16828	10.5594	30.0092	1.50779
0	50	0.729354	10.4085	29.8339	1.52216
0	51	0.351019	10.2523	29.6619	1.53464
0	52	0.0654093	10.096	29.4967	1.54413
0	53	-0.151005	9.93358	29.3293	1.55135
0	54	-0.355531	9.82098	29.2135	1.55828
0	55	-0.423067	9.70107	29.0928	1.56055
0	56	-0.410998	9.54051	28.9324	1.56007
0	57	-0.438734	9.36981	28.7614	1.56098
0	58	-0.435205	9.19162	28.5832	1.56079
0	59	-0.43821	9.01145	28.4031	1.56083
0	60	-0.450417	8.82905	28.2205	1.5612
0	61	-0.454982	8.64455	28.036	1.5613
0	62	-0.457681	8.45799	27.8494	1.56133
0	63	-0.4603	8.26916	27.6606	1.56136
0	64	-0.462903	8.07806	27.4695	1.56139
0	65	-0.464843	7.88526	27.2767	1.5614
0	66	-0.465519	7.69195	27.0834	1.56136
0	67	-0.464507	7.49982	26.8912	1.56125
0	68	-0.460187	7.31071	26.7022	1.56102
0	69	-0.456231	7.12269	26.5142	1.5608
0	70	-0.448124	6.9372	26.3288	1.56042
0	71	-0.443428	6.74964	26.1413	1.56017
0	72	-0.44386	6.56009	25.9518	1.56011
0	73	-0.445389	6.3688	25.7605	1.56009
0	74	-0.444002	6.17649	25.5682	1.55995
0	75	-0.44078	5.98468	25.3764	1.55975
0	76	-0.431331	5.79547	25.1873	1.55929
0	77	-0.42562	5.60378	24.9957	1.55897
0	78	-0.426114	5.41056	24.8025	1.5589
0	79	-0.432238	5.21601	24.6079	1.55905
0	80	-0.439882	5.0194	24.4112	1.55927
0	81	-0.4451	4.81981	24.2116	1.55939
0	82	-0.450336	4.61683	24.0086	1.55951
0	83	-0.455326	4.41045	23.8021	1.55963
0	84	-0.459736	4.20128	23.5929	1.55971
0	85	-0.463253	3.99033	23.382	1.55976
0	86	-0.465883	3.77847	23.1701	1.55978
0	87	-0.467971	3.5659	22.9575	1.55977
0	88	-0.469725	3.35215	22.7437	1.55974
0	89	-0.471342	3.1364	22.528	1.55971
0	90	-0.472962	2.918	22.3096	1.55967
0	91	-0.473429	2.69695	22.0885	1.55958
0	92	-0.466596	2.47579	21.8675	1.55915
0	93	-0.438162	2.26264	21.6547	1.55773
0	94	-0.374685	2.0627	21.4557	1.55465
0	95	-0.274717	1.87389	21.2688	1.5498
0	96	-0.137992	1.69492	21.0932	1.54314
0	97	0.0178617	1.5492	20.9524	1.53552
0	98	0.190772	1.42361	20.8338	1.52701
0	99	0.368228	1.30739	20.7262	1.51821
0	100	0.548267	1.19598	20.6253	1.50921
0	101	0.730789	1.08697	20.5286	1.50001
0	102	0.91602	0.978082	20.434	1.49059
0	103	1.10471	0.867714	20.34	1.48091
0	104	1.29788	0.754876	20.246	1.4709
0	105	1.49646	0.639543	20.1521	1.46053
0	106	1.69921	0.525904	20.0626	1.44986
0	107	1.90524	0.414419	19.978	1.43895
0	108	2.11322	0.304491	19.8976	1.42786
0	109	2.32257	0.19502	19.8203	1.41662
0	110	2.53375	0.0850217	19.7453	1.40519
0	111	2.74805	-0.0256303	19.6729	1.39352
0	112	2.96686	-0.135623	19.6046	1.38155
0	113	3.19092	-0.242001	19.5437	1.36926
0	114	3.41997	-0.340045	19.4951	1.35674
0	115	3.65079	-0.421527	19.466	1.34427
0	116	3.88162	-0.482107	19.4603	1.33201
0	117	4.11538	-0.520897	19.4793	1.31988
0	118	4.35455	-0.536945	19.5246	1.30781
0	119	4.57289	-0.529527	19.5896	1.29714
0	120	4.78188	-0.50436	19.6713	1.28726
0	121	4.98495	-0.465766	19.766	1.27794
0	122	5.18639	-0.417986	19.8707	1.26893
0	123	5.38969	-0.364179	19.9833	1.26002
0	124	5.59712	-0.305678	20.1032	1.25108
0	125	5.80675	-0.241486	20.2308	1.24224
0	126	6.01795	-0.17215	20.3654	1.23353
0	127	6.2302	-0.0992354	20.5052	1.22494
0	128	6.44363	-0.0242962	20.6488	1.21644
0	129	6.65902	0.0518611	20.7957	1.208
0	130	6.87737	0.12939	20.9464	1.19957
0	131	7.09924	0.209104	21.1019	1.19114
0	132	7.32407	0.291767	21.2628	1.18276
0	133	7.55016	0.377357	21.4283	1.1745
0	134	7.77544	0.465023	21.5968	1.16645
0	135	7.99838	0.553931	21.7669	1.15864
0	136	8.21849	0.643965	21.9382	1.15109
0	137	8.43662	0.735279	22.1111	1.14376
0	138	8.6525	0.828302	22.2857	1.13667
0	139	8.86103	0.932726	22.4686	1.13021
