# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	108.73	38.0593	5.34095	5.17315	58.7898	0	0	0	108.73	0.943268	157	30	25.6984	1.34139	0	1.59507
1	1	1	0	106.84	37.9764	-5.85311	5.44494	58.4184	0	0	0	106.84	0.930925	148	30	25.8565	1.77922	0	1.54652
2	1	1	0	101.998	36.8457	16.3645	3.69512	55.8038	0	0	0	101.998	0.944123	155	30	28.965	0.949199	0	1.66646
3	1	1	0	109.731	38.4585	-17.2415	4.58064	55.0645	0	0	0	109.731	0.932303	156	30	29.6164	2.17145	0	1.61473
4	1	1	0	103.84	37.3702	27.0225	1.82563	49.9143	0	0	0	103.84	0.934381	163	30	35.0366	0.667103	0	1.69682
5	1	1	0	104.236	37.3306	-28.1383	2.05608	49.7661	0	0	0	104.236	0.939933	155	30	35.2659	2.47129	0	1.68828
6	1	1	0	101.302	37.5961	37.4271	-0.762619	44.0373	0	0	0	101.302	0.900621	156	30	42.4627	0.466267	0	1.72961
7	1	1	0	104.308	38.522	-38.643	-0.291238	43.9662	0	0	0	104.308	0.883303	149	30	42.8637	2.66771	0	1.71683
8	1	1	0	61.4508	28.3622	46.3556	-3.7757	39.3388	0	0	0	61.4508	0.959973	134	22	49.5394	0.330498	0	1.76235
9	1	1	0	82.5671	32.8654	-47.8661	-3.79602	39.0605	0	0	0	82.5671	0.960594	143	30	50.0107	2.81475	0	1.76093
10	2	0	0	85.8757	33.4942	-0.910555	-3.80705	68.4939	0	0	0	85.8757	0.961924	153	30	16.0501	1.5962	0	0
11	2	0	0	83.4623	33.0971	10.325	-4.48606	65.2296	0	0	0	83.4623	0.95746	155	30	18.7977	0.956945	0	0
12	2	0	0	87.2483	33.8901	-11.9175	-4.20676	64.3379	0	0	0	87.2483	0.954597	155	30	19.3666	2.20111	0	0
13	2	0	0	81.2689	32.8231	21.3418	-6.22951	57.6955	0	0	0	81.2689	0.947927	155	30	25.7441	0.557595	0	0
14	2	0	0	69.8649	30.0646	-22.3845	-5.647	57.3391	0	0	0	69.8649	0.971312	139	22	26.0881	2.5658	0	0
15	2	0	0	81.7369	33.1163	32.4731	-8.78809	49.4487	0	0	0	81.7369	0.936579	144	30	34.7825	0.323711	0	0
16	2	0	0	85.9563	33.9757	-33.0078	-8.31614	49.9597	0	0	0	85.9563	0.935728	141	30	34.4913	2.80057	0	0
17	2	1	0	83.8051	33.0689	42.8327	-11.5303	42.6127	0	0	0	83.8051	0.96303	153	30	44.1273	0.189719	0	0
18	2	1	0	86.8681	33.805	-43.5781	-11.7152	42.7155	0	0	0	86.8681	0.955231	155	30	43.837	2.9549	0	0
19	3	0	0	88.5083	34.0677	4.74515	-13.1354	76.5411	84.5405	0	0	88.5083	0.958314	150	30	8.52371	0.907531	0	0
20	3	0	0	79.8659	32.313	-5.84673	-13.0169	75.8589	83.8452	0	0	79.8659	0.961206	145	28	8.67616	2.23436	0	0
21	3	0	0	87.7542	33.8553	15.569	-14.2576	65.6228	77.4442	0	0	87.7542	0.96211	157	30	17.0176	0.334969	0	0
22	3	0	0	86.3495	33.5539	-16.407	-13.7486	65.5616	77.105	0	0	86.3495	0.963793	146	30	17.0351	2.77516	0	0
23	3	0	0	87.6701	34.0326	26.18	-16.2077	55.4329	67.764	0	0	87.6701	0.951198	151	30	26.9306	0.135738	0	0
24	3	0	0	88.284	34.1564	-26.9196	-15.822	56.0435	68.3622	0	0	88.284	0.950926	148	30	26.7224	2.99021	0	0
25	3	1	0	86.9732	33.5677	36.3235	-18.8284	47.2016	58.7845	0	0	86.9732	0.969957	157	30	36.8405	0.0277869	0	0
26	3	1	0	78.9062	32.0493	-36.9986	-18.5318	47.8371	59.4551	0	0	78.9062	0.965351	144	30	36.5196	3.10544	0	0
27	4	0	0	69.7002	30.0051	-0.0962752	-21.9976	78.4734	98.7891	0	0	69.7002	0.972866	121	21	2.18386	-1.38353	0	0
28	4	0	0	87.0587	33.4719	9.31195	-22.8517	70.9712	91.2822	0	0	87.0587	0.976474	124	30	10.263	-0.296621	0	0
29	4	0	0	79.5641	32.084	-10.2695	-22.1574	71.2492	90.9432	0	0	79.5641	0.971293	148	22	10.035	-2.90978	0	0
30	4	0	0	87.039	33.7718	19.8189	-24.3985	60.6012	78.5094	0	0	87.039	0.958994	156	30	20.8241	-0.220105	0	0
31	4	0	0	85.794	33.5556	-20.6198	-24.0779	60.4959	78.5919	0	0	85.794	0.957496	146	30	20.5561	-2.93453	0	0
32	4	1	0	77.9666	31.7589	29.8368	-26.3863	51.4553	66.867	0	0	77.9666	0.971374	143	30	31.0353	-0.212133	0	0
33	4	1	0	84.385	33.2628	-30.7803	-25.9773	51.5571	66.9986	0	0	84.385	0.958426	156	30	30.8908	-2.94198	0	0
34	5	0	0	70.7725	30.4497	4.08281	-31.9637	66.4451	100.304	0	0	70.7725	0.959199	132	22	12.9508	-1.20886	0	0
35	5	0	0	84.2935	33.7402	-4.96177	-31.2408	66.9966	100.892	0	0	84.2935	0.930484	154	30	12.2306	-1.94397	0	0
36	5	0	0	84.2755	33.4197	13.9911	-32.5503	60.979	86.4252	0	0	84.2755	0.948213	154	30	19.2697	-0.719464	0	0
37	5	0	0	86.5437	34.0661	-15.2705	-32.1423	60.7683	85.7721	0	0	86.5437	0.937129	149	30	19.2129	-2.4475	0	0
38	5	1	0	78.3659	31.8838	24.0827	-33.9935	53.4032	73.5696	0	0	78.3659	0.968719	152	30	28.3626	-0.521983	0	0
39	5	1	0	78.2581	32.1247	-26.0447	-33.8531	52.5593	72.054	0	0	78.2581	0.95293	150	30	29.1276	-2.64016	0	0
40	6	0	0	79.4729	32.2977	-0.761115	-41.0169	58.2703	89.8446	0	0	79.4729	0.957382	141	22	21.1665	-1.583	0	0
41	6	0	0	70.5607	30.5592	9.49097	-40.6994	56.6296	85.0714	0	0	70.5607	0.949488	130	22	23.1191	-1.12378	0	0
42	6	0	0	83.4808	33.4477	-11.1427	-41.1107	56.2935	84.3827	0	0	83.4808	0.937699	139	30	23.7727	-2.03484	0	0
43	6	1	0	55.1591	26.9378	19.2585	-41.0934	52.0461	75.2473	0	0	55.1591	0.95522	138	22	29.0123	-0.821482	0	0
44	6	1	0	78.7505	32.1395	-21.215	-41.4518	51.1112	73.5768	0	0	78.7505	0.958042	152	30	29.9257	-2.33522	0	0
45	7	0	1	66.7811	31.2712	0.20376	-50.3272	50.3676	77.1951	0	0	66.7811	0.858174	137	22	30.4834	-1.54761	0	0
46	7	0	1	89.6131	35.7926	8.37723	-49.832	49.6762	75.3568	0	0	89.6131	0.879014	141	30	31.2676	-1.28283	0	0
47	7	0	1	98.5714	37.3662	-8.38464	-50.3502	49.5078	75.2703	0	0	98.5714	0.887163	155	30	31.5002	-1.8237	0	0
48	7	1	1	80.1906	32.9086	17.4679	-48.95	47.6807	70.4958	0	0	80.1906	0.930498	145	30	34.2001	-1.01754	0	0
49	7	1	1	84.3009	33.5773	-18.1069	-50.0508	47.1503	69.9155	0	0	84.3009	0.939619	155	30	34.9553	-2.09858	0	0
