# CellID	NodeIndex	X	Y	R	Theta
0	0	10.2741	4.29406	26.7825	1.13649
0	1	10.3002	4.49383	26.9748	1.13873
0	2	10.323	4.69591	27.1679	1.14108
0	3	10.3432	4.8979	27.36	1.14349
0	4	10.3607	5.10086	27.5521	1.14596
0	5	10.3762	5.30116	27.7411	1.14843
0	6	10.3903	5.4992	27.9276	1.15087
0	7	10.4034	5.6957	28.1124	1.1533
0	8	10.4155	5.89156	28.2964	1.15571
0	9	10.4264	6.08776	28.4804	1.15814
0	10	10.4351	6.28526	28.665	1.16062
0	11	10.441	6.4847	28.8503	1.16319
0	12	10.4446	6.68323	29.0341	1.16579
0	13	10.4452	6.88141	29.2166	1.16844
0	14	10.4434	7.07515	29.3942	1.17108
0	15	10.4391	7.2645	29.5671	1.17371
0	16	10.4325	7.44997	29.7357	1.17633
0	17	10.425	7.62981	29.8989	1.17887
0	18	10.4145	7.80506	30.057	1.18142
0	19	10.3957	7.97606	30.2082	1.18414
0	20	10.381	8.14505	30.3592	1.18669
0	21	10.3399	8.30573	30.493	1.18991
0	22	10.3325	8.46308	30.6363	1.19205
0	23	10.2502	8.59204	30.726	1.19609
0	24	10.0372	8.71448	30.7629	1.20399
0	25	9.80795	8.87783	30.8344	1.21283
0	26	9.51099	9.04197	30.8859	1.2237
0	27	9.12234	9.21728	30.9215	1.23745
0	28	8.72478	9.3697	30.9383	1.2512
0	29	8.32546	9.50444	30.9437	1.26482
0	30	7.92399	9.62765	30.9431	1.27839
0	31	7.51648	9.73973	30.9358	1.29205
0	32	7.10223	9.83671	30.918	1.3058
0	33	6.68664	9.92312	30.8954	1.31951
0	34	6.27175	9.99728	30.867	1.33313
0	35	5.85396	10.0611	30.8335	1.34678
0	36	5.42867	10.1111	30.7908	1.36061
0	37	5.00033	10.1472	30.7396	1.37449
0	38	4.57511	10.1618	30.6739	1.38818
0	39	4.15409	10.1619	30.6004	1.40171
0	40	3.73297	10.151	30.5215	1.41525
0	41	3.30915	10.1257	30.4336	1.42888
0	42	2.88583	10.0824	30.3337	1.44249
0	43	2.46712	10.0238	30.2248	1.45598
0	44	2.05132	9.95423	30.1108	1.46944
0	45	1.6345	9.87328	29.9908	1.48299
0	46	1.21813	9.78048	29.8646	1.49661
0	47	0.857424	9.67873	29.7385	1.50845
