# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	88.6798	34.4456	5.40542	5.58149	58.7	0	0	0	88.6798	0.939221	143	22	26.1329	1.32714	0	1.58491
1	1	1	0	111.787	38.7472	-5.95975	5.74201	58.5	0	0	0	111.787	0.935666	157	30	26.0184	1.76654	0	1.55668
2	1	1	0	109.659	38.3506	16.7476	3.91319	55.3	0	0	0	109.659	0.936935	158	30	29.5425	0.930615	0	1.67224
3	1	1	0	111.529	38.5588	-17.5794	4.58765	55.1	0	0	0	111.529	0.942645	156	30	29.5294	2.17106	0	1.63359
4	1	1	0	84.103	33.5715	27.3404	1.04548	50.2	0	0	0	84.103	0.937737	138	22	35.0879	0.635411	0	1.73546
5	1	1	0	86.4097	33.964	-28.5897	2.09074	49.7	0	0	0	86.4097	0.941312	143	22	35.2855	2.47309	0	1.69714
6	1	1	0	105.816	38.4427	37.8089	-2.10916	44.6	0	0	0	105.816	0.899769	154	30	42.5507	0.428248	0	1.77122
7	1	1	0	98.1119	36.8269	-39.0555	-0.802363	44.1	0	0	0	98.1119	0.909079	152	30	42.6149	2.68006	0	1.73678
8	1	1	0	83.1705	32.8163	46.8852	-6.36318	39.9	0	0	0	83.1705	0.97051	148	30	49.6322	0.27372	0	1.81959
9	1	1	0	61.6836	28.2557	-47.5554	-4.63262	39.6	0	0	0	61.6836	0.970884	140	22	49.0532	2.82768	0	1.78603
10	2	0	0	84.0539	33.2302	0.00122448	-2.94824	68.1	0	0	0	84.0539	0.956538	156	30	16.8553	1.51734	0	0
11	2	0	0	79.6148	32.3694	10.665	-4.00149	64.9	0	0	0	79.6148	0.954847	146	30	19.5622	0.938303	0	0
12	2	0	0	83.7019	33.1977	-11.2469	-3.91687	64.7	0	0	0	83.7019	0.954398	154	30	18.9393	2.1488	0	0
13	2	0	0	83.0148	33.041	21.4392	-6.26395	57.9	0	0	0	83.0148	0.955561	154	30	26.109	0.544114	0	0
14	2	0	0	81.6012	32.7277	-22.446	-5.30541	57.2	0	0	0	81.6012	0.957359	148	30	25.9569	2.55008	0	0
15	2	0	0	84.1847	33.7201	31.9413	-9.41678	50.3	0	0	0	84.1847	0.93039	149	30	34.4367	0.305658	0	0
16	2	0	0	81.0551	33.2453	-33.2055	-7.96197	49.7	0	0	0	81.0551	0.921574	151	30	34.3998	2.79091	0	0
17	2	1	0	60.9782	28.4066	42.1046	-12.9979	43.5	0	0	0	60.9782	0.949612	142	22	43.5354	0.156408	0	0
18	2	1	0	59.1025	27.8821	-43.4086	-10.9909	42.9	0	0	0	59.1025	0.955356	138	22	43.4083	2.93772	0	0
19	3	0	0	88.0399	34.0777	4.77643	-12.5946	76.3	84.5	0	0	88.0399	0.952685	152	30	9.15628	0.902214	0	0
20	3	0	0	81.6601	32.6731	-5.32976	-12.2504	75.9	83.7	0	0	81.6601	0.961258	143	27	8.73594	2.10267	0	0
21	3	0	0	85.7153	33.4589	14.7771	-14.2304	66.2	78.3	0	0	85.7153	0.962153	146	22	16.6295	0.340218	0	0
22	3	0	0	90.2225	34.634	-16.48	-13.2873	65.2	76.6	0	0	90.2225	0.945188	155	30	16.8792	2.74679	0	0
23	3	0	0	90.068	34.4137	25.3453	-16.7742	56.4	69.3	0	0	90.068	0.955693	153	30	26.4161	0.114015	0	0
24	3	0	0	80.7565	32.6372	-27.5877	-15.3174	55.3	67.4	0	0	80.7565	0.952714	141	22	27.0588	2.97593	0	0
25	3	1	0	85.1751	33.3739	35.948	-19.4549	48	60	0	0	85.1751	0.960969	155	30	36.8488	0.00880937	0	0
26	3	1	0	82.1401	32.7382	-37.7387	-17.6385	47.2	58.5	0	0	82.1401	0.963062	152	30	36.9016	3.08354	0	0
27	4	0	0	72.4832	30.6611	-0.680711	-21.6547	94.2	97.9	0	0	72.4832	0.968882	140	20	1.88787	-1.45475	0	0
28	4	0	0	75.0847	31.1985	9.15285	-22.8192	85.8	91.2	0	0	75.0847	0.969381	140	22	10.5017	-0.293645	0	0
29	4	0	0	88.6238	34.1818	-11.0912	-21.7149	85.5	89.5	0	0	88.6238	0.95317	148	30	10.374	-2.95393	0	0
30	4	0	0	85.0562	33.7129	19.7002	-24.5877	75.4	78.9	0	0	85.0562	0.940426	146	30	21.1533	-0.229305	0	0
31	4	0	0	83.381	33.2027	-22.2488	-23.2229	74.4	76.6	0	0	83.381	0.950449	142	30	21.6254	-2.98168	0	0
32	4	1	0	79.3867	32.1945	30.1085	-26.9144	66.4	67.2	0	0	79.3867	0.962488	150	30	31.8181	-0.226163	0	0
33	4	1	0	82.8797	32.8186	-32.1095	-25.4567	65.9	65.9	0	0	82.8797	0.966983	158	30	31.7223	-2.96166	0	0
34	5	0	0	86.5027	33.7244	3.81737	-31.286	82.4	101.6	0	0	86.5027	0.955763	151	30	12.4357	-1.18177	0	0
35	5	0	0	81.8919	32.7855	-6.79518	-30.6106	81.7	98.6	0	0	81.8919	0.957386	155	30	12.3318	-2.06929	0	0
36	5	0	0	78.7912	32.0048	14.122	-32.6164	75.4	85.8	0	0	78.7912	0.966623	142	22	19.7592	-0.707143	0	0
37	5	0	0	81.8189	32.8663	-16.953	-31.389	75	84.1	0	0	81.8189	0.951833	151	30	19.8117	-2.51549	0	0
38	5	1	0	81.8752	32.6963	24.2972	-34.3048	67.7	72.8	0	0	81.8752	0.962421	152	30	29.0835	-0.522944	0	0
39	5	1	0	61.559	28.3155	-26.4894	-32.7817	67.6	71.8	0	0	61.559	0.964837	140	22	28.7038	-2.67149	0	0
