# CellID	NodeIndex	X	Y	R	Theta
0	0	13.8897	1.32832	25.0545	1.14865
0	1	13.9061	1.53028	25.2456	1.15133
0	2	13.9209	1.73344	25.4372	1.15405
0	3	13.9351	1.93812	25.6302	1.15678
0	4	13.9493	2.14364	25.8242	1.15947
0	5	13.9607	2.34892	26.017	1.16223
0	6	13.9733	2.55254	26.209	1.16487
0	7	13.9923	2.75388	26.4015	1.16722
0	8	14.0157	2.95404	26.5948	1.16937
0	9	14.0338	3.15527	26.7873	1.17168
0	10	14.057	3.35735	26.9825	1.1738
0	11	14.0879	3.56057	27.1819	1.17564
0	12	14.1225	3.7653	27.3842	1.17735
0	13	14.1535	3.97165	27.5867	1.17919
0	14	14.1843	4.17774	27.789	1.18099
0	15	14.2123	4.38333	27.9899	1.18286
0	16	14.2438	4.58765	28.191	1.18456
0	17	14.2788	4.79175	28.3933	1.18613
0	18	14.3082	4.99813	28.5956	1.18789
0	19	14.3381	5.20841	28.8019	1.18965
0	20	14.3612	5.42259	29.0094	1.19166
0	21	14.3732	5.63917	29.2151	1.19402
0	22	14.388	5.84768	29.4145	1.19616
0	23	14.3448	6.03807	29.5761	1.19988
0	24	14.2349	6.23247	29.7179	1.20569
0	25	14.079	6.42427	29.8422	1.21287
0	26	13.8747	6.62615	29.9608	1.22162
0	27	13.6074	6.85302	30.0844	1.23254
0	28	13.2532	7.12262	30.2241	1.24656
0	29	12.8828	7.38166	30.3548	1.26085
0	30	12.5	7.62756	30.4754	1.27527
0	31	12.1068	7.84616	30.5731	1.28966
0	32	11.7082	8.04334	30.6551	1.30393
0	33	11.2987	8.22324	30.7238	1.31834
0	34	10.8755	8.37964	30.7728	1.33292
0	35	10.4475	8.50903	30.801	1.34742
0	36	10.0181	8.61861	30.8159	1.36179
0	37	9.58167	8.71217	30.8201	1.37628
0	38	9.1398	8.79051	30.8148	1.39084
0	39	8.69805	8.84267	30.7902	1.40526
0	40	8.25889	8.87465	30.7525	1.41951
0	41	7.81565	8.88786	30.702	1.43385
0	42	7.36549	8.87322	30.6292	1.44834
0	43	6.91971	8.82599	30.531	1.46265
0	44	6.48375	8.75566	30.417	1.47665
0	45	6.05124	8.66702	30.2911	1.49059
0	46	5.61948	8.55524	30.148	1.50457
0	47	5.19585	8.41835	29.9862	1.51836
0	48	4.78327	8.26286	29.8121	1.53191
0	49	4.37684	8.08977	29.626	1.54539
0	50	3.97741	7.89139	29.4202	1.55879
0	51	3.67405	7.70464	29.2313	1.56909
0	52	3.44657	7.5177	29.0449	1.57691
0	53	3.2337	7.37861	28.9079	1.58431
0	54	3.16552	7.25119	28.7815	1.58674
0	55	3.17317	7.10048	28.6307	1.58655
0	56	3.14307	6.9376	28.4683	1.5877
0	57	3.1462	6.76241	28.2931	1.58769
0	58	3.14193	6.58168	28.1125	1.58795
0	59	3.15105	6.39667	27.9273	1.58774
0	60	3.16662	6.20791	27.7383	1.5873
0	61	3.18444	6.01502	27.5452	1.58676
0	62	3.20355	5.81754	27.3474	1.58618
0	63	3.22438	5.61542	27.145	1.58553
0	64	3.24601	5.40919	26.9385	1.58484
0	65	3.26891	5.20002	26.729	1.58409
0	66	3.2923	4.98875	26.5175	1.58331
0	67	3.31673	4.77937	26.3078	1.58249
0	68	3.34158	4.56974	26.0979	1.58163
0	69	3.36802	4.36132	25.8892	1.58069
0	70	3.39521	4.15223	25.6799	1.57972
0	71	3.42344	3.94157	25.469	1.57868
0	72	3.45312	3.72946	25.2567	1.57757
0	73	3.4841	3.51649	25.0435	1.57639
0	74	3.5154	3.30304	24.8299	1.57518
0	75	3.54799	3.08892	24.6157	1.57389
0	76	3.57901	2.87251	24.3992	1.57265
0	77	3.61211	2.65728	24.1839	1.5713
0	78	3.64568	2.44103	23.9677	1.5699
0	79	3.68049	2.22301	23.7497	1.56843
0	80	3.71716	2.00375	23.5306	1.56685
0	81	3.75551	1.7844	23.3114	1.56517
0	82	3.79462	1.56572	23.093	1.56342
0	83	3.83368	1.3476	22.8752	1.56164
0	84	3.87288	1.12937	22.6574	1.55982
0	85	3.91426	0.91071	22.4392	1.55787
0	86	3.96249	0.692723	22.222	1.55557
0	87	4.02557	0.478775	22.0091	1.55256
0	88	4.1143	0.27412	21.8063	1.54832
0	89	4.23696	0.0803406	21.6157	1.54245
0	90	4.39901	-0.101264	21.4394	1.53465
0	91	4.57989	-0.25116	21.2969	1.52591
0	92	4.77485	-0.377633	21.1803	1.51645
0	93	4.9769	-0.495284	21.0748	1.50657
0	94	5.18245	-0.610578	20.974	1.49644
0	95	5.39092	-0.726545	20.875	1.48606
0	96	5.60338	-0.843967	20.7772	1.4754
0	97	5.82084	-0.962425	20.6812	1.46438
0	98	6.04451	-1.07718	20.5922	1.45299
0	99	6.27431	-1.19323	20.5054	1.4412
0	100	6.50759	-1.31009	20.4211	1.42913
0	101	6.74305	-1.42699	20.3402	1.41686
0	102	6.98118	-1.54313	20.2635	1.40437
0	103	7.22367	-1.65699	20.1931	1.39159
0	104	7.47082	-1.76651	20.1311	1.37854
0	105	7.72303	-1.86346	20.0859	1.36529
0	106	7.97905	-1.9377	20.0672	1.35205
0	107	8.24033	-1.98548	20.079	1.33883
0	108	8.47599	-2.00127	20.1191	1.32725
0	109	8.68709	-1.99237	20.1797	1.3172
0	110	8.88876	-1.96724	20.2555	1.30787
0	111	9.08533	-1.93172	20.3417	1.299
0	112	9.27981	-1.88905	20.4358	1.29039
0	113	9.47396	-1.84076	20.5366	1.28195
0	114	9.67405	-1.78677	20.6461	1.27341
0	115	9.88	-1.72709	20.7643	1.26477
0	116	10.0904	-1.66192	20.8906	1.2561
0	117	10.303	-1.59228	21.0234	1.24751
0	118	10.516	-1.51975	21.1606	1.23906
0	119	10.7285	-1.4457	21.3006	1.23076
0	120	10.9402	-1.37076	21.4426	1.22262
0	121	11.151	-1.29495	21.5864	1.21464
0	122	11.3651	-1.21733	21.7345	1.20665
0	123	11.5849	-1.13582	21.8897	1.19859
0	124	11.8086	-1.05199	22.0498	1.19052
0	125	12.0343	-0.967309	22.213	1.1825
0	126	12.2608	-0.882062	22.3783	1.17457
0	127	12.4882	-0.796393	22.5458	1.16674
0	128	12.7159	-0.70862	22.7167	1.15904
0	129	12.9414	-0.614159	22.8942	1.15166
0	130	13.1543	-0.506131	23.08	1.14514
0	131	13.3457	-0.373544	23.28	1.14001
0	132	13.5146	-0.210504	23.4989	1.13638
0	133	13.6487	-0.0303497	23.7188	1.13444
0	134	13.737	0.153941	23.9231	1.13435
0	135	13.7868	0.343126	24.1157	1.1358
0	136	13.8157	0.536601	24.3033	1.13808
0	137	13.8364	0.732671	24.4901	1.14066
0	138	13.8562	0.931674	24.6793	1.1433
0	139	13.8735	1.1295	24.8666	1.14596
1	0	3.01926	2.17084	23.7052	1.59632
1	1	2.9974	2.36071	23.8956	1.59703
1	2	2.97474	2.55209	24.0875	1.59776
1	3	2.95198	2.74442	24.2804	1.59849
1	4	2.92836	2.93766	24.4742	1.59923
1	5	2.90399	3.13213	24.6693	1.6
1	6	2.87843	3.32794	24.8658	1.60079
1	7	2.85299	3.52487	25.0634	1.60157
1	8	2.82654	3.72171	25.261	1.60238
1	9	2.79983	3.91705	25.4571	1.60319
1	10	2.77198	4.10921	25.65	1.60403
1	11	2.73935	4.29621	25.838	1.60505
1	12	2.71089	4.48662	26.0293	1.60589
1	13	2.6885	4.68089	26.2243	1.60649
1	14	2.66741	4.87883	26.4228	1.60702
1	15	2.64298	5.07987	26.6246	1.60766
1	16	2.6177	5.28354	26.8291	1.60832
1	17	2.59107	5.48871	27.0351	1.60902
1	18	2.5644	5.69467	27.242	1.60971
1	19	2.53437	5.90074	27.449	1.61051
1	20	2.50187	6.10719	27.6566	1.61139
1	21	2.46542	6.31384	27.8646	1.6124
1	22	2.42038	6.51935	28.0718	1.6137
1	23	2.35807	6.71954	28.2746	1.61559
1	24	2.31832	6.91734	28.474	1.61668
1	25	2.21607	7.06536	28.6267	1.62001
1	26	2.02032	7.18939	28.7608	1.62659
1	27	1.81719	7.34604	28.9292	1.6333
1	28	1.55646	7.48343	29.0837	1.64195
1	29	1.21879	7.60244	29.2283	1.65319
1	30	0.781309	7.70885	29.3734	1.66773
1	31	0.339882	7.79296	29.503	1.68235
1	32	-0.110343	7.85641	29.6195	1.69722
1	33	-0.568669	7.89019	29.7142	1.71238
1	34	-1.02323	7.89418	29.7856	1.72747
1	35	-1.47375	7.87771	29.843	1.74247
1	36	-1.92758	7.84201	29.8888	1.75763
1	37	-2.38175	7.78884	29.9244	1.77287
1	38	-2.82694	7.71129	29.9412	1.78796
1	39	-3.26518	7.6158	29.9457	1.80294
1	40	-3.70295	7.49989	29.9371	1.81806
1	41	-4.13702	7.35547	29.9068	1.83332
1	42	-4.55721	7.18586	29.8554	1.84838
1	43	-4.96612	6.99835	29.7904	1.86331
1	44	-5.36954	6.78921	29.7099	1.87834
1	45	-5.76189	6.55154	29.6055	1.8934
1	46	-6.13455	6.29328	29.4819	1.90817
1	47	-6.49831	6.02599	29.3533	1.92288
1	48	-6.85236	5.74012	29.2102	1.93763
1	49	-7.18703	5.42866	29.0426	1.95223
1	50	-7.42272	5.1621	28.8847	1.96324
1	51	-7.58563	4.92799	28.7317	1.9716
1	52	-7.69357	4.71108	28.5747	1.97804
1	53	-7.81471	4.53282	28.4596	1.98443
1	54	-7.84533	4.37922	28.3314	1.9876
1	55	-7.81099	4.21785	28.1699	1.9888
1	56	-7.80461	4.05178	28.0156	1.991
1	57	-7.77635	3.88488	27.8517	1.99252
1	58	-7.76238	3.71482	27.6909	1.99457
1	59	-7.73991	3.54267	27.5248	1.9964
1	60	-7.71553	3.36641	27.3543	1.99825
1	61	-7.68926	3.18851	27.1815	2.00008
1	62	-7.66178	3.00922	27.0071	2.00192
1	63	-7.63389	2.82893	26.8317	2.00378
1	64	-7.6059	2.64782	26.6556	2.00568
1	65	-7.57515	2.46635	26.4781	2.00751
1	66	-7.54551	2.2838	26.3002	2.00943
1	67	-7.521	2.09942	26.1229	2.01158
1	68	-7.50213	1.91338	25.9467	2.01398
1	69	-7.48867	1.72647	25.7722	2.01662
1	70	-7.48027	1.53967	25.6001	2.01947
1	71	-7.4744	1.35378	25.4302	2.02243
1	72	-7.46249	1.16961	25.2594	2.02519
1	73	-7.45417	0.986945	25.0917	2.02809
1	74	-7.45056	0.801385	24.9237	2.03124
1	75	-7.44391	0.612764	24.7519	2.03439
1	76	-7.4397	0.421215	24.5789	2.03772
1	77	-7.4329	0.227903	24.4033	2.04104
1	78	-7.42597	0.0305721	24.2244	2.04447
1	79	-7.41608	-0.168501	24.0429	2.04788
1	80	-7.40731	-0.367792	23.862	2.05139
1	81	-7.40009	-0.566594	23.6825	2.055
1	82	-7.38633	-0.764333	23.5012	2.0584
1	83	-7.37308	-0.962046	23.3205	2.06187
1	84	-7.35132	-1.15826	23.1373	2.06504
1	85	-7.30975	-1.34648	22.9519	2.06734
1	86	-7.23567	-1.52255	22.7619	2.06816
1	87	-7.12473	-1.68927	22.5624	2.06736
1	88	-6.97719	-1.85011	22.3508	2.06499
1	89	-6.81009	-1.98961	22.1489	2.06134
1	90	-6.61412	-2.10166	21.958	2.05587
1	91	-6.39797	-2.19603	21.7743	2.04911
1	92	-6.17574	-2.28016	21.5979	2.04176
1	93	-5.95353	-2.35829	21.428	2.03418
1	94	-5.73547	-2.4335	21.2639	2.02658
1	95	-5.52223	-2.50458	21.1068	2.019
1	96	-5.30982	-2.57419	20.9527	2.0113
1	97	-5.09804	-2.64342	20.8004	2.00351
1	98	-4.88227	-2.71232	20.648	1.99542
1	99	-4.66338	-2.7801	20.4968	1.98705
1	100	-4.4431	-2.84502	20.3491	1.97844
1	101	-4.22345	-2.90618	20.2066	1.96966
1	102	-4.00565	-2.96396	20.0696	1.96078
1	103	-3.79419	-3.01983	19.9383	1.95203
1	104	-3.58722	-3.074	19.8118	1.94335
1	105	-3.38218	-3.12542	19.69	1.93461
1	106	-3.17644	-3.17235	19.5737	1.92564
1	107	-2.96833	-3.21261	19.4645	1.91633
1	108	-2.75442	-3.23986	19.3674	1.90641
1	109	-2.52978	-3.24719	19.2876	1.89554
1	110	-2.29291	-3.23004	19.2296	1.88358
1	111	-2.05443	-3.18666	19.199	1.87107
1	112	-1.82726	-3.12393	19.1932	1.85879
1	113	-1.60671	-3.04425	19.2084	1.84661
1	114	-1.38707	-2.95041	19.2403	1.83429
1	115	-1.16784	-2.84881	19.2828	1.82195
1	116	-0.947575	-2.74333	19.3317	1.80955
1	117	-0.727357	-2.63361	19.3877	1.79718
1	118	-0.508811	-2.52104	19.4498	1.78493
1	119	-0.294593	-2.40812	19.516	1.77297
1	120	-0.082444	-2.29192	19.5886	1.76117
1	121	0.126368	-2.17525	19.665	1.74962
1	122	0.329667	-2.05682	19.7466	1.73842
1	123	0.529625	-1.94044	19.8292	1.7275
1	124	0.726914	-1.82731	19.9113	1.71683
1	125	0.924777	-1.70467	20.005	1.70615
1	126	1.12238	-1.57774	20.1052	1.69556
1	127	1.31703	-1.4492	20.2096	1.68521
1	128	1.50649	-1.3212	20.3161	1.67523
1	129	1.69022	-1.1955	20.4229	1.66564
1	130	1.8685	-1.07255	20.5293	1.65643
1	131	2.04089	-0.950539	20.6369	1.6476
1	132	2.2098	-0.831044	20.7439	1.63904
1	133	2.37703	-0.710819	20.8532	1.63064
1	134	2.54162	-0.590152	20.9645	1.62246
1	135	2.69935	-0.465287	21.0817	1.61468
1	136	2.83962	-0.32845	21.2127	1.60779
1	137	2.95958	-0.173791	21.3632	1.60191
1	138	3.05839	0.00330527	21.5374	1.59707
1	139	3.11517	0.179289	21.7119	1.59425
1	140	3.13812	0.356017	21.8881	1.59301
1	141	3.14095	0.533214	22.0652	1.5927
1	142	3.13421	0.710256	22.2423	1.59283
1	143	3.12374	0.887451	22.4197	1.59312
1	144	3.11231	1.06537	22.5978	1.59345
1	145	3.10037	1.2447	22.7774	1.5938
1	146	3.08749	1.42611	22.959	1.59418
1	147	3.07355	1.61003	23.1432	1.59459
1	148	3.05813	1.79627	23.3298	1.59507
1	149	3.04011	1.9838	23.5177	1.59564
2	0	24.4773	0.489572	30.3243	0.812524
2	1	24.5274	0.679017	30.4965	0.815604
2	2	24.5748	0.868714	30.6672	0.818718
2	3	24.6181	1.05808	30.8353	0.821887
2	4	24.6584	1.24603	31.0005	0.825063
2	5	24.6946	1.43248	31.1622	0.82827
2	6	24.7286	1.61725	31.3215	0.831459
2	7	24.7595	1.80119	31.4784	0.834671
2	8	24.7889	1.98486	31.6344	0.837881
2	9	24.815	2.1691	31.7889	0.841148
2	10	24.8395	2.35376	31.9431	0.84443
2	11	24.8592	2.53861	32.0946	0.847795
