# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	92.5824	35.3585	5.41762	5.17491	60.4569	0	0	0	92.5824	0.930574	140	30	25.1531	1.41176	0	1.41233
1	1	1	0	92.0588	35.2462	-4.36121	3.61221	61.498	0	0	0	92.0588	0.931216	150	30	23.9837	1.81485	0	1.72927
2	1	1	0	77.2143	31.7021	15.6512	4.30102	57.2193	0	0	0	77.2143	0.965455	142	22	27.862	1.0353	0	1.58086
3	1	1	0	79.9765	32.3072	-13.999	2.12024	58.3784	0	0	0	79.9765	0.962885	146	22	26.6944	2.18724	0	1.7261
4	1	1	0	104.187	37.9395	26.1156	1.40546	52.2362	0	0	0	104.187	0.909575	155	30	32.4494	0.706535	0	1.69084
5	1	1	0	97.145	36.2759	-23.8221	-0.392175	53.4783	0	0	0	97.145	0.927671	151	30	31.7672	2.48987	0	1.76436
6	1	1	0	87.1612	34.848	35.2618	-1.41744	47.1405	0	0	0	87.1612	0.901942	140	30	38.4335	0.494592	0	1.73981
7	1	1	0	103.215	37.8421	-33.491	-2.59862	47.3605	0	0	0	103.215	0.905737	151	30	38.8701	2.68716	0	1.77306
8	1	1	0	83.0069	32.8385	44.1462	-3.74574	41.7539	0	0	0	83.0069	0.967291	145	30	45.5808	0.356675	0	1.75799
9	1	1	0	61.8746	28.3702	-42.1317	-6.1174	42.5326	0	0	0	61.8746	0.966045	134	22	45.6224	2.84019	0	1.81171
10	2	0	0	69.5427	30.2674	0.249613	-4.99401	71.2415	0	0	0	69.5427	0.953917	118	30	14.7145	1.65138	0	0
11	2	0	0	68.5214	29.9266	9.85356	-3.14342	66.1417	0	0	0	68.5214	0.961437	124	30	18.5394	1.09939	0	0
12	2	0	0	57.3406	27.1583	-8.31124	-5.6003	68.2814	0	0	0	57.3406	0.976937	132	21	17.1076	2.17688	0	0
13	2	0	0	66.6383	29.8496	19.8072	-4.89617	59.8628	0	0	0	66.6383	0.939848	126	29	23.5704	0.67693	0	0
14	2	0	0	67.6576	29.8459	-17.0378	-7.10321	61.6208	0	0	0	67.6576	0.95446	130	29	22.3361	2.54454	0	0
15	2	0	0	71.4359	31.4209	30.0633	-8.98069	52.9758	0	0	0	71.4359	0.909263	149	30	30.5564	0.357059	0	0
16	2	0	0	72.3921	31.1965	-27.3233	-10.572	54.0279	0	0	0	72.3921	0.934737	145	30	30.1595	2.83548	0	0
17	2	1	0	81.5997	32.5856	40.2059	-11.8604	45.5916	0	0	0	81.5997	0.965712	153	30	39.5487	0.198535	0	0
18	2	1	0	80.1531	32.2565	-37.2654	-13.1011	46.6936	0	0	0	80.1531	0.968048	151	30	39.2515	2.97369	0	0
19	3	0	0	67.6697	29.9859	5.54366	-12.6635	77.4061	87.0365	0	0	67.6697	0.945734	144	27	8.11479	1.03976	0	0
20	3	0	0	57.7533	27.31	-3.46523	-13.7133	78.1958	89.2053	0	0	57.7533	0.97307	114	24	7.70554	2.25987	0	0
21	3	0	0	75.3742	31.4275	14.2409	-12.0577	67.9224	79.7691	0	0	75.3742	0.958989	131	30	14.8936	0.535755	0	0
22	3	0	0	58.6291	28.0211	-11.8631	-14.7352	68.6969	83.1353	0	0	58.6291	0.938325	130	26	14.1802	2.78684	0	0
23	3	0	0	61.9456	28.882	23.7913	-14.6069	58.9809	72.2989	0	0	61.9456	0.933181	115	22	22.9213	0.222313	0	0
24	3	0	0	76.429	32.085	-20.6044	-16.8585	60.3086	74.8777	0	0	76.429	0.932962	133	30	22.2159	3.01512	0	0
25	3	1	0	73.2632	30.9704	33.1258	-17.9215	50.9946	63.8568	0	0	73.2632	0.959848	140	30	31.7394	0.0548251	0	0
26	3	1	0	82.3642	32.6325	-30.2594	-19.8673	52.0042	65.7742	0	0	82.3642	0.971958	155	30	31.6942	-3.13508	0	0
27	4	0	0	55.6273	27.1073	1.7961	-21.0806	78.0491	100.889	0	0	55.6273	0.951315	128	25	1.46527	-1.32117	0	0
