# CellID	NodeIndex	X	Y	R	Theta
8	0	50.3121	7.19279	50.0263	0.272574
8	1	50.4882	7.37104	50.244	0.275048
8	2	50.6522	7.55991	50.4532	0.277768
8	3	50.8035	7.75716	50.6531	0.280693
8	4	50.9432	7.96106	50.844	0.283786
8	5	51.0724	8.17108	51.0271	0.287028
8	6	51.1915	8.38774	51.203	0.290428
8	7	51.2999	8.61174	51.3713	0.294002
8	8	51.3957	8.84294	51.5304	0.297757
8	9	51.4779	9.07999	51.6789	0.301675
8	10	51.5464	9.32105	51.8164	0.305724
8	11	51.6024	9.56493	51.9437	0.309877
8	12	51.647	9.81165	52.0618	0.314129
8	13	51.68	10.062	52.171	0.318498
8	14	51.6999	10.3165	52.2702	0.323002
8	15	51.7046	10.5743	52.357	0.327643
8	16	51.693	10.8332	52.4299	0.33239
8	17	51.6659	11.0908	52.4889	0.337197
8	18	51.6254	11.3461	52.5358	0.342038
8	19	51.5732	11.5996	52.5723	0.346914
8	20	51.5093	11.8522	52.5987	0.351844
8	21	51.4325	12.1042	52.6141	0.356842
8	22	51.3414	12.3541	52.6168	0.361899
8	23	51.2361	12.6001	52.606	0.366979
8	24	51.1181	12.8406	52.5829	0.372055
8	25	50.9891	13.0762	52.549	0.377124
8	26	50.8492	13.3079	52.505	0.382207
8	27	50.6967	13.5359	52.4492	0.387325
8	28	50.5293	13.7584	52.379	0.392465
8	29	50.3483	13.9709	52.2936	0.397544
8	30	50.1562	14.1713	52.1947	0.402508
8	31	49.9564	14.3602	52.0855	0.407348
8	32	49.7504	14.5398	51.9682	0.412093
8	33	49.5376	14.7117	51.8426	0.416775
8	34	49.3165	14.8754	51.7072	0.421401
8	35	49.0862	15.0287	51.5603	0.42594
8	36	48.8484	15.1696	51.4024	0.430348
8	37	48.6051	15.298	51.2353	0.434607
8	38	48.3576	15.4153	51.0607	0.438732
8	39	48.1052	15.5226	50.8782	0.442749
8	40	47.8468	15.6192	50.6865	0.446655
8	41	47.5825	15.7031	50.4847	0.450415
8	42	47.3144	15.7725	50.2739	0.45398
8	43	47.045	15.8278	50.0563	0.457331
8	44	46.8121	15.858	49.8608	0.459938
8	45	46.6065	15.8707	49.6824	0.462004
8	46	46.4201	15.8638	49.5125	0.463558
8	47	46.2477	15.8463	49.3505	0.464802
8	48	46.0849	15.8105	49.1889	0.465636
8	49	45.922	15.7845	49.0317	0.466653
8	50	45.7788	15.7213	48.8754	0.466815
8	51	45.647	15.6159	48.7103	0.466102
8	52	45.505	15.5163	48.5387	0.465583
