# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	105.936	38.0087	11.9637	21.5087	58.16	0	0	0	105.936	0.921485	127	30	30.884	1.24638	0	1.77159
1	1	0	0	104.361	37.5071	-0.436885	24.0326	56.8143	0	0	0	104.361	0.932228	128	30	31.8995	1.65101	0	1.37001
2	1	0	0	70.1973	30.4054	21.317	15.4897	57.9374	0	0	0	70.1973	0.954175	105	22	30.1547	0.88066	0	1.98226
3	1	0	0	74.1551	31.2462	-11.1588	23.249	54.2714	0	0	0	74.1551	0.954457	110	22	33.7363	1.97532	0	1.56764
4	1	0	0	71.5675	30.6077	29.7935	11.7618	53.3935	0	0	0	71.5675	0.959981	127	22	33.8693	0.614457	0	1.98319
5	1	0	0	106.997	38.0404	-22.5143	23.3848	48.2769	0	0	0	106.997	0.92916	138	30	39.7125	2.23992	0	1.56382
6	1	0	0	94.6496	36.4755	37.9707	9.40577	48.1186	0	0	0	94.6496	0.893974	139	30	39.7509	0.446645	0	1.95294
7	1	0	0	98.8235	36.3656	-34.0405	19.6761	43.1017	0	0	0	98.8235	0.939048	128	30	45.3928	2.49244	0	1.6641
8	1	1	0	87.7174	33.7001	46.3312	3.23974	43.0671	0	0	0	87.7174	0.970587	154	30	45.5608	0.243938	0	2.00822
9	1	1	0	82.9992	32.8936	-42.7972	13.5075	39.4352	0	0	0	82.9992	0.963966	140	30	49.6989	2.6993	0	1.7766
10	2	0	0	95.9754	35.4187	4.53239	14.0638	66.6992	0	0	0	95.9754	0.961401	139	30	21.9611	1.46069	0	0
11	2	0	0	77.5388	31.7623	13.8926	10.2844	67.0436	0	0	0	77.5388	0.965837	135	22	21.5492	0.992802	0	0
12	2	0	0	84.416	33.204	-5.70363	14.275	64.1363	0	0	0	84.416	0.962176	133	22	23.3866	1.91188	0	0
13	2	0	0	77.1961	31.4949	22.6004	5.13192	61.63	0	0	0	77.1961	0.977972	146	22	24.2031	0.561949	0	0
14	2	0	0	95.4431	35.3425	-15.9392	14.4219	57.2848	0	0	0	95.4431	0.960196	149	30	28.6066	2.25399	0	0
15	2	0	0	79.5871	32.1664	31.6879	1.46051	54.2024	0	0	0	79.5871	0.9666	113	22	30.9742	0.302412	0	0
16	2	0	0	98.487	35.9969	-26.5598	12.3876	50.3276	0	0	0	98.487	0.955122	141	30	35.0513	2.52908	0	0
17	2	1	0	88.5146	34.1179	39.1602	-2.22004	48.2647	0	0	0	88.5146	0.955567	149	30	37.4536	0.148578	0	0
18	2	1	0	91.5523	34.9172	-35.9573	7.87819	44.6893	0	0	0	91.5523	0.943629	157	30	41.1645	2.7518	0	0
19	3	0	0	88.2778	34.4573	6.99734	2.37819	79.1793	85.5903	0	0	88.2778	0.934328	141	28	11.2546	1.12251	0	0
20	3	0	0	95.3341	36.4156	-1.94101	3.17813	76.0912	83.4762	0	0	95.3341	0.903406	131	30	11.6715	1.92611	0	0
21	3	0	0	87.9559	34.7077	15.5967	-2.02348	70.2446	84.6271	0	0	87.9559	0.917537	147	30	14.6492	0.402686	0	0
22	3	0	0	91.0783	35.5469	-10.7335	3.11173	66.9778	77.7354	0	0	91.0783	0.905777	143	22	16.837	2.43931	0	0
23	3	0	0	86.1226	34.1315	24.4205	-6.42327	60.0601	76.5832	0	0	86.1226	0.929001	148	30	22.3415	0.0600622	0	0
24	3	0	0	101.137	37.6629	-19.5709	2.70926	58.4435	69.6707	0	0	101.137	0.895965	146	30	24.0865	2.69174	0	0
25	3	1	0	64.1927	28.7458	32.5336	-9.44805	52.2529	67.8249	0	0	64.1927	0.976218	132	22	30.4609	-0.0553024	0	0
26	3	1	0	89.3045	34.1586	-28.5339	0.449861	51.1451	62.429	0	0	89.3045	0.961794	148	30	31.7347	2.87977	0	0
27	4	0	0	100.768	38.6334	1.96699	-10.2596	72.649	104.767	0	0	100.768	0.848414	130	30	2.49986	-1.63176	0	0
28	4	0	0	92.1344	37.7586	9.51159	-11.5076	69.9016	100.033	0	0	92.1344	0.812081	147	30	8.286	-0.46873	0	0
29	4	0	0	94.8614	37.0902	-6.42503	-9.39205	68.7597	92.7566	0	0	94.8614	0.866523	140	30	8.69799	-2.95335	0	0
30	4	0	0	85.5011	34.7955	17.5918	-15.1088	61.8029	87.1812	0	0	85.5011	0.887433	150	30	17.1272	-0.443186	0	0
31	4	0	0	76.0127	32.9422	-14.4263	-9.35244	61.7728	81.5775	0	0	76.0127	0.880217	116	22	16.6216	-3.0459	0	0
32	4	1	0	84.2329	32.9103	26.0824	-17.5081	54.3498	75.2799	0	0	84.2329	0.977299	143	30	25.8683	-0.386196	0	0
33	4	1	0	75.4142	31.328	-22.6288	-8.76355	54.9632	71.5824	0	0	75.4142	0.965602	145	22	24.7683	-3.10124	0	0
34	5	0	0	63.5168	30.1028	5.01381	-23.713	59.1237	92.213	0	0	63.5168	0.880816	95	22	16.2092	-1.39126	0	0
35	5	0	0	92.3722	35.9939	-2.80604	-23.2941	58.6974	90.2606	0	0	92.3722	0.895967	121	30	16.2921	-1.87792	0	0
36	5	0	0	80.6706	33.4795	12.6283	-25.0129	56.4391	85.948	0	0	80.6706	0.904412	115	30	20.1978	-1.02359	0	0
37	5	0	0	95.2959	37.8744	-10.8433	-22.303	56.5531	83.2966	0	0	95.2959	0.83482	152	30	19.4783	-2.29895	0	0
38	5	1	0	64.8307	28.907	21.0584	-26.0029	52.3173	76.9967	0	0	64.8307	0.974951	141	22	26.2932	-0.766555	0	0
39	5	1	0	94.0622	35.3708	-19.2342	-20.0009	52.6939	74.2437	0	0	94.0622	0.944787	147	30	24.611	-2.62123	0	0
40	6	0	0	69.8191	31.2743	1.59887	-34.7918	49.6291	76.8798	0	0	69.8191	0.897037	103	22	27.0325	-1.59005	0	0
41	6	0	0	83.053	34.1038	9.41818	-35.5613	48.8299	75.328	0	0	83.053	0.897345	112	30	28.7393	-1.31401	0	0
42	6	0	0	99.2807	36.8868	-7.24644	-35.8043	47.6864	72.8441	0	0	99.2807	0.916923	120	30	29.5627	-1.89316	0	0
43	6	1	0	60.6447	27.9706	17.8077	-34.91	47.2987	71.5779	0	0	60.6447	0.974086	126	22	31.353	-1.04676	0	0
44	6	1	0	99.6467	36.1708	-16.2847	-32.8708	46.6557	69.237	0	0	99.6467	0.957099	156	30	31.1295	-2.20335	0	0
45	7	0	1	80.7236	34.8824	-0.35869	-46.6147	41.1405	63.2188	0	0	80.7236	0.833679	139	22	38.9293	-1.63449	0	0
46	7	0	1	100.512	37.9556	8.15846	-46.5824	41.086	63.1077	0	0	100.512	0.876749	140	30	39.2851	-1.41646	0	0
47	7	0	1	71.9459	32.2427	-8.33045	-46.999	40.0884	61.0799	0	0	71.9459	0.869667	135	22	40.6024	-1.83109	0	0
48	7	1	1	84.9518	33.7914	17.0024	-44.622	41.1947	62.6307	0	0	84.9518	0.934911	143	30	39.7492	-1.18702	0	0
49	7	1	1	90.1141	35.3988	-16.201	-44.1134	40.0453	60.0957	0	0	90.1141	0.9037	155	30	40.7049	-2.03765	0	0
