# CellID	NodeIndex	X	Y	R	Theta
8	0	45.426	-1.36654	47.7483	0.329562
8	1	45.5168	-1.15335	47.9035	0.333159
8	2	45.5994	-0.936216	48.0529	0.336867
8	3	45.6733	-0.7145	48.1963	0.340702
8	4	45.7374	-0.487941	48.3328	0.344677
8	5	45.7904	-0.257122	48.4611	0.34879
8	6	45.8317	-0.0233863	48.5802	0.353022
8	7	45.8616	0.211867	48.6901	0.357343
8	8	45.8813	0.447916	48.7916	0.361734
8	9	45.8917	0.684909	48.8856	0.366193
8	10	45.8928	0.92348	48.9726	0.370733
8	11	45.8838	1.16409	49.0519	0.375372
8	12	45.8629	1.40638	49.1218	0.380117
8	13	45.8291	1.64889	49.181	0.384951
8	14	45.7824	1.88974	49.2288	0.389841
8	15	45.7244	2.12766	49.2662	0.394756
8	16	45.6568	2.36263	49.2947	0.399683
8	17	45.5805	2.5954	49.3156	0.404633
8	18	45.4953	2.82672	49.3289	0.409624
8	19	45.4001	3.05663	49.3338	0.414667
8	20	45.2938	3.28413	49.3288	0.419756
8	21	45.1762	3.50757	49.3131	0.424866
8	22	45.0483	3.72573	49.2872	0.429968
8	23	44.9117	3.9385	49.2524	0.435051
8	24	44.7673	4.14664	49.2097	0.440124
8	25	44.6148	4.35084	49.1594	0.445204
8	26	44.4532	4.55091	49.1004	0.450299
8	27	44.2819	4.74566	49.0315	0.455395
8	28	44.1013	4.93359	48.9526	0.460465
8	29	43.9128	5.11407	48.8646	0.465488
8	30	43.7177	5.28766	48.7687	0.470465
8	31	43.5161	5.45531	48.6656	0.475413
8	32	43.3071	5.61721	48.5545	0.480348
8	33	43.0896	5.77218	48.4338	0.485261
8	34	42.865	5.91745	48.3034	0.49009
8	35	42.6349	6.05178	48.1642	0.494799
8	36	42.4014	6.17571	48.0181	0.49938
8	37	42.1655	6.29088	47.8666	0.503852
8	38	41.9266	6.39851	47.7098	0.508246
8	39	41.6834	6.49839	47.5464	0.51257
8	40	41.4351	6.58878	47.3748	0.516803
8	41	41.1821	6.66742	47.1941	0.5209
8	42	40.9266	6.73326	47.0056	0.52482
8	43	40.6705	6.78721	46.8113	0.528559
8	44	40.4146	6.83113	46.6128	0.532141
8	45	40.1583	6.86611	46.4099	0.535593
8	46	39.9005	6.89179	46.2016	0.538918
8	47	39.6412	6.90665	45.9869	0.542089
8	48	39.3817	6.90934	45.7662	0.545065
8	49	39.1238	6.89995	45.541	0.547826
8	50	38.8685	6.88006	45.3129	0.550384
8	51	38.6159	6.85161	45.0828	0.552778
