# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	114.006	39.3436	5.65853	29.0336	55.6026	0	0	0	114.006	0.925527	145	30	35.0364	1.43704	0	1.47812
1	1	0	0	104.287	37.9226	-6.48001	27.9054	56.3204	0	0	0	104.287	0.911264	146	30	34.4149	1.78948	0	1.66347
2	1	0	0	110.745	39.7159	18.6595	28.2664	52.0197	0	0	0	110.745	0.882279	156	30	38.2802	1.09091	0	1.58648
3	1	0	0	84.0645	33.6026	-17.4264	24.0313	54.8591	0	0	0	84.0645	0.935573	116	22	34.9625	2.12544	0	1.81816
4	1	0	0	112.082	39.4692	29.0939	22.4114	49.0597	0	0	0	112.082	0.904129	139	30	39.7458	0.785283	0	1.78214
5	1	0	0	100.275	37.0213	-27.9995	18.8943	50.8697	0	0	0	100.275	0.919386	151	30	38.0072	2.43817	0	1.89779
6	1	0	0	74.6642	31.9295	38.4403	13.761	45.4106	0	0	0	74.6642	0.920319	102	22	42.2037	0.478987	0	1.94229
7	1	0	0	95.883	36.2251	-36.7111	10.5526	46.5843	0	0	0	95.883	0.91819	133	22	41.0476	2.73476	0	2.02159
8	1	1	0	58.1941	27.5423	45.2973	7.61718	41.736	0	0	0	58.1941	0.964026	126	22	46.2661	0.291741	0	2.00774
9	1	1	0	58.7275	27.6753	-43.7886	3.61815	42.0415	0	0	0	58.7275	0.963536	125	22	45.732	2.93663	0	2.0838
10	2	0	0	102.874	37.3272	1.31921	17.9252	66.7018	0	0	0	102.874	0.927819	127	30	23.6175	1.55669	0	0
11	2	0	0	103.545	37.1013	11.3296	18.9033	62.7898	0	0	0	103.545	0.945278	140	30	26.6798	1.17268	0	0
12	2	0	0	99.0524	36.0732	-8.69419	17.8659	64.3945	0	0	0	99.0524	0.956547	158	30	25.4673	1.96071	0	0
13	2	0	0	108.121	38.1695	21.6107	16.2305	57.2653	0	0	0	108.121	0.932578	143	30	30.0978	0.815846	0	0
14	2	0	0	94.586	35.4875	-19.0089	13.4689	59.7455	0	0	0	94.586	0.943811	148	30	27.6923	2.37755	0	0
15	2	0	0	91.9093	35.3595	31.0331	9.72491	51.5835	0	0	0	91.9093	0.923754	138	22	33.7703	0.474012	0	0
16	2	0	0	106.029	37.7173	-28.2361	6.94966	53.6553	0	0	0	106.029	0.9366	145	30	31.8387	2.73336	0	0
17	2	1	0	62.0309	28.6165	39.3743	3.30063	45.8453	0	0	0	62.0309	0.951889	137	22	39.4269	0.230054	0	0
18	2	1	0	87.0245	34.01	-37.3384	-1.23621	46.4135	0	0	0	87.0245	0.945451	153	30	38.5825	3.0259	0	0
19	3	0	0	91.2024	36.0105	6.19792	5.78188	76.8136	83.881	0	0	91.2024	0.883809	133	21	12.6002	1.14436	0	0
20	3	0	0	114.736	41.1518	-2.87538	6.11372	78.49	84.0065	0	0	114.736	0.851396	135	30	12.4192	1.88697	0	0
21	3	0	0	113.032	40.0834	15.0406	5.9169	66.9564	77.1086	0	0	113.032	0.884059	164	30	18.2276	0.690304	0	0
22	3	0	0	112.458	40.7632	-11.345	4.00706	70.1461	81.6752	0	0	112.458	0.850483	135	30	15.6872	2.47521	0	0
23	3	0	0	97.4928	37.1445	24.2885	2.27669	58.0164	70.6834	0	0	97.4928	0.887961	142	30	24.6265	0.329422	0	0
24	3	0	0	103.483	39.0487	-20.2061	0.156928	60.868	75.5912	0	0	103.483	0.852837	147	30	21.984	2.87239	0	0
25	3	1	0	63.7018	28.763	32.7342	-1.95091	50.5236	63.5387	0	0	63.7018	0.967598	137	22	31.9675	0.117231	0	0
26	3	1	0	78.6965	32.2251	-29.1786	-4.97924	52.1944	67.2184	0	0	78.6965	0.952304	140	30	30.1732	3.11804	0	0
27	4	0	0	100.675	38.3393	1.00571	-7.41084	71.8139	105.681	0	0	100.675	0.860682	126	30	1.72105	-1.55944	0	0
28	4	0	0	104.135	37.7998	9.8145	-7.01682	68.8332	93.7284	0	0	104.135	0.915854	149	30	8.92749	-0.149186	0	0
29	4	0	0	78.752	34.6294	-6.85617	-9.8909	67.0618	97.5456	0	0	78.752	0.825243	101	22	8.89667	-2.64981	0	0
30	4	0	0	91.8649	36.5629	18.5504	-8.10343	61.0942	81.5096	0	0	91.8649	0.863531	138	30	17.7293	-0.136556	0	0
31	4	0	0	97.8621	38.0924	-14.851	-11.0548	61.0594	85.4632	0	0	97.8621	0.847514	131	30	16.7212	-2.81497	0	0
32	4	1	0	84.6957	33.099	27.2409	-10.0626	53.0081	70.6476	0	0	84.6957	0.971499	142	30	26.6164	-0.165034	0	0
33	4	1	0	86.9061	33.7076	-23.7075	-12.7221	53.5485	73.5764	0	0	86.9061	0.961182	154	30	25.6755	-2.86416	0	0
