# CellID	NodeIndex	X	Y	R	Theta
8	0	54.5515	-12.7126	51.3389	0.0138532
8	1	54.7462	-12.5376	51.5363	0.0171955
8	2	54.9312	-12.3505	51.7248	0.020751
8	3	55.104	-12.1523	51.9021	0.0244998
8	4	55.2642	-11.9454	52.0677	0.0283964
8	5	55.4126	-11.7319	52.2226	0.0324034
8	6	55.5511	-11.5122	52.3685	0.0365111
8	7	55.68	-11.2855	52.506	0.0407355
8	8	55.7984	-11.0507	52.6344	0.0451005
8	9	55.9042	-10.8077	52.7516	0.0496131
8	10	55.9954	-10.5578	52.8557	0.0542486
8	11	56.0722	-10.3036	52.9467	0.0589648
8	12	56.136	-10.0465	53.0262	0.063734
8	13	56.1887	-9.78655	53.0959	0.0685568
8	14	56.2305	-9.52276	53.1564	0.0734537
8	15	56.2602	-9.25431	53.2063	0.0784448
8	16	56.2756	-8.98169	53.2437	0.0835267
8	17	56.2754	-8.70701	53.2672	0.0886656
8	18	56.2607	-8.4325	53.2775	0.0938222
8	19	56.2335	-8.15884	53.2768	0.0989841
8	20	56.1952	-7.88506	53.2665	0.10417
8	21	56.1451	-7.60983	53.2459	0.109409
8	22	56.0803	-7.33295	53.2126	0.114714
8	23	55.9983	-7.05657	53.1635	0.120055
8	24	55.899	-6.78427	53.0983	0.12537
8	25	55.7855	-6.51794	53.0197	0.130622
8	26	55.6608	-6.25662	52.9308	0.135824
8	27	55.5255	-5.99831	52.8324	0.141015
8	28	55.378	-5.74222	52.7231	0.146217
8	29	55.2162	-5.48993	52.6005	0.15141
8	30	55.0401	-5.24447	52.4641	0.156542
8	31	54.8523	-5.00728	52.3162	0.16158
8	32	54.6553	-4.77698	52.1595	0.166545
8	33	54.449	-4.55159	51.9941	0.171478
8	34	54.2314	-4.33095	51.818	0.17639
8	35	54.0008	-4.11751	51.629	0.181244
8	36	53.7584	-3.9142	51.4278	0.185982
8	37	53.5075	-3.72097	51.2175	0.190595
8	38	53.2493	-3.53539	50.9996	0.195127
8	39	52.9817	-3.3563	50.7723	0.19961
8	40	52.702	-3.18599	50.5325	0.204011
8	41	52.4109	-3.02898	50.2797	0.208241
8	42	52.1145	-2.88864	50.0191	0.212212
8	43	51.8548	-2.78391	49.7875	0.215367
8	44	51.6218	-2.7059	49.5767	0.217908
8	45	51.4062	-2.64832	49.3787	0.219991
8	46	51.1997	-2.60815	49.1861	0.221704
8	47	50.9983	-2.58957	48.9937	0.222978
8	48	50.8135	-2.61119	48.8088	0.223383
8	49	50.6352	-2.67154	48.6215	0.222985
8	50	50.4519	-2.7258	48.4308	0.222729
8	51	50.2696	-2.79085	48.2386	0.222249
8	52	50.0892	-2.86463	48.0464	0.221579
8	53	49.9093	-2.94163	47.8539	0.220836
8	54	49.7324	-3.02632	47.6628	0.219915
8	55	49.5558	-3.11267	47.4717	0.218951
8	56	49.383	-3.20713	47.2825	0.217795
8	57	49.211	-3.30353	47.0938	0.216585
8	58	49.0443	-3.40794	46.9086	0.215175
8	59	48.8752	-3.51549	46.7205	0.213699
8	60	48.7085	-3.6305	46.5332	0.212043
8	61	48.5438	-3.74883	46.3474	0.210295
8	62	48.3842	-3.8718	46.1657	0.208412
8	63	48.23	-3.99749	45.9889	0.206432
8	64	48.0808	-4.12406	45.817	0.204396
8	65	47.933	-4.25467	45.6459	0.202251
8	66	47.7844	-4.3867	45.474	0.200063
8	67	47.6402	-4.52494	45.3052	0.197705
8	68	47.4978	-4.66545	45.1382	0.195273
8	69	47.3598	-4.81417	44.974	0.192624
8	70	47.223	-4.96557	44.811	0.189892
8	71	47.0949	-5.12351	44.6556	0.18696
8	72	46.9687	-5.28132	44.5025	0.184003
8	73	46.8501	-5.44425	44.3563	0.180881
8	74	46.733	-5.60742	44.2119	0.177727
8	75	46.6257	-5.77634	44.0767	0.174386
8	76	46.5247	-5.94794	43.9478	0.170939
8	77	46.4427	-6.12795	43.8366	0.167211
8	78	46.3725	-6.31511	43.7366	0.163258
8	79	46.322	-6.51327	43.655	0.158967
8	80	46.2857	-6.71153	43.5881	0.154608
8	81	46.2755	-6.90375	43.5489	0.150283
8	82	46.282	-7.08639	43.5283	0.146112
8	83	46.3091	-7.2628	43.5298	0.142012
8	84	46.3431	-7.43585	43.5394	0.137966
8	85	46.3819	-7.60752	43.5545	0.13394
8	86	46.4287	-7.7769	43.5786	0.129945
8	87	46.4764	-7.9492	43.604	0.125885
8	88	46.5325	-8.123	43.6381	0.121772
8	89	46.5897	-8.30093	43.6737	0.117569
8	90	46.6537	-8.48117	43.7165	0.113303
8	91	46.7199	-8.66471	43.7619	0.108965
8	92	46.7906	-8.84949	43.8126	0.104597
8	93	46.8657	-9.03409	43.8684	0.100233
8	94	46.9365	-9.22067	43.9206	0.0958447
8	95	47.0111	-9.40543	43.9776	0.0915004
8	96	47.0879	-9.58887	44.0377	0.0871931
8	97	47.1663	-9.77113	44.1003	0.082921
8	98	47.2436	-9.95295	44.1627	0.078673
8	99	47.3231	-10.1318	44.2283	0.0745017
8	100	47.4045	-10.3127	44.2964	0.0702908
8	101	47.4874	-10.4943	44.3667	0.066077
8	102	47.5709	-10.6754	44.4385	0.0618874
8	103	47.6559	-10.8549	44.5126	0.0577444
8	104	47.7398	-11.0339	44.5864	0.053627
8	105	47.8235	-11.2124	44.6608	0.0495362
8	106	47.9079	-11.39	44.7366	0.0454774
8	107	47.9962	-11.5713	44.817	0.0413452
8	108	48.0878	-11.7565	44.9013	0.0371398
8	109	48.1811	-11.9452	44.9879	0.0328729
8	110	48.2772	-12.1347	45.0781	0.0286
8	111	48.3738	-12.3243	45.1697	0.0243443
8	112	48.4723	-12.512	45.264	0.0201458
8	113	48.5725	-12.6998	45.3608	0.0159616
8	114	48.6735	-12.8884	45.4591	0.0117767
8	115	48.7778	-13.0773	45.5616	0.00760583
8	116	48.8805	-13.2679	45.6633	0.00341445
8	117	49.0038	-13.4349	45.7863	-0.000242329
8	118	49.1558	-13.5616	45.9385	-0.00299962
8	119	49.3386	-13.6576	46.1217	-0.0050699
8	120	49.5388	-13.7356	46.3224	-0.00673086
8	121	49.759	-13.8008	46.543	-0.00810085
8	122	50.004	-13.8542	46.7885	-0.00919963
8	123	50.2826	-13.8977	47.0675	-0.0100699
8	124	50.5597	-13.9307	47.3449	-0.0107064
8	125	50.8362	-13.954	47.6216	-0.0111345
8	126	51.1133	-13.9662	47.8988	-0.0113236
8	127	51.391	-13.9641	48.1765	-0.0112155
8	128	51.6673	-13.9455	48.4526	-0.010768
8	129	51.9392	-13.9107	48.7241	-0.00999314
8	130	52.2053	-13.862	48.9898	-0.00894588
8	131	52.4661	-13.8019	49.2501	-0.0076769
8	132	52.7229	-13.7308	49.5064	-0.00620114
8	133	52.9764	-13.6475	49.7594	-0.00449644
8	134	53.2255	-13.5502	50.0082	-0.00252728
8	135	53.4679	-13.4379	50.2504	-0.000281646
8	136	53.7012	-13.3122	50.4839	0.00220946
8	137	53.9251	-13.1757	50.7082	0.00489276
8	138	54.1407	-13.0302	50.9247	0.00772844
8	139	54.3493	-12.8762	51.1348	0.0107083
9	0	-39.6363	0.400614	45.0284	2.82954
9	1	-39.706	0.538998	45.1374	2.82709
9	2	-39.7809	0.677674	45.2517	2.82469
9	3	-39.8646	0.816307	45.3745	2.82236
9	4	-39.9532	0.955992	45.5026	2.82006
9	5	-40.0485	1.09377	45.6366	2.81786
9	6	-40.1486	1.2282	45.7744	2.81577
9	7	-40.2535	1.36331	45.9171	2.81371
9	8	-40.3621	1.49854	46.0637	2.81169
9	9	-40.473	1.63394	46.2125	2.8097
9	10	-40.5875	1.76719	46.3642	2.80778
9	11	-40.7033	1.89914	46.5169	2.80592
9	12	-40.8241	2.03221	46.675	2.80408
9	13	-40.9486	2.16616	46.8369	2.80226
9	14	-41.0765	2.29915	47.0018	2.8005
9	15	-41.2065	2.42984	47.1681	2.79881
9	16	-41.3381	2.56185	47.3364	2.79712
9	17	-41.4716	2.69318	47.5065	2.79546
