# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	113.311	39.4684	14.1585	15.1531	58.364	0	0	0	113.311	0.914081	132	30	30.4088	1.22565	0	0
1	1	0	0	111.813	39.2612	0.872064	17.2366	57.335	0	0	0	111.813	0.911539	139	30	30.845	1.66815	0	0
2	1	0	0	71.5836	30.5932	25.3456	10.1002	56.2475	0	0	0	71.5836	0.961111	97	22	31.8809	0.831706	0	0
3	1	0	0	90.7442	34.6986	-11.5218	14.6003	54.7696	0	0	0	90.7442	0.947118	135	22	32.0067	2.07248	0	0
4	1	0	0	77.0372	31.9111	34.7965	5.03364	51.6284	0	0	0	77.0372	0.950662	113	22	36.0353	0.538996	0	0
5	1	0	0	108.004	38.5474	-24.5807	11.9359	48.2415	0	0	0	108.004	0.913395	140	30	38.1382	2.41282	0	0
6	1	0	0	100.572	37.0251	44.1585	-0.490571	45.7752	0	0	0	100.572	0.92192	133	30	42.3252	0.311492	0	0
7	1	0	0	85.5414	34.1651	-35.5631	5.13267	43.2113	0	0	0	85.5414	0.920918	124	22	43.5976	2.70096	0	0
8	1	1	0	84.089	33.0507	51.7857	-8.25963	40.9363	0	0	0	84.089	0.967361	140	30	48.1972	0.108158	0	0
9	1	1	0	84.5557	33.1967	-43.7876	-2.64388	39.1468	0	0	0	84.5557	0.96419	147	30	48.8702	2.91837	0	0
10	2	0	0	96.8783	35.7745	6.57795	7.34981	67.5638	0	0	0	96.8783	0.951235	120	30	20.9876	1.44142	0	0
11	2	0	0	100.782	36.3089	16.864	4.37336	65.899	0	0	0	100.782	0.960652	146	30	22.0671	0.941177	0	0
12	2	0	0	94.0223	35.152	-4.01398	7.71759	64.0668	0	0	0	94.0223	0.956182	135	30	22.5998	1.92715	0	0
13	2	0	0	89.3577	34.0533	26.8779	-0.22709	59.596	0	0	0	89.3577	0.968332	133	30	26.5429	0.522025	0	0
14	2	0	0	94.9907	35.336	-15.7397	5.55719	56.9772	0	0	0	94.9907	0.955996	141	30	27.3183	2.37147	0	0
15	2	0	0	71.4273	30.3897	35.9817	-5.36244	52.5573	0	0	0	71.4273	0.971903	117	22	33.1174	0.247089	0	0
16	2	0	0	96.9478	36.0347	-26.9294	1.64818	49.6619	0	0	0	96.9478	0.938223	150	30	34.3066	2.68549	0	0
17	2	1	0	80.157	32.7367	44.0542	-11.4312	45.9553	0	0	0	80.157	0.939903	143	30	40.2354	0.0505047	0	0
18	2	1	0	79.1111	32.6904	-36.3543	-5.72625	43.8021	0	0	0	79.1111	0.930267	150	30	40.9616	2.95159	0	0
19	3	0	0	75.4451	31.741	10.5618	-4.6549	77.8365	86.3606	0	0	75.4451	0.941022	111	22	11.0612	0.921069	0	0
20	3	0	0	94.4189	35.1944	1.13665	-2.98159	76.7972	84.0981	0	0	94.4189	0.957902	132	30	10.8314	1.82592	0	0
21	3	0	0	73.6905	30.9531	18.8849	-7.1084	68.7096	82.2283	0	0	73.6905	0.966522	113	22	16.3039	0.400329	0	0
22	3	0	0	89.826	34.8484	-8.47833	-2.95336	66.7982	77.4237	0	0	89.826	0.929493	148	30	16.2149	2.4365	0	0
23	3	0	0	73.6419	30.9124	27.9192	-10.671	59.3477	74.5973	0	0	73.6419	0.968433	115	22	24.2105	0.115552	0	0
24	3	0	0	94.4045	35.4924	-18.9538	-5.00896	57.0946	69.0037	0	0	94.4045	0.941742	163	30	24.3391	2.78688	0	0
25	3	1	0	77.8739	31.9481	36.2466	-15.8543	51.3779	66.6148	0	0	77.8739	0.958763	146	30	32.4647	-0.073746	0	0
26	3	1	0	70.7089	30.6632	-28.8038	-9.29914	49.1977	61.302	0	0	70.7089	0.945037	129	30	32.9381	3.01486	0	0
27	4	0	0	91.8175	34.8796	4.16209	-14.3957	75.1652	101.909	0	0	91.8175	0.948404	113	30	0.977891	-1.26762	0	0
28	4	0	0	67.9749	30.4347	12.7058	-16.1108	70.799	97.105	0	0	67.9749	0.922193	103	22	9.22408	-0.291225	0	0
29	4	0	0	91.5768	34.6524	-4.20742	-14.0582	70.0054	92.1826	0	0	91.5768	0.95836	121	30	8.0995	-3.06796	0	0
30	4	0	0	84.9305	33.5626	20.8484	-18.1645	62.8962	85.6748	0	0	84.9305	0.947462	122	30	17.6174	-0.270178	0	0
31	4	0	0	86.4801	34.0434	-13.2693	-14.1854	61.5291	79.9216	0	0	86.4801	0.937692	123	30	17.1547	-3.09943	0	0
32	4	1	0	57.3408	27.3492	29.2977	-20.7809	54.9325	74.521	0	0	57.3408	0.963351	135	22	26.4598	-0.280246	0	0
33	4	1	0	81.8535	32.6201	-22.0339	-15.2513	53.4619	69.3317	0	0	81.8535	0.966667	149	30	25.9657	-3.07264	0	0
34	5	0	0	84.7138	33.4984	6.93012	-25.7599	63.1678	98.237	0	0	84.7138	0.948673	105	30	12.6725	-1.32692	0	0
35	5	0	0	66.6595	30.0058	-1.53671	-25.4204	61.959	93.5395	0	0	66.6595	0.930383	102	22	13.1236	-1.99544	0	0
36	5	0	0	67.974	30.035	15.3335	-27.5131	59.4077	89.0799	0	0	67.974	0.946884	102	22	18.1337	-0.886464	0	0
37	5	0	0	86.492	34.1638	-9.86101	-24.9936	58.1977	83.6359	0	0	86.492	0.93122	128	30	17.9308	-2.44306	0	0
38	5	1	0	80.9906	32.351	24.3051	-28.4789	54.1604	78.0339	0	0	80.9906	0.972451	145	30	25.3591	-0.63373	0	0
39	5	1	0	78.7569	31.8932	-19.1304	-24.6108	52.6275	72.6862	0	0	78.7569	0.972979	135	30	25.56	-2.69026	0	0
40	6	0	0	57.3066	27.6316	1.54815	-35.0512	54.1138	83.4274	0	0	57.3066	0.943196	87	22	21.7133	-1.67794	0	0
41	6	0	0	94.1266	35.823	9.6528	-37.7876	52.0799	80.2486	0	0	94.1266	0.921719	119	30	25.0031	-1.33741	0	0
42	6	0	0	97.6089	36.8516	-6.90477	-36.8031	50.9496	76.8342	0	0	97.6089	0.903203	142	30	25.7078	-2.00328	0	0
43	6	1	0	84.8089	33.0608	19.2467	-37.2343	50.3533	75.7771	0	0	84.8089	0.975046	153	30	28.3115	-0.996647	0	0
44	6	1	0	88.4614	33.706	-16.1244	-34.5515	48.5765	70.5861	0	0	88.4614	0.978476	159	30	29.0609	-2.32956	0	0
45	7	0	0	105.015	38.3085	0.29203	-47.0792	44.8316	68.6672	0	0	105.015	0.899231	148	22	33.8067	-1.67684	0	0
46	7	0	0	89.0544	36.0299	8.96458	-49.0858	43.6726	66.9244	0	0	89.0544	0.862064	146	30	35.9859	-1.42875	0	0
47	7	0	0	94.5354	36.637	-9.012	-47.8877	42.7222	64.4827	0	0	94.5354	0.885041	154	30	36.7566	-1.92887	0	0
48	7	1	0	81.7672	33.319	17.1923	-46.7929	44.0506	66.8644	0	0	81.7672	0.925562	142	30	35.8944	-1.19055	0	0
