# CellID	NodeIndex	X	Y	R	Theta
8	0	54.5421	-9.86176	52.0865	0.0669425
8	1	54.7209	-9.67241	52.2779	0.0703276
8	2	54.8886	-9.47171	52.4596	0.0739192
8	3	55.0433	-9.26127	52.6298	0.0776898
8	4	55.1849	-9.04351	52.7883	0.0815944
8	5	55.3148	-8.82005	52.9364	0.0856016
8	6	55.4345	-8.59101	53.0756	0.0897084
8	7	55.5441	-8.35543	53.2064	0.0939336
8	8	55.6424	-8.11237	53.3276	0.0982985
8	9	55.7272	-7.86214	53.437	0.102803
8	10	55.797	-7.60663	53.5332	0.107417
8	11	55.8523	-7.34812	53.6165	0.1121
8	12	55.8949	-7.08773	53.6886	0.116831
8	13	55.9262	-6.8251	53.751	0.121616
8	14	55.9462	-6.55919	53.8037	0.126476
8	15	55.9533	-6.28947	53.8454	0.131429
8	16	55.9455	-6.01693	53.8741	0.136463
8	17	55.9222	-5.74389	53.8889	0.141542
8	18	55.8849	-5.47227	53.8909	0.146629
8	19	55.8356	-5.20224	53.8823	0.15172
8	20	55.7752	-4.93258	53.864	0.156839
8	21	55.7022	-4.66217	53.8349	0.162012
8	22	55.6139	-4.3915	53.7922	0.167243
8	23	55.5081	-4.1234	53.7332	0.17249
8	24	55.386	-3.86132	53.6586	0.177692
8	25	55.251	-3.6062	53.5716	0.182825
8	26	55.1057	-3.35642	53.4748	0.187912
8	27	54.9499	-3.11007	53.3685	0.192992
8	28	54.7818	-2.86695	53.2508	0.198079
8	29	54.5995	-2.62923	53.1195	0.203142
8	30	54.4039	-2.39983	52.9749	0.208128
8	31	54.198	-2.17934	52.8196	0.213018
8	32	53.9836	-1.96591	52.6557	0.21784
8	33	53.76	-1.75785	52.483	0.222632
8	34	53.5249	-1.55575	52.299	0.227393
8	35	53.2774	-1.3626	52.102	0.232076
8	36	53.0197	-1.18082	51.8935	0.236627
8	37	52.7546	-1.00947	51.6765	0.241053
8	38	52.4825	-0.84613	51.4517	0.245399
8	39	52.2011	-0.690443	51.217	0.249682
8	40	51.9084	-0.545498	50.9697	0.253856
8	41	51.6066	-0.415553	50.7105	0.257832
8	42	51.323	-0.313595	50.4626	0.261218
8	43	51.0695	-0.243327	50.2361	0.263873
8	44	50.8367	-0.197253	50.0234	0.265976
8	45	50.6159	-0.169612	49.8178	0.267676
8	46	50.4004	-0.157491	49.6131	0.269061
8	47	50.1862	-0.164623	49.4048	0.270074
8	48	49.9824	-0.210437	49.1962	0.270282
8	49	49.7819	-0.295018	48.9804	0.26971
8	50	49.587	-0.39171	48.7668	0.268864
8	51	49.3964	-0.492838	48.5562	0.267899
8	52	49.2101	-0.595488	48.3494	0.266872
8	53	49.0282	-0.698986	48.1467	0.265794
8	54	48.8498	-0.805716	47.9465	0.264624
8	55	48.6744	-0.91594	47.7485	0.263356
8	56	48.5017	-1.02935	47.5522	0.262
8	57	48.3318	-1.14582	47.358	0.260553
8	58	48.1659	-1.26518	47.167	0.259014
8	59	48.004	-1.39105	46.9784	0.257307
8	60	47.8474	-1.52145	46.7938	0.255463
8	61	47.6969	-1.65469	46.6146	0.253514
8	62	47.5506	-1.78757	46.4397	0.251534
8	63	47.41	-1.92143	46.2704	0.249488
8	64	47.2701	-2.05775	46.1012	0.247372
8	65	47.1353	-2.20066	45.9357	0.245074
8	66	47.0008	-2.34472	45.7704	0.242734
8	67	46.8738	-2.49532	45.611	0.240198
8	68	46.7473	-2.64467	45.4528	0.237669
8	69	46.6319	-2.79904	45.3044	0.234957
8	70	46.5178	-2.95345	45.1576	0.23222
8	71	46.4161	-3.1136	45.022	0.229278
8	72	46.3161	-3.27094	44.8891	0.226371
8	73	46.2265	-3.43085	44.7661	0.223339
8	74	46.1365	-3.59016	44.6432	0.220306
8	75	46.0576	-3.7557	44.5303	0.217065
8	76	45.9785	-3.92302	44.4173	0.21377
8	77	45.9239	-4.10299	44.326	0.210064
8	78	45.8754	-4.29541	44.2388	0.206039
8	79	45.855	-4.50295	44.1768	0.201534
8	80	45.8436	-4.70443	44.1258	0.197113
8	81	45.8598	-4.90212	44.1034	0.192645
8	82	45.8863	-5.09769	44.0924	0.188176
8	83	45.9409	-5.29138	44.1103	0.183631
8	84	46.0036	-5.48597	44.1368	0.179037
8	85	46.0759	-5.67687	44.1744	0.174493
8	86	46.1491	-5.86726	44.2139	0.169965
8	87	46.2265	-6.05601	44.2587	0.165466
8	88	46.3041	-6.24465	44.3047	0.160978
8	89	46.3839	-6.43375	44.3535	0.156481
8	90	46.4668	-6.62389	44.4063	0.151961
8	91	46.5518	-6.81378	44.462	0.14745
8	92	46.6383	-7.00199	44.5204	0.142983
8	93	46.7245	-7.18837	44.5795	0.138569
8	94	46.8104	-7.37278	44.6396	0.134211
8	95	46.8985	-7.5544	44.703	0.129922
8	96	46.985	-7.73518	44.7657	0.125667
8	97	47.0691	-7.91524	44.827	0.121447
8	98	47.1581	-8.09614	44.8938	0.117207
8	99	47.2489	-8.27734	44.9632	0.112968
8	100	47.3394	-8.45837	45.0331	0.108747
8	101	47.4312	-8.63738	45.1054	0.104581
8	102	47.5247	-8.81417	45.1803	0.100473
8	103	47.6189	-8.98959	45.2568	0.0964081
8	104	47.7131	-9.16443	45.3341	0.0923694
8	105	47.8079	-9.33834	45.4128	0.0883634
8	106	47.9046	-9.50997	45.4944	0.084418
8	107	48.0005	-9.67946	45.5759	0.0805351
8	108	48.0995	-9.84621	45.6616	0.0767204
8	109	48.1979	-10.0103	45.7475	0.0729799
8	110	48.2975	-10.1691	45.8354	0.0693656
8	111	48.3959	-10.3235	45.9232	0.0658639
8	112	48.4949	-10.4724	46.0125	0.0624929
8	113	48.5955	-10.6158	46.1041	0.0592523
8	114	48.7017	-10.7508	46.2023	0.0561995
8	115	48.7987	-10.8901	46.2916	0.053077
8	116	48.9204	-10.9941	46.4077	0.0506999
8	117	49.0676	-11.0796	46.5505	0.0487045
8	118	49.2345	-11.1444	46.7141	0.0471464
8	119	49.4172	-11.2071	46.8938	0.0456272
8	120	49.6258	-11.2602	47.0997	0.0442977
8	121	49.8666	-11.308	47.3382	0.043065
8	122	50.1453	-11.3441	47.6151	0.0420547
8	123	50.4221	-11.3683	47.8907	0.0413061
8	124	50.6973	-11.3823	48.1651	0.0407813
8	125	50.972	-11.3856	48.4394	0.0404814
8	126	51.247	-11.3762	48.7146	0.0404451
8	127	51.5213	-11.3515	48.9897	0.0407233
8	128	51.7923	-11.3101	49.2621	0.0413378
8	129	52.0573	-11.2536	49.5292	0.0422575
8	130	52.3156	-11.1846	49.7903	0.0434236
8	131	52.5683	-11.1049	50.0462	0.0447951
8	132	52.8166	-11.0145	50.2984	0.0463689
8	133	53.0606	-10.9119	50.547	0.0481737
8	134	53.2988	-10.7953	50.7906	0.0502411
8	135	53.5287	-10.6646	51.027	0.0525723
8	136	53.7486	-10.5218	51.2542	0.0551291
8	137	53.9587	-10.3694	51.4726	0.0578611
8	138	54.1603	-10.2088	51.6834	0.0607367
8	139	54.3548	-10.0401	51.888	0.0637555
9	0	-40.226	1.97808	45.4589	2.79776
9	1	-40.3182	2.14205	45.6012	2.79506
