# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	113.212	39.3508	11.2992	15.4433	58.6314	0	0	0	113.212	0.918741	132	30	29.9589	1.26727	0	0
1	1	0	0	103.752	37.5379	-1.13837	17.0843	57.724	0	0	0	103.752	0.925271	139	30	30.4304	1.68551	0	0
2	1	0	0	71.8459	30.639	22.5093	11.1504	56.5004	0	0	0	71.8459	0.961754	97	22	31.5742	0.878065	0	0
3	1	0	0	83.4443	32.9311	-12.4716	14.6962	55.3857	0	0	0	83.4443	0.96693	133	22	31.5392	2.05983	0	0
4	1	0	0	76.9048	31.8511	32.3068	6.84474	51.6507	0	0	0	76.9048	0.952606	113	22	36.0189	0.588375	0	0
5	1	0	0	106.231	37.9329	-24.8291	12.9057	48.9603	0	0	0	106.231	0.927745	140	30	37.6445	2.37727	0	0
6	1	0	0	102.606	37.4187	41.8621	2.24325	45.864	0	0	0	102.606	0.920881	133	30	42.4082	0.371363	0	0
7	1	0	0	85.9827	34.1093	-35.8481	7.39476	43.5986	0	0	0	85.9827	0.928702	123	22	43.3661	2.64815	0	0
8	1	1	0	83.7211	32.8871	50.2882	-4.96337	40.787	0	0	0	83.7211	0.972734	140	30	48.6367	0.169046	0	0
9	1	1	0	84.1296	33.0825	-44.6564	0.3488	39.1004	0	0	0	84.1296	0.965964	147	30	48.9001	2.86199	0	0
10	2	0	0	95.8353	35.832	4.27306	6.90196	68.3848	0	0	0	95.8353	0.937977	120	30	20.1406	1.47491	0	0
11	2	0	0	100.927	36.3863	14.3051	4.59243	66.5846	0	0	0	100.927	0.957945	146	30	21.3941	0.977556	0	0
12	2	0	0	98.0912	35.9747	-5.82133	6.98927	64.9565	0	0	0	98.0912	0.95246	135	30	21.7283	1.95608	0	0
13	2	0	0	92.8675	34.7487	24.6655	0.87485	59.8568	0	0	0	92.8675	0.96649	133	30	26.3591	0.560867	0	0
