# CellID	NodeIndex	X	Y	R	Theta
8	0	54.7097	-9.82156	52.2228	0.0699032
8	1	54.8867	-9.62803	52.4132	0.0733507
8	2	55.0514	-9.42344	52.5928	0.0770008
8	3	55.2028	-9.21007	52.7605	0.0808123
8	4	55.3416	-8.99019	52.917	0.0847421
8	5	55.4696	-8.76476	53.0641	0.088771
8	6	55.5878	-8.53327	53.2028	0.092908
8	7	55.6956	-8.2946	53.3328	0.0971763
8	8	55.7911	-8.04828	53.4522	0.101589
8	9	55.8722	-7.79549	53.5591	0.106131
8	10	55.9385	-7.53853	53.6528	0.110763
8	11	55.9912	-7.27923	53.7345	0.11545
8	12	56.0324	-7.01787	53.8061	0.120187
8	13	56.0626	-6.75359	53.8684	0.124991
8	14	56.0809	-6.48543	53.9207	0.129883
8	15	56.0853	-6.21357	53.9609	0.134868
8	16	56.0742	-5.93985	53.9873	0.13992
8	17	56.048	-5.66664	54.0003	0.144997
8	18	56.009	-5.395	54.0016	0.150079
8	19	55.9587	-5.1242	53.993	0.155178
8	20	55.8967	-4.85288	53.9745	0.160322
8	21	55.8208	-4.58058	53.9437	0.165529
8	22	55.7279	-4.30908	53.8976	0.170782
8	23	55.6176	-4.04193	53.835	0.17602
8	24	55.4925	-3.78155	53.7582	0.181197
8	25	55.356	-3.52734	53.6704	0.186314
8	26	55.2093	-3.27722	53.5733	0.191409
8	27	55.0513	-3.02997	53.4659	0.196511
8	28	54.8796	-2.78668	53.3456	0.201613
8	29	54.6936	-2.5503	53.2114	0.206665
8	30	54.4957	-2.32282	53.0651	0.211626
8	31	54.2887	-2.10333	52.9095	0.216503
8	32	54.0732	-1.88964	52.7455	0.221338
8	33	53.8474	-1.68104	52.5717	0.226152
8	34	53.6093	-1.4795	52.3853	0.23092
8	35	53.3593	-1.28828	52.1863	0.235584
8	36	53.1006	-1.10824	51.9773	0.240114
8	37	52.8351	-0.937223	51.7606	0.244543
8	38	52.5615	-0.773452	51.5353	0.248911
8	39	52.2772	-0.618341	51.2984	0.253207
8	40	51.9818	-0.476136	51.0485	0.257354
8	41	51.6788	-0.35029	50.788	0.261268
8	42	51.412	-0.261411	50.5534	0.26433
8	43	51.1717	-0.201216	50.3373	0.266732
8	44	50.9487	-0.16282	50.1324	0.268643
8	45	50.7353	-0.141433	49.9324	0.27019
8	46	50.5255	-0.135133	49.7319	0.271439
8	47	50.3169	-0.148413	49.5274	0.272309
8	48	50.1178	-0.200975	49.3215	0.272369
8	49	49.9232	-0.29563	49.1087	0.271578
8	50	49.7284	-0.387844	48.8963	0.27083
8	51	49.5399	-0.48779	48.688	0.269888
8	52	49.3568	-0.591098	48.4839	0.268841
8	53	49.1779	-0.695216	48.2838	0.267746
8	54	49.0022	-0.803048	48.0859	0.266551
8	55	48.8284	-0.913184	47.8893	0.265288
8	56	48.6574	-1.02671	47.6945	0.263931
8	57	48.4889	-1.14229	47.5017	0.262508
8	58	48.3238	-1.26617	47.3102	0.260884
8	59	48.1627	-1.39543	47.1214	0.259115
8	60	48.0078	-1.52947	46.9373	0.257201
8	61	47.8578	-1.66492	46.7579	0.255215
8	62	47.7133	-1.80125	46.5838	0.253167
8	63	47.573	-1.93702	46.414	0.251092
8	64	47.4358	-2.07808	46.2462	0.248874
8	65	47.2999	-2.22189	46.0792	0.246576
8	66	47.1684	-2.37062	45.9155	0.244134
8	67	47.0387	-2.52065	45.7535	0.241637
8	68	46.9156	-2.67419	45.5974	0.239014
8	69	46.7971	-2.82706	45.4462	0.236363
8	70	46.6861	-2.98449	45.3016	0.233558
8	71	46.5807	-3.14287	45.1627	0.230687
8	72	46.4831	-3.3025	45.0313	0.227731
8	73	46.388	-3.46028	44.9033	0.224786
8	74	46.3026	-3.62344	44.7839	0.22166
8	75	46.2147	-3.78617	44.6625	0.218538
8	76	46.1466	-3.95983	44.5587	0.215065
8	77	46.0804	-4.13761	44.4564	0.211476
8	78	46.0422	-4.3323	44.3785	0.207367
8	79	46.0102	-4.53758	44.3054	0.202982
8	80	46.0071	-4.73829	44.2623	0.198554
8	81	46.0137	-4.935	44.2304	0.194165
8	82	46.0465	-5.12791	44.2258	0.189742
8	83	46.0951	-5.3207	44.2376	0.185255
8	84	46.1617	-5.51185	44.2683	0.180734
8	85	46.2314	-5.70179	44.3032	0.176233
8	86	46.3057	-5.89036	44.3437	0.171753
8	87	46.3809	-6.079	44.386	0.167276
8	88	46.4574	-6.26732	44.4305	0.16281
8	89	46.5354	-6.45627	44.4773	0.158333
8	90	46.6167	-6.64577	44.5282	0.153843
8	91	46.6989	-6.8351	44.5808	0.149364
8	92	46.7823	-7.02263	44.6358	0.144931
8	93	46.8682	-7.20716	44.6946	0.140568
8	94	46.9549	-7.38958	44.7553	0.136261
8	95	47.0391	-7.57185	44.8143	0.131976
8	96	47.1237	-7.75239	44.8749	0.12774
8	97	47.2091	-7.93027	44.9373	0.123572
8	98	47.2987	-8.10875	45.0047	0.119391
8	99	47.3882	-8.28798	45.0725	0.115206
8	100	47.4794	-8.46546	45.1431	0.111068
8	101	47.5726	-8.6406	45.2167	0.10699
8	102	47.6659	-8.81431	45.2913	0.102957
8	103	47.7591	-8.98699	45.3666	0.0989596
8	104	47.8522	-9.15879	45.4427	0.094995
8	105	47.9465	-9.32895	45.5207	0.0910772
8	106	48.0403	-9.49737	45.5992	0.0872121
8	107	48.1355	-9.66466	45.6797	0.0833823
8	108	48.2341	-9.83041	45.7646	0.0795936
8	109	48.3349	-9.99318	45.8524	0.0758801
8	110	48.4374	-10.1518	45.9429	0.0722674
8	111	48.5413	-10.3062	46.0357	0.0687602
8	112	48.645	-10.4576	46.129	0.065331
8	113	48.7485	-10.6042	46.223	0.0620214
8	114	48.8534	-10.7457	46.3191	0.0588305
8	115	48.9536	-10.889	46.4109	0.0556224
8	116	49.0784	-11.0013	46.5295	0.0530622
8	117	49.2183	-11.1025	46.6639	0.0507392
8	118	49.3919	-11.1666	46.8341	0.0491829
8	119	49.5786	-11.2333	47.0174	0.0475718
8	120	49.7926	-11.2829	47.2288	0.0463076
8	121	50.0348	-11.3275	47.4687	0.0451316
8	122	50.314	-11.3598	47.7462	0.0441931
8	123	50.5914	-11.3813	48.0224	0.0434892
8	124	50.8678	-11.3925	48.298	0.0430089
8	125	51.144	-11.3927	48.574	0.0427614
8	126	51.4205	-11.3792	48.8508	0.0427956
8	127	51.6955	-11.3497	49.1268	0.0431562
