# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	113.159	39.3834	13.1519	15.2635	58.2255	0	0	0	113.159	0.916799	132	30	30.4913	1.24355	0	0
1	1	0	0	110.751	39.1772	0.0742558	17.4912	57.2163	0	0	0	110.751	0.906755	139	30	31.273	1.67576	0	0
2	1	0	0	71.7386	30.6437	24.1536	9.89032	56.453	0	0	0	71.7386	0.960018	97	22	31.3848	0.846204	0	0
3	1	0	0	86.7986	33.7937	-12.1571	14.9107	54.6293	0	0	0	86.7986	0.955102	134	22	32.4639	2.06883	0	0
4	1	0	0	74.224	31.1311	33.5572	4.89599	51.6513	0	0	0	74.224	0.96242	113	22	35.4243	0.549662	0	0
5	1	0	0	108.433	38.3855	-24.9573	12.096	48.1482	0	0	0	108.433	0.924778	141	30	38.2378	2.40434	0	0
6	1	0	0	103.244	37.512	43.0712	-0.0666468	45.779	0	0	0	103.244	0.922008	133	30	41.9656	0.328598	0	0
7	1	0	0	84.9783	33.8946	-35.3447	5.1772	43.3008	0	0	0	84.9783	0.929515	125	22	43.015	2.68961	0	0
8	1	1	0	84.0904	33.0173	51.1188	-7.5884	40.7756	0	0	0	84.0904	0.969334	140	30	48.1459	0.125391	0	0
9	1	1	0	84.2532	33.151	-43.1204	-2.51266	39.3081	0	0	0	84.2532	0.96339	147	30	47.7778	2.90719	0	0
10	2	0	0	96.8794	35.8859	5.45593	7.4874	67.5632	0	0	0	96.8794	0.945351	120	30	21.2018	1.47135	0	0
11	2	0	0	99.9427	36.1439	15.5994	4.47744	66.0696	0	0	0	99.9427	0.961371	146	30	21.8442	0.975538	0	0
12	2	0	0	94.98	35.2941	-4.86904	7.90016	64.1333	0	0	0	94.98	0.958158	135	30	23.0269	1.93582	0	0
13	2	0	0	91.5665	34.5078	25.7214	-0.342675	59.8635	0	0	0	91.5665	0.966298	133	30	26.0087	0.535298	0	0
14	2	0	0	91.7415	34.7902	-16.5639	5.86247	56.9276	0	0	0	91.7415	0.952494	141	30	27.8525	2.36743	0	0
15	2	0	0	72.4896	30.6311	35.0544	-5.31858	52.4102	0	0	0	72.4896	0.970871	117	22	32.7697	0.25579	0	0
16	2	0	0	98.5863	35.9927	-26.8722	1.2337	50.3256	0	0	0	98.5863	0.956309	150	30	33.6713	2.68507	0	0
17	2	1	0	79.4764	32.5825	43.5878	-11.2799	45.8725	0	0	0	79.4764	0.940764	143	30	40.3043	0.0578361	0	0
18	2	1	0	79.4981	32.7325	-36.093	-6.28244	44.2403	0	0	0	79.4981	0.932413	150	30	40.1186	2.95792	0	0
