# CellID	NodeIndex	X	Y	R	Theta
8	0	54.3892	-9.00733	52.3472	0.0834931
8	1	54.5643	-8.81157	52.5383	0.0869282
8	2	54.7268	-8.60523	52.7184	0.0905599
8	3	54.8759	-8.39078	52.8867	0.094343
8	4	55.013	-8.17023	53.0444	0.098239
8	5	55.1397	-7.94405	53.193	0.102237
8	6	55.2565	-7.71143	53.3335	0.106352
8	7	55.3625	-7.47126	53.4648	0.110609
8	8	55.4555	-7.22339	53.5851	0.115014
8	9	55.5337	-6.9694	53.6925	0.119547
8	10	55.5971	-6.71169	53.7867	0.124163
8	11	55.6474	-6.4518	53.8695	0.128835
8	12	55.6865	-6.18969	53.9425	0.133561
8	13	55.7145	-5.92438	54.0062	0.13836
8	14	55.7304	-5.65503	54.0597	0.143255
8	15	55.7318	-5.38216	54.1007	0.148243
8	16	55.7176	-5.10787	54.1279	0.153294
8	17	55.6887	-4.83442	54.1418	0.158367
8	18	55.6473	-4.56247	54.1445	0.163447
8	19	55.5948	-4.29108	54.1375	0.168551
8	20	55.5302	-4.01893	54.1203	0.173709
8	21	55.451	-3.74591	54.0901	0.178933
8	22	55.3543	-3.47422	54.0441	0.184199
8	23	55.2403	-3.2075	53.9816	0.189443
8	24	55.112	-2.94764	53.9053	0.194625
8	25	54.9727	-2.69358	53.8185	0.199757
8	26	54.8232	-2.44321	53.7224	0.204878
8	27	54.6619	-2.19564	53.6155	0.210011
8	28	54.4865	-1.95245	53.4954	0.21514
8	29	54.2971	-1.71671	53.3614	0.220214
8	30	54.0963	-1.48995	53.2156	0.225196
8	31	53.8867	-1.27079	53.0608	0.230105
8	32	53.6682	-1.05715	52.8975	0.234979
8	33	53.4389	-0.848785	52.7236	0.239835
8	34	53.1969	-0.648134	52.5368	0.244639
8	35	52.9434	-0.458287	52.3374	0.249332
8	36	52.6817	-0.279367	52.1284	0.253897
8	37	52.413	-0.108894	51.9118	0.258375
8	38	52.1357	0.0545333	51.6859	0.262803
8	39	51.8471	0.20886	51.4478	0.267157
8	40	51.5477	0.349779	51.1967	0.271356
8	41	51.2418	0.475097	50.9359	0.275336
8	42	50.9764	0.565715	50.7054	0.278479
8	43	50.741	0.62919	50.4967	0.280969
8	44	50.5264	0.673045	50.3028	0.282989
8	45	50.3239	0.698898	50.1156	0.284613
8	46	50.1295	0.713988	49.9333	0.285996
8	47	49.9378	0.706517	49.7473	0.28694
8	48	49.7579	0.670743	49.5646	0.287274
8	49	49.5831	0.597519	49.3763	0.286855
8	50	49.4075	0.518428	49.1854	0.286323
8	51	49.2351	0.429887	48.9951	0.285583
8	52	49.064	0.339264	48.8054	0.284789
8	53	48.8971	0.242796	48.6182	0.283849
8	54	48.734	0.143272	48.4338	0.28282
8	55	48.5738	0.0397772	48.2511	0.281687
8	56	48.4126	-0.0674274	48.0665	0.280476
8	57	48.2523	-0.180311	47.8812	0.279138
8	58	48.0933	-0.298188	47.6959	0.277681
8	59	47.9388	-0.422653	47.5133	0.276053
8	60	47.7901	-0.551879	47.3351	0.274282
8	61	47.6432	-0.686038	47.1574	0.272387
8	62	47.499	-0.824204	46.9815	0.270381
8	63	47.3565	-0.964145	46.8068	0.268313
8	64	47.2176	-1.1071	46.6351	0.266147
8	65	47.0809	-1.25104	46.4655	0.263932
8	66	46.9493	-1.39778	46.3003	0.261614
8	67	46.8166	-1.54815	46.1334	0.259209
8	68	46.6873	-1.70421	45.9685	0.256648
8	69	46.5615	-1.86336	45.8066	0.253985
8	70	46.4395	-2.02786	45.6474	0.251168
8	71	46.32	-2.19416	45.4905	0.24828
8	72	46.2078	-2.36403	45.3402	0.245257
