# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	111.617	38.9178	9.83866	15.1705	58.2774	0	0	0	111.617	0.926069	132	30	29.9065	1.28644	0	0
1	1	0	0	103.792	37.6374	-2.19557	16.2413	58.0559	0	0	0	103.792	0.920736	137	30	29.9986	1.69258	0	0
2	1	0	0	72.0678	30.7065	21.0609	11.2952	55.9075	0	0	0	72.0678	0.960483	97	22	31.6414	0.902276	0	0
3	1	0	0	88.3197	34.0658	-13.6565	14.2197	55.4373	0	0	0	88.3197	0.956379	136	22	31.599	2.06921	0	0
4	1	0	0	78.6222	32.2594	30.8409	7.09313	51.3399	0	0	0	78.6222	0.949385	112	22	35.9085	0.611951	0	0
5	1	0	0	109.24	38.8568	-26.5438	12.2329	48.7651	0	0	0	109.24	0.909199	140	30	38.0469	2.39755	0	0
6	1	0	0	103.548	37.4698	40.1206	2.75891	45.8817	0	0	0	103.548	0.926801	133	30	41.9643	0.398767	0	0
7	1	0	0	80.8321	33.0578	-37.3388	6.22177	43.6795	0	0	0	80.8321	0.929492	121	22	43.5294	2.67048	0	0
8	1	1	0	83.7141	32.9104	48.5016	-4.10477	40.9571	0	0	0	83.7141	0.971274	140	30	47.9886	0.197799	0	0
9	1	1	0	84.5073	33.2093	-45.4746	-1.0289	39.5527	0	0	0	84.5073	0.962909	147	30	48.5614	2.88112	0	0
10	2	0	0	93.7547	35.4033	3.05402	6.18275	68.4965	0	0	0	93.7547	0.939973	120	30	19.7831	1.48956	0	0
11	2	0	0	96.5982	35.5892	13.043	4.56101	65.8683	0	0	0	96.5982	0.958389	146	30	21.4918	1.00098	0	0
12	2	0	0	95.6887	35.5808	-6.9564	6.23107	65.33	0	0	0	95.6887	0.949813	135	30	21.479	1.97286	0	0
13	2	0	0	90.5484	34.3137	23.2117	1.01811	59.5229	0	0	0	90.5484	0.966398	133	30	26.1805	0.58942	0	0
